image_path,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0027.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,차장,␣,✘,✘,✘,(주)대상,␣,✘,✘,✘,✘,✘,␣,27,✘,✘,✔,2025,✔,␣,␣,07,␣,␣,SEOGJUNSI,␣,위영솔,␣,✘,✘,␣,␣,1985-05-30,␣,✘,✘,␣,35,석준시,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0028.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,과장,␣,✘,✘,✘,(주)뉴컴퍼니,␣,✘,✘,✘,✘,✘,␣,06,✘,✘,✔,2025,✔,␣,␣,09,␣,␣,YUYESEO,␣,길서나래,␣,✘,✘,␣,␣,1985-06-11,␣,✘,✘,␣,35,유예서,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/A0029.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✘,␣,✘,✘,␣,✘,✘,␣,대리,␣,✘,✘,✘,(주)광명도장산업,␣,✘,✘,✘,✘,✘,␣,20,✘,✘,✔,2025,✔,␣,␣,11,␣,␣,HEODOHO,␣,심빛도,␣,✘,✘,␣,␣,1985-06-27,␣,✘,✘,␣,43%,허도호,␣,1번,␣,␣,✘,␣,✘,✘,✘,␣,∅,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0000.jpg,✘,✘,✘,✘,기로아,␣,␣,✘,✘,밤에는,✘,✘,GYEONG SOHU,✔,✘,␣,주임,19.4%,✘,✘,✘,남종권,LWHH3T8,✔,✘,✔,✔,✘,옥세름,␣,✔,✔,✘,␣,✔,␣,분명하게,␣,일.,␣,BONG YANA,27.9%,␣,␣,✔,✘,25.6%,풀이한,1922/7/5,␣,✘,✘,␣,␣,단겸,온두라스,␣,␣,␣,✘,내용이다.,✔,✘,✔,DU NAMHEON,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0001.jpg,✔,✘,✘,✔,주정숙,이전하다. 도심지의,␣,✔,✔,돌아보지,✘,✔,AN YUGEON,✔,✘,시리아,상무,46.7%,✘,✘,✘,간유경,LSVGWNQ,✘,✘,✘,✘,✔,␣,31,✘,✘,✔,␣,✔,␣,오빠나,␣,␣,1926.5.30,WI WON-A,86.0%,천영지,1471974882,✘,✘,87.9%,간호인,1999.6.18,␣,✘,✘,2003.07.30,42.5%,백욱현,과테말라,미일로,봉일도,SANG GIHA,✔,␣,✘,✔,✘,BAE NALAE,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0002.jpg,✘,✘,✔,✘,␣,처리하는,␣,✘,✘,묽은,✘,✘,GANG HYEONGCHAN,✘,✘,사우디아라비아,␣,14.6%,✔,✘,✔,함평,␣,✔,✘,✘,✘,✔,␣,31,✔,✔,✘,2039,✘,스위스,쓰는,10,␣,1992.11.26,␣,␣,␣,1443967163,✘,✘,␣,그런,2043-12-05,␣,✔,✔,␣,63.5%,곽오건,우크라이나,␣,도용국,YONG YUNJAE,✔,비용. 사람이,✘,✘,✔,HONG UJA,∅,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0003.jpg,✘,✘,✔,✘,␣,␣,1920.11.05,✔,✘,걱정함. 가난을,✔,✔,MOG BAEGHABJA,✘,✔,␣,␣,18.2%,✘,✔,✘,태동섭,␣,✘,✘,✘,✘,✘,봉남혁,6,✘,✘,✘,2022,✔,␣,있다.,3,언어.,1940.10.13,GIL HA-YAN,2.5%,좌류영,␣,✘,✔,39.6%,대하여,1916-10-24,폴란드,✘,✔,␣,51.5%,␣,␣,댐에,␣,IN LOJI,✘,␣,✘,✔,✘,DAN SIHO,∅,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0004.jpg,✔,✘,✘,✘,원석원,␣,2007.12.22,✔,✘,␣,✘,✔,␣,✔,✘,스웨덴,COO,␣,✘,✔,✘,서문시홍,L7VF0V0,✔,✘,✘,✔,✘,김세음,29,✔,✘,✔,2009,✘,예멘,치고,12,많이,1922.09.04,GANG BICHWI,7.5%,채그레,␣,✔,✔,␣,측은하게,2038년 5월 31일,레바논,✘,✔,2050.04.30,␣,안주표,페루,만든,␣,BANG HANSAE,✘,농산물과,✘,✘,✔,␣,∅,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/D0005.jpg,✘,✘,✘,✘,천가운,␣,␣,✘,✔,흰무늬가,✘,✔,␣,✘,✔,레바논,␣,77.4%,✘,✔,✘,송송현,L9KOMUI,✔,✘,✘,✔,✘,태호규,␣,✘,✘,✘,2028,✘,브루나이,␣,2,달라지다.,2021.1.26,␣,63.5%,␣,9328764458,✘,✘,␣,관직에,␣,포르투갈,✔,✘,␣,75.0%,복린카,벨라루스,애팔래치아산맥,␣,JANG LO-ISEU,✘,다리.,✘,✔,✔,BIN HYEONHUN,∅,✔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/E0000.jpg,✘,✘,✔,✔,␣,␣,2031/11/26,✘,✘,왈칵 성내는,✔,✘,YE LOGDAM,✔,✔,보스니아헤르체고비나,COO,14.4%,✘,✘,✘,␣,␣,✘,✘,✔,✔,✘,␣,17,✘,✘,✘,2031,✔,슬로베니아,이을,␣,자르다.,1986.05.21,␣,86.6%,안순리,9734510610,✘,✘,72.8%,␣,1970.9.5,볼리비아,✔,✘,␣,13.7%,문장헌,몰디브,␣,␣,␣,✘,있다.,✘,✘,✘,GWON GWANG-U,∅,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/073/E0001.jpg,✘,✔,✘,✘,␣,␣,␣,✘,✔,소리가,✘,✘,␣,✘,✔,홍콩,␣,␣,✔,✘,✘,␣,␣,✘,✘,✘,✘,✔,금종찬,30,✘,✔,✘,2000,✘,루마니아,␣,6,말함.,1911.05.25,GU NANAMI,␣,부시와,1442865764,✘,✘,82.1%,사람.,1954.2.23,대만,✔,✔,2000/2/8,␣,민상돈,우크라이나,베푸는 모임.,␣,JO YEONGHYEOG,✘,␣,✘,✘,✘,DONG LYEONHUI,∅,✘,✘,✘
