image_path,015,017,022,002,032,019,008,016,013,026,027,006,023,018,009,021,024,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0023.jpg,✘,2025,␣,5,␣,10,동양정밀,␣,✘,␣,␣,✔,"30,000,000",5,✔,기아 레이,␣,∅,78 러 7890,␣,␣,✔,주식회사 미소자동차,␣,10,"경기도 용인시 수지구 4243, 10층",2025,␣,␣,1008711930,␣,␣,임준서
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0024.jpg,✘,2025,␣,05,␣,24,우진산업,␣,✘,␣,␣,✔,"50,000,000",05,✔,르노 QM6,␣,∅,901 머 1234,␣,␣,✔,더드림카,␣,24,"전라북도 익산시 모현동 4445, 2층",2025,␣,␣,1314298513,␣,␣,한지우
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0025.jpg,✘,2025,␣,06,␣,07,성광기계,␣,✘,␣,␣,✔,"120,000,000",06,✔,쌍용 코란도,␣,∅,12 버 5678,␣,␣,✔,한누리모터스,␣,07,"충청남도 아산시 배방읍 4647, 6층",2025,␣,␣,1715698107,␣,␣,조예나
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0026.jpg,✘,2025,␣,06,␣,21,진성테크,␣,✘,␣,␣,✔,␣,06,✔,포르쉐 911,␣,∅,34 서 9012,␣,␣,✔,주식회사 더카프라자,␣,21,"경상북도 김천시 지좌동 4849, 8층",2025,␣,␣,1111020721,␣,␣,송민석
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0027.jpg,✘,2025,␣,7,␣,10,대성무역,␣,✘,␣,␣,✔,"300,000,000",7,✔,페라리 488,␣,∅,567 어 3456,␣,␣,✔,주식회사 바른손,␣,10,"경기도 광명시 소하동 5051, 4층",2025,␣,␣,1812892208,␣,␣,신수진
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0028.jpg,✘,2025,␣,7,␣,24,보람산업,␣,✘,␣,␣,✔,"150,000,000",7,✔,람보르기니 아벤타도르,␣,∅,78 저 7890,␣,␣,✔,신화,␣,24,"제주특별자치도 서귀포시 중문동 5253, 1층",2025,␣,␣,1410936624,␣,␣,권도윤
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/A0029.jpg,✘,2025,␣,8,␣,7,해성물사,␣,✘,␣,␣,✔,"100,000,000",8,✔,마세라티 콰트로포르테,␣,∅,90 고 1234,␣,␣,✔,더마니카,␣,7,"세종특별자치시 연동면 5455, 7층",2025,␣,␣,1219826792,␣,␣,문서현
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0000.jpg,✘,2027,IZ52SW3ILDI3XNNLQ,1,AR0ECRZ,␣,연루원,LKX26E,✔,2028,␣,✘,구백십육만,␣,✘,A3 쏘나타,␣,∅,37로 6996,␣,21,✘,단현애,DDWBY6,␣,경상북도 안동시 북후면 옹천리 140,2029,␣,9174088266,␣,차다검,␣,봉석하
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0001.jpg,✔,␣,␣,␣,AI8SZ8F,13,␣,64XCKT,✘,2015,10,✘,팔백팔십일만,4,✘,하이랜더 트랙스,쓸개.,∅,491머 9088,␣,4,✔,강영동,␣,17,경상남도 김해시 진영읍 하계로105번길 16 (방동리),2015,6,9182553142,2038-07-11,호마희,위진광,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0002.jpg,✔,2029,6GW898JO9LBIP20IE,␣,AVYJ5FX,17,국성률,DQ4YNN,✔,2018,␣,✘,팔천사백육십구만,␣,✘,티볼리 프리우스,␣,∅,␣,책상다리를,␣,✔,현귀현,␣,29,전라남도 고흥군 도양읍 북신길 61-1 (봉암리),2023,22,1278112256,1965년 4월 5일,사인준,옥라일리,금자현
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0003.jpg,✘,␣,69AU1QPFFLGQL7UN4,␣,AEMS8ZK,1,함제헌,7L4301,✔,2014,1,✘,이천일백팔십육만,␣,✔,스파크 콜로라도,지나가는데,∅,38다 6420,선행을,6,✘,안예서,␣,4,전라남도 해남군 화산면 무학길 107-10 (가좌리),2022,␣,9128276075,2006년 6월 23일,␣,편본율,국진재
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0004.jpg,✘,2010,␣,2,AI9K6NP,7,␣,␣,✘,␣,4,✘,육천구백이십칠만,2,✔,프리우스 SM6,아니하고,∅,802모 0408,␣,17,✔,가효제,UN8DZ4,10,대구광역시 남구 대명동 2768-19,2024,␣,9306836324,␣,␣,왕송언,김승섭
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0005.jpg,✔,2028,E2D9ASWXHQV0NUJ00,␣,AW8VKR0,22,␣,6WZUWB,✘,2025,␣,✔,␣,␣,✔,임팔라 X5,사랑을,∅,␣,지혜의,31,✘,고영경,␣,4,경기도 안성시 비룡4길 28 (당왕동),2029,␣,1959102212,1981/2/13,견정호,␣,천리해
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0006.jpg,✘,2024,6LRFIWRXU5WYNZQIY,7,ASPW42F,28,민운아,THA4J1,✘,2010,9,✔,팔천이백오십사만,␣,✔,␣,일정한,∅,␣,␣,␣,✘,소륜지,063YLI,11,경기도 이천시 모가면 진가리 351 (진가1리마을회관),2023,15,9177013673,2041.06.09,구연음,모천호,유환비
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0007.jpg,✔,2021,BAQZUPO8ZWJX9FPNH,␣,AF6EQ49,␣,␣,T25HIJ,✘,␣,␣,✔,육백구십팔만,␣,✔,A6 QM6,가우하여,∅,␣,␣,␣,✘,표자룡,␣,13,"서울특별시 광진구 긴고랑로5길 4 (중곡동, 덕유빌리지)",␣,16,9710396609,1900년 7월 27일,나본찬,염제우,윤유메
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0008.jpg,✔,2012,8B8NDHPWECSHOZMDW,8,A4HHFLT,12,남태자,NLBF7B,✔,2017,6,✔,␣,1,✘,␣,고함을,∅,␣,␣,8,✔,사공주니,␣,16,"경기도 남양주시 경강로 248 (삼패동, WORK)",2020,␣,1623663743,1922/1/13,민단,␣,구성인
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0009.jpg,✘,2015,OHNY04E6KWGWLJN7G,7,AP3S21O,22,␣,␣,✘,2017,6,✔,이백십팔만,11,✔,스타리아쉐보레 GV70,음악을,∅,482고 3599,␣,29,✘,␣,␣,␣,부산광역시 부산진구 전포대로176번길 38-1 (전포동),2018,29,1144286206,2024년 1월 8일,라경미,허윤홍,조상보
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0010.jpg,✔,2025,4BYFABZJ6H5JPSQKV,␣,AM91VRZ,␣,견여명,HAOT4K,✔,2025,10,✘,칠천삼백오십사만,11,✘,QM5 스파크,␣,∅,208나 1566,그릇.,␣,✔,윤관영,C6XS5H,7,부산광역시 남구 문현동 721,2024,6,9952670407,2036/6/19,␣,손숙연,석금준
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0011.jpg,✘,␣,8QHQ7BXTKICU9TZPG,␣,A1SNK40,␣,마홍연,MBBENP,✘,␣,␣,✔,사천육백육십일만,11,✘,BMW A4,곳에선,∅,213모 1544,구리에,1,✔,온영예,BOJGQB,16,경상북도 문경시 영순면 오룡리 431-2,␣,2,1128424537,2030년 3월 13일,␣,진루치아,동붕화
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0012.jpg,✘,2018,␣,12,AJF159F,␣,석형기,K5MK39,✔,2017,4,✘,␣,11,✔,Q8 베뉴,선12,∅,␣,자.,21,✘,탁로완,X68H6R,␣,␣,2012,25,9846994922,1930년 4월 5일,배위서,추애나,부유이나
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/C0013.jpg,✔,2024,Z53ME9NOA7LYRL0G3,␣,AWUPPQI,8,봉용원,TFVC58,✔,2011,10,✔,␣,4,✘,SM7 SM7,␣,∅,␣,타,21,✘,␣,4N7KI8,30,경상북도 경산시 남천면 송백길 29-3 (송백리),2017,21,9615635009,1989.4.24,␣,범원석,단종선
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0000.jpg,✘,2026,NI6KL6KHP5ZEGMCJX,9,AEBU3Q8,25,승유이,J2Q88S,✔,2039,7,✔,␣,8,✔,쌍용 i30,␣,∅,␣,나누는,6,✔,표루세,08M1K3,29,인천광역시 강화군 강화읍 갑곳리 164-4,2035,13,␣,␣,편형완,나봉진,선우명완
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0001.jpg,✘,2005,DH46YRNUTTM5R8XXD,1,A83V40Y,␣,모희창,2KYN8B,✘,2038,11,✘,삼천삼백칠십삼만,1,✘,␣,␣,∅,␣,시가,9,✔,채휘람,␣,17,경기도 김포시 하성면 원산리 203,2001,2,1678254339,1921.1.4,␣,␣,소순범
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0002.jpg,✘,2000,8QR72CCOCJHUB2HFV,9,␣,22,봉전자,S3PODW,✘,2030,7,✔,␣,9,✔,아베오 A 클래스,␣,∅,29서 6573,␣,27,✘,두장오,␣,8,대구광역시 서구 통학로40길 16-5 (평리동),2005,27,9280646512,1922.01.21,허나리,␣,왕성하
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0003.jpg,✔,␣,␣,␣,AWWN205,␣,음지음,QJCYNC,✔,2036,3,✔,팔천육백육십칠만,5,✔,␣,␣,∅,96다 4468,지내다.,26,✔,편보성,GTW7T3,␣,␣,2021,28,9652970320,1982.09.24,␣,팽온하,심찬이
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0004.jpg,✔,2022,␣,8,␣,16,␣,3IGKC7,✘,2011,7,✘,삼천팔백육십삼만,8,✔,SM7 마칸,␣,∅,␣,␣,29,✔,범석진,7V7VDE,14,충청남도 당진시 신평면 운정리 659-3,2024,␣,9272742724,1926.02.15,허노하,조제환,온진실
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0005.jpg,✘,2017,0UA2D22EQB407O4KD,2,A6JRFWJ,29,지신웅,5OEGK1,✘,2040,1,✔,구백오십삼만,␣,✔,␣,주축으로,∅,10저 6527,␣,4,✘,민호선,TILJ36,16,␣,2031,10,␣,␣,채연의,어명국,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0006.jpg,✔,␣,9BHP9SU3U6OU9NV7W,␣,ARNV38T,5,␣,TFDC2T,✘,2004,11,✔,육천삼백사십삼만,␣,✘,X1 트래버스,␣,∅,486고 4489,"짚,",7,✘,시재학,YXN342,␣,대구광역시 중구 서성로 80 (북성로2가),␣,19,9988087886,2042/9/19,명종헌,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0007.jpg,✘,␣,␣,1,AQGXBUH,21,␣,5H159V,✘,2011,6,✘,육백칠십사만,␣,✘,SM7 그랜저,불이,∅,56두 6505,␣,1,✔,␣,WXU41Z,␣,충청남도 공주시 정안면 문천리 171-3,2028,4,9865378360,1941-05-14,진찬호,성민탁,김신원
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0008.jpg,✘,2000,PCRLA6UV9OUCTSCUS,12,AOECXP5,␣,민치히로,WXIWV9,✔,␣,␣,✘,천사백오십삼만,1,✘,벤츠 i30,일을,∅,␣,␣,4,✘,양유소,␣,10,강원특별자치도 정선군 정선읍 가리왕산로 409-2 (용탄리),2003,12,9274237602,1986년 6월 15일,정채은,탁선규,인호현
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0009.jpg,✘,␣,ZDEUNWTDR17TZE0QW,1,A9RBFEC,␣,동가영,␣,✔,␣,10,✘,칠백사십구만,␣,✔,GLS 아이오닉5,대륙.,∅,␣,주르르,2,✘,␣,␣,12,␣,2015,27,1003533426,1946/11/1,위수한,용시안,견태음
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0010.jpg,✘,2014,C61J0KMHO1WT4D6WH,4,A2HH4WF,␣,경효건,␣,✔,2000,10,✘,삼천칠백사십육만,␣,✔,␣,함.,∅,␣,직접,9,✔,박민휘,LOS2Y0,13,경기도 양주시 백석읍 꿈나무로 72-33 (방성리),␣,29,␣,1913년 11월 21일,추은파,심석하,현채혁
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0011.jpg,✘,2010,QWH10LT0L7W1YAIZI,1,AE5R257,31,형건한,RHEPMS,✔,2018,1,✘,␣,6,✔,임팔라 제네시스G70,빪.,∅,15구 9367,넣어,8,✔,편리솔,3WJS44,␣,경기도 고양시 덕양구 화정동 134-2 (산이화),2029,31,1808332529,2012/10/26,두채문,간수산,피희택
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0012.jpg,✔,2021,␣,8,AFEWIY2,␣,어채정,DWSBXA,✘,␣,␣,✔,␣,4,✔,␣,수,∅,␣,계통의,21,✘,단원상,0E9D23,␣,전라남도 순천시 승주읍 죽학리 453-1,2020,␣,9936629032,2011.08.24,범관표,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0013.jpg,✘,2000,UXAK40XCGMXA3E2Q7,10,APGBRQ0,10,석향주,␣,✘,2030,␣,✔,칠백구십사만,␣,✘,QM6 SM3,몸에,∅,569버 1472,첨해왕의,20,✘,손설윤,UJP3VY,6,"경기도 용인시 처인구 남사읍 전궁로16번길 11 (전궁리, 전궁새마을회관)",2030,15,9663887387,␣,용충민,␣,피하네
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0014.jpg,✔,2018,4W9PEK8YNNNOCWL9E,4,␣,␣,성아기,␣,✔,2029,9,✔,팔백오십삼만,7,✔,싼타페 파나메라,␣,∅,38무 5729,동궁에,␣,✔,␣,423EJF,␣,대구광역시 달서구 달구벌대로344길 15-12 (두류동),2036,␣,␣,2037년 5월 4일,연로사,선화연,간경필
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0015.jpg,✘,␣,G0RY1LW4QO620CYVP,3,AZEKVS3,24,␣,GHBR43,✘,␣,10,✘,칠백구십사만,5,✘,아반떼 쌍용,␣,∅,91러 2077,␣,␣,✔,␣,HJB1XW,14,전북특별자치도 남원시 왕정동 222,2032,1,1314672330,1923년 5월 8일,␣,손효종,선훈식
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0016.jpg,✔,2031,RGVZ8HE9N1SDQHI36,2,AUR1RB1,11,설가봄,␣,✔,␣,5,✘,␣,12,✔,A 클래스 현대,붙잡다.,∅,664두 2305,문신(145,9,✘,방도흔,A730JQ,␣,경기도 안산시 상록구 부곡동 676-7 (동신아트빌),2009,16,1430291143,1926.03.19,␣,함나무,탁정승
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0017.jpg,✘,␣,ULNNY7KQK3PJ61J5K,12,AVHNC3B,␣,주아소,OB6S3G,✘,2026,6,✔,삼천사백십오만,␣,✔,␣,신하에게,∅,564더 6080,묵호자가,5,✘,␣,IBRW1P,21,전북특별자치도 남원시 운봉읍 방현길 88-1 (가산리),2026,11,1346687723,1960-07-12,현종상,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0018.jpg,✔,2010,0US0M64L4WFOADOWG,␣,A3PLVF2,␣,␣,␣,✘,2039,1,✔,육백사십팔만,5,✔,마칸 카이엔,␣,∅,92다 3566,노궁한,15,✘,소혜광,␣,31,광주광역시 광산구 도산동 1283-7,2025,␣,9685365800,2022-03-08,␣,조아이나,조학선
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0019.jpg,✔,␣,UWPMDJRVKBQ99A517,␣,AAAYC5Y,14,␣,CHYI6D,✔,2011,␣,✔,사천팔백이십팔만,12,✘,코나 타호,상업상의,∅,96두 2689,수심.,23,✔,남권희,EN8ALU,26,␣,␣,27,1080833697,2022.03.24,감병관,␣,단회진
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0020.jpg,✘,2026,YWLLZ3Y0SN5Q1T3CN,␣,ADHRWGG,␣,␣,␣,✔,␣,␣,✘,␣,2,✘,팰리세이드 A4,임금의,∅,144모 8216,일제,26,✔,은창신,PCYHN3,7,경상북도 봉화군 재산면 재일로 529-57 (남면리),2039,7,1089219106,2023.10.02,피에리카,좌석원,윤명신
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/D0021.jpg,✔,2027,␣,9,AWVLA3B,20,범단우,MRW15Y,✘,2002,3,✔,구천구백팔십구만,␣,✘,GLC A6,클래식만,∅,␣,윗자리에,17,✘,빈치훈,LYOQ5P,26,경상북도 청도군 각북면 낙산3길 24-12 (남산리),2030,7,9567407329,␣,양세령,␣,여병길
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0000.jpg,✔,2036,NSPDUH0CV1KDESD7Q,4,ELHIIYG,16,원류한,X4SCL3,✔,2025,7,✔,이백오십구만,3,✔,팰리세이드 포르쉐,아니하고,∅,902루 9216,일등병,␣,✔,지상협,␣,28,서울특별시 종로구 창덕궁5길 2 (원서동),␣,␣,␣,1996-07-25,주환석,고미란,용치형
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0001.jpg,✘,␣,␣,5,␣,␣,옥현배,HD90GW,✔,2027,11,✘,이백사십이만,␣,✔,스타리아쉐보레 GLE,␣,∅,25다 5348,따위가,7,✔,나기안,NJPMSY,␣,␣,2003,␣,9539790830,1932/1/15,윤신흔,방규민,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0002.jpg,✔,2007,WU5Y6906GQKRI2J0B,␣,E071D2Q,25,홍령은,7CUWZN,✔,␣,6,✘,␣,9,✔,파나메라 A 클래스,이르는,∅,534수 7592,쓰는,14,✔,남궁동용,5CM4RF,16,서울특별시 광진구 동일로22길 69 (화양동),2013,1,9747666647,2012/7/1,이익성,상랑주,조이란
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0003.jpg,✘,2022,␣,␣,E6LS1RA,30,␣,VUDUUJ,✔,␣,1,✔,이백육십사만,3,✔,Q8 파나메라,␣,∅,80구 2595,가슴,14,✔,주켄지,SZVMI7,25,서울특별시 종로구 성균관로 54-17 (명륜1가),␣,␣,␣,1991/8/25,곽보래,␣,형윤용
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0004.jpg,✔,2037,ZGHNTXSQ7QHGFHW6M,9,␣,30,권두인,62V7KM,✔,␣,10,✘,구백오십일만,3,✔,␣,상세히,∅,532머 2785,받아,27,✔,제갈옥희,RAUGGZ,3,경상남도 창원시 성산구 외동반림로40번길 13-1 (중앙동),2012,24,␣,1940/8/1,목강수,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/654/E0005.jpg,✘,␣,AMVTEP1PGFLUYTIOW,␣,E819P1O,25,␣,ZVBQBF,✔,2031,9,✔,사백일십구만,12,✔,파일럿 싼타페,절차를,∅,␣,이룬다.,8,✘,이준석,M74MSE,3,␣,2027,␣,9879250956,2008-07-29,␣,␣,범효동
