image_path,061,065,017,051,022,002,062,056,050,019,059,052,016,067,055,006,023,018,021,058,057,069,049,053,070,054,020,064,068,005,000,003,007,001,066,048,063,004,060
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0012.jpg,␣,␣,✔,신동욱,✘,✘,✘,␣,19,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,11,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0013.jpg,␣,␣,✔,권보람,✘,✘,✘,␣,8,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,12,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0014.jpg,␣,␣,✔,조현우,✘,✘,✘,␣,22,✘,␣,✔,✘,✘,␣,✘,✘,✘,✘,␣,✘,␣,12,␣,␣,␣,✘,␣,SP00OAB025,✘,✘,✘,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0015.jpg,␣,␣,✔,미래기획,✘,✘,✘,강민준,2,✔,␣,✔,✘,✘,2,✘,✘,✘,✘,␣,✔,␣,1,2025,␣,1,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0016.jpg,␣,␣,✔,한빛개발건설,✘,✘,✘,김서연,16,✔,␣,✔,✘,✘,16,✘,✘,✘,✘,␣,✔,␣,1,2025,␣,1,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0017.jpg,␣,␣,✔,새롬정보통신,✘,✘,✘,박지훈,2,✔,␣,✔,✘,✘,2,✘,✘,✘,✘,␣,✔,␣,2,2025,␣,2,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0018.jpg,␣,␣,✔,영진무역상사,✘,✘,✘,이하윤,16,✔,␣,✔,✘,✘,16,✘,✘,✘,✘,␣,✔,␣,2,2025,␣,2,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0019.jpg,␣,␣,✔,금강철물,✘,✘,✘,최현우,10,✔,␣,✔,✘,✘,10,✘,✘,✘,✘,␣,✔,␣,3,2025,␣,3,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0020.jpg,␣,␣,✔,신한에너지솔루션,✘,✘,✘,정수아,24,✔,␣,✔,✘,✘,24,✘,✘,✘,✘,␣,✔,␣,3,2025,␣,3,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0021.jpg,␣,␣,✔,한화물류,✘,✘,✘,윤도현,3,✔,␣,✔,✘,✘,3,✘,✘,✘,✘,␣,✔,␣,4,2025,␣,4,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0022.jpg,␣,␣,✔,아성전자,✘,✘,✘,장예진,17,✔,␣,✔,✘,✘,17,✘,✘,✘,✘,␣,✔,␣,4,2025,␣,4,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0023.jpg,␣,␣,✔,동양정밀,✘,✘,✘,임준서,10,✔,␣,✔,✘,✘,10,✘,✘,✘,✘,␣,✔,␣,5,2025,␣,5,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0024.jpg,␣,␣,✘,우진산업,✘,✘,✘,한지우,24,✔,␣,✔,✘,✘,24,✘,✘,✘,✘,␣,✔,␣,05,2025,␣,05,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0025.jpg,␣,␣,✔,성광기계,✘,✘,✘,조예나,07,✔,␣,✔,✘,✘,07,✘,✘,✘,✘,␣,✔,␣,06,2025,␣,06,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0026.jpg,␣,␣,✔,진성테크,✘,✘,✘,송민석,21,✔,␣,✔,✘,✘,21,✘,✘,✘,✘,␣,✔,␣,06,2025,␣,06,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0027.jpg,␣,␣,✔,대성무역,✘,✘,✘,신수진,10,✔,␣,✔,✘,✘,10,✘,✘,✘,✘,␣,✔,␣,7,2025,␣,7,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0028.jpg,␣,␣,✔,보람산업,✘,✘,✘,권도윤,24,✔,␣,✔,✘,✘,24,✘,✘,✘,✘,␣,✔,␣,7,2025,␣,7,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/A0029.jpg,␣,␣,✔,해성물산,✘,✘,✘,문서현,7,✔,␣,✔,✘,✘,7,✘,✘,✘,✘,␣,✔,␣,8,2025,␣,8,✘,␣,SP00OAB025,✘,✘,✔,✘,✔,␣,2025,␣,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/D0000.jpg,␣,5,✘,서빈아,✘,✘,✘,김솜,19,✔,␣,✘,✔,✘,24,✘,✘,✔,✔,2022,✔,␣,5,2024,P638HPY,␣,✘,␣,SP00OAB025,✘,✘,✔,✔,✘,␣,␣,2000,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/D0001.jpg,위일훈,30,✔,형태정,✘,✘,✘,성재민,7,✘,␣,✔,✘,✔,19,✘,✘,✔,✘,2040,✘,9749389306,12,2037,PQPKVT4,10,✘,␣,SP00OAB025,✘,✘,✘,✔,✘,양솜귤,␣,2009,✘,13
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/D0002.jpg,␣,␣,✘,␣,✘,✘,✘,␣,3,✔,10,✘,✘,✘,␣,✘,✔,✘,✘,2030,✘,9817347614,11,2036,PUD2QRR,2,✔,11,SP00OAB025,✔,✘,✘,✔,✘,␣,2032,2020,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/641/E0000.jpg,사공창석,1,✘,배승운,✘,✘,✘,빈연나,25,✘,6,✔,✘,✔,8,✘,✘,✘,✘,␣,✘,1006557437,␣,2034,SYPV7V7,1,✘,2,SP00OAB025,✘,✘,✘,✘,✘,오서원,␣,␣,✔,␣
