image_path,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0004.jpg,515-73-89108,✘,␣,✘,✘,변기련,2004,6,␣,T5AO8XB,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0005.jpg,␣,✘,9,✔,✘,승현무,2002,9,1593429561,TASMANE,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0006.jpg,581-13-03277,✘,1,✘,✘,간훈식,␣,30,1974481216,T7NUUX9,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0007.jpg,062-46-77992,✘,␣,✘,✔,소탄우,2032,1,9118879138,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0008.jpg,␣,✘,11,✘,✘,나꿈,2001,␣,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0009.jpg,902-67-97464,✔,␣,✘,✘,선다우,2040,1,9888641643,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0010.jpg,039-64-72514,✔,2,✔,✘,시준완,2001,20,9510595814,T9R1AP2,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0011.jpg,984-54-80128,✘,10,✔,✔,남궁진미,2018,21,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0012.jpg,␣,✘,␣,✔,✘,용마르,2015,22,1217350704,TYO070N,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0013.jpg,␣,✘,7,✘,✘,송성라,2006,13,␣,TV8YTFU,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0014.jpg,␣,✘,␣,✔,✔,선서용,2016,26,1804242724,TR9IJY5,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/D0015.jpg,␣,✔,6,✔,✘,감명근,2028,24,␣,␣,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/E0000.jpg,␣,✘,4,✔,✔,␣,2034,11,1843225746,PA7XFRD,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/E0001.jpg,␣,✘,12,✔,✔,온가향,2035,28,9751877157,PTESOXX,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/E0002.jpg,265-28-03968,✘,␣,✘,✔,␣,␣,28,1772639117,P9WM9QL,SP10NBA002
/mnt/AI_NAS/Data/현대캐피탈/data/images/434/F0000.jpg,400-96-58137,✔,␣,✘,✘,장남수,2017,1,1671330610,P8XE359,SP10NBA002
