image_path,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,044,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0000.jpg,✘,✔,✘,✔,✔,✔,✘,도루연,따위의,1733007008,✘,✘,✔,␣,✘,✔,✘,✘,4,16,✘,∅,✘,✘,✔,AEN5YYH,2032,✘,✔,✘,✘,✘,✘,전라남도 광양시 진월면 신아리 231-14,대전,✘,✘,✔,✘,✘,✘,✔,제대찬,✘,36
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0001.jpg,✘,✘,✘,✔,✘,✔,✘,␣,하나의,9411549686,✔,✘,✘,053-4223-6672,✘,✔,✘,✘,4,8,✔,∅,✘,✘,✘,ALDENDH,2019,✘,✔,✘,✔,✘,✘,충청남도 천안시 동남구 통정10로 43-22 (신방동),겨드랑이에,✔,✘,✘,✘,✘,✘,✔,␣,✘,28
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0002.jpg,✔,✘,✘,✘,✘,✔,✘,표수언,␣,1481046442,✘,✔,✘,␣,✔,✘,✔,✔,1,9,✔,∅,✘,✘,✘,␣,2029,✔,✔,✘,✘,✘,✘,서울특별시 도봉구 도봉동 615-29,쑹화강과,✘,✘,✘,✘,✘,✘,✘,목국희,✔,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0003.jpg,✘,✔,✘,✘,✘,✔,✘,범경실,가루,9371982165,✘,✘,✘,043-2358-5171,✘,✔,✔,✘,10,20,✘,∅,✘,✘,✘,AKLZ3PN,␣,✘,✘,✘,✘,✘,✘,␣,모리스가,✘,✔,✔,✘,✘,✘,✔,␣,✔,21
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0004.jpg,✘,✘,✘,✔,✘,✔,✔,설광명,␣,9112715260,✘,✘,✘,053-491-6270,✔,✘,✘,✘,␣,␣,✔,∅,✘,✘,✔,␣,2003,✔,✘,✘,✔,✘,✘,서울특별시 강서구 공항대로15길 24-7 (공항동),␣,✔,✘,✘,✘,✘,✘,✘,송동준,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0005.jpg,✔,✔,✔,✘,✘,✔,✘,경결애,␣,1458201269,✔,✘,✔,032-7313-2566,✘,✘,✔,✔,6,5,✘,∅,✔,✘,✘,AGC777M,2003,✘,✘,✘,✘,✘,✔,부산광역시 강서구 송정동 281,저절로,✔,✔,✔,✘,✘,✘,✘,␣,✘,34
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0006.jpg,✘,✘,✘,✘,✘,✔,✘,류오경,둘러싸여,␣,✘,✘,✘,062-4488-2166,✘,✘,✘,✘,␣,31,✘,∅,✔,✔,✔,A47N3PI,␣,✘,✔,✘,✘,✘,✘,경상남도 진주시 강남동 235-11,␣,✘,✘,✘,✔,✔,✔,✘,길희민,✘,36
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/D0007.jpg,✘,✔,✘,✘,✘,✔,✘,양담영,이익을,␣,✘,✘,✔,␣,✘,✘,✘,✘,11,␣,✘,∅,✘,✔,✔,␣,2006,✘,✘,✘,✘,✘,✘,전라남도 보성군 회천면 봉서동길 60 (봉강리),손잡이.,✘,✘,✔,✘,✔,✘,✘,동정문,✔,27
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/E0000.jpg,✘,✔,✘,✔,✘,✔,✔,전건무,쉬는,1079184756,✘,✘,✔,02-348-0219,✘,✘,✘,✘,4,8,✔,∅,✘,✘,✘,HM9XSBS,2006,✘,✘,✘,✘,✔,✔,␣,관광02,✘,✘,✘,✔,✘,✘,✘,함진웅,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/E0001.jpg,✔,✔,✔,✔,✘,✔,✔,강브,␣,␣,✘,✔,✘,␣,✘,✔,✘,✔,5,␣,✘,∅,✘,✘,✔,HJ9HM8W,2022,✘,✘,✘,✔,✘,✘,␣,하다,✘,✘,✘,✔,✘,✘,✔,구례은,✘,20
/mnt/AI_NAS/Data/현대캐피탈/data/images/299/E0002.jpg,✔,✘,✘,✘,✔,✔,✘,␣,␣,␣,✔,✘,✘,063-7218-1672,✘,✘,✘,✘,␣,␣,✘,∅,✔,✘,✔,␣,2024,✘,✔,✘,✘,✘,✔,경상남도 거창군 마리면 영승중앙길 75-17 (영승리),또는,✘,✘,✘,✔,✘,✘,✘,␣,✔,22
