image_path,010,015,017,002,014,020,019,008,011,016,005,000,013,003,007,001,006,018,004,009,021,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0024.jpg,010-9012-4345,01,윤영하,23,2025,␣,9C1CCC004,YUNY EONGHA,␣,23,도곡 지점,2025,✘,기아 자동차 도곡 지점,윤영하,01,1234600000,✔,✔,870517-4161804,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0025.jpg,010-3456-4456,3,엄빛예,␣,2025,␣,9C1CCC004,EOMBICHYE,␣,31,동산로 대리점,␣,✘,기아자동차 동산로 대리점,엄빛예,␣,2345711111,✔,✔,870603-4618233,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0026.jpg,010-7890-4567,5,반민하,10,2025,␣,9C1CCC004,BANMINHA,␣,10,신사대리점,2025,✘,기아자동차 신사 대리점,반민하,5,3456822222,✔,✔,870619-3562788,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0027.jpg,010-1234-4678,7,류우윤,25,2025,␣,9C1CCC004,RYUUYUN,␣,25,발산 대리점,2025,✘,기아자동차 발산 대리점,류우윤,7,4567933333,✔,✔,870705-4609769,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0028.jpg,010-5678-4789,9,황정나,7,2025,␣,9C1CCC004,HWANGJEONGNA,␣,7,토리 대리점,2025,✘,기아자동차 토리 대리점,황정나,9,5678044444,✔,✔,870721-4733772,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/A0029.jpg,010.9012.4890,11,백지예,18,2025,␣,9C1CCC004,BAEGJIYE,␣,18,연시내 대리점,2025,✘,기아자동차 연신내 대리점,백지예,11,6789155555,✔,✔,870807-4821763,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/C0000.jpg,␣,4,선희은,␣,2011,9502263834,9C1CCC004,PYO INO,␣,9,RFHIC,2011,✘,박니카,␣,9,108-75-80681,✘,✘,␣,UBLN6QK,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/C0001.jpg,␣,12,노근예,5,␣,1050426329,9C1CCC004,␣,광택이,␣,␣,2012,✔,␣,전숙혜,2,794-18-16359,✘,✘,550-30-94855,UHXZI6Q,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/C0002.jpg,␣,5,송영범,␣,2025,9493347178,9C1CCC004,YUG CHEONGSOL,결말이,9,사노피-아벤티스코리아,2012,✔,설녹원,승사은,␣,352-22-48369,✔,✘,907-13-39060,UI4J8L2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/C0003.jpg,02-455-1406,4,송원우,23,␣,1464818551,9C1CCC004,MAENG HONGBI,␣,26,131LABEL,2014,✔,나아바,음강윤,9,259-66-22883,✔,✔,␣,UCLGN1T,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/C0004.jpg,032-9254-5922,9,엄소얀,␣,2026,1564380189,9C1CCC004,␣,여자를,5,미래엔,2017,✘,홍창호,채치원,7,␣,✔,✘,354-72-53771,U2L9RE8,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0000.jpg,055-8514-8567,2,함대보,␣,2020,9449669577,9C1CCC004,GEUM YEONGGON,␣,19,동명여자고등학교,2007,✘,␣,␣,␣,690-73-27051,✘,✔,059-45-03702,H3JLVBL,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0001.jpg,055-9185-3366,␣,음순경,17,2007,9497244840,9C1CCC004,␣,지경에서,␣,인천김포고속도로주식회사,␣,✔,목민이,배호식,␣,016-76-44166,✘,✘,␣,HKQZBQ7,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0002.jpg,␣,4,김동길,␣,␣,␣,9C1CCC004,HWANG KEULISEU,논농사하여,␣,여성가족부,2016,✘,음심화,편이사야,1,␣,✘,✘,956-25-91601,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0003.jpg,054-5471-3558,␣,␣,12,2009,1744965305,9C1CCC004,BANG JU-IN,천리,26,꼬끼오,2004,✘,␣,옥세록,10,609-72-12957,✔,✘,␣,H3VEHP4,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0004.jpg,044-6894-3506,␣,␣,25,2013,␣,9C1CCC004,KIM YU-EUN,"관계되니,",␣,대선주조,2023,✘,형범이,␣,7,␣,✘,✘,509-95-53244,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0005.jpg,031-9969-6504,5,␣,25,2015,9178507247,9C1CCC004,␣,만드는,␣,␣,␣,✘,␣,갈일선,2,896-57-83717,✘,✔,␣,HID4ESC,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0006.jpg,064-2702-5320,8,용의창,20,2024,1345885927,9C1CCC004,YUG MO-YEON,␣,␣,␣,2026,✘,␣,갈철휘,3,386-66-32221,✘,✔,796-37-92322,HQ243CJ,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0007.jpg,041-6637-6306,5,한환서,␣,2012,1708843554,9C1CCC004,MA SEONGSIL,␣,29,율산그룹,␣,✘,␣,옥담후,3,225-70-60964,✔,✔,429-96-35396,H2Z0RJ2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0008.jpg,␣,␣,상희대,22,2012,9904591273,9C1CCC004,YUG MINAGIM,밝힘.,20,KEB외환은행,2015,✘,목해훈,엄유기자,␣,870-75-13387,✔,✔,930-23-67414,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0009.jpg,052-9109-6885,␣,원우신,20,2003,1384160784,9C1CCC004,SI LU-YEONG,␣,18,경남모직,2021,✘,명담규,염리브,11,216-03-86295,✘,✔,236-49-67007,HOKK7YM,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0010.jpg,032-9366-0627,8,용유임,31,2040,1520493401,9C1CCC004,␣,또는,␣,␣,2002,✘,설강성,␣,9,879-20-64000,✘,✔,302-14-85793,HH50DIS,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0011.jpg,032-4906-8081,1,황명운,␣,2029,9122588856,9C1CCC004,DU HINA,방의,21,␣,2027,✔,봉로미,부충우,␣,227-57-36101,✔,✘,␣,HRH0FQP,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0012.jpg,062-3803-4851,1,문화련,7,2015,9496637505,9C1CCC004,BAE U-UI,여러,22,위버스컴퍼니,␣,✘,안세본,남태효,3,210-63-58851,✘,✘,␣,H2VEQDA,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0013.jpg,051-4794-0879,2,␣,24,2015,1984395201,9C1CCC004,␣,␣,28,금성사,␣,✘,설지담,길서연,␣,212-34-36723,✘,✘,542-82-45141,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0014.jpg,041-8697-6710,12,소명덕,␣,2015,9284933391,9C1CCC004,EUM SEONNYEO,장치에,␣,신일공업,2040,✔,서문라솜,민써니,2,914-90-91413,✘,✘,697-04-48410,HY5M7PD,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0015.jpg,␣,10,␣,␣,2038,1142271829,9C1CCC004,␣,␣,27,␣,2039,✘,␣,␣,␣,␣,✔,✘,␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0016.jpg,␣,8,␣,11,2010,1481854033,9C1CCC004,BAEG GEONHWI,증권을,␣,금호고속,2030,✘,␣,␣,␣,827-35-05324,✘,✘,000-96-76380,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0017.jpg,052-6349-0210,␣,시화나,27,2018,1738863086,9C1CCC004,SEOG EON-YAG,␣,18,현대그룹,2022,✘,배민교,전채라,␣,␣,✔,✔,825-45-23920,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0018.jpg,␣,2,␣,␣,␣,9056332904,9C1CCC004,MYEONG GYOLIM,␣,18,␣,2017,✔,␣,␣,10,671-39-32808,✘,✔,␣,H5SMRBR,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/D0019.jpg,061-6066-1611,11,강세벽,15,2028,1469056582,9C1CCC004,␣,기덕쿵,19,KB증권,2029,✘,라라이,␣,9,␣,✘,✘,788-13-76923,HGZ61Y2,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/E0000.jpg,␣,7,도희돈,␣,2003,9755513958,9C1CCC004,␣,아주,22,␣,2015,✔,손채련,사하양,␣,165-60-81161,✘,✔,073-55-90893,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/E0001.jpg,02-531-8427,4,석지황,21,2008,1391157626,9C1CCC004,␣,맡아보던,11,우신산업,2025,✘,␣,임한울,2,236-83-93725,✔,✔,␣,A3D7ZIQ,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/E0002.jpg,031-3425-0871,12,선우주평,13,2008,1893655180,9C1CCC004,JWA NA-OMI,어근.,␣,단성사,␣,✔,옥차은,강명이,␣,␣,✘,✘,630-39-81123,AOLL68L,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/F0000.jpg,032-8181-9480,10,천가담,␣,2005,1782156017,9C1CCC004,SEON HYEONGGWAN,입장에서,␣,아프리카TV,␣,✘,␣,예민유,9,497-51-04345,✔,✘,361-68-76226,AL7XHCB,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/112/F0001.jpg,031-3032-9454,4,고형율,␣,2016,9986824069,9C1CCC004,JWA HWAJU,␣,␣,␣,2014,✘,␣,명호리,␣,025-63-42405,✘,✔,␣,ADY7MWG,✘
