image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,101,083,076,049,081,020,029,064,028,011,072,077,003,025,001,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,084,034,053,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0010.jpg,✔,✔,␣,✘,✘,␣,✘,✘,✘,배도연,1224185792,✔,경기도 남양주시 와부읍 수레로369번길 10 (월문리),✘,✘,전라남도 곡성군 목사동면 구룡길 14 (구룡리),✘,␣,␣,✘,✔,✘,✔,␣,✔,✘,✘,✔,✔,␣,✘,063-4539-2671,2017,✘,␣,✘,감미경,947665-75-664446,홍콩,fantasymail.com,␣,어근.,✘,✔,1937.03.15,␣,010-8156-1485,UZ80C31,✘,EUN SANGMI,끌어,ABOL02,ON JUNHOE,␣,✘,✘,케이뱅크,␣,몬테네그로,gcwqvws_lz,✘,선임,✘,✔,␣,␣,✔,jyke7l7g6,cantab.net,✘,✔,은해조,␣,✘,여자,✘,✘,✘,␣,✘,✘,크기.,✘,✔,791-17163126-71,본인,␣,1603846280,편결우,옆구리에,국민은행,␣,3,␣,062-9401-8531,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0011.jpg,✔,✘,기타 나무제품 제조업,✔,✘,YUN YONGJA,✘,✔,✘,감영체,1182830842,✘,전북특별자치도 남원시 대산면 풍촌리 324-1,✘,✘,충청북도 증평군 도안면 행갈길 137-12 (노암리),✔,장이엔,062-1413-2481,✘,✘,✘,✘,"만든,",✔,✔,✘,✘,✘,1938.12.16,✔,␣,2026,✘,578-42-24563,✔,␣,␣,아프가니스탄,␣,경기도 이천시 장호원읍 장터로 37-20 (장호원리),바닷물의,✘,✘,␣,장호세,010-7229-9526,UGCWCJC,✘,␣,␣,ABOL02,␣,용올리비아앤,✘,✘,␣,␣,튀르키예,yq6.2pm0,✘,부장,✔,✔,d6wo7vhn,3,✘,␣,earthlink.net,✔,✘,편미나김,company.co.kr,✔,␣,✘,✘,✔,2045년 1월 22일,✘,✘,통한다는,✘,✔,781074-56-373722,모,2048-05-15,9941786355,길광자,현상을,␣,␣,9,␣,061-1049-2787,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0012.jpg,✔,✘,␣,✘,✘,␣,✔,✘,✔,␣,9447097450,✔,␣,✔,✘,충청북도 진천군 진천읍 송두리 217-1,✔,주요림,051-3347-3538,✘,✘,✔,✘,국민영토주권,✔,✘,✔,✘,✘,␣,✔,063-2420-1675,2014,✔,490-14-63093,✘,피한송이,␣,네팔,ewha.ac.kr,경상북도 칠곡군 북삼읍 금오대로 225 (인평리),형착,✘,✔,1997.3.22,␣,010-7954-4923,UUE9T2R,✔,GAM JINSU,갈고리가,ABOL02,YE BOJEONG,␣,✔,✔,중국은행,17,␣,ez20_s_,✘,␣,✔,✘,jnslzyv0sf,26,✘,yk5aaf2,hushmail.com,✔,✔,␣,␣,✘,남자,✘,✘,✘,2022-10-05,✘,✘,많은,✘,✔,102-67463302-93,본인,1960.10.13,1383364619,␣,하다.,␣,가르치는,11,344-14-47756,053-4752-2370,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0013.jpg,✘,✔,박물관 및 사적지 관리 운영업,✘,✘,BONG JIBO,✔,✔,✔,시해빛나,9869852994,✘,␣,✔,✘,경기도 양주시 남면 화합로610번길 135 (상수리),✔,금해밀,052-1949-5629,✘,✘,✔,✘,한가할,✔,✘,✔,✘,✘,1983.01.08,✘,062-9274-2481,2010,✔,423-83-77412,✘,␣,␣,에콰도르,␣,␣,꽃은,✘,✘,1909/6/1,␣,010-8523-8363,UK77PS3,✘,DO GYEOMBIN,␣,ABOL02,SIN SU-O,당환석,✘,✘,␣,␣,인도,v42nl0gu,✘,인턴,✔,✘,␣,1,✘,␣,␣,✘,✔,왕디아,␣,✔,남자,✘,✔,✔,2001년 2월 13일,✔,✘,␣,✔,✔,␣,손녀,1951.3.24,1279406327,양주복,␣,␣,␣,11,778-10-24204,031-676-6283,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0014.jpg,✘,✔,그 외 기타 비금속광물 광업,✘,✘,SON DA-U,✔,✘,✔,␣,1867218173,✘,충청남도 논산시 부적면 덕평3길 96-32 (덕평리),✘,✘,␣,✘,위강문,055-5404-9744,✔,✘,✘,✘,␣,✘,✘,✘,✘,✘,2034.10.28,✘,␣,␣,✔,882-76-81231,✘,손유로,122-649597-373,␣,bell.net,␣,헤아려서,✘,✘,1928.04.19,하휘섭,␣,U6ZCR6V,✘,YE TAELAM,␣,ABOL02,␣,방마이클,✔,✔,미쓰비시UFJ은행,18,스리랑카,dqsl2a1z,✘,␣,✘,✘,␣,9,✘,erm12e9l.y0,mail.jason.pe.kr,✘,✘,␣,kth.se,✔,여자,✘,✘,✘,2039/12/14,✘,✘,␣,✘,✘,649-912766-551,부,1976.10.07,1671824119,방명채,␣,␣,␣,11,␣,062-8447-6866,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/C0015.jpg,✘,✘,␣,✘,✘,CHA YUNDAM,✘,✔,✘,구무림,9972046747,✘,서울특별시 광진구 자양동 6-6,✔,✘,"울산광역시 남구 왕생로66번길 14 (달동, 덕성빌딩)",✘,상조야,␣,✔,✔,✘,✔,␣,✘,✔,✔,✘,✘,2039-10-03,✘,041-5421-6180,␣,✔,610-51-51754,✔,␣,997-077592-09014,␣,lsu.edu,␣,선환하여,✘,✘,1907/10/30,제한올,010-2808-4808,UFL65I0,✘,SON JUN,흐르는,ABOL02,HONG INBI,나려희,✘,✔,카카오뱅크,11,␣,li4ym-k,✘,CFO,✘,✘,yy-yuulj,17,✘,mm-out7vy9re,␣,✘,✘,상해심,fau.edu,✔,남자,✘,✘,✘,␣,✘,✘,␣,✘,✘,444-613017-544,조모,1995.02.07,1046353413,류명옥,만든다.,미즈호은행,것에,␣,888-98-76541,042-7124-3718,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0000.jpg,✘,✔,기타 전문 서비스업,✘,✔,GONG GWANJUN,✘,✔,✔,윤록연,1288902059,✘,"전북특별자치도 군산시 삼학1길 21 (삼학동, 동네식당)",✘,✔,␣,✘,부빌립,␣,✘,✘,✘,✔,구분한,✘,✔,✘,✘,✘,1998.01.11,✘,␣,2000,✘,205-76-19271,✘,주지환,940-79185138-42,필리핀,chungnam.ac.kr,경상남도 고성군 거류면 신용2길 54-2 (신용리),말을,✘,✔,1942년 3월 26일,탁본화,␣,UXGS4SX,✘,SEONG DALLIM,␣,ABOL02,EUN HYEONGSEO,문아니카,✘,✔,중소기업은행,1,베네수엘라,tf3v7ol98,✘,부사장,✘,✘,␣,␣,✘,gyx1x6w,␣,✘,✘,민강범,chungbuk.ac.kr,✘,남자,✘,✔,✘,␣,✘,✘,선비들이,✘,✘,194-593572-69,자녀,1959.05.29,9683897439,제갈바하,말라서,DBS은행,␣,8,␣,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0001.jpg,✘,✘,그 외 기타 금융업,✔,✔,␣,✘,✘,✘,진원용,9162944025,✔,"대구광역시 달성군 논공읍 삼리3길 112 (삼리리, 배수장)",✘,✔,부산광역시 부산진구 만리산로100번길 10 (범천동),✘,␣,042-5348-8981,✘,✘,✘,✔,없이,✔,✘,✔,✔,✔,␣,✔,032-3392-9292,␣,✘,␣,✔,신다호,4506-28-958969,우크라이나,myway.com,␣,"사직,",✘,✘,␣,␣,010-2952-8514,␣,✔,EUM JIMU,어룩어룩,ABOL02,SEON GEUMSONG,반연나,✘,✔,중국공상은행,20,쿠바,svdjnfb38,✘,상무,✘,✘,c9k.q24x_o,12,✘,vak-8ccbw_g5z,forty4.com,✘,✔,오무곤,docomo.ne.jp,✘,␣,✘,✘,✘,2000-03-18,✘,✔,␣,✘,✘,842-583446-345,배우자,1910.08.12,␣,␣,␣,신한은행,␣,␣,679-58-66950,041-7268-6629,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0002.jpg,✔,✔,건설 폐기물 처리업,✔,✔,SON SEOJAE,✔,✘,✘,이은사,␣,✔,경기도 이천시 부발읍 고백리 210-3,✔,✘,경기도 남양주시 화도읍 금남리 682-1,✘,손근해,␣,✘,✘,✘,✔,등의,✔,✘,✘,✘,✔,2032년 8월 20일,✔,052-9475-7985,2003,✘,778-65-13662,✔,지완재,260-338940-42894,마카오,ethz.ch,경상남도 김해시 외동 1187-12,찾는,✘,✘,␣,우하우,010-7967-9516,␣,✔,HEO DO-YONG,␣,ABOL02,SEO SEOG-WON,조태동,✘,✔,소시에테제네랄,6,멕시코,x1b_u3lhl,✔,사장,✔,✔,xx-aeyzwa6,30,✔,c-4p3iw26x,luther.edu,✔,✘,류리애나,dmail.com,✘,␣,✔,✘,✔,␣,✘,✔,때,✘,✘,153-484651-404,손자,␣,9731937051,최기루,근대적,␣,장만했습니다,␣,271-00-38893,062-8905-8639,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0003.jpg,✘,✘,␣,✘,✔,␣,✔,✘,✘,␣,9637363141,✔,경상남도 함안군 칠서면 회산리 271-5,✘,✘,전라남도 완도군 보길면 정자리 237-2,✘,서송의,053-1727-1720,✘,✔,✘,✘,␣,✔,✔,✘,✘,✔,␣,✘,063-0955-8452,2020,✘,778-01-08907,✘,안려안,␣,몽골,␣,경상북도 경주시 외동읍 활성리 476,␣,✘,✘,1945년 4월 16일,금윤림,010-6981-3941,UP6HJDZ,✔,JO HYEONGTAG,붙여,ABOL02,␣,반마오,✔,✘,하나은행,␣,엘살바도르,y9lt0msvj,✘,CEO,✘,✔,␣,21,✘,␣,nju.edu.cn,✘,✘,반지창,␣,✘,남자,✘,✘,✘,1972-04-16,✘,✘,␣,✔,✘,␣,␣,␣,␣,나건현,잡아당기는,카카오뱅크,비용.,2,970-57-38275,062-9342-8251,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0004.jpg,✘,✘,영화 및 비디오물 상영업,✘,✔,SEO MUNSINJEONG,✘,✘,✘,감석한,9698169712,✘,경기도 고양시 덕양구 토당동 900-1,✘,✔,␣,✘,송문종,␣,✘,✔,✘,✔,어구의,✘,✘,✘,✘,✘,1907.10.05,✔,043-5775-8118,2020,✘,␣,✔,노시엔,␣,파나마,␣,전라남도 광양시 광양읍 우산리 849,중생을,✘,✘,1901/10/22,␣,␣,UWPX9MP,✘,BIN JUNHWI,␣,ABOL02,SI JONGHYEOG,신영돈,✔,✘,중국은행,18,부탄,mga.x9.z,✘,CEO,✘,✘,lqq8.dpvwa,22,✔,n8_smpxc-bo6,gawab.com,✔,✘,용어스틴,␣,✘,여자,✔,✘,✔,␣,✘,✔,것을,✔,✘,287-242165-483,형제,␣,1115382577,␣,유해무익,모건스탠리,칠림,3,␣,041-8925-1238,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0005.jpg,✘,✔,전문가 단체,✘,✘,GWON NAEHYEON,✔,✘,✘,우모든,1265816713,✘,경상북도 봉화군 상운면 구천리 728,✘,✘,"경상남도 창원시 마산합포구 진동면 동촌길 185 (진동리, 마산신화하니엘더마린)",✘,␣,061-8918-0484,✘,✘,✔,✔,␣,✘,✔,✘,✔,✔,1978-03-20,✘,041-3069-2386,␣,✘,893-02-55788,✔,임모아나,298-01296516-84,니카라과,hinet.net,"인천광역시 남동구 호구포로535번길 51 (남촌동, 동아빌라)",␣,✔,✘,2024-07-22,선이한,010-8750-2449,UAVVCAU,✘,␣,달.,ABOL02,HA LISO,지희동,✔,✔,ANZ은행,7,␣,␣,✔,␣,✘,✔,he8q3_v-,␣,✘,f4-sfoy2,muni.cz,✘,✘,연늘예솔,kaist.ac.kr,✔,␣,✘,✘,✔,␣,✘,✔,분포하는데,✘,✔,861-61457949-38,친척,1930.9.19,9179496358,봉린희,␣,도이체방크,누출됨으로써,␣,␣,052-3957-4556,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0006.jpg,✘,✘,일반은행,✘,✔,HEO HAESEUL,✘,✔,✔,␣,␣,✘,전북특별자치도 장수군 계남면 화음리 980-1,✘,✘,경상남도 창녕군 남지읍 남지리 995-6,✔,추성훈,053-7500-1591,✔,✘,✔,✘,␣,✔,✔,✘,✘,✔,2045/11/28,✘,␣,2027,✘,␣,✘,도태정,␣,오스트리아,bellsouth.net,경상남도 남해군 남해읍 평리 1128-2,의료,✘,✘,2040.10.19,사공수재,␣,␣,✘,PI DAMHA,아니하여,ABOL02,␣,우형구,✘,✔,미즈호은행,20,␣,y_vzzpn-pud,✔,선임,✔,✘,␣,15,✔,ew.1cnw4-m,hanyang.ac.kr,✔,✔,음한열,␣,✘,␣,✔,✘,✘,2050-01-07,✘,✔,노령산맥,✘,✘,008-461044-93,본인,1931년 11월 23일,9087827951,␣,내각.,신한은행,혹같이,8,281-44-38037,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0007.jpg,✔,✘,작물재배 및 축산 복합농업,✔,✘,MA HONGJUN,✘,✘,✘,␣,1545328877,✘,서울특별시 서초구 반포동 93-5 (서래),✘,✘,부산광역시 부산진구 백양순환로116번길 13 (부암동),✔,␣,02-229-1338,✘,✘,✘,✘,기림왕이,✘,✘,✘,✘,✘,␣,✔,02-876-9436,2011,✘,942-02-81063,✔,정꿈,7074-32-927955,스웨덴,bell.net,경상북도 칠곡군 기산면 주산로 1228 (죽전리),하여,✘,✘,␣,손다흠,010-9176-5774,UC7OOSE,✘,␣,받는,ABOL02,SI AELLISEUN,견영향,✔,✔,␣,␣,␣,z86tt_w.4h,✘,␣,✘,✘,␣,␣,✘,aqvzk5bfsq8x,␣,✔,✘,␣,␣,✘,여자,✘,✘,✘,1912년 6월 22일,✘,✔,"기생충학,",✘,✔,501-008645-40564,␣,␣,9986929242,␣,지옥에,부산은행,쫙쫙,4,490-21-18893,064-8537-8742,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/D0008.jpg,✘,✘,기타 건축 마무리 공사업,✔,✘,␣,✘,✔,✔,␣,1242927712,✘,␣,✘,✘,전라남도 화순군 사평면 사평길 19 (사평리),✔,상탄우,032-6875-1882,✔,✔,✘,✘,␣,✘,✔,✘,✘,✘,2049년 11월 23일,✔,␣,␣,✘,␣,✘,하대지,340-369161-845,␣,nctu.edu.tw,전북특별자치도 고창군 부안면 중흥리 204 (오산교회),자는,✔,✘,␣,은강리,␣,UKYXCIP,✔,MYEONG SEONGHEUM,␣,ABOL02,GYEONG DABINA,␣,✘,✘,␣,␣,␣,mlmhlo1l,✘,사장,✘,✘,q1_-a.ej1uel,17,✘,bo4.zihk4xy84,javeriana.edu.co,✔,✘,전수헌,okc.edu,✘,여자,✘,✘,✘,2041년 2월 7일,✘,✘,갈라,✘,✔,864-675-805565,조부,␣,9890077194,전화련,␣,미쓰비시UFJ은행,왕초들은,2,604-18-98148,031-8595-5429,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/E0000.jpg,✘,✘,전분제품 및 당류 제조업,✔,✔,I HYEONLYEONG,✘,✔,✘,␣,␣,✘,␣,✔,✘,충청북도 단양군 매포읍 응실2길 27 (응실리),✘,옥재호,␣,✘,✘,✔,✔,성분을,✘,✘,✘,✘,✘,␣,✘,052-7447-4464,2001,✔,574-94-70874,✘,송낙현,876-829583-787,␣,␣,대전광역시 중구 부사동 415-3,␣,✔,✘,1952/7/11,호지사,010-9110-4719,LTKRNHG,✘,␣,제거하는,ABOL02,␣,두에밀리,✘,✘,␣,␣,중국,␣,✘,␣,✔,✘,␣,␣,✘,adbizuddne,ole.com,✘,✔,복건국,␣,✔,␣,✔,✔,✘,1935.04.24,✘,✘,␣,✘,✘,␣,아들,2011년 10월 21일,␣,유윤열,이른다.,중국은행,한,␣,795-82-29071,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/293/E0001.jpg,✔,✘,국제 및 외국기관,✘,✔,CHU GEONHYO,✔,✘,✔,길솔규,␣,✘,충청남도 홍성군 결성면 읍내리 607-3,✘,✘,경기도 김포시 양촌읍 대명항로 57 (구래리),✘,음에단,02-836-4907,✔,✔,✘,✔,만드는,✘,✘,✘,✘,✘,␣,✘,062-4639-9400,␣,✘,158-38-39258,✔,␣,601-82197335-27,␣,jourrapide.com,경기도 하남시 감일로 23 (감일동),있다.,✘,✘,␣,손온아,010-8381-7382,LFF5GAE,✘,GWAG SIN-YU,끽차하다,ABOL02,␣,서보언,✘,✘,부산은행,26,아프가니스탄,ubkjlcs99zwb,✘,부문장,✘,✘,␣,␣,✘,se.j.ru11aws,␣,✘,✘,맹정덕,␣,✔,여자,✘,✘,✘,␣,✔,✘,강조하여,✘,✘,797-510760-12914,부,␣,9166090899,박로시,찾으며,␣,물건이,3,␣,␣,✔,✘
