image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,025,001,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0010.jpg,✘,✔,"16,790,000",✘,✘,561주 7438,✘,✘,✘,7,✔,✔,면도하다,✘,✘,✘,✘,✔,✔,✘,✘,3992만원,42530000,✘,✘,✘,✔,✔,✘,✘,거세하던,✘,␣,✘,✘,11,✘,✘,✘,✘,법의,✘,✘,✔,✔,✔,✘,✔,✔,␣,✘,전북특별자치도 진안군 용담면 송풍리 814-1,✔,✘,37세,✘,✘,✘,✘,"2,160,000",␣,✘,✔,"1,730,000",1092135818,✘,␣,12,✘,✘,✔,✔,✘,✘,✘,7,✘,✘,✘,✔,∅,IDH1ZCR,␣,␣,✘,✘,✔,26,␣,6,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/C0011.jpg,✘,✘,"2,670,000",✘,✘,93서 5741,✘,✔,✘,␣,✘,✘,범범,✘,✘,✘,✔,✘,✔,✘,✘,3505만원,14530000,✘,✔,✘,✘,✘,✘,✔,말굴레02,✘,␣,✔,✘,␣,✔,✘,✘,✔,태어나고,✘,✘,✔,✔,✘,✘,✘,✔,1460만원,✔,전북특별자치도 임실군 오수면 오수리 324-21 (신흥상회),✘,✘,␣,✘,✘,✔,✔,␣,031-5136-7229,✘,✘,7930000,1832257567,✘,소제휘,13,✘,✘,✔,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,IV7STHC,"96,770,000",팰리세이드 파일럿,✘,✘,✘,14,3,9,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0000.jpg,✘,✘,"55,230,000",✘,✘,␣,✔,✘,✘,␣,✔,✔,이르는,✘,✔,✘,✘,✘,✔,✘,✘,␣,8610000,✘,✘,✔,✘,✘,✔,✔,계산하는,✘,사는데,✘,✘,␣,✘,✔,✘,✔,따위를,✘,✘,✘,✘,✘,✘,✘,✔,␣,✔,부산광역시 동래구 온천동 1435-11,✘,✘,57세,✘,✘,✘,✘,␣,043-9429-6019,✔,✘,"2,250,000",␣,✘,␣,␣,✔,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,ZL2QEI2,␣,␣,✘,✘,✔,␣,␣,4,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0001.jpg,✘,✘,"82,230,000",✔,✘,␣,✘,✘,✔,9,✘,✘,␣,✘,✘,✔,✔,✔,✘,✘,✘,␣,77250000,✘,✘,✘,✔,✔,✘,✘,␣,✘,␣,✘,✘,21,✘,✔,✘,✔,한껏,✔,✘,✘,✘,✘,✘,✘,✘,3804만원,✘,광주광역시 북구 중흥동 687-3,✘,✘,41세,✘,✘,✘,✔,"4,750,000",␣,✘,✘,"91,920,000",1349365043,✘,유도검,␣,✘,✘,✘,✘,✘,✔,✔,7,✘,✘,✘,✘,∅,Z50Y559,␣,␣,✔,✔,✘,29,␣,5,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0002.jpg,✘,✘,␣,✘,✘,796무 7078,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,✘,✘,✘,␣,"9,470,000",✔,✘,✘,✘,✘,✘,✔,하느냐고,✘,일정한,✘,✘,␣,✘,✔,✔,✘,해면같이,✔,✘,✘,✘,✔,✔,✘,✘,4737만원,✘,␣,✘,✘,57세,✘,✔,✔,✘,␣,02-562-1026,✘,✔,"7,560,000",␣,✘,승회미,14,✘,✔,✘,✘,✘,✘,✘,1,✔,✘,✘,✔,∅,ZTGXNQQ,␣,QM5 코롤라,✔,✔,✘,␣,2,␣,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0003.jpg,✘,✘,"3,290,000",✘,✘,␣,✔,✔,✔,␣,✘,✔,하는,✘,✘,✔,✘,✘,✔,✘,✔,4982만원,"24,430,000",✔,✘,✘,✔,✔,✘,✔,왼쪽,✔,␣,✘,✘,25,✘,✘,✘,✘,취예,✘,✔,✘,✔,✘,✘,✔,✔,␣,✘,전북특별자치도 임실군 관촌면 관마로 368-13 (방수리),✔,✘,45세,✘,✘,✔,✔,␣,051-9842-7237,✘,✘,␣,1840053199,✔,신수정,␣,✘,✘,✔,✔,✔,✘,✘,8,✔,✘,✘,✘,∅,ZDDGNQN,35590000,스파크 타호,✔,✔,✔,9,␣,␣,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0004.jpg,✘,✘,␣,✘,✘,393주 6868,✘,✘,✔,3,✘,✔,잠을,✘,✔,✔,✘,✔,✔,✘,✘,1967만원,7350000,✔,✘,✘,✘,✘,✘,✔,수캐라고,✘,␣,✘,✔,34,✘,✘,✘,✔,헤매고,✘,✘,✘,✔,✘,✘,✔,✘,2580만원,✘,부산광역시 부산진구 범전동 32-24,✘,✔,27세,✘,✘,✘,✘,"1,910,000",041-7570-2615,✔,✘,"66,910,000",1345103728,✘,인론,23,✘,✔,✘,✔,✘,✘,✘,9,✔,✘,✘,✘,∅,Z28086P,␣,␣,✘,✘,✘,22,4,19,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0005.jpg,✘,✔,"83,150,000",✘,✔,␣,✘,✘,✘,4,✘,✘,공급을,✘,✘,✘,✘,✘,✘,✘,✔,2699만원,␣,✘,✘,✘,✔,✔,✘,✔,여자.,✘,␣,✘,✔,␣,✘,✘,✘,✘,히,✘,✘,✘,✔,✘,✘,✘,✘,4032만원,✘,전라남도 영암군 시종면 입석길 53 (태간리),✘,✘,␣,✔,✘,✘,✔,␣,033-5860-0417,✔,✔,53250000,9065398833,✘,␣,␣,✘,✘,✘,✘,✔,✔,✘,␣,✘,✘,✘,✘,∅,␣,␣,␣,✔,✘,✘,9,7,␣,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0006.jpg,✘,✘,"77,740,000",✘,✔,␣,✘,✔,✔,10,✘,✘,앉아,✘,✔,✔,✘,✘,✘,✘,✔,4455만원,␣,✔,✘,✘,✘,✘,✘,✔,오조01,✘,또는 일정한,✘,✘,32,✘,✔,✘,✘,꽂았던,✔,✘,✘,✔,✘,✔,✘,✘,␣,✔,강원특별자치도 속초시 교동 780-139,✘,✔,29세,✘,✘,✘,✘,␣,02-261-8988,✔,✔,"95,510,000",1224831975,✔,빈휘재,␣,✘,✘,✘,✘,✔,✔,✘,8,✘,✔,✘,✔,∅,ZJ2K4SH,6340000,QM6 E 클래스,✔,✘,✘,26,␣,14,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/D0007.jpg,✘,✘,"92,820,000",✔,✔,␣,✘,✘,✘,4,✘,✘,현재,✘,✘,✘,✘,✘,✘,✔,✔,␣,"83,190,000",✘,✘,✘,✘,✘,✘,✔,␣,✔,웃어른에게,✘,✘,␣,✘,✘,✘,✘,멋.,✘,✘,✘,✘,✘,✔,✘,✘,1792만원,✘,부산광역시 부산진구 부암동 31-29,✔,✔,57세,✘,✘,✔,✔,"65,970,000",054-5304-8422,✔,✘,␣,1849673054,✔,복세결,4,✘,✔,✘,✘,✔,✔,✘,9,✘,✘,✔,✔,∅,Z3BT51J,"6,930,000",7 시리즈 X7,✔,✘,✘,␣,8,5,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/E0000.jpg,✘,✘,"46,570,000",✘,✔,109무 7929,✘,✔,✔,5,✘,✔,빚.,✘,✘,✘,✘,✔,✘,✔,✘,1961만원,␣,✘,✘,✘,✔,✘,✘,✘,천축으로,✘,잘못을 저지른,✘,✔,35,✘,✘,✘,✘,으뜸인,✔,✘,✘,✔,✘,✔,✘,✘,␣,✘,␣,✔,✘,56세,✘,✘,✘,✔,␣,␣,✔,✘,␣,1152244491,✘,시아유,11,✘,✘,✘,✘,✘,✔,✘,1,✘,✔,✘,✘,∅,ZS5SSVX,␣,캠리 A8,✘,✘,✘,8,7,6,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/E0001.jpg,✔,✘,␣,✔,✘,␣,✘,✘,✘,3,✘,✔,␣,✔,✘,✘,✘,✔,✘,✔,✔,4727만원,␣,✘,✔,✘,✘,✘,✘,✔,␣,✘,발송인의,✘,✘,18,✔,✘,✘,✔,움직이다.,✘,✔,✘,✘,✘,✘,✘,✘,2405만원,✘,인천광역시 강화군 교동면 교동북2길228번길 5 (무학리),✘,✔,47세,✘,✘,✘,✔,"1,240,000",054-6899-3080,✘,✘,"85,240,000",1091062031,✘,마예유,22,✘,✘,✔,✘,✔,✘,✘,8,✘,✔,✘,✘,∅,Z2UAKC9,␣,␣,✘,✔,✘,15,5,16,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/505/E0002.jpg,✘,✔,␣,✔,✘,65라 5236,✔,✔,✘,4,✔,✘,당시의,✘,✔,✔,✘,✘,✔,✘,✘,2112만원,"2,540,000",✔,✘,✘,✔,✘,✔,✘,광선을,✘,믿고,✘,✘,36,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,79세,✘,✘,✔,✔,␣,053-7871-0331,✘,✘,"42,240,000",9587966509,✘,명하언,28,✔,✘,✔,✘,✔,✘,✘,1,✔,✘,✔,✘,∅,ZJ4YR7A,"24,730,000",RAV4 G80,✘,✘,✘,17,2,10,✘,✘,✘
