image_path,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0010.jpg,✔,✔,✘,1,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,고현우,✔,␣,✔,✔,10,2025,✘,✘,✘,✔,✘,✔,1980,✘,␣,6,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0011.jpg,✘,✔,✘,16,␣,✔,∅,1,✘,✘,✔,␣,✘,✘,문수현,✔,␣,✘,✔,8,2025,✘,✘,✔,✘,✘,✔,1980,✘,␣,6,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0012.jpg,✘,✘,✔,3,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,이민준,✔,␣,✘,✔,15,2025,✘,✘,✘,✘,✘,✔,1980,✘,␣,7,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0013.jpg,✔,✔,✘,19,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,김지우,✔,␣,✔,✔,25,2025,✔,✘,✘,✔,✘,✔,1980,✘,␣,7,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0014.jpg,✘,✔,✘,7,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,박서준,✔,␣,✘,✔,12,2025,✘,✘,✔,✘,✘,✔,1980,✘,␣,8,✔,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0015.jpg,✘,✘,✘,3,␣,✔,∅,3,✔,✔,✘,␣,✔,✘,최수현,✔,␣,✘,✔,22,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,3,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0016.jpg,✔,✔,✔,21,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,정민지,✔,␣,✔,✔,12,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,3,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0017.jpg,✘,✔,✘,7,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,윤지훈,✔,␣,✘,✔,18,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,4,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0018.jpg,✘,✘,✘,23,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,송민서,✔,␣,✘,✔,3,2025,✔,✘,✘,✘,✔,✔,1984,✘,␣,4,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0019.jpg,✔,✔,✘,13,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,배예나,✔,␣,✔,✔,20,2025,✔,✘,✘,✔,✘,✔,1984,✘,␣,05,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0020.jpg,✘,✔,✘,29,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,권준서,✔,␣,✘,✔,12,2025,✘,✘,✔,✘,✘,✔,1984,✘,␣,05,✔,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0021.jpg,✘,✘,✘,10,␣,✔,∅,3,✔,✔,✘,␣,✔,✘,조서준,✔,␣,✘,✔,10,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,6,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0022.jpg,✔,✔,✔,26,␣,✘,∅,02,✘,✘,✘,␣,✘,✘,김도현,✔,␣,✔,✔,22,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,6,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0023.jpg,✘,✔,✘,16,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,최지혜,✔,␣,✘,✔,15,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,07,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0024.jpg,✘,✘,✘,01,␣,✘,∅,03,✔,✔,✘,␣,✔,✘,정지훈,✔,␣,✘,✔,05,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,08,✔,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0025.jpg,✔,✔,✘,17,␣,✔,∅,02,✘,✘,✘,␣,✘,✘,윤서현,✔,␣,✔,✔,18,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,08,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0026.jpg,✘,✔,✔,02,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,장예진,✔,␣,✘,✔,28,2025,✘,✘,✔,✘,✘,✔,1984,✘,␣,09,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0027.jpg,✘,✘,✘,18,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,송민지,✔,␣,✘,✔,12,2025,✔,✘,✘,✘,✔,✔,1984,✘,␣,9,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0028.jpg,✔,✔,✘,4,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,배수아,✔,␣,✔,✔,8,2025,✔,✘,✘,✔,✘,✔,1984,✘,␣,10,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/A0029.jpg,✘,✔,✘,20,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,권지우,✔,␣,✘,✔,20,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,10,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0000.jpg,✘,✘,✘,8,1189201208,✘,∅,␣,✘,✘,✘,␣,✘,✘,␣,✘,ZHQ3IE3,✘,✘,13,␣,✘,✘,✘,✘,✔,✘,2028,✘,안,8,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0001.jpg,✘,✘,✘,6,␣,✘,∅,␣,✘,✘,✘,␣,✘,✘,␣,✘,ZAJL5UN,✘,✘,13,␣,✘,✘,✘,✘,✘,✘,2025,✘,밤송이로,4,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0002.jpg,✔,✔,✘,␣,1797840328,✘,∅,1,✘,✔,✘,세미05,✘,✘,␣,✘,ZNTSY4G,✔,✘,␣,␣,✘,✘,✘,✘,✘,✔,2039,✘,현세02,7,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0003.jpg,✔,✘,✘,16,9982732092,✘,∅,8,✔,✘,✔,태장과,✘,✘,장유승,✘,ZGEHG27,✘,✘,␣,␣,✘,✔,✔,✘,✘,✘,2035,✘,도리.,11,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0004.jpg,✘,✘,✘,18,␣,✔,∅,11,✔,✔,✘,아무리,✔,✘,임명운,✘,Z2O8B5D,✘,✔,␣,2005,✘,✔,✘,✘,✘,✔,2005,✘,kiwi,␣,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0005.jpg,✘,✘,✘,3,1073185263,✘,∅,7,✘,✘,✔,하는,✔,✘,표레이첼사랑,✔,␣,✘,✘,5,␣,✘,✔,✘,✘,✔,✔,2030,✘,못할,␣,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0006.jpg,✘,✘,✔,26,9292308738,✔,∅,9,✔,✘,✔,때까지,✔,✘,목예재,✘,␣,✔,✘,31,2010,✔,✔,✘,✘,✘,✔,2040,✘,드리다.,5,✘,✔,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/D0007.jpg,✘,✔,✘,29,1558891078,✔,∅,6,✘,✘,✔,날카롭게,✘,✔,맹솔준,✔,ZX8G1TV,✘,✔,␣,2007,✔,✘,✔,✔,✔,✘,2007,✘,␣,␣,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/E0000.jpg,✔,✘,✘,␣,1507408603,✔,∅,␣,✘,✘,✘,말.,✘,✔,현솔진,✘,ULLVNQ3,✘,✘,␣,2006,✘,✘,✘,✔,✔,✘,2003,✘,␣,11,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/E0001.jpg,✔,✔,✔,␣,9972111800,✘,∅,10,✘,✔,✘,별을,✘,✘,오균민,✘,U8CAXYK,✘,✘,18,2007,✘,✔,✘,✘,✘,✘,2010,✔,␣,2,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/181/E0002.jpg,✘,✔,✔,␣,1182326097,✘,∅,2,✘,✘,✘,␣,✔,✔,구혜광,✔,UAPDPYJ,✔,✘,␣,␣,✘,✘,✘,✘,✘,✔,2003,✘,공적.,8,✘,✔,✔,✔
