image_path,017,051,002,041,056,050,036,043,008,052,016,013,026,055,006,023,038,039,042,009,045,044,035,057,049,053,054,028,046,011,005,000,007,001,047,048,004,012,027,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0010.jpg,✘,복사지를,␣,✘,1086953556,탯거리도,8330000,28,DBS은행,V8USY6U9,✘,6,13370000,∅,✘,"6,660,000",✘,✘,✔,팽야라,28,␣,45.3,TEK3F5B,␣,왕규웅,✔,35,소제한,␣,경기도 남양주시 강변북로632번길 9 (수석동),경한열,✘,1972년 6월 12일,✔,␣,"철물, 공구, 창호 및 건설자재 소매업",␣,50.5,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0011.jpg,✔,덮은,055-3427-1596,✔,1268412432,고체화되다,"1,180,000",28,␣,4NEC3RRG,✔,30,␣,∅,✘,"78,210,000",✔,✔,✘,차미카엘,␣,␣,92.2,TG5MDAG,2030.08.13,장수흔,✔,␣,도성권,196-240394-034,서울특별시 중구 다산로42다길 62 (신당동),전천애,✘,1950년 12월 25일,✔,␣,건축 및 조경 설계 서비스업,8,89.5,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/C0012.jpg,✘,␣,␣,✘,9344580899,옆구리가,"81,630,000",20,카카오뱅크,1RSFD7T0,✘,14,"3,640,000",∅,✔,"77,660,000",✔,✔,✘,간시열,27,␣,␣,TKOIV4R,1978-11-27,육태륜,✘,27,유성봉,988-058-855874,대구광역시 달서구 신당동 1660-1,피영대,✘,␣,✘,섬들이,그 외 기타 교육기관,␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0000.jpg,✘,이르는,044-2412-2003,✔,9444981364,자식에,␣,33,SC제일은행,AWB9VQ7P,✔,14,"1,860,000",∅,✘,"19,960,000",✘,✔,✔,전율헌,8,␣,␣,ZBRSHND,␣,빈효,✔,␣,␣,234581-78-970178,서울특별시 동대문구 왕산로41길 20 (청량리동),서찬선,✘,1997.8.23,✘,기온 따위가,␣,12,78.6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0001.jpg,✔,␣,032-7603-6605,✘,␣,버리다.,␣,␣,␣,BYNDTPEI,✘,9,"46,760,000",∅,✘,6280000,✘,✘,✘,변윤빛,6,1,23.8,␣,1925.11.15,␣,✘,10,추혁중,␣,대구광역시 남구 대명동 2559-2,여학수,✘,2041년 8월 16일,✘,동제에,방사선 장치 및 전기식 진단 기기 제조업,1,86.0,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0002.jpg,✘,변화도,␣,✘,1822019938,␣,"26,540,000",11,중소기업은행,␣,✘,2,77850000,∅,✔,"25,720,000",✔,✔,✔,␣,12,11,7.1,Z7TSG2V,1956/7/6,배충일,✘,16,마체희,␣,인천광역시 계양구 병방동 184-9 (원창골드타운),어근도,✘,␣,✘,가릴,코크스 및 연탄 제조업,␣,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0003.jpg,✘,변화도,␣,✘,1864451186,␣,"26,540,000",32,␣,␣,✔,3,␣,∅,✘,␣,✔,✔,✘,␣,12,11,7.1,ZH6RZ5K,1956/7/6,배충일,✘,23,마체희,634-695177-13,충청남도 부여군 부여읍 신동엽길 20-3 (동남리),길향유,✘,1940/3/24,✘,교육에 힘써,␣,␣,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0004.jpg,✔,이른다.,␣,✘,␣,일자인,"29,150,000",18,BNP파리바,JXOO7FNA,✘,24,"48,250,000",∅,✘,"1,530,000",✘,✘,✘,손설효,11,␣,35.0,ZXG5MGV,␣,진진미,✘,1,정미단,204-793-719624,광주광역시 동구 필문대로187번길 19-19 (산수동),민해명,✘,␣,✘,␣,기타 금융 지원 서비스업,4,31.7,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0005.jpg,✘,행하다.,␣,✔,9846170985,말니.,"1,110,000",40,광주은행,␣,✘,9,␣,∅,✘,"7,560,000",✔,✘,✘,가래건,␣,␣,68.0,Z732AJR,1955년 9월 21일,␣,✘,␣,윤교림,␣,경기도 포천시 내촌면 부마로305번길 8 (마명리),␣,✘,1914/5/14,✘,구법04,␣,1,64.6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/D0006.jpg,✘,짓02,063-5506-0843,✘,9695851994,␣,51730000,04,␣,PWVVDA1Y,✘,␣,"2,710,000",∅,✘,"37,360,000",✘,✔,✘,시필준,27,8,17.0,␣,␣,고이규,✔,7,목해,462-107002-51378,경기도 파주시 광탄면 영장리 179-18,소보희,✘,␣,✔,남취하여,1차 금속제품 및 금속광물 도매업,10,62.8,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/E0000.jpg,✔,이탈리아,033-7849-5525,✘,9697127506,단순히,5190000,17,광주은행,␣,✘,22,"83,160,000",∅,✘,"82,210,000",✘,✔,✘,모두호,30,10,95.7,ZO68E93,1940.8.9,경유돈,✘,31,안아란,917-001-279922,전북특별자치도 군산시 회현면 신학당길 36-7 (학당리),␣,✘,␣,✘,영토가,"그 외 기타 전문, 과학 및 기술 서비스업",8,97.6,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/746/E0001.jpg,✘,비슷한,063-2224-9127,✔,9031299912,부처가,66360000,␣,중국공상은행,␣,✘,␣,"57,480,000",∅,✘,92160000,✔,✘,✘,제송찬,␣,␣,91.9,ZV6URGT,1998-12-06,␣,✘,22,␣,716-645121-51,충청북도 보은군 회남면 거교리 127-1,김자언,✘,1978/3/29,✘,산.,그 외 기타 비금속 광물제품 제조업,12,5.5,✘
