image_path,010,017,022,020,036,019,008,011,016,000,025,026,001,027,023,038,018,009,021,024,037
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0010.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,7,서준서,✔,✔,2025,␣,✘,✔,✘,10,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0011.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,31,신지우,✔,✔,2025,␣,✘,✔,✔,12,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0012.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,9,권도윤,✔,✔,2025,␣,✘,✔,✘,1,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0013.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,16,조예진,✔,✔,2025,␣,✘,✔,✘,3,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0014.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,23,문우현,✔,✔,2025,␣,✔,✔,✘,5,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0015.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,5,송수빈,✔,✔,2025,␣,✘,✔,✘,7,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0016.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,19,이지민,✔,✔,2025,␣,✘,✔,✔,09,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0017.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,14,김하늘,✔,✔,2025,␣,✘,✔,✘,11,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0018.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,28,박선우,✔,✔,2025,␣,✘,✔,✘,2,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0019.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,01,최서아,✔,✔,2025,␣,✔,✔,✘,04,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0020.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,17,정현우,✔,✔,2025,␣,✘,✔,✘,6,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0021.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,24,강민지,✔,✔,2025,␣,✘,✔,✔,08,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0022.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,10,윤도윤,✔,✔,2025,␣,✘,✔,✘,10,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0023.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,08,배하늘,✔,✔,2025,␣,✘,✔,✘,12,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0024.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,21,송지훈,✔,✔,2025,␣,✔,✔,✘,01,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0025.jpg,✘,✔,✔,✘,SP10PAA027,✘,✘,✔,✘,✘,30,김도윤,✔,✔,2025,␣,✘,✔,✘,3,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0026.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,10,이수아,✔,✔,2025,␣,✘,✔,✔,5,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0027.jpg,✘,✔,✘,✔,SP10PAA027,✘,✘,✔,✘,✘,26,박시우,✔,✔,2025,␣,✘,✔,✘,7,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0028.jpg,✘,✔,✘,✘,SP10PAA027,✔,✘,✔,✘,✘,06,최수현,✔,✔,2025,␣,✘,✔,✘,09,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/559/A0029.jpg,✘,✔,✘,✘,SP10PAA027,✘,✘,✔,✘,✘,20,정우현,✔,✔,2025,␣,✔,✔,✘,11,␣
