image_path,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0006.jpg,HWMN9HD,␣,1985903956,2003,␣,379-99-83191,민심이,459-094-974821,605-955380-691,2018.4.24,∅,␣,광주제2순환도로주식회사,6,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0007.jpg,␣,중국공상은행,␣,2038,손종인,042-85-59083,사공길훈,237179-59-147821,␣,␣,∅,소시에테제네랄,에어로케이항공,␣,✔,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0008.jpg,␣,한국은행,9276108115,␣,가보건,739-24-64345,␣,␣,389-648790-25,␣,∅,한국산업은행,현대엘리베이터,5,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0009.jpg,HANL6AD,중국교통은행,1806899375,␣,사병하,103-86-43797,모헌호,␣,689-690886-786,␣,∅,중국공상은행,한국수자원공사,3,✘,6
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0010.jpg,H4I5H43,␣,␣,2029,송진웅,292-23-44388,서문우혁,␣,528557-82-564051,␣,∅,중국은행,음악권력,2,✔,25
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0011.jpg,␣,중국은행,9135286101,2018,␣,475-53-70644,황지,636-64388832-44,␣,1927.6.27,∅,모건스탠리,메디톡스,4,✘,30
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0012.jpg,HKSJW23,도이체방크,1666670839,␣,갈덕원,619-19-89590,위안이,513-86595890-89,370-660-705770,␣,∅,␣,한솔아이원스,4,✘,6
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0013.jpg,H09JMYX,␣,1833914074,␣,백홍은,303-21-74697,한직미,585-044836-15,451-79381871-86,2001년 6월 29일,∅,␣,␣,␣,✘,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0014.jpg,␣,␣,␣,2000,␣,248-89-63729,남궁소빈,129-971161-78081,␣,1952.4.22,∅,한국씨티은행,일신방직,5,✘,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0015.jpg,␣,한국수출입은행,␣,2031,하강일,␣,천강연,3543-31-373680,278-60248461-54,1955.01.21,∅,우리은행,오르비스 옵티무스,8,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0016.jpg,HBSC0S7,HSBC,9068295433,2034,공유관,719-18-61122,␣,501-70995911-83,844-751542-74840,1936.11.05,∅,미쓰비시UFJ은행,S2 엔터테인먼트,4,✔,17
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/D0017.jpg,HC30R7D,␣,␣,2005,편례진,␣,␣,␣,666-737443-68,1978.02.25,∅,BNP파리바,심텍,␣,✘,7
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/E0000.jpg,TCP6L05,DBS은행,9869689577,2026,견성문,845-56-54730,피설은,4794-00-202574,268-694062-21,␣,∅,␣,한국전력공사,1,✔,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/E0001.jpg,␣,␣,9647056754,2017,␣,135-54-34868,제갈요셉,␣,␣,1935년 7월 9일,∅,DBS은행,한국마사회,12,✘,27
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/E0002.jpg,␣,광주은행,9669680973,2010,어륜희,784-14-30619,␣,8338-27-291787,591-63849618-84,␣,∅,토스뱅크,동진쎄미켐,10,✔,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/075/E0003.jpg,T0YR10E,␣,1965988399,2025,␣,413-72-69645,제갈정빈,␣,␣,1961-05-26,∅,중국은행,␣,11,✘,␣
