image_path,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0006.jpg,␣,SM6 아베오,␣,✔,348나 7516,␣,38-29-914511-04,␣,9165714336,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0007.jpg,18,␣,␣,✔,␣,염야나,84-02-107850-14,12,␣,ZY1I93P,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0008.jpg,4,␣,␣,✘,␣,어덕순,␣,␣,9212147605,Z1GRWHU,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0009.jpg,␣,Q5 SM5,␣,✔,␣,␣,77-17-678043-89,5,1015613018,␣,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0010.jpg,2,캐스퍼 X1,2038,✔,␣,윤마리사,␣,␣,1835701178,Z80V368,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0011.jpg,␣,iX 크루즈,2039,✔,569무 2775,기홍석,␣,2,9962859753,ZFPXCK3,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0012.jpg,5,어코드 팰리세이드,2040,✘,294구 3916,␣,43-85-279506-43,12,␣,ZZ8ZG2B,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0013.jpg,␣,A8 캐스퍼,␣,✘,␣,␣,81-86-916205-15,10,␣,ZJLY3GK,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0014.jpg,18,7 시리즈 CR-V,␣,✘,324조 1511,␣,␣,3,1422399692,ZZT9HNA,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/D0015.jpg,14,렉스턴 르노,␣,✔,332주 5073,박건동,55-35-760284-33,3,1384638294,ZGGWWWD,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/E0000.jpg,23,넥쏘 벨로스터,2006,✘,89나 1832,간장헌,␣,2,␣,TZY0XZ9,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/E0001.jpg,10,그랜저 Q5,2017,✘,76고 8921,양새영,12-78-187836-66,3,␣,TF87TP8,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/E0002.jpg,2,A8 넥쏘,␣,✔,950다 7524,남도선,71-97-846610-00,␣,9374529934,TADCUTF,∅
/mnt/AI_NAS/Data/현대캐피탈/data/images/284/F0000.jpg,2,랜드크루저 GLC,2027,✘,181도 1807,온엘리사,94-74-787465-62,6,1859324110,␣,∅
