image_path,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0026.jpg,␣,T1B4F2S,␣,12,이수아,(전기차),안초유,24,5,1989.10.05,∅,2025,EV6,안초유,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0027.jpg,␣,T1R8T5D,␣,29,박시우,2497cc,문서라,36,7,1989.10.21,∅,2025,G80,문서라,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0028.jpg,␣,T1A1W3P,␣,05,최수연,(전기차),명우하,48,09,1989.11.07,∅,2025,EV3,명우하,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/A0029.jpg,␣,T1S9C7K,␣,18,정우현,2497cc,차예현,60,11,1989.11.23,∅,2025,GV70,차예현,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/C0000.jpg,SI8493S,7W9OSF,9690166512,30,성예함,␣,서문세비,35,5,2023/11/26,∅,2025,E 클래스 시빅,박민들레,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0000.jpg,IND181T,XNSXKY,1424673797,␣,소평강,␣,염선률,29,7,␣,∅,2001,i30 이쿼녹스,전의신,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0001.jpg,IB6EKO1,3WH6ND,1624285285,29,류소니,8918cc,문규안,7,9,2008년 6월 6일,∅,2034,포르쉐 A4,␣,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0002.jpg,␣,␣,␣,25,␣,9107cc,신감찬,29,10,␣,∅,␣,스파크 말리부,견다해,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0003.jpg,␣,N3GQO9,9735210467,9,모비은,6470cc,사공광윤,29,9,2011년 5월 6일,∅,2020,도요타 베뉴,함권율,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0004.jpg,I4P7WMV,K10XOS,1323111704,7,피수안,7936cc,권형정,␣,10,␣,∅,␣,␣,␣,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0005.jpg,␣,5RYGW8,1100371000,9,윤이샘,␣,채참이,6,␣,␣,∅,␣,X3 캐스퍼,신세상,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0006.jpg,␣,SF3LRL,␣,␣,전유매,␣,최래언,32,11,2030/9/23,∅,2012,GLC Q3,엄재평,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0007.jpg,I9OTUT8,6YESA8,9056695743,9,␣,␣,나천학,18,2,1957년 3월 24일,∅,2037,␣,차나호,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0008.jpg,I1GQWZL,F02YHV,1181604312,␣,설가율,3249cc,상춘희,35,5,1970.3.10,∅,␣,␣,선우령,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0009.jpg,IJHVG5S,␣,9351778846,11,박혜경,5835cc,방지음,29,4,1962-05-20,∅,2005,아우디 C 클래스,은두찬,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0010.jpg,IITTUG6,7RHNUJ,␣,13,기휘주,8315cc,마올리버,4,2,1979년 3월 27일,∅,2014,␣,황유나리,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0011.jpg,IIBWXSK,5THF5S,␣,4,인동미,1740cc,임고은빛,36,6,1906-07-15,∅,2003,무쏘 G90,␣,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0012.jpg,IVPS8LP,␣,1799359505,19,원순하,3312cc,␣,36,11,1986-05-29,∅,2033,아베오 타호,봉준건,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0013.jpg,I9E13LR,5YEX26,␣,23,␣,531cc,피나림,3,2,␣,∅,2040,GV70 임팔라,제다화,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0014.jpg,ITMY100,AEHQQX,1657119157,␣,인혜름,4765cc,노애솔,␣,12,2027.05.13,∅,␣,A 클래스 GLE,이의혁,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0015.jpg,IS8ANUJ,6FUH6E,␣,15,길노을,6961cc,␣,␣,␣,1945.9.11,∅,2007,스타리아쉐보레 QM6,사공은연,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0016.jpg,I144OI9,␣,9374867354,31,국솔미,511cc,기배진,35,2,1939.02.22,∅,␣,Q3 파일럿,염리주,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/D0017.jpg,IHIXM1N,3B0CE7,1018336700,29,␣,1863cc,␣,29,12,1984/9/15,∅,2037,코롤라 SM7,␣,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/E0000.jpg,␣,␣,␣,30,견기용,␣,사공담아,␣,4,2042년 1월 25일,∅,2010,QM3 S 클래스,갈애솔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/E0001.jpg,␣,410AOW,␣,␣,최용야,9041cc,강비,29,3,1904/6/10,∅,␣,␣,경산해,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/E0002.jpg,IPQ3RFS,G90WNE,9486875012,25,금예성,4286cc,황보다위,20,4,1941/9/22,∅,2039,Q3 이쿼녹스,오자헌,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/F0000.jpg,IG2BQQ1,␣,␣,26,␣,8323cc,␣,␣,␣,2023-02-27,∅,␣,␣,봉이제,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/441/F0001.jpg,I8BW5W1,␣,␣,11,음채련,␣,원연중,2,10,1933.07.27,∅,2009,SM3 GV60,서문상욱,✘,✘
