image_path,015,017,022,033,002,041,032,040,036,019,008,016,013,027,006,023,038,039,018,042,009,021,037,035,034,030,020,029,028,011,005,000,003,007,001,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0017.jpg,✔,✔,✘,✘,18,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✘,양솔은,✔,✔,␣,✘,✘,05,2025,✔,✘,✘,✘,✔,✘,✔,1987,✘,␣,01,✘,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0018.jpg,✘,✔,✘,✘,03,␣,✘,∅,02,✘,✔,✘,✘,✔,✘,✘,염민빛지,✔,✔,␣,✘,✘,14,2025,✔,✘,✘,✘,✘,✔,✔,1987,✔,␣,02,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0019.jpg,✔,✔,✘,✘,19,␣,✘,∅,04,✔,✘,✘,✘,✔,✘,✘,성유채,✔,✘,␣,✔,✘,02,2025,✔,✘,✘,✘,✘,✘,✔,1987,✘,␣,02,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0020.jpg,✘,✔,✘,✘,08,␣,✘,∅,06,✘,✘,✘,✔,✘,✘,✘,변도하,✔,✘,␣,✘,✘,15,2025,✔,✘,✔,✘,✔,✘,✔,1987,✔,␣,03,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0021.jpg,✔,✔,✘,✘,24,␣,✘,∅,08,✘,✔,✘,✘,✔,✘,✘,반채,✔,✘,␣,✘,✔,28,2025,✔,✘,✘,✘,✘,✔,✔,1987,✘,␣,03,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0022.jpg,✘,✔,✔,✘,11,␣,✘,∅,10,✘,✘,✘,✘,✔,✘,✘,신나나,✔,✘,␣,✔,✘,1,2025,✔,✘,✘,✘,✘,✘,✔,1987,✔,␣,04,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0023.jpg,✔,✔,✘,✘,27,␣,✘,∅,12,✘,✘,✘,✔,✘,✘,✔,서재래,✔,✘,␣,✘,✘,11,2025,✔,✘,✘,✔,✘,✘,✔,1987,✘,␣,04,✘,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0024.jpg,✘,✔,✘,✘,17,␣,✘,∅,01,✘,✔,✘,✘,✔,✘,✘,윤영하,✔,✔,␣,✘,✘,23,2025,✔,✘,✘,✘,✘,✔,✔,1987,✔,␣,05,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0025.jpg,✔,✔,✘,✘,3,␣,✘,∅,03,✔,✘,✘,✘,✔,✘,✘,엄빛예,✔,✘,␣,✔,✘,31,2025,✔,✘,✘,✘,✘,✘,✔,1987,✘,␣,6,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0026.jpg,✘,✔,✘,✘,19,␣,✘,∅,5,✘,✘,✘,✔,✘,✘,✘,반민하,✔,✘,␣,✘,✘,10,2025,✔,✘,✔,✘,✔,✘,✔,1987,✔,␣,6,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0027.jpg,✔,✔,✘,✘,5,␣,✘,∅,07,✘,✔,✘,✘,✔,✘,✘,류우윤,✔,✘,␣,✘,✔,25,2025,✔,✘,✘,✘,✘,✔,✔,1987,✘,␣,7,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0028.jpg,✘,✔,✔,✘,21,␣,✘,∅,9,✘,✘,✘,✘,✔,✘,✘,황정나,✔,✘,␣,✔,✘,7,2025,✔,✘,✘,✘,✘,✘,✔,1987,✔,␣,7,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/A0029.jpg,✔,✔,✘,✘,7,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✔,백지예,✔,✘,␣,✘,✘,18,2025,✔,✘,✘,✔,✘,✘,✔,1987,✘,␣,8,✘,✔,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0000.jpg,✘,✘,✘,✔,16,9560844044,✘,∅,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,✘,ZEKSZVP,✘,✔,19,2012,✘,✘,✘,✔,✘,✘,✘,2025,✘,데에,4,✔,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0001.jpg,✘,✘,✔,✘,15,9563935177,✔,∅,␣,✔,✘,✘,✘,✘,✘,✘,가강해,✔,✘,ZS9D78W,✔,✔,␣,2007,✘,✘,✔,✘,✘,✘,✔,2015,✘,423787,5,✘,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0002.jpg,✘,✔,✘,✘,␣,1560670874,✔,∅,9,✘,✘,✘,✘,✘,✔,✘,국묘경,✘,✔,␣,✔,✔,28,␣,✘,✘,✘,✘,✘,✔,✘,2038,✘,목소리로,9,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0003.jpg,✘,✔,✘,✘,17,1286498347,✔,∅,␣,✘,✘,✘,✔,✔,✘,✘,␣,✔,✘,ZDNL2QP,✘,✔,24,2039,✘,✘,✔,✘,✘,✘,✔,␣,✘,␣,2,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0004.jpg,✔,✘,✔,✔,31,9470951440,✔,∅,␣,✘,✔,✘,✘,✔,✘,✘,두민솔,✘,✔,␣,✘,✘,30,␣,✘,✔,✘,✘,✔,✘,✘,␣,✘,␣,␣,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0005.jpg,✔,✔,✘,✔,␣,1718154511,✘,∅,2,✘,✔,✘,✘,✘,✔,✘,견나혁,✔,✘,␣,✘,✘,10,2018,✘,✔,✔,✘,✘,✔,✘,2033,✘,␣,12,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0006.jpg,✘,✘,✘,✘,1,␣,✘,∅,␣,✔,✔,✘,✘,✔,✘,✘,빈예철,✔,✔,ZN8S85T,✘,✘,14,2000,✘,✘,✘,✔,✘,✔,✘,2009,✘,기업은,8,✘,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/D0007.jpg,✔,✔,✘,✘,15,9252909136,✔,∅,3,✔,✘,✘,✘,✔,✔,✘,배체림,✘,✔,␣,✘,✘,␣,2007,✘,✘,✔,✘,✘,✘,✔,␣,✘,3녀,5,✘,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/E0000.jpg,✘,✔,✔,✘,16,1161732967,✘,∅,6,✘,✔,✔,✘,✘,✔,✔,제채임,✘,✘,␣,✘,✘,␣,2034,✘,✘,✔,✘,✔,✔,✘,2033,✘,␣,12,✘,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/E0001.jpg,✔,✔,✔,✘,20,1877563516,✘,∅,3,✘,✘,✔,✔,✘,✘,✘,전은하수,✔,✘,␣,✘,✔,18,␣,✔,✘,✘,✘,✔,✔,✘,2024,✘,␣,2,✘,✔,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/200/E0002.jpg,✘,✘,✔,✔,␣,9273294126,✘,∅,6,✘,✘,✘,✘,✔,✘,✘,국하옐,✔,✘,UENPE4Y,✘,✘,␣,2010,✘,✔,✘,✘,✘,✔,✘,␣,✔,감람나무를,5,✘,✔,✘,✘,✔
