image_path,011,005,000,003,007,001,013,006,002,004,009,012,010,014,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0012.jpg,✔,✘,2025,JP모터스,2025,1,␣,✔,22,✔,22,9COTTT002,JP모터스,␣,1
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0013.jpg,✔,✘,2025,네바퀴사랑,2025,2,␣,✔,7,✔,7,9COTTT002,네바퀴사랑,␣,2
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0014.jpg,✔,✘,2025,대영모터스,2025,3,␣,✔,19,✔,19,9COTTT002,대영모터스,␣,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0015.jpg,✔,✘,2025,MotoRaMa,2025,4,␣,✔,26,✔,26,9COTTT002,MotoRaMa,␣,4
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0016.jpg,✔,✘,2025,SUN모터스,2025,5,␣,✔,9,✔,9,9COTTT002,SUN모터스,␣,5
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0017.jpg,✔,✘,2025,아라오토,2025,6,␣,✔,16,✔,16,9COTTT002,아라오토,␣,6
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0018.jpg,✔,✘,2025,애플카,2025,7,␣,✔,23,✔,23,9COTTT002,애플카,␣,7
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0019.jpg,✔,✘,2025,주식회사 케이자동차,2025,8,␣,✔,30,✔,30,9COTTT002,주식회사 케이자동차,␣,8
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0020.jpg,✔,✘,2025,주식회사 미소자동차,2025,9,␣,✔,6,✔,6,9COTTT002,주식회사 미소자동차,␣,9
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0021.jpg,✔,✘,2025,(주)더드림카,␣,10,␣,✔,13,✔,␣,9COTTT002,(주)더드림카,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0022.jpg,✔,✘,2025,(주)한누리모터스,2025,11,␣,✔,20,✔,20,9COTTT002,(주)한누리모터스,␣,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0023.jpg,✔,✘,2025,주식회사 더카프라자,2025,12,␣,✔,27,✔,27,9COTTT002,주식회사 더카프라자,␣,12
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0024.jpg,✔,✘,2025,주식회사 바른손,2025,01,␣,✔,02,✔,02,9COTTT002,주식회사 바른손,␣,01
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0025.jpg,✔,✘,2025,신화,2025,02,␣,✔,15,✔,15,9COTTT002,신화,␣,02
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0026.jpg,✔,✘,2025,더마니카,2025,03,␣,✔,22,✔,22,9COTTT002,더마니카,␣,03
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0027.jpg,✔,✘,2025,오토갤러리,2025,4,␣,✔,29,✔,29,9COTTT002,오토갤러리,␣,4
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0028.jpg,✔,✘,2025,시온모터스,2025,5,␣,✔,5,✔,5,9COTTT002,시온모터스,␣,5
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/A0029.jpg,✔,✘,2025,탑모터스,2025,06,␣,✔,11,✔,11,9COTTT002,탑모터스,␣,06
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0000.jpg,✘,✔,␣,조기루,2008,6,1777296031,✔,13,✔,␣,9COTTT002,전요림,␣,6
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0001.jpg,✘,✔,2015,탁카야,2011,␣,9456908088,✘,9,✘,11,9COTTT002,성다소니,IC94JQW,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0002.jpg,✔,✘,2000,왕원우,2021,␣,1897405267,✘,3,✘,14,9COTTT002,단임현,I31Y1XK,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0003.jpg,✘,✘,␣,하복순,␣,␣,1335776177,✘,30,✘,17,9COTTT002,황보이온,␣,9
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0004.jpg,✘,✘,2038,목비준,2003,7,1375059535,✘,24,✘,␣,9COTTT002,␣,I7CDZPZ,11
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0005.jpg,✘,✔,2014,안아승,2027,7,1391409075,✘,8,✔,16,9COTTT002,␣,IYCTKTC,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0006.jpg,✔,✘,␣,␣,2038,8,9467488132,✘,29,✔,27,9COTTT002,␣,IPLB4FV,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0007.jpg,✘,✘,␣,␣,2024,9,␣,✔,3,✘,24,9COTTT002,은근율,IF4FSY5,3
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/D0008.jpg,✔,✔,2015,천어준,2010,␣,␣,✘,␣,✔,22,9COTTT002,피권준,IHG4AVU,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/E0000.jpg,✘,✘,2025,구현창,␣,␣,␣,✘,20,✘,␣,9COTTT002,류혜광,L5GFJB7,9
/mnt/AI_NAS/Data/현대캐피탈/data/images/645/E0001.jpg,✘,✘,2028,옥병용,2008,9,1861809378,✘,26,✘,30,9COTTT002,␣,␣,11
