image_path,015,017,022,088,082,002,041,040,050,019,008,052,026,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,025,001,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,043,059,067,016,079,013,055,023,039,018,021,093,044,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0010.jpg,✘,✘,␣,✔,✘,971조 1042,✘,✘,✘,␣,✘,✘,␣,✘,✔,✘,✘,✘,✘,✘,✘,2170만원,"5,190,000",✔,✘,✔,✔,✘,✔,✔,따위가,✔,␣,✘,✘,␣,✔,✔,✔,✔,␣,✔,✘,✔,✘,✘,✘,✘,✘,1084만원,✔,✔,✘,35세,✔,✘,✔,✘,"1,470,000",✘,✔,␣,9498411631,✔,␣,✘,✘,✘,✘,✘,✘,✔,1,✔,✔,✘,✘,∅,I51DLZ8,␣,911 스파크,✘,✔,✘,␣,2,␣,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/C0011.jpg,✘,✘,"2,430,000",✘,✘,747무 6076,✘,✘,✔,␣,✘,✘,␣,✘,✘,✔,✘,✘,✘,✘,✘,␣,␣,✘,✔,✔,✘,✔,✘,✘,조선,✔,사회의 공공,✘,✘,33,✘,✘,✔,✘,양화를,✔,✘,✘,✘,✔,✔,✘,✘,4092만원,✘,✘,✔,44세,✔,✘,✘,✘,4380000,✔,✘,1940000,9828181345,✔,␣,✘,✔,✘,✘,✘,✔,✘,4,✘,✘,✘,✘,∅,I7EARWF,"87,150,000",GLE 토레스,✘,✘,✘,␣,␣,4,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0000.jpg,✘,✘,24630000,✘,✔,59두 3609,✔,✘,✔,4,✘,✔,␣,✘,✘,✘,✘,✘,✔,✘,✘,␣,␣,✔,✔,✔,✔,✔,✔,✘,마음이,✘,말. 490923노,✘,✘,4,✘,✔,✘,✘,␣,✔,✘,✘,✘,✘,✘,✘,✘,4467만원,✘,✘,✔,37세,✘,✘,✔,✔,␣,✘,✔,"68,830,000",9264509440,✘,25,✔,✘,✘,✘,✘,✘,✔,7,✔,✘,✘,✘,∅,ZAUU47S,␣,␣,✔,✘,✘,␣,8,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0001.jpg,✘,✘,"89,320,000",✘,✘,330머 4509,✘,✘,✘,7,✘,✘,감독하는,✘,✘,✔,✘,✘,✘,✔,✘,2452만원,"6,860,000",✘,✘,✘,✔,✘,✔,✘,토끼,✔,고무로 만든,✔,✘,1,✘,✘,✘,✘,␣,✘,✔,✘,✘,✘,✘,✘,✔,2331만원,✘,✔,✔,46세,✘,✔,✔,✘,␣,✘,✘,"22,310,000",9542457640,✘,2,✔,✘,✘,✘,✘,✘,✘,5,✔,✘,✘,✘,∅,ZX237Q5,1530000,트랙스 아반떼,✘,✔,✘,13,␣,3,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0002.jpg,✔,✘,"33,690,000",✘,✘,287나 6786,✔,✘,✘,5,✔,✘,우리나라에는,✔,✔,✘,✘,✘,✘,✘,✔,3163만원,␣,✔,✘,✘,✘,✘,✘,✘,사는,✘,␣,✘,✘,2,✘,✘,✔,✘,여자.,✔,✔,✔,✔,✘,✘,✘,✘,2303만원,✘,✘,✔,37세,✘,✔,✘,✘,"9,460,000",✘,✘,␣,1639524088,✘,18,✘,✘,✘,✘,✘,✔,✘,3,✘,✘,✘,✘,∅,␣,"2,390,000",GLE 도요타,✘,✘,✘,17,6,5,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0003.jpg,✔,✘,84540000,✔,✘,62너 3931,✘,✘,✘,␣,✔,✘,␣,✘,✔,✘,✔,✘,✘,✔,✘,1857만원,"21,950,000",✔,✘,✘,✔,✔,✔,✔,␣,✔,즉 신선이,✘,✔,9,✔,✔,✘,✔,메달을,✘,✔,✘,✘,✘,✔,✘,✘,1462만원,✘,✘,✘,33세,✘,✘,✔,✘,␣,✔,✘,"7,480,000",␣,✘,18,✘,✘,✘,✘,✘,✔,✘,8,✘,✔,✔,✘,∅,ZEKG82G,88330000,␣,✔,✘,✔,11,3,16,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0004.jpg,✘,✘,"9,990,000",✔,✔,␣,✘,✘,✔,4,✘,✘,활을,✘,✔,✘,✔,✔,✔,✘,✘,4178만원,"36,810,000",✔,✘,✘,✘,✘,✘,✘,고생하는,✘,␣,✘,✔,35,✘,✔,✔,✘,성의,✘,✘,✔,✘,✘,✘,✔,✘,␣,✔,✘,✔,76세,✘,✘,✘,✘,␣,✘,✔,␣,9663508775,✔,␣,✔,✘,✘,✘,✔,✔,✔,4,✘,✘,✘,✘,∅,␣,"5,540,000",iX G80,✘,✘,✘,22,7,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0005.jpg,✘,✘,"17,210,000",✘,✘,146오 8673,✘,✘,✘,␣,✘,✔,있어도,✘,✔,✔,✘,✘,✘,✘,✔,␣,"5,380,000",✔,✔,✘,✔,✘,✘,✘,␣,✘,␣,✘,✘,10,✘,✔,✘,✔,꽤,✘,✘,✔,✘,✘,✔,✔,✘,2816만원,✘,✘,✘,28세,✘,✔,✘,✘,␣,✘,✘,␣,1728364125,✘,19,✘,✘,✘,✘,✘,✘,✔,2,✘,✔,✔,✘,∅,Z1THNJM,␣,GV60 i4,✘,✔,✘,36,␣,␣,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0006.jpg,✘,✔,"7,460,000",✘,✔,␣,✔,✘,✔,5,✘,✘,세금을,✔,✘,✔,✘,✘,✘,✔,✘,␣,61350000,✔,✘,✘,✔,✔,✘,✘,␣,✘,␣,✘,✘,4,✘,✔,✘,✔,속의,✘,✘,✘,✔,✘,✘,✔,✘,␣,✘,✘,✘,36세,✔,✔,✔,✔,␣,✘,✔,"3,880,000",␣,✔,22,✘,✘,✘,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,ZS8IY4D,"6,770,000",␣,✘,✘,✘,␣,2,6,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/D0007.jpg,✘,✘,53890000,✘,✘,␣,✘,✘,✔,10,✘,✘,나온,✔,✘,✔,✘,✘,✔,✘,✘,␣,␣,✔,✘,✘,✘,✘,✘,✔,간격을,✘,인원의 전출과,✘,✔,32,✘,✘,✘,✘,␣,✘,✘,✘,✔,✘,✔,✘,✔,3272만원,✔,✘,✘,␣,✘,✘,✔,✘,"75,170,000",✔,✔,␣,1033530287,✘,29,✘,✘,✔,✔,✘,✘,✘,7,✘,✘,✔,✘,∅,␣,␣,␣,✘,✔,✘,␣,1,3,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/E0000.jpg,✘,✔,␣,✘,✘,13버 6847,✘,✘,✘,8,✘,✘,날씨가,✔,✘,✘,✘,✘,✘,✘,✘,␣,␣,✘,✔,✘,✔,✘,✘,✘,␣,✘,원추,✘,✘,15,✘,✘,✔,✔,␣,✔,✘,✔,✘,✘,✘,✘,✘,2148만원,✘,✘,✘,18세,✘,✘,✘,✘,"29,760,000",✘,✘,"6,680,000",1882452706,✔,1,✘,✔,✘,✘,✔,✘,✔,7,✔,✔,✘,✘,∅,Z68F1QA,"13,220,000",이쿼녹스 BMW,✔,✘,✘,28,␣,10,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/476/E0001.jpg,✘,✔,43340000,✘,✔,448나 0789,✘,✘,✔,7,✔,✘,성품이,✔,✘,✘,✔,✘,✘,✘,✘,␣,8240000,✘,✘,✘,✔,✘,✘,✘,군살.,✘,␣,✘,✘,30,✘,✘,✔,✔,많은,✘,✔,✘,✔,✘,✔,✘,✔,3037만원,✘,✘,✘,36세,✘,✔,✔,✔,␣,✘,✘,4180000,␣,✘,30,✘,✔,✘,✘,✘,✘,✘,2,✘,✘,✔,✘,∅,␣,"74,430,000",QM3 X1,✘,✔,✘,24,␣,␣,✘,✘,✘
