image_path,021,010,015,017,022,002,014,020,029,028,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0010.jpg,✔,✘,공장개발종합건설,2025,␣,✘,7,우나서,␣,␣,7,✘,✘,✔,✘,✘,10,✔,✘,✔,✔,✘,␣,␣,10,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0011.jpg,✔,✘,(주)한일통운,2025,␣,✘,31,황호서재,␣,␣,31,✘,✘,✔,✘,✘,12,✔,✘,✔,✔,✘,␣,␣,12,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0012.jpg,✔,✘,주식회사 남경전기,2025,␣,✘,9,차빛윤,␣,␣,9,✘,✘,✔,✘,✘,1,✔,✘,✔,✔,✘,␣,␣,1,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0013.jpg,✔,✘,석재용달화물,2025,␣,✘,16,신하나초,␣,␣,16,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0014.jpg,✔,✘,대한예수교장로회예심교회,2025,␣,✘,23,백아도,␣,␣,23,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0015.jpg,✔,✘,어상식품영농조합법인,2025,␣,✘,5,금별성호,␣,␣,5,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0016.jpg,✔,✘,화원산업개발㈜,2025,␣,✘,19,설수민,␣,␣,19,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0017.jpg,✔,✘,사단법인사회적기업청람,2025,␣,✘,14,나나래라,␣,␣,14,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0018.jpg,✔,✘,대륙엔지니어링,2025,␣,✘,28,임준예,␣,␣,28,✘,✘,✔,✘,✘,2,✔,✘,✔,✔,✘,␣,␣,2,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0019.jpg,✔,✘,부전수산,2025,␣,✘,01,육별현,␣,␣,01,✘,✘,✔,✘,✘,04,✔,✘,✔,✔,✘,␣,␣,04,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0020.jpg,✔,✘,연천상운,2025,␣,✘,17,황정솔현,␣,␣,17,✘,✘,✔,✘,✘,6,✔,✘,✔,✔,✘,␣,␣,6,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0021.jpg,✔,✘,대구컴퓨터학원,2025,␣,✘,24,황보서하,␣,␣,24,✘,✘,✔,✘,✘,8,✔,✘,✔,✔,✘,␣,␣,8,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0022.jpg,✔,✘,(주)수호전자,2025,␣,✘,10,한은라,␣,␣,10,✘,✘,✔,✘,✘,10,✔,✘,✔,✔,✘,␣,␣,10,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0023.jpg,✔,✘,(주)아주산업,2025,␣,✘,08,주나래성하윤,␣,␣,08,✘,✘,✔,✘,✘,12,✔,✘,✔,✔,✘,␣,␣,12,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0024.jpg,✔,✘,(주)세미레외장,2025,␣,✘,21,모준은,␣,␣,21,✘,✘,✔,✘,✘,01,✔,✘,✔,✔,✘,␣,␣,01,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0025.jpg,✔,✘,태백약초영농조합,2025,␣,✘,30,강아슬,␣,␣,30,✘,✘,✔,✘,✘,3,✔,✘,✔,✔,✘,␣,␣,3,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0026.jpg,✔,✘,(주)미래ENG,2025,␣,✘,13,육은예,␣,␣,13,✘,✘,✔,✘,✘,5,✔,✘,✔,✔,✘,␣,␣,5,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0027.jpg,✔,✘,(주)대상,2025,␣,✘,27,석준시,␣,␣,27,✘,✘,✔,✘,✘,7,✔,✘,✔,✔,✘,␣,␣,7,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0028.jpg,✔,✘,(주)뉴컴퍼니,2025,␣,✘,6,유예서,␣,␣,6,✘,✘,✔,✘,✘,9,✔,✘,✔,✔,✘,␣,␣,9,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/A0029.jpg,✔,✘,(주)광명도장산업,2025,␣,✘,20,허도호,␣,␣,20,✘,✘,✔,✘,✘,11,✔,✘,✔,✔,✘,␣,␣,11,✘,✔,SP00NAB026,␣,2025
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/D0000.jpg,✘,✘,추우나,␣,2015,✘,␣,␣,␣,9063058746,25,✘,✔,✔,✘,✔,␣,✘,✔,✘,✔,✔,손화나,3,1,✘,✘,SP00NAB026,1,2016
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/D0001.jpg,✔,✔,␣,2008,2018,✘,6,좌향지,PRV0HPS,1208547746,3,✔,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,지승선,7,3,✘,✘,SP00NAB026,␣,2038
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/D0002.jpg,✔,✘,하영도,2032,2035,✔,4,맹민우,␣,␣,24,✔,✘,✔,✘,✘,␣,✔,✔,✘,✔,✔,설하원,6,␣,✘,✘,SP00NAB026,22,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/081/E0000.jpg,✔,✘,남궁태안,␣,2007,✘,10,서조히,SNVCVTO,9410362362,␣,✔,✘,✘,✔,✘,11,✘,✔,✘,✔,✘,␣,8,␣,✘,✘,SP00NAB026,␣,2008
