image_path,015,017,022,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,061,065,051,033,062,032,085,056,074,036,043,059,067,016,079,013,055,023,038,039,018,021,044,037,035,057,080,069,084,071,034,053,070,054,030,046,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0010.jpg,럭키모터스,␣,"28,901,000",␣,권현우,✘,✘,✘,뉴그랜져IG,✔,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-12-15,2022,✘,✘,✘,✔,✘,␣,✘,✘,MNO7890123456XYZAB,✘,✔,37,✔,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,U08495,U08495,✘,✔,"444,000",✔,✘,␣,"41,234",2,✘,✘,✘,␣,✘,␣,1328172533,✘,✘,하나모터스,✘,␣,0.1,✘,L9VHFKC,✘,␣,✔,✘,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0011.jpg,S&K모터스,␣,"33,567,000",␣,조아린,✘,✘,✘,올뉴그랜져IG,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,✘,✘,2025-01-02,2024,✘,✔,✘,✔,✘,␣,✘,✘,PQR0987654321BCDEF,✘,✘,38,✘,✔,✔,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,U0623,␣,✘,✔,"512,,000",✔,✘,␣,"6,789",2,✘,✘,✘,␣,✘,␣,4120735375,✘,✔,신세계자동차매매상사(주),✘,␣,0.1,✘,L1QWJPL,✘,␣,✔,✘,✘,✔,✔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0012.jpg,청솔모터스,␣,"36,789,000",␣,문성현,✘,✘,✘,K8,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-02-14,2025,✘,✘,✘,✔,✘,␣,✘,✔,STU1234567890GHIJK,✘,✘,44,✔,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,C01775,␣,✘,✔,"560,000",✔,✘,␣,"1,234",1,✘,✘,✘,␣,✘,␣,1333601007,✘,✘,의정부중고차 매매단지 인정모터스,✘,␣,0.2,✘,L5ZGRMV,✘,␣,✔,✘,✔,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0013.jpg,AMG모터스,␣,"34,678,000",␣,배수진,✘,✘,✘,올뉴그랜져,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-03-27,2024,✘,✔,✘,✔,✘,␣,✘,✘,VWX9876543210LMNOP,✘,✘,37,✘,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✔,␣,✘,✘,␣,C04786,␣,✘,✔,"528,000",✔,✘,␣,"1,2345",3,✘,✘,✘,␣,✘,␣,4120735375,✘,✔,의정부중고차매매상사,✘,␣,0.1,✘,L7XCLBT,✘,␣,✔,✘,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0014.jpg,AMG모터스,␣,"35,789,000",␣,오지훈,✘,✘,✘,올뉴그랜져,✘,✔,✘,✔,␣,✔,✘,✘,✘,∅,✘,✘,2025-04-10,2024,✘,✘,✘,✔,✘,␣,✘,✘,ABC6543210987QRSTU,✘,✘,41,✔,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,C06311,␣,✘,✔,"544,000",✔,✘,␣,"9,876",2,✘,✘,✘,␣,✘,␣,4658601011,✘,✘,의정부중고차 매매단지 인정모터스,✘,␣,0.1,✘,L3YHFKV,✔,␣,✔,✘,✘,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0015.jpg,JP모터스,␣,"54,321,000",␣,미래건설,✘,✘,✘,VOLVO,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✔,✘,2025-05-05,2023,✘,✔,✘,✔,✘,␣,✘,✔,DEF4321098765VWXYZ,✘,✘,35,✘,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,U02235,␣,✘,✔,"888,000",✔,✘,␣,"45,678",2,✘,✘,✘,␣,✘,␣,3315900260,✘,✔,(주)애니카모터스,✘,␣,0.2,✔,L8WJGRZ,✘,␣,✔,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0016.jpg,네바퀴사랑,␣,"43,210,000",␣,성진종합물류,✘,✘,✘,LANDROVER,✔,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-06-22,2018,✘,✘,✘,✔,✘,␣,✘,✘,GHI7890123456ABCDE,✘,✔,38,✔,✔,✘,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,U04688,U04688,✘,✔,"660,000",✔,✘,␣,"6,7890",2,✘,✘,✘,␣,✘,␣,7560800943,✘,✘,한모터스,✘,␣,0.1,✔,L4ZCLXN,✘,␣,✔,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0017.jpg,대영모터스,␣,"123,456,000",␣,한빛환경,✘,✘,✘,PORSCHE,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,✘,✘,2025-07-11,2015,✘,✔,✘,✔,✘,␣,✘,✘,JKL0987654321FGHIJ,✘,✘,38,✘,✘,✔,✘,✘,␣,␣,✘,␣,✔,␣,✘,✘,␣,✘,✘,␣,C04098,␣,✘,✔,"1,904,000",✔,✘,␣,"9,0123",3,✘,✘,✘,␣,✘,␣,3763800462,✘,✔,원컴퍼니,✘,␣,0.2,✔,L6VBTQH,✘,␣,✔,✘,✘,✘,✔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0018.jpg,MotoRaMa,␣,"9,600,000",␣,금강위생,✘,✘,✘,G80,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-8-1,2021,✘,✘,✘,✔,✘,␣,✘,✔,MNO1234567890KLMNO,✘,✘,43,✔,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C04006,␣,✘,✔,"144,000",✘,✔,␣,"56,789",1,✘,✘,✘,␣,✘,␣,8521200495,✘,✘,카스토리2,✘,␣,0.2,✔,L2XRFJM,✘,␣,✔,✘,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0019.jpg,SUN모터스,␣,"34,567,000",␣,해동수산,✘,✘,✘,AUDI,✔,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✘,2025-09-17,2016,✘,✔,✘,✔,✘,␣,✘,✘,PQR8765432109PQRST,✘,✘,39,✘,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✔,␣,✘,✘,␣,C03964,␣,✘,✔,"528,000",✘,✔,␣,"78,901",2,✘,✘,✘,␣,✘,␣,5753101017,✘,✔,비케이(BK)모터스,✘,␣,0.2,✔,L9LHVPC,✘,␣,✔,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0020.jpg,아라오토,␣,"7100,000",␣,우진공조,✘,✘,✘,더 뉴모닝,✘,✔,✘,✔,␣,✔,✘,✘,✘,∅,✘,✔,2025-10-09,2016,✘,✘,✘,✔,✘,␣,✘,✘,STU5432109876UVWXY,✘,✘,41,✔,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C03983,␣,✘,✔,"108,000",✘,✔,␣,"89,012",3,✘,✘,✘,␣,✘,␣,2980701584,✘,✘,지호모터스,✘,␣,0.2,✔,L1QCLZN,✔,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0021.jpg,애플카,␣,"23,456,000",␣,푸른유통,✘,✘,✘,BMW X3,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✔,✔,2025.11.23,2012,✘,✔,✘,✔,✘,␣,✘,✔,VWX2109876543YZABC,✘,✘,39,✘,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C03991,␣,✘,✔,"360,000",✘,✔,␣,"156,789",2,✘,✘,✘,␣,✘,␣,7976300230,✘,✔,모터씨티,✘,␣,0.1,✔,L5WBTKV,✘,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0022.jpg,주식회사 케이자동차,␣,"56,789,000",␣,신성전기,✘,✘,✘,K9,✔,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✔,2025-12.07,2021,✘,✘,✘,✔,✘,␣,✘,✘,ABC3210987654DEFGH,✘,✔,40,✔,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,U01044,U01044,✘,✔,"920,000",✘,✔,␣,"45,678",1,✘,✘,✘,␣,✘,␣,4173062706,✘,✘,심모터스,✘,␣,0.1,✔,L7ZRFJX,✘,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0023.jpg,주식회사 미소자동차,␣,"34,567,000",␣,별빛초등학교,✘,✘,✘,더 뉴카니발,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,✘,✔,2025.01.19,2019,✘,✔,✘,✔,✘,␣,✘,✘,DEF10987654321JKLM,✘,✘,41,✘,✔,✔,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C07720,␣,✘,✔,"528,000",✘,✔,␣,"67,890",1,✘,✘,✘,␣,✘,␣,5148199689,✘,✔,중고차 에이(A)팀,✘,␣,0.1,✔,L3XCLHP,✘,␣,✘,✘,✘,✘,✔,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0024.jpg,(주)더드림카,␣,"45,678,000",␣,대우기계,✘,✘,✘,아이오닉6,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✔,2025.02.04,2023,✘,✘,✘,✔,✘,␣,✘,✔,GHI8765432109NOPQR,✘,✘,44,✔,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C10390,␣,✘,✔,"704,000",✘,✔,␣,"23,456",1,✘,✘,✘,␣,✘,␣,756 08 00943,✘,✘,(주)서하모터스,✘,␣,0.3,✔,L8VHFKQ,✘,␣,✘,✘,✔,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0025.jpg,(주)한누리모터스,␣,"34,567,000",␣,한양캐스팅,✘,✘,✘,K7,✔,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✔,2025-03-15,2020,✘,✔,✘,✔,✘,␣,✘,✘,JKL6543210987STUVW,✘,✘,41,✘,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✔,␣,✘,✘,␣,C08152,␣,✘,✔,"528,000",✘,✔,␣,"56,789",1,✘,✘,✘,␣,✘,␣,405-10-70321,✘,✔,원컴퍼니,✘,␣,0.1,✔,L4QWJPL,✘,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0026.jpg,주식회사 더카프라자,␣,"32,456,000",␣,동해철재,✘,✘,✘,쏘나타,✘,✔,✘,✔,␣,✔,✘,✘,✘,∅,✘,✔,2025-04-29,2021,✘,✘,✘,✔,✘,␣,✘,✘,MNO4321098765XYZAB,✘,✘,43,✔,✔,✘,✘,✘,␣,␣,✔,␣,✘,␣,✘,✘,␣,✘,✘,␣,C08786,␣,✘,✔,"496,000",✘,✔,␣,"78,901",2,✘,✘,✘,␣,✘,␣,579.61.00564,✘,✘,믿음모터스,✘,␣,0.3,✔,L2ZGRMV,✔,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0027.jpg,주식회사 바른손,␣,"23,456,000",␣,깨끗수기,✘,✔,✘,봉고Ⅲ,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✔,✔,2025.05.13,2020,✘,✔,✘,✔,✘,␣,✘,✔,PQR2109876543BCDEF,✘,✘,44,✘,✔,✘,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C08081,␣,✘,✔,"360,000",✘,✘,␣,"90,123",1,✘,✘,✘,␣,✘,␣,658-56-00145,✔,✔,브라더샵,✘,␣,0.3,✔,L6XCLBT,✘,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0028.jpg,신화,␣,"34,567,000",␣,새롬산업,✘,✔,✘,FORD,✔,✔,✘,✘,␣,✘,✘,✘,✘,∅,✘,✔,2025-01-19,2020,✘,✘,✘,✔,✘,␣,✘,✘,STU9876543210GHIJK,✘,✔,42,✔,✔,✘,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,U11643,U11643,✘,✔,"528,000",✘,✘,␣,"67,890",2,✘,✘,✘,␣,✘,␣,5298702984,✔,✘,차모터스,✘,␣,0.2,✔,L9YHFKV,✘,␣,✘,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/A0029.jpg,더마니카,␣,"45,891,000",␣,디지털세상,✘,✔,✘,카니발,✘,✘,✘,✔,␣,✘,✘,✘,✘,∅,✘,✔,2025.02.04,2021,✘,✔,✘,✘,✘,␣,✘,✘,VWX7654321098LMNOP,✘,✘,35,✘,✔,✔,✘,✘,␣,␣,✘,␣,✘,␣,✘,✘,␣,✘,✘,␣,C12831,␣,✘,✔,"704,000",✘,✘,␣,"23,456",1,✘,✘,✘,␣,✘,␣,501-86-00448,✔,✔,(주)수호모터스,✘,␣,0.3,✔,L1WJGRZ,✘,␣,✘,✘,✘,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0000.jpg,사공봄나,␣,"2,150,000",␣,변용운,✘,✘,✔,A8 스파크,✔,✘,✘,✔,␣,✘,✔,✘,✔,∅,✔,✘,2037/8/26,␣,✘,✘,✘,✘,✔,1872010810,✔,✘,␣,✘,✘,␣,✘,✘,✘,✔,✘,추루카스,␣,✘,크고 단단한,✔,S0M7WQC,✘,✘,41.5,✘,✘,9056521547,W85MN3L0AE,CW1UW58T3M,✘,✘,"35,810,000",✔,✘,9L5BHJZ3RD,콜로라도 도요타,85.0,✘,✘,✘,␣,✔,9623508517,297-73-21234,✘,✔,␣,✘,담근,␣,✘,ZKGQMPS,✘,1946년 11월 8일,✘,✘,✔,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0001.jpg,주수용,천한하다02,"56,110,000",불음.,오칠해,✔,✘,✔,3 시리즈 아베오,✘,✔,✘,✘,␣,✔,✘,✔,✘,∅,✘,✘,1917.05.21,X7 X5,✔,✘,✘,✘,✔,9930214830,✘,✘,N1MZOVP6CZNA1MS7C,✘,✔,81.1,✔,✔,✘,✔,✘,국래니,␣,✘,해야,✘,SW3G6QU,✘,✘,20.8,✔,✘,9827601500,␣,4E3IUMAL76,✘,✘,␣,✘,✔,␣,SM6 QM3,53.2,✔,✔,✘,637919-05-367128,✘,9205664988,␣,✘,✔,␣,✘,굴다.,␣,✘,ZIWWYJ0,✘,1947/1/17,✔,✘,✘,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0002.jpg,용풍가,␣,"14,180,000",고분고분하다,형아언,✘,✔,✔,911 시빅,✘,✘,✘,✘,␣,✘,✔,✘,✘,∅,✘,✘,1923.9.5,iX 파나메라,✘,✔,✘,✔,✘,9422638259,✔,✔,WYKXLD39REBL1CUQZ,✘,✘,54.6,✘,✘,✘,✘,✘,염해늘,␣,✘,가진,✘,SOY6J4L,✘,✘,21.4,✘,✘,1430181593,Q88X4IXY90,␣,✔,✘,"49,630,000",✘,✔,␣,쌍용 SM7,38.0,✔,✘,✘,501-63927775-00,✘,1125188156,405-90-86154,✘,✘,엄려언,✘,풀리어,␣,✘,ZEU7TRS,✘,2019-04-18,✘,✘,✔,✔,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0003.jpg,민엘리스,퍼지면서,␣,시합,노영기,✘,✘,✘,A 클래스 코롤라,✘,✘,✔,✔,83.9,✘,✘,✘,✔,∅,✔,✘,2007-02-18,포르쉐 iX,✘,✘,✘,✘,✘,1340000526,✔,✘,␣,✔,✘,6.0,✔,✘,✘,✔,✘,진임준,92.8,✘,␣,✔,SV4QZBE,✘,✘,␣,✘,✘,1138530977,2W8KIPKZ8Q,C4C6EXEMFC,✔,✘,"37,550,000",✘,✔,MUAOX7DVGE,A8 C 클래스,46.6,✔,✘,✘,265-120306-58331,✔,9968659992,595-44-23933,✘,✘,사공호륜,✘,통틀어,33.2,✔,Z89EVNW,✔,␣,✘,✔,✘,✔,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0004.jpg,김카이라,␣,"18,650,000",␣,␣,✘,✘,✘,그랜저 이쿼녹스,✘,✘,✘,✘,93.9,✘,✘,✔,✔,∅,✘,✘,␣,3 시리즈 GV90,✔,✘,✘,✘,✔,9365835919,✘,✔,␣,✘,✔,14.0,✔,✘,✘,✘,✘,␣,␣,✘,낚이는 때.,✔,S3XE0NQ,✘,✘,88.8,✘,✔,1507405765,WGA7U2TMGD,␣,✔,✘,"81,780,000",✘,✘,BRH5W7P17K,임팔라 GLA,␣,✔,✔,✘,2058-13-437538,✘,1865806988,308-88-29150,✔,✔,␣,✘,␣,␣,✔,ZLBLM24,✘,␣,✔,✘,✔,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0005.jpg,␣,구하지,7590000,␣,김해도,✘,✘,✘,카이엔 쏘나타,✘,✔,✘,✘,64.0,✔,✘,✘,✘,∅,✘,✘,2047년 8월 14일,␣,✘,✘,✘,✘,✘,1459368912,✘,✔,␣,✘,✔,␣,✘,✔,✘,✘,✘,채정부,␣,✘,␣,✘,SNM282T,✘,✔,46.6,✘,✘,1356541121,3OPEK6QCFK,QUS1NQ8L8V,✘,✘,"34,490,000",✘,✘,SQQSC4BEI2,␣,␣,✘,✘,✘,399-69205449-50,✘,9512893970,108-74-83794,✔,✔,현령나,✔,␣,29.4,✘,ZQF2CBO,✘,2009년 2월 21일,✘,✘,✘,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0006.jpg,고윤국,마음속에,␣,152미터.,갈찬윤,✘,✘,✘,크루즈 코롤라,✘,✘,✔,✘,10.1,✘,✘,✔,✘,∅,✔,✘,␣,␣,✘,✘,✘,✘,✔,9493999212,✘,✘,1K57ICUCFZQOCA5PV,✔,✔,34.5,✔,✘,✔,✘,✔,간로리,␣,✔,이원군에,✔,S0T3DR6,✘,✘,60.8,✔,✔,9671718375,Y60BPIDUDU,QI34Y597JY,✘,✘,4390000,✘,✔,␣,␣,55.9,✔,✔,✔,␣,✘,1042511754,␣,✘,✔,라유형,✔,금산면에,␣,✘,ZQBQBKG,✘,1992/10/25,✔,✘,✘,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0007.jpg,호은효,␣,"6,590,000",있도록,소미름,✘,✘,✔,␣,✔,✘,✘,✘,83.9,✔,✘,✘,✘,∅,✘,✘,1917-09-12,GV70 르노,✘,✔,✘,✘,✔,9748592028,✘,✔,SGOKIX40SMSP4QFIY,✘,✔,␣,✘,✘,✘,✘,✘,␣,2.9,✘,가념 가념하다의,✘,SWIO08B,✘,✔,73.5,✔,✔,9377361068,␣,Y8AXHWQNJC,✘,✘,"4,790,000",✘,✘,LD5IB6FJVZ,␣,40.5,✘,✔,✔,399458-58-067383,✘,1560463641,210-50-96737,✔,✔,구환빈,✔,압수물에,75.3,✘,ZWXG0UB,✔,␣,✘,✔,✘,✘,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/740/C0008.jpg,␣,곳.,"16,490,000",␣,엄올리비아리,✘,✘,✘,말리부 스타리아쉐보레,✘,✘,✘,✘,␣,✘,✘,✘,✘,∅,✘,✔,2007.8.15,크루즈 GLE,✘,✔,✘,✘,✘,9724294153,✘,✘,␣,✘,✘,38.4,✘,✘,✔,✘,✘,방순건,␣,✘,애애한 하늘.,✔,SRB3LD4,✘,✘,1.8,✘,✘,1703764294,YWJJIZ78W3,␣,✔,✘,"8,730,000",✘,✘,␣,SM6 렉스턴,96.2,✘,✘,✘,␣,✔,1671126775,530-14-56978,✘,✔,␣,✘,␣,␣,✘,Z9XOZDQ,✔,1964/8/15,✘,✘,✘,✘,✔,✘,✘
