image_path,015,017,022,033,002,041,032,040,050,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0010.jpg,1930.8.10,␣,␣,✘,쿠웨이트,17,✔,␣,UXA6OAK,✘,조부,MBC플러스,미국,042-5223-2794,경상북도 영덕군 영해면 괴시리 149-19,064-5888-3086,제주특별자치도 제주시 용담일동 300-1,␣,✔,2015,␣,오서찬,전공하다.,043-2477-9905,␣,✘,␣,✔,1049777413,✘,✘,경상남도 진주시 진성면 동부로1548번길 36 (천곡리),34,48390000,갈겸,␣,모,기인송,BONG SEUL-I,064-8649-4502,1992/6/21,15,✘,✔,∅,010-9876-8053,경상남도 창원시 마산합포구 구산면 구복길 32-13 (구복리),권송,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0011.jpg,1982/5/12,KIM MUNCHEOL,서울제약,✘,프랑스,␣,✘,4,U1LJN94,✘,자녀,우리카드,독일,064-3054-6431,충청남도 천안시 서북구 직산읍 남산리 333-3,053-5109-8139,"부산광역시 남구 양지골로 302 (감만동, 대유그린빌)",␣,✔,2017,010-7820-6844,남장규,목적으로,02-936-3514,␣,✔,␣,✘,9546709720,✘,✘,경기도 고양시 덕양구 중앙로64번길 28-22 (화전동),26,␣,정장연,␣,손자녀,빈이든,SEUNG JUNHAE,062-7166-2300,␣,22,✘,✘,∅,010-3159-7308,경기도 안성시 미양면 갈전장등길 22 (갈전리),␣,부회장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0012.jpg,␣,HYEONG YONGSEON,␣,✘,칠레,2,✘,5,UKM763S,✘,부모,조일알미늄,␣,␣,␣,061-1757-9485,경기도 안성시 일죽면 송천리 4-3,유배지였다.,✘,␣,010-4939-8855,가호현,이치에,032-5266-2382,␣,✘,␣,✔,1960303284,✘,✔,제주특별자치도 제주시 노형동 2896-1,31,␣,용고담,9,형제자매,선우하섬,GWON HYEON-IL,055-1652-8810,1918년 12월 6일,12,✘,✘,∅,010-4667-7118,전북특별자치도 김제시 순백1길 74-48 (순동),␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0013.jpg,2020.11.29,␣,␣,✘,보스니아헤르체고비나,18,✘,12,UH13JCN,✔,형제,SNT모티브,오스트리아,041-0635-5364,울산광역시 중구 태화동 150-8 (재민빌라),061-0275-5894,경기도 남양주시 화도읍 폭포로 75 (창현리),않은,✘,2028,010-1565-3175,박서련,죽임을,064-9352-8121,부장,✘,간미생,✔,9588284472,✘,✔,␣,10,␣,단용자,3,부모,단예전,IN MU-I,␣,␣,5,✔,✔,∅,␣,␣,어이운,팀장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0014.jpg,1955.12.05,YEON JULYEON,CJ ENM,✔,␣,28,✘,12,U8KQ2NC,✔,손녀,␣,캐나다,033-5726-8765,경상남도 거제시 장승포동 283-1 (해양식당),␣,경기도 화성시 장안면 족다리길5번길 22 (노진리),어근.,✘,␣,010-3963-4613,␣,운동을,02-141-8516,연구원,✔,길아셀,✘,9981085412,✔,✘,서울특별시 은평구 구산동 304-31,2,"52,920,000",소채라,5,손자,모단미,GYEONG SAE-YEONG,052-8501-6446,1915.8.5,22,✔,✘,∅,010-8051-2695,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0015.jpg,1941-05-15,␣,␣,✘,카자흐스탄,28,✘,␣,UTRSVPW,✔,␣,SKC,요르단,033-5329-3016,␣,042-4880-6183,␣,␣,✘,2026,␣,황송원,길이는,␣,차장,✘,␣,✘,1080130531,✔,✔,"경기도 연천군 군남면 삼거12길 25 (삼거리, 삼거1리사무소)",␣,"19,570,000",␣,␣,자녀,␣,EOM SANHUI,␣,2022.10.16,␣,✔,✔,∅,010-3379-9833,서울특별시 성동구 독서당로42길 7-2 (옥수동),김민주,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/C0016.jpg,2004.09.16,BONG MYEONG-IL,이수그룹,✘,␣,21,✔,1,UO72252,✔,본인,아프리카TV,이란,␣,경기도 시흥시 방산동 787-3 (GS새웅주유소),052-1991-7968,강원특별자치도 춘천시 신동면 풍류길 21 (증리),도와주는,✔,2029,010-6400-0041,␣,장치.,␣,센터장,✔,석초애,✘,9427642314,✘,✘,경기도 의왕시 골사그내길 14-9 (왕곡동),15,"96,350,000",금은산,19,형제,간혜음,PYO HAMBI,061-5641-8722,2040-07-10,22,✘,✘,∅,␣,충청남도 당진시 송산면 장재길 21-5 (동곡리),빈영권,CEO
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0000.jpg,1953/2/4,␣,로윈,✔,␣,25,✘,9,SGJAB8V,✘,자녀,구글코리아,중국,02-572-0900,␣,032-3733-4003,전북특별자치도 정읍시 산외면 운전2길 6-5 (평사리),유예미결이나,✔,2029,␣,␣,중북부의,␣,전임,✘,시건주,✘,1334514980,✘,✘,␣,10,"56,540,000",신병운,30,부모,␣,␣,␣,2035-02-07,11,✔,✘,∅,010-5569-0508,서울특별시 동대문구 망우로21가길 8 (휘경동),노빛찬,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0001.jpg,1957/1/19,HA CHAE-EUM,신영증권,✘,␣,17,✘,1,␣,✘,친척,␣,␣,␣,전라남도 해남군 문내면 충평리 203-4,063-3216-7831,경기도 양주시 덕계동 678-1,"신앙에서,",✘,2017,010-0969-9289,지나율,␣,031-7132-8541,과장,✘,길상일,✘,9001757011,✔,✘,␣,␣,"6,610,000",감주화,20,자녀,␣,PYO DAEMIN,031-9822-9795,2042/1/14,14,✘,✔,∅,␣,강원특별자치도 양양군 서면 논화길 97 (논화리),소슬린,전무
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0002.jpg,1974년 10월 27일,JU YUSONG,␣,✘,인도,16,✘,9,S4MHX3U,✔,친척,로윈,크로아티아,051-8314-4762,경기도 평택시 서정동 875-13,␣,␣,어근.,✘,␣,␣,팽유태,따위로,02-102-3271,␣,✘,␣,✘,1148522340,✔,✘,␣,23,"81,690,000",␣,30,␣,나현지,HWANG HONGJUN,064-4726-3725,␣,␣,✔,✘,∅,010-2566-0338,경기도 평택시 청북읍 현곡2길 31-16 (현곡리),단하나김,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0003.jpg,1952.04.22,␣,␣,✔,이라크,31,✔,3,SK4AN54,✔,아들,␣,오만,041-6515-4279,대구광역시 달성군 현풍읍 현풍동로20길 43-11 (상리),␣,␣,정규,✔,2007,010-2842-9304,전다흰,␣,02-247-4750,부문장,✘,␣,✘,9346117258,✔,✘,␣,␣,"19,630,000",탁려림,29,형제자매,신라혁,␣,␣,1940.05.12,24,✘,✘,∅,010-6048-0526,경기도 고양시 일산동구 장진천길 75-26 (설문동),호유내,CIO
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0004.jpg,1961-01-22,JIN JIGU,하나투어,✘,사우디아라비아,28,✘,9,␣,✔,손자,서일약품,␣,061-1744-3695,␣,␣,␣,견우별,✘,2028,␣,형창의,웃몸,␣,CMO,✔,␣,✘,1745717137,✘,✘,대전광역시 중구 보문로63번안길 45 (부사동),18,53180000,박자룡,26,조부,␣,YUG BON-A,␣,1932년 10월 21일,6,✘,✘,∅,␣,"경기도 이천시 어재연로8번길 36 (중리동, 대원5차아파트)",엄헤일리유나,과장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0005.jpg,1929년 8월 11일,OG MIN-OG,에이비엘바이오,✘,␣,25,✘,␣,S7489FZ,✔,친척,서진시스템,태국,032-7785-9231,충청남도 서산시 대산읍 망일산로 369-1 (운산리),␣,전라남도 순천시 옥천길 371 (옥천동),시작하거나,✘,2021,010-3724-0260,한종열,␣,␣,부문장,✔,선복음,✔,1101275947,✘,✘,경기도 안성시 미양면 구례골길 213-2 (계륵리),24,"18,980,000",␣,5,자녀,편태복,CHOE YEONGSIL,␣,2024/4/19,15,✘,✔,∅,␣,경기도 용인시 처인구 포곡읍 석성로820번길 64-6 (마성리),표관우,대리
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0006.jpg,1997.6.8,MIN GYUMI,대한타이어산업협회,✘,␣,21,✔,2,SU92I65,✔,␣,피에스타,타지키스탄,␣,충청북도 제천시 봉양읍 삼거리 793,␣,충청남도 당진시 송악읍 고대리 194-1517 (유성빌1),␣,✘,2027,010-1625-6235,양아모,작품에,064-7901-8785,이사,✔,신토마스,✘,9907018992,✔,✘,인천광역시 강화군 화도면 마니산로844번길 118 (내리),␣,"8,340,000",장혁성,5,␣,민예언,␣,053-6806-7677,1947.11.22,␣,✘,✔,∅,␣,부산광역시 해운대구 달맞이길62번가길 41 (중동),구령희,상무
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0007.jpg,1901년 6월 6일,HYEON SEONGDAE,농심태경,✔,파키스탄,16,✔,7,SIGZQAZ,✔,조모,한국투자증권,몽골,␣,인천광역시 부평구 경인로920번길 11-26 (부평동),041-6675-9797,전북특별자치도 임실군 강진면 문방1길 122-4 (문방리),수,✘,2032,010-8661-2331,␣,입출력,␣,감사,✘,모송인,✘,1853693863,✘,✘,␣,4,"4,490,000",차리찬,24,배우자,경무림,BEOM YEONHYEOG,043-0286-5156,␣,␣,✔,✔,∅,␣,강원특별자치도 강릉시 주문진읍 해안로 1901 (주문리),␣,부회장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/D0008.jpg,1955.2.15,␣,␣,✘,부탄,␣,✘,9,SZP6EFX,✘,자녀,덕성여자중학교,러시아,055-1090-6673,␣,␣,울산광역시 남구 야음본로 39 (야음동),않는,✘,2001,010-9595-2617,용올리비아앤,␣,063-9938-9824,␣,✔,경새람,✘,1395496346,✘,✘,␣,25,"2,110,000",␣,␣,조부모,감신행,␣,063-557-8012,1924년 9월 7일,12,✔,✔,∅,␣,␣,천애림,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/E0000.jpg,1954년 11월 7일,␣,솔루스첨단소재,✘,불가리아,19,✘,6,ZSNLVLY,✔,부모,CJ제일제당,이라크,031-9582-2249,␣,044-5025-2640,경기도 시흥시 시흥대로412번길 66 (광석동),␣,✘,2040,010-5451-2827,천재마,있다.,031-8053-5338,과장,✔,오택연,✘,9853111466,✘,✘,강원특별자치도 춘천시 남면 박암리 9-3,7,"8,830,000",나시환,17,손자녀,␣,SIM CHEONGHYEON,␣,␣,11,✘,✔,∅,010-3580-8977,전라남도 장성군 삼계면 신정로 186-8 (신기리),␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/E0001.jpg,1934-09-08,WANG MISONG,LG화학,✔,우크라이나,11,✘,6,ZEZP80E,✘,자매,한진해운,볼리비아,054-6624-6835,충청북도 옥천군 안내면 현리길 126-2 (현리),␣,전북특별자치도 군산시 임피면 석곡길 3-6 (보석리),␣,✘,2000,␣,봉재균,␣,␣,주임,✘,␣,✘,1073698387,✘,✘,␣,2,"15,950,000",␣,␣,␣,편주한,␣,043-8493-6646,2038.4.25,14,✘,✘,∅,010-7716-3244,울산광역시 동구 번덕4길 65-1 (일산동),␣,차장
/mnt/AI_NAS/Data/현대캐피탈/data/images/158/E0002.jpg,1935/11/29,SANG LYEONGJA,␣,✘,␣,␣,✘,1,␣,✔,␣,␣,폴란드,␣,충청북도 영동군 영동읍 설계리 189-2 (조은하우스B),062-6165-2217,서울특별시 영등포구 신길동 61-60,주책없이,✘,2018,010-0871-8943,감동효,있어,␣,␣,✔,여교리,✘,␣,✔,✘,␣,18,␣,여일영,5,배우자,국유솔,JE GALHAESIN,␣,␣,␣,✘,✔,∅,␣,␣,윤한찬,파트장
