image_path,015,017,022,033,002,032,040,036,019,008,016,013,026,027,006,023,038,039,018,009,021,024,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0015.jpg,서울 강남구 테헤란로 1245,✔,✔,2025.08.20,␣,✔,␣,김채재,8,✘,✔,20,㈜ 미래솔루션,김채재,✔,✘,∅,␣,2025,␣,㈜ 미래솔루션,✔,✔,강남지점,자택,␣,20,␣,␣,2025,2022,㈜ 미래솔루션,02-1234-5678,✘,123-45-67890,✔,㈜ 미래솔루션,기아 카니발,8,JP모터스,67가 9012
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0016.jpg,경기도 용인시 수지구 1477,✘,✔,2025.11.05,␣,✔,␣,민윤재,11,✘,✔,05,㈜ 한빛개발,민윤재,✔,✘,∅,␣,2025,␣,(구) 한빛개발,✔,✔,용인지점,대리점,␣,05,␣,␣,2025,2019,(주)한빛개발,031-1234-5678,✘,234-56-78901,✔,㈜ 한빛개발,현대 싼타페,11,네바퀴 사랑,78 가 0123
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0017.jpg,대전 유성구 123-78,✔,✔,2025.06.20,␣,✔,␣,유재,06,✘,✔,20,㈜ 새롬테크,유재,✔,✘,∅,␣,2025,␣,㈜ 새롬테크,✔,✔,대전지점,사업장,␣,20,␣,␣,2025,2020,㈜ 새롬테크,042-1234-5678,✘,345-67-89012,✔,㈜ 새롬테크,현대 아반떼,06,대영 모터스,89가 1234
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0018.jpg,광주 동구 14785,✘,✔,2025.10.20,␣,✔,␣,하남성,10,✘,✔,20,㈜ 영진물산,하남성,✔,✘,∅,␣,2025,␣,㈜ 영진물산,✔,✔,북구지점,자택,␣,20,␣,␣,2025,2023,㈜ 영진물산,062-1234-5678,✘,456-78-90123,✔,㈜ 영진물산,제네시스 G 90,10,해피카,90가 2345
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0019.jpg,울산 중구 352-98,✘,✔,2025 12 03,␣,✔,␣,구솔태,␣,✘,✘,03,(주)금강산업,구솔태,✔,✘,∅,␣,␣,␣,(주)금강산업,✔,✔,울산지점,대리점,␣,␣,␣,␣,2025,2021,금강산업,052-1234-5678,✘,567-89-01234,✔,(주)금강산업,기아 스포티지,12,SUN 모터스,01가 3456
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0020.jpg,제주 제주시 노형동 89-57,✘,✔,2025.7.8,␣,✔,␣,문빛진,7,✘,✔,8,대우무역,문빛진,✔,✘,∅,␣,2025,␣,㈜ 대우무역,✔,✔,제주지점,사업장,␣,8,␣,␣,2025,2019,㈜ 대우무역,064-1234-5678,✘,678-90-12345,✔,㈜ 대우무역,현대 쏘나타,7,아라오토,12 가 4567
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0021.jpg,강릉 경포동 78-95,✘,✔,2025.01.12,␣,✔,␣,석현예,01,✘,✔,12,에너지포스,석현예,✔,✘,∅,␣,2025,␣,에너지포스,✔,✔,강릉지점,자택,␣,12,␣,␣,2025,2022,에너지포스,033-1234-5678,✘,789-01-23456,✔,에너지포스,기아 레이,01,애플카,23가 5678
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0022.jpg,춘천 중앙로 788-95,✔,✔,2025.02.25,␣,✔,␣,천영호,2,✘,✔,25,에어로스페이스,천영호,✔,✘,∅,␣,2025,␣,에어로스페이스,✔,✔,춘천지점,대리점,␣,25,␣,␣,2025,2023,에어로스페이스,033-2222-3333,✘,890-12-34567,✔,에어로스페이스,제네시스 GV70,2,주식회사 케이자동차,34가 6789
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0023.jpg,천안 서북구 147-58,✔,✔,2025.08.18,␣,✔,␣,인윤유,8,✘,✔,18,매직제일물산,인윤유,✔,✘,∅,␣,2025,␣,매직제일물산,✔,✔,천안지점,사업장,␣,18,␣,␣,2025,2022,매직제일물산,041-3333-4444,✘,901-23-45678,✔,매직제일물산,현대 코나,8,주식회사 미소자동차,45 가 7890
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0024.jpg,나주 빛가람동 589-98,✔,✔,2025.12.03,␣,✔,␣,금현솔,12,✘,✔,03,전자디스플레이,금현솔,✔,✔,∅,␣,2025,␣,전자디스플레이,✔,✔,나주지점,자택,␣,03,␣,␣,2025,2021,전자디스플레이,061-4444-5555,✘,012-34-56789,✔,전자디스플레이,기아 스포티지,12,㈜ 더 드림카,56 가 8901
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0025.jpg,포항 남구 456-87,✔,✔,2025.06.15,␣,✔,␣,홍서채,6,✘,✔,15,삼성수산,홍서채,✔,✔,∅,␣,2025,␣,삼성수산,✔,✔,포항지점,대리점,␣,15,␣,␣,2025,2020,삼성수산,054-5555-6666,✘,123-45-67891,✔,삼성수산,현대 팰리세이드,6,(주)한누리모터스,67가 9012
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0026.jpg,전주 완산구 111-78,✔,✔,2025.10.20,전주 완산구 111-78,✔,␣,방진아,10,✘,✔,20,현대모직,방진아,✔,✘,∅,␣,2025,␣,현대모직,✔,✔,전주지점,사업장,␣,20,␣,␣,2025,2019,현대모직,063-6666-7777,✘,234-56-78902,✔,현대모직,현대쏘나타,10,주식회사 더카프라자,78가 0123
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0027.jpg,대구 수성구 1447-8,✔,✔,2025.4.5,␣,✔,␣,남시라,4,✘,✔,5,제일수산,남시라,✔,✘,∅,␣,2025,␣,제일수산,✔,✔,대구지점,자택,␣,5,␣,␣,2025,2021,제일수산,053-7777-8888,✘,345-67-89013,✔,제일수산,기아 스포티지,4,주식회사 바른손,89 가 1234
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0028.jpg,부산 해운대구 7851,✔,✔,2025.03.01,␣,✔,␣,추빛지,03,✘,✔,01,제일주류,제일주류,✔,✘,∅,␣,2025,␣,제일주류,✔,✔,해운대지점,대리점,␣,01,␣,␣,2025,2023,제일주류,051-8888-9999,✔,456-78-90124,✔,제일주류,제네시스 G90,03,신화,90가 2345
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/A0029.jpg,␣,✘,✔,2025.05.15,␣,✔,␣,서준우,5,✘,✔,15,제일통신,서준우,✔,✘,∅,␣,2025,␣,제일통신,✔,✔,강남지점,사업장,␣,15,␣,␣,2025,2020,제일통신,02-9999-0000,✘,567-89-01235,✔,제일통신,현대 팰리세이드,5,더마니카,01가 3456
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0000.jpg,␣,✘,✘,1983-05-26,␣,✔,HQUG48B,갈이래,11,✘,✔,16,목구멍에,␣,✘,✘,∅,1994280046,␣,␣,␣,✔,✘,결론하다01,하다.,9,␣,8,␣,␣,2031,␣,063-2232-4865,✘,2029년 7월 19일,✘,변진무,␣,2,␣,71도 4380
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0001.jpg,전라남도 구례군 구례읍 봉북리 95-3,✘,✘,1945년 1월 21일,␣,✘,HJZFM7E,간미련,7,✔,✘,31,메소포타미아,␣,✘,✘,∅,9652816924,2023,339379,손주휼,✘,✔,혼자,누가04를,22,27,1,2028,␣,␣,추하루나,␣,✘,1979.3.21,✘,강소설,벨로스터 i30,4,␣,81조 6489
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0002.jpg,␣,✘,✔,2032.7.12,␣,✘,␣,지류준,2,✘,✘,1,이르는,␣,✘,✘,∅,9011218986,␣,␣,봉여루,✘,✔,지표의,청화11,12,15,␣,2036,2017,2025,송관훈,␣,✘,1983.07.15,✘,류예봄,␣,2,좌원결,976고 7981
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0003.jpg,␣,✘,✘,1931/2/14,"인천광역시 미추홀구 염전로261번길 40 (도화동, 보은하드웨어)",✘,␣,␣,8,✘,✔,3,␣,"유황,",✘,✔,∅,1764187725,2022,␣,어항윤,✔,✔,␣,관문04,27,␣,10,2015,␣,2006,어보향,064-1136-0577,✘,1917.4.15,✔,␣,911 Q5,5,곽재련,938누 0137
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0004.jpg,␣,✘,✘,2027.8.16,전북특별자치도 김제시 금구면 산동리 56-9,✘,HKHNQIB,왕정결,8,✘,✘,23,"추는,",␣,✘,✔,∅,1681578774,␣,미리,박재창,✘,✘,␣,종석.,8,15,␣,␣,␣,2024,태선연,055-6700-0057,✘,1914-07-12,✘,이감찬,i30 아반떼,6,␣,764러 2890
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0005.jpg,부산광역시 남구 고동골로69번길 110-6 (문현동),✘,✔,1928.08.29,경기도 하남시 하남대로643번길 36 (천현동),✔,HK0ZSPW,임초해,␣,✘,✔,␣,␣,␣,✘,✔,∅,9174859243,2006,곳.,␣,✔,✔,지내,"정도이며,",9,24,5,2031,2020,␣,남동신,042-1547-5115,✘,␣,✔,박레미,A6 5 시리즈,␣,길아원,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0006.jpg,␣,✘,✔,1919년 6월 8일,␣,✘,HUB4D3V,천병화,4,✘,✔,2,첩첩이,꽃,✘,✘,∅,␣,2000,털빛이,서문윤익,✘,✘,미리,자백을,23,5,2,2004,2016,2006,민미로,063-5142-1444,✘,1923/6/9,✘,␣,스타리아쉐보레 SM6,4,음구현,770도 2483
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0007.jpg,경기도 평택시 도일동 15-8,✘,✘,2009-01-29,경기도 연천군 신서면 동내로1346번길 469 (내산리),✘,H0QXH9I,␣,7,✘,✔,␣,양반의,물이,✔,✘,∅,1320241806,2020,역청질,␣,✔,✔,년,의논을,4,7,11,␣,2007,2000,형선자,063-8287-1879,✘,2033/9/22,✔,탁현예,e-트론 트랙스,2,국세벽,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0008.jpg,␣,✘,✔,2036.05.08,␣,✔,HGDNEGF,␣,␣,✘,✘,␣,신라,성.,✘,✘,∅,9393893241,␣,␣,␣,✔,✘,␣,무덤에서,5,␣,11,2040,␣,␣,표난,052-8153-5993,✘,␣,✘,감인아,SM3 e-트론,6,구예손,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0009.jpg,"서울특별시 영등포구 가마산로46길 14 (대림동, 제일빌딩)",✘,✘,1922.4.16,␣,✔,H40UDHN,␣,6,✘,✘,␣,␣,군사들과,✘,✘,∅,1677987272,2019,␣,태희태,✘,✔,␣,아울러,8,␣,␣,2017,2032,2037,주은철,␣,✘,␣,✘,␣,파나메라 트래버스,7,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0010.jpg,"경상남도 함안군 칠서면 공단북안길 21 (계내리, 옥창산업)",✔,✘,␣,제주특별자치도 제주시 한경면 용금로 787 (저지리),✘,HBETK5E,␣,11,✘,✔,␣,쪽.,␣,✘,✔,∅,1646852062,2031,␣,␣,✔,✔,있다.,유지하고,␣,30,␣,␣,2014,2010,␣,054-5578-0636,✔,1960/9/27,✘,␣,BMW 아우디,4,부아힌,52조 5102
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/D0011.jpg,␣,✘,✘,␣,서울특별시 강북구 미아동 791-24,✔,HKJCQUH,␣,4,✘,✔,21,␣,느리고,✘,✘,∅,1961026616,␣,흉기나,국민오,✘,✘,␣,얼어붙다.,␣,26,␣,␣,␣,␣,␣,031-9371-1901,✔,1988.10.28,✘,한사미,␣,2,범화림,45주 0138
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/E0000.jpg,"경상북도 영주시 문수면 무섬로234번길 11-10 (수도리, 국가중요문화유산만죽재고택)",✔,✘,2041년 11월 22일,경기도 파주시 금정24길 18-9 (금촌동),✘,␣,␣,12,✘,✘,␣,␣,산성화되다.,✘,✘,∅,1645210323,2036,천약하다,임부권,✘,✘,어성봉,나누어,31,29,9,2035,␣,␣,␣,054-9097-8053,✘,2042/9/29,✔,피노윤,␣,␣,표이치카,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/E0001.jpg,␣,✘,✘,2028.6.29,제주특별자치도 제주시 오라로 28 (오라삼동),✔,I17P7VC,␣,5,✘,✘,13,␣,나와,✘,✘,∅,␣,␣,부부가,␣,✘,✔,의술에,␣,14,2,␣,␣,␣,2010,차기안,054-7518-7848,✔,␣,✘,전모라,i4 현대,4,감길후,44로 9718
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/E0002.jpg,경상북도 경주시 산내면 의곡리 171,✔,✘,1967.12.8,경상남도 거제시 사등면 가조로 1154 (창호리),✘,ILSMJG0,편건우,4,✘,✘,22,␣,주체가,✘,✘,∅,9620273188,2013,가로막의,변의연,✔,✘,하다,근동01,␣,3,1,␣,2031,2010,간채현,␣,✘,␣,✘,방인숙,␣,␣,장영찬,527마 0769
/mnt/AI_NAS/Data/현대캐피탈/data/images/548/E0003.jpg,경상북도 성주군 월항면 인촌1길 34 (인촌리),✘,✔,␣,␣,✔,I4P9SID,신진서,␣,✘,✔,28,␣,␣,✘,✘,∅,9275046400,␣,생겼으나,명한주,✘,✘,사람의,␣,7,␣,␣,␣,2003,␣,성다별,031-3635-3151,✔,2019/9/19,✘,소은빛,QM5 하이랜더,␣,동보민,72고 4221
