image_path,015,017,022,033,002,041,032,040,050,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0010.jpg,␣,␣,␣,✘,␣,07,✘,10,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 마포구 상암산로 7890, 유스페이스 아파트 102동 1007호",␣,✔,2025,␣,우나서,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,우나서,UNASEO,␣,81.1.21,␣,✘,✘,∅,010-9157-4263,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0011.jpg,␣,␣,␣,✘,␣,31,✘,12,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 중구 한강대로 1234, 갤러리아 아파트 202동 2008호",␣,✘,2025,␣,황호서재,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,황호서재,HWANGHOSEOJAE,␣,1981-02-09,␣,✘,✘,∅,010-2864-1957,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0012.jpg,␣,␣,␣,✘,␣,09,✘,01,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 강남구 테헤란로 5678, 해링턴 아파트 302동 3009호",␣,✔,2025,␣,차빛윤,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,차빛윤,CHABICHYUN,␣,1981-02-25,␣,✘,✘,∅,010-5309-7182,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0013.jpg,␣,␣,␣,✘,␣,16,✘,03,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 강남구 테헤란로 9012, 아이파크 아파트 103동 1010호",␣,✘,2025,␣,신하나초,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,신하나초,SINHANACHO,␣,1981-03-14,␣,✘,✘,∅,010-7182-5309,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0014.jpg,␣,␣,␣,✘,␣,23,✘,05,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 여의도동 3456, 롯데 APT 203동 2011호",␣,✔,2025,␣,백아도,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,백아도,BAEGADO,␣,1981-03-29,␣,✘,✘,∅,010-8520-6491,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0015.jpg,␣,␣,␣,✘,␣,05,✘,07,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 마포구 상암산로 7890, 래미안 아파트 303동 3012호",␣,✘,2025,␣,금별성호,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,금별성호,GEUMBYEORSEONGHO,␣,1984.11.09,␣,✘,✘,∅,010-0946-2853,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0016.jpg,␣,␣,␣,✘,␣,19,✘,09,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 용산구 용산대로 1234, 힐스테이트 아파트 104동 1013호",␣,✔,2025,␣,설수민,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,설수민,SEORSUMIN,␣,1984.11.25,␣,✘,✘,∅,010-3719-5284,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0017.jpg,␣,␣,␣,✘,␣,14,✘,11,␣,✘,✔,␣,␣,␣,␣,␣,␣,"울산광역시 남구 삼산로 890, 롯데 A 201-2002",␣,✘,2025,␣,나나래라,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,나나래라,NANARAERA,␣,1984-12-07,␣,✘,✘,∅,010-6547-8912,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0018.jpg,␣,␣,␣,✘,␣,28,✘,2,␣,✘,✔,␣,␣,␣,␣,␣,␣,"제주특별자치도 제주시 연동 456, 래미안 아파트 201동 2002호",␣,✔,2025,␣,임준예,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,임준예,IMJUNYE,␣,1984-12-23,␣,✘,✘,∅,010-1852-9637,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0019.jpg,␣,␣,␣,✘,␣,01,✘,04,␣,✘,✔,␣,␣,␣,␣,␣,␣,"제주특별자치도 서귀포시 중문관광로 789, 캐슬 아파트 201동 2005호",␣,✘,2025,␣,육별현,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,육별현,YUGBYEORHYEON,␣,1985.01.14,␣,✘,✘,∅,010-4926-3815,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0020.jpg,␣,␣,␣,✘,␣,17,✘,06,␣,✘,✔,␣,␣,␣,␣,␣,␣,"제주특별자치도 제주시 연동 1011, 힐스테이트 아파트 301동 3003호",␣,✔,2025,␣,황정솔현,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,황정솔현,HWANGJEONGSORHYEON,␣,1985.01.30,␣,✘,✘,∅,010.7635.2981,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0021.jpg,␣,␣,␣,✘,␣,24,✘,08,␣,✘,✔,␣,␣,␣,␣,␣,␣,"대전광역시 유성구 대덕대로 456, 래미안 아파트 201동 2002호",␣,✘,2025,␣,황보서하,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,황보서하,HWANGBOSEOHA,␣,1985.02.16,␣,✘,✘,∅,010-2581-9476,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0022.jpg,␣,␣,␣,✘,␣,10,✘,10,␣,✘,✔,␣,␣,␣,␣,␣,␣,"경기도 성남시 분당구 대왕판교로 123, 래미안 아파트 101동 1001호",␣,✔,2025,␣,한은라,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,한은라,HANEUNRA,␣,1985.3.4,␣,✘,✘,∅,010-5963-1824,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0023.jpg,␣,␣,␣,✘,␣,8,✘,12,␣,✘,✔,␣,␣,␣,␣,␣,␣,"경기도 화성시 정조로 456, 현대 아파트 201동 2002호",␣,✘,2025,␣,주나래성하윤,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,주나래성하윤,JUNARAESEONGHAYUN,␣,1985.03.22,␣,✘,✘,∅,010-8241-7596,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0024.jpg,␣,␣,␣,✘,␣,21,✘,01,␣,✘,✔,␣,␣,␣,␣,␣,␣,"경기도 판교테크노밸리 789, 아이파크 아파트 301동 3003호",␣,✔,2025,␣,모준은,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,모준은,MOJUNEUN,␣,1985.04.08,␣,✘,✘,∅,010-3195-6482,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0025.jpg,␣,␣,␣,✘,␣,30,✘,03,␣,✘,✔,␣,␣,␣,␣,␣,␣,"전라남도 나주시 빛가람로 123, 래미안 아파트 101동 1001호",␣,✘,2025,␣,강아슬,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,강아슬,GANGASEUR,␣,1985-04-24,␣,✘,✘,∅,010-6824-5179,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0026.jpg,␣,␣,␣,✘,␣,13,✘,5,␣,✘,✔,␣,␣,␣,␣,␣,␣,"경상북도 포항시 남구 포스코대로 456, 현대 아파트 201동 2002호",␣,✔,2025,␣,육은예,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,육은예,YUGEUNYE,␣,1985.05.14,␣,✘,✘,∅,010-9517-2648,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0027.jpg,␣,␣,␣,✘,␣,27,✘,07,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 강남구 테헤란로 123, 래미안 아파트 101동 1001호",␣,✘,2025,␣,석준시,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,석준시,SEOGJUNSI,␣,1985-05-30,␣,✘,✘,∅,010-4268-0395,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0028.jpg,␣,␣,␣,✘,␣,06,✘,09,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 중구 한강대로 456, 현대 아파트 201동 2002호",␣,✔,2025,␣,유예서,␣,␣,␣,✘,␣,✘,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,유예서,YUYESEO,␣,1985-06-11,␣,✘,✘,∅,010-7956-8123,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/A0029.jpg,␣,␣,␣,✘,␣,20,✘,11,␣,✘,✔,␣,␣,␣,␣,␣,␣,"서울특별시 영등포구 여의대로 789, 아이파크 아파트 301동 3003호",␣,✘,2025,␣,허도호,␣,␣,␣,✘,␣,✔,✘,␣,✘,✘,␣,␣,␣,␣,␣,␣,허도호,HEODOHO,␣,1985-06-27,␣,✘,✘,∅,010-1632-5874,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0000.jpg,␣,I YUNSOL,␣,✘,␣,10,✘,8,SWUPZ4M,✘,✘,손자,␣,니카라과,␣,␣,␣,충청남도 공주시 반포면 공암리 459-52,따위가,✘,2018,␣,␣,승려.,␣,감사,✔,신도란,✔,✘,␣,✘,✘,경기도 의왕시 고산로 87 (고천동),29,"66,870,000",␣,22,조부,␣,DAN WONGEON,044-7042-3676,␣,␣,✘,✔,∅,␣,␣,서문조휘,이사
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0001.jpg,2001년 9월 18일,DAN SOHWI,␣,✘,베네수엘라,26,✘,9,␣,✔,✘,␣,신한냉동,미국,042-7168-4829,경기도 성남시 중원구 금광동 2969 (신구빌라),␣,충청북도 청주시 서원구 모충동 473 (두산한솔아파트),데가,✘,2039,010-7495-5319,곽이만,써서,063-7063-6300,선임,✔,장에슐리,✘,✘,9925572158,✘,✘,␣,11,67630000,박현욱,11,자매,추성범,GAM JUNA,052-4911-5648,␣,␣,✘,✔,∅,010-3063-2198,경기도 용인시 처인구 삼가동 195-15,서성흔,본부장
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0002.jpg,1918년 9월 10일,␣,교학사,✘,코스타리카,␣,✔,2,S8DIT08,✘,✔,본인,SK커뮤니케이션즈,루마니아,043-3917-5080,경상남도 합천군 합천읍 마령로 320-9 (금양리),␣,␣,절연체를,✘,2032,␣,표신띠아,␣,043-3510-3640,␣,✘,␣,✘,✘,9505045488,✘,✘,경기도 남양주시 수동면 비룡로 606 (송천리),␣,"59,210,000",␣,␣,본인,안호미,JE ISEOG,051-9482-2878,2020.8.6,30,✔,✔,∅,010-8106-3124,서울특별시 도봉구 방학동 646-22,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0003.jpg,␣,␣,롯데에너지머티리얼즈,✔,␣,16,✔,␣,SS3GLXZ,✘,✘,배우자,RBW,인도네시아,042-2169-6323,␣,␣,제주특별자치도 서귀포시 대정읍 안성리 1104-6,␣,✘,␣,010-4930-3366,␣,"남산종,",032-1069-6094,␣,✔,배성남,✘,✘,1569340219,✔,✘,전라남도 목포시 대의동2가 7-3,2,␣,마경보,30,자매,␣,GEUM JUNGHUN,054-4954-8292,1927/9/25,1,✘,✘,∅,␣,"인천광역시 강화군 강화읍 강화대로 294-6 (갑곳리, 지혜음악학원)",␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0004.jpg,1944-02-26,BAE SON-A,␣,✘,␣,␣,✘,2,S8DMTT3,✘,✘,딸,␣,인도네시아,042-9432-0233,␣,061-3003-0103,전라남도 장흥군 안양면 기산리 407,유약,✘,␣,010-9449-2609,유론,근착되다,␣,␣,✔,␣,✘,✘,1780808045,✘,✔,울산광역시 중구 남외동 1009-4,␣,"24,320,000",소강균,1,딸,␣,YONG WONHU,061-8388-1737,1957/11/4,7,✘,✘,∅,010-8776-4177,␣,␣,사장
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0005.jpg,1943-07-14,ON SANGMYEONG,LX MDI,✔,루마니아,␣,✘,2,S9S7QG3,✘,✔,부모,태원물산,␣,041-3292-2252,␣,␣,␣,때,✘,2004,010-1298-6027,제갈인옥,일다.,055-2990-6239,부장,✔,설록은,✘,✘,1028960249,✔,✘,␣,19,"87,260,000",전대연,3,모,복성엽,TAG SEONGHUI,␣,2033/9/13,25,✔,✘,∅,010-2219-8774,␣,도호진,실무자
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0006.jpg,2028.3.15,SEONG HAE-EON,종근당,✔,␣,␣,✘,6,␣,✘,✔,형제자매,유니드비티플러스,␣,052-5692-7563,인천광역시 서구 완정로10번길 6-9 (마전동),054-6004-0376,␣,엮었다.,✘,2001,010-5955-9061,␣,␣,␣,␣,✔,제용연,✘,✘,1526922656,✘,✘,␣,3,"95,840,000",민두찬,␣,본인,봉화채,PYO HAE-YUN,061-463-3006,␣,25,✔,✔,∅,010-3048-1553,충청북도 음성군 음성읍 읍내리 293-1,␣,CFO
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0007.jpg,1953.08.05,BIN HWALYEONG,유니세프,✔,그리스,␣,✘,10,S3WT3IR,✘,✔,조모,우일화학,덴마크,031-0151-5665,경기도 광주시 탄벌동 110-1,061-5419-7800,부산광역시 수영구 광안해변로295번길 41-3 (민락동),여러,✔,2022,010-9594-0239,길클로에,␣,032-9311-9605,파트장,✘,편시재,✘,✘,1152780291,✔,✔,경상북도 구미시 여헌로 32-36 (인의동),18,"87,120,000",진은협,14,조모,␣,␣,033-7542-2953,␣,30,✘,✔,∅,010-5528-8439,충청남도 서천군 마서면 계동리 415,구해금,사원
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/D0008.jpg,1971/6/20,␣,웨이크원,✔,독일,2,✘,7,SK7D0KH,✘,✔,␣,␣,동티모르,02-978-5329,␣,044-8960-1594,서울특별시 성북구 삼선동1가 83-2,문신(134,✘,2003,␣,구그리,산.,044-1454-2209,사원,✘,구시령,✘,✘,␣,✘,✘,␣,11,␣,양천웅,23,자녀,서힘찬,SONG CHUNGMAN,033-8677-8927,␣,24,✘,✔,∅,␣,경기도 평택시 팽성읍 석근리 4-23 (힐탑빌리지),마나나미,선임
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/E0000.jpg,␣,SANG SEUNG-UI,선진운수,✘,몽골,␣,✘,7,Z3IRHES,✔,✔,␣,일진하이솔루스,␣,␣,경상남도 창녕군 영산면 서리상촌길 77-11 (신제리),02-102-1451,␣,대하여,✔,2016,010-3657-3536,모인용,␣,␣,인턴,✔,␣,✔,✔,␣,✔,✘,경상북도 문경시 동로면 마광길 61 (마광리),7,"6,660,000",␣,26,형제,안진보,PYO HAEBICH,063-7858-5139,1963-04-12,4,✔,✔,∅,010-2412-2899,␣,␣,회장
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/E0001.jpg,␣,HONG BO-YUN,안다미로 (게임 기업),✘,␣,27,✘,␣,ZZPC65D,✘,✘,␣,대성출판,␣,064-7163-8522,전라남도 해남군 산이면 금호길 112-1 (금호리),043-8358-1825,서울특별시 성북구 장월로11길 20 (장위동),␣,✘,␣,␣,조아라,우리나라에서,053-4357-5299,상무,✔,빈정교,✘,✘,1536510066,✔,✔,␣,13,"84,980,000",경은승,␣,친척,길류지,YUN SU-YUN,041-4219-1042,1972.6.3,␣,✔,✘,∅,010-9134-5002,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/072/E0002.jpg,2009년 5월 9일,␣,␣,✘,타지키스탄,15,✘,6,ZEKNCTO,✔,✘,␣,크리오,␣,033-5168-1701,경기도 포천시 이동면 도평리 216-4,051-1801-1024,경상북도 예천군 개포면 황산1길 117 (황산리),손가락의,✔,␣,␣,당담덕,␣,␣,␣,✔,팽다화,✘,✘,9070905250,✔,✔,부산광역시 동래구 명륜로129번다길 11-3 (명륜동),␣,52660000,원예천,␣,부모,␣,U SIN-UNG,051-2546-7932,␣,10,✘,✘,∅,010-7047-9128,강원특별자치도 춘천시 후평동 711-27,고민강,상무
