image_path,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,072,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,074,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,075,031,048,066,073,004,012,027
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0010.jpg,␣,␣,␣,천팔백십만원,␣,␣,␣,␣,13.6,✘,␣,␣,␣,12,␣,␣,✘,16.6,␣,␣,␣,✘,␣,␣,✔,"18,100,000","18,100,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,공장개발종합건설,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,남궁진아시도,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0011.jpg,␣,␣,␣,오천만원,␣,␣,␣,␣,9.2,✘,␣,␣,␣,24,␣,␣,✘,12.2,␣,␣,␣,✘,␣,␣,✔,"50,000,000","50,000,000",✘,␣,✔,✔,␣,␣,12,31,✘,"35,000",␣,(주)한일통운,␣,✘,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,염빛유,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0012.jpg,␣,␣,␣,오천이백사십만원,␣,␣,␣,␣,5.9,✘,␣,␣,␣,60,␣,␣,✘,8.9,␣,␣,␣,✘,␣,␣,✔,"52,400,000","52,400,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,"35,000",␣,주식회사 남경전기,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,사공하나라,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0013.jpg,␣,␣,␣,삼천오백오십만원,␣,␣,␣,␣,7.7,✘,␣,␣,␣,36,␣,␣,✘,10.7,␣,␣,␣,✘,␣,␣,✔,"35,500,000","35,500,000",✘,␣,✔,✔,␣,␣,03,16,✘,␣,␣,석재용달화물,␣,✘,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,인윤시,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0014.jpg,␣,␣,␣,오천만원,␣,␣,␣,␣,10.4,✘,␣,␣,␣,48,␣,␣,✘,13.4,␣,␣,␣,✘,␣,␣,✔,"50,000,000","50,000,000",✘,␣,✔,✔,␣,␣,05,23,✘,"35,000",␣,대한예수교장로회예심교회,␣,✘,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,위하나민,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0015.jpg,␣,␣,␣,이천만원,␣,␣,␣,␣,6.1,✘,␣,␣,␣,12,␣,␣,✘,9.1,␣,␣,␣,✘,␣,␣,✔,"20,000,000","20,000,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,어상식품영농조합법인,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,안연현,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0016.jpg,␣,␣,␣,이천칠백오십만원,␣,␣,␣,␣,14.9,✘,␣,␣,␣,24,␣,␣,✘,17.9,␣,␣,␣,✘,␣,␣,✔,"27,500,000","27,500,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,화원산업개발(주),␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,설예민,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0017.jpg,␣,␣,␣,천구백팔십만원,␣,␣,␣,␣,8.8,✘,␣,␣,␣,60,␣,␣,✘,11.8,␣,␣,␣,✘,␣,␣,✔,"19,800,000","19,800,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,사단법인사회적기업청람,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,탁예연,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0018.jpg,␣,␣,␣,이천사백오십만원,␣,␣,␣,␣,4.5,✘,␣,␣,␣,36,␣,␣,✘,7.5,␣,␣,␣,✘,␣,␣,✔,"24,500,000","24,500,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,대륙엔지니어링,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,석도은,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0019.jpg,␣,␣,␣,이천백삼십만원,␣,␣,␣,␣,11.3,✘,␣,␣,␣,48,␣,␣,✘,14.3,␣,␣,␣,✘,␣,␣,✔,"21,300,000","21,300,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,부전수산,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,유서영,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0020.jpg,␣,␣,␣,삼천삼백육십만원,␣,␣,␣,␣,8.5,✘,␣,␣,␣,24,␣,␣,✘,11.5,␣,␣,␣,✘,␣,␣,✔,"33,600,000","33,600,000",✘,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,연천상운,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,배서율,␣,✘,␣,␣,␣,␣,␣,✔,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0021.jpg,␣,␣,␣,삼천삼백육십만원,␣,␣,␣,␣,8.5,✘,␣,␣,␣,24,␣,␣,✘,11.5,␣,␣,␣,✘,␣,␣,✔,"33,600,000","33,600,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,대구컴퓨터학원,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,서솔지,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0022.jpg,␣,␣,␣,사천구백육십만원,␣,␣,␣,␣,12.2,✘,␣,␣,␣,60,␣,␣,✘,15.2,␣,␣,␣,✘,␣,␣,✔,"49,600,000","49,600,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,"35,000",␣,(주)수호전자,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,독고서민,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0023.jpg,␣,␣,␣,이천팔백사십만원,␣,␣,␣,␣,5.1,✘,␣,␣,␣,12,␣,␣,✘,8.1,␣,␣,␣,✘,␣,␣,✔,"28,400,000","28,400,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)아주산업,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,하진채,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0024.jpg,␣,␣,␣,이천팔백만원,␣,␣,␣,␣,9.8,✘,␣,␣,␣,36,␣,␣,✘,12.8,␣,␣,␣,✘,␣,␣,✔,"28,000,000","28,000,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)세미레외장,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,손나연,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0025.jpg,␣,␣,␣,천팔백만원,␣,␣,␣,␣,6.7,✘,␣,␣,␣,48,␣,␣,✘,9.7,␣,␣,␣,✘,␣,␣,✔,"18,000,000","18,000,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,태백약초영농조합,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,김서,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0026.jpg,␣,␣,␣,천삼백구십만원,␣,␣,␣,␣,14.5,✘,␣,␣,␣,24,␣,␣,✘,17.5,␣,␣,␣,✘,␣,␣,✔,"13,900,000","13,900,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)미래ENG,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,노나래빛,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0027.jpg,␣,␣,␣,삼천칠백오십만원,␣,␣,␣,␣,7.3,✘,␣,␣,␣,12,␣,␣,✘,10.3,␣,␣,␣,✘,␣,␣,✔,"37,500,000","37,500,000",✔,␣,✔,✔,␣,␣,␣,␣,✘,␣,␣,(주)대상,␣,✘,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,방라민,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0028.jpg,␣,␣,␣,천삼백사십만원,␣,␣,␣,␣,11.9,✘,␣,␣,␣,60,␣,␣,✘,14.9,␣,␣,␣,✘,␣,␣,✔,"13,400,000","13,400,000",✔,␣,✔,✔,␣,␣,9,6,✘,␣,␣,(주)뉴컴퍼니,␣,✘,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,강수솔,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/A0029.jpg,␣,␣,␣,삼천팔백만원,␣,␣,␣,␣,4.8,✘,␣,␣,␣,36,␣,␣,✘,7.8,␣,␣,␣,✘,␣,␣,✔,"38,000,000","38,000,000",✔,␣,✔,✔,␣,␣,11,20,✘,␣,␣,(주)광명도장산업,␣,✘,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,주서현,␣,✘,␣,␣,␣,␣,␣,✘,␣,␣,✔,␣,∅,␣,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0000.jpg,16,11.2,34,칠천오백팔십일만,2.0,20.2,효과기에,2.0,61.3,✘,"24,720,000",␣,17,12,37.4,70.6,✘,53.0,11,␣,21,✔,거칠고,␣,✘,␣,"27,740,000",✘,17,✘,✘,13.6,"8,690,000",␣,31,✔,"4,350,000",18,␣,"9,770,000",✔,9494454041,5.2,␣,2023,7KNDNBFGCO,␣,␣,✘,␣,16,81.4,5,18,12,"3,910,000",70.5,3,위원으로,␣,␣,✘,봉창은,6230000,82.3,␣,"6,760,000",✘,SQUZVRK,␣,✘,27WAOKS25W,∅,팔천육백십육만,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0001.jpg,27,18.1,␣,이천구백사십사만,15.0,␣,그대로,21.1,40.1,✔,"8,960,000",␣,13,10,49.3,33.5,✘,␣,28,␣,␣,✘,보다.,␣,✔,"93,330,000","33,850,000",✘,23,✘,✔,48.0,"7,660,000",␣,23,✘,␣,␣,␣,␣,✘,9960477101,␣,32,2027,P7K58RXLDT,␣,"6,110,000",✘,␣,9,54.9,␣,28,11,"75,940,000",52.3,8,␣,✔,6.8,✘,␣,"76,680,000",5.3,␣,␣,✔,SIPGDQ5,31,✘,VDSUKQGUGE,∅,이천이백팔십팔만,␣,41.4
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0002.jpg,19,59.3,␣,칠천이백칠십육만,␣,19.9,양쪽에,23.1,34.5,✘,"8,110,000",5,28,4,␣,95.8,✘,82.4,10,"41,270,000",22,✘,회사의,61.6,✔,6260000,␣,✔,35,✘,✘,34.5,␣,2,11,✘,"37,240,000",4,V,"46,270,000",✘,1633053177,65.8,␣,2016,␣,7270000,␣,✘,6580000,4,22.0,30,␣,␣,␣,19.1,9,␣,✔,␣,✘,두슬초,6510000,87.0,18,␣,✘,S8U9GCF,8,✘,7V2LMFNFIQ,∅,육천칠백구십오만,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0003.jpg,␣,81.0,15,구천칠백팔십삼만,11.4,30.4,나가면 감기,43.6,77.6,✔,89910000,7,␣,␣,␣,14.8,✔,43.7,20,"1,660,000",12,✘,영장.,44.2,✘,␣,"2,940,000",✘,5,✔,✘,9.6,"72,180,000",1,27,✘,␣,1,␣,"5,110,000",✔,1759610820,51.0,2,␣,KQJ7X63EU2,"6,880,000","43,210,000",✘,␣,35,51.4,14,␣,7,36970000,80.4,4,날.,␣,64.9,✘,석하나이,␣,12.1,␣,␣,✘,SSG3K4F,20,✔,2L2SCFJU1J,∅,구천이백삼십구만,12,78.5
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0004.jpg,␣,␣,␣,사천칠백사십육만,␣,33.5,␣,␣,77.2,✔,␣,6,␣,27,11.5,␣,✘,␣,35,"93,410,000",5,✘,␣,␣,✘,"6,480,000",␣,✔,␣,✔,✔,46.3,"32,820,000",3,9,✘,␣,␣,V,"39,870,000",✘,1570615157,␣,␣,2028,OE61Y5Q0NT,"25,720,000","93,410,000",✔,"9,620,000",23,1.6,23,26,11,66230000,20.1,␣,호되게,✔,43.6,✘,곽하니엘,83320000,25.5,25,␣,✘,SEOSHTF,7,✔,6GS54XK719,∅,육백오십이만,34,22.3
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0005.jpg,30,␣,10,칠천칠백구십구만,␣,0.0,말.,62.6,5.1,✘,"35,890,000",␣,24,30,61.6,␣,✘,38.3,8,"2,770,000",34,✔,먼지라도,89.1,✔,"4,780,000",␣,✘,12,✔,✔,83.5,"32,240,000",␣,25,✘,"18,860,000",12,김우식,73310000,✘,9464300177,61.2,␣,2025,ZNIBKUC861,"34,730,000",72850000,✘,"18,750,000",5,␣,␣,␣,16,"97,960,000",23.8,8,␣,✔,26.4,✘,␣,"8,180,000",39.0,17,"98,360,000",✔,SZ9X01X,26,✘,KWZCLZIBM2,∅,육천이백사십오만,36,7.6
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0006.jpg,14,61.8,30,␣,␣,␣,␣,99.4,88.7,✘,␣,1,17,8,11.5,56.2,✘,␣,29,"9,980,000",27,✔,줄여,23.0,✘,␣,"8,370,000",✘,7,✘,✘,1.0,␣,5,␣,✔,"3,670,000",18,␣,"8,360,000",✘,1630174598,30.1,28,2029,OX401FIXTW,93620000,"6,340,000",✘,"94,540,000",13,63.4,␣,30,3,␣,␣,1,옥내외,␣,␣,✘,유로엔,"49,260,000",79.9,23,"51,140,000",✘,S029JRM,␣,✔,␣,∅,백팔십삼만,2,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0007.jpg,␣,71.4,1,팔백구십팔만,41.1,36.3,놓는,␣,38.3,✘,"51,470,000",9,23,24,␣,␣,✔,67.0,␣,2860000,22,✘,있어서,␣,✔,"85,320,000","45,460,000",✘,19,✘,✘,25.6,"51,540,000",␣,␣,✔,"7,370,000",27,␣,"51,440,000",✘,9331061615,24.4,␣,␣,RSXCDCN3LP,2630000,␣,✘,"73,640,000",21,␣,␣,5,21,"1,510,000",31.1,6,전두리,✔,43.7,✘,␣,85810000,25.4,␣,9490000,✘,SL2L0YU,31,✘,JKN2OPFU5Y,∅,␣,36,37.3
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0008.jpg,6,92.4,10,사백사십칠만,77.2,24.6,천지의 중심.,27.3,58.7,✘,␣,5,34,7,␣,␣,✘,␣,30,"56,340,000",␣,✔,␣,␣,✔,␣,"65,560,000",✘,22,✘,✔,40.4,"59,450,000",9,16,✘,"8,210,000",27,␣,"51,470,000",✔,9396471113,72.6,␣,␣,␣,"3,570,000","2,120,000",✘,"7,190,000",5,13.7,32,␣,7,␣,60.8,9,건조시켜,✔,␣,✘,␣,␣,␣,6,"2,650,000",✔,SAJRE2K,29,✘,382M43S85V,∅,육백오십육만,␣,13.2
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0009.jpg,␣,␣,2,팔백구십오만,␣,55.7,진동체.,␣,␣,✘,"4,540,000",2,␣,4,73.9,71.5,✔,41.8,18,␣,13,✘,이용하는,61.4,✔,12980000,␣,✔,1,✔,✘,␣,␣,␣,30,✘,␣,28,고나진,␣,✘,1350548039,14.4,13,2026,KI08MK3FS2,␣,3120000,✘,"91,480,000",17,67.3,17,31,1,␣,39.6,␣,장애가,✔,27.3,✔,소혁윤,41180000,␣,␣,␣,✔,SFB4VLG,27,✔,BM820TUEWT,∅,사천팔백육십구만,6,61.7
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0010.jpg,26,␣,6,육천사백이십칠만,␣,30.5,살다. 호강살이하여,75.0,54.7,✔,"1,290,000",␣,13,2,42.5,89.0,✘,25.1,␣,"21,670,000",16,✔,말.,␣,✘,"7,890,000",␣,✘,35,✘,✘,8.5,␣,3,5,✘,␣,19,␣,"97,990,000",✔,9020882490,99.9,␣,2025,D8QRTLKQ2B,␣,8150000,✘,␣,14,␣,4,␣,2,"72,950,000",52.0,0,있을,✔,␣,✘,황화주,"4,710,000",75.0,34,"63,310,000",✔,SQM44OS,1,✔,␣,∅,삼천일백삼십삼만,␣,50.6
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0011.jpg,35,81.4,16,육천팔백칠십오만,␣,␣,여러,70.1,␣,✔,"35,340,000",4,15,␣,47.1,46.2,✘,␣,26,"86,910,000",␣,✔,어근.,61.6,✘,"65,650,000","54,930,000",✘,␣,✘,✔,69.2,"55,220,000",8,23,✘,"1,480,000",17,이지은,"13,830,000",✔,9471831618,53.6,␣,␣,GSQ4OUAZ36,␣,␣,✘,"3,490,000",␣,0.5,12,␣,13,␣,90.1,8,␣,␣,␣,✔,임송자,␣,46.7,␣,"22,960,000",✘,SQ90ZXD,25,✘,␣,∅,사천삼백칠십칠만,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0012.jpg,␣,66.0,␣,␣,20.1,89.9,하다,␣,␣,✘,"27,120,000",5,20,9,66.1,95.9,✘,88.6,25,"14,890,000",24,✘,␣,47.9,✘,"11,880,000","9,660,000",✔,␣,✔,✘,77.9,54510000,␣,17,✘,"5,180,000",33,␣,␣,✘,1315860013,83.7,5,␣,O0ZEH3TDNE,␣,"43,290,000",✔,␣,5,␣,33,31,29,"3,670,000",48.0,7,펑즈,✔,15.1,✘,형해규,␣,13.5,20,"38,380,000",✘,SEM3A1P,19,✘,␣,∅,사백이십오만,␣,␣
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0013.jpg,␣,49.7,10,␣,88.7,␣,"행술 의술,",74.7,␣,✘,3650000,1,2,11,26.2,31.1,✘,79.5,␣,"84,980,000",23,✔,회충에,99.5,✘,␣,␣,✔,␣,✘,✘,␣,"6,270,000",9,␣,✘,␣,33,␣,"63,630,000",✘,1072190895,␣,20,2026,D960BW1AB5,"93,180,000",45450000,✔,"31,170,000",30,␣,33,33,19,␣,74.6,9,법률.,␣,␣,✘,␣,␣,3.1,4,46240000,✘,SYD84GW,␣,✘,␣,∅,일백육십오만,␣,8.9
/mnt/AI_NAS/Data/현대캐피탈/data/images/071/C0014.jpg,␣,␣,14,일백이십일만,␣,␣,해결하기,26.1,␣,✔,4170000,␣,26,17,4.8,4.2,✘,␣,5,␣,10,✘,허락한,58.0,✘,"97,380,000","35,820,000",✘,␣,✘,✔,43.4,"9,830,000",␣,23,✘,"72,240,000",28,␣,␣,✘,9861343603,15.8,3,2020,CS2MIK3ZBK,"26,680,000","55,480,000",✔,53550000,␣,␣,29,15,26,␣,79.3,␣,꾸고....,✔,36.6,✘,␣,␣,80.2,5,"1,890,000",✘,S49H4Z3,14,✘,9NQS1VWGOX,∅,␣,22,␣
