image_path,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/C0010.jpg,✘,✘,✔,27,9498565428,✔,∅,␣,✘,✘,✘,␣,✘,✔,송훈영,✔,SGZKABA,✘,✘,2,2021,✔,✘,✘,✘,✔,✘,␣,✘,피륙,8,✘,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0000.jpg,✔,✘,✘,10,1081778442,✔,∅,10,✘,✔,✔,특징적인.,✘,✘,국레아,✘,Z324TQV,✘,✔,21,␣,✘,✔,✘,✔,✔,✔,2037,✘,목수.,8,✔,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0001.jpg,✔,✘,✘,25,␣,✘,∅,␣,✔,✘,✘,기구를,✘,✘,석두영,✔,ZT094VY,✔,✘,18,2037,✔,✘,✘,✔,✘,✔,␣,✘,␣,␣,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0002.jpg,✔,✘,✘,30,9917630619,✔,∅,9,✘,✘,✘,물기가,✘,✘,봉바라,✔,ZRJSKPY,✔,✘,␣,␣,✘,✔,✔,✘,✘,✘,2040,✘,숯.,␣,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0003.jpg,✘,✘,✔,28,␣,✘,∅,4,✘,✔,✘,시간보다,✘,✔,감명국,✔,ZQSDBVG,✘,✔,␣,␣,✘,✘,✘,✘,✘,✔,␣,✔,␣,4,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0004.jpg,✔,✘,✘,25,9814529603,✘,∅,3,✘,✘,✘,방향과,✘,✔,차리효,✔,Z43BRBQ,✘,✘,␣,2035,✘,✘,✘,✘,✘,✘,2019,✘,사모치다,8,✘,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0005.jpg,✘,✔,✔,26,1611494885,✘,∅,10,✘,✘,✘,"도덕,",✘,✔,선정협,✔,ZQXVGM6,✘,✘,␣,2001,✔,✘,✘,✔,✘,✘,2015,✘,살펴봄.,2,✘,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0006.jpg,✔,✘,✔,19,␣,✘,∅,11,✘,✔,✔,␣,✘,✘,시진모,✘,ZGBTKMI,✘,✘,␣,2014,✔,✔,✔,✔,✘,✘,2025,✔,간행한,4,✔,✔,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/D0007.jpg,✔,✘,✘,␣,␣,✔,∅,␣,✘,✔,✘,경찰.,✘,✘,정여울,✘,Z4Y7N4O,✘,✔,20,2030,✘,✘,✘,✘,✘,✘,2018,✘,인도,5,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/E0000.jpg,✔,✘,✔,20,1469399782,✘,∅,4,✔,✔,✘,만든다.,✘,✘,태엘리아,✘,UYT7I3P,✘,✘,1,2026,✘,✘,✘,✘,✔,✘,2014,✘,여자,2,✔,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/E0001.jpg,✘,✘,✘,23,1662206732,✘,∅,␣,✘,✘,✘,기술.,✔,✘,배아론,✘,UP4XRZP,✘,✔,17,␣,✔,✔,✘,✘,✘,✘,2008,✔,분야.,7,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/378/E0002.jpg,✘,✘,✘,25,␣,✘,∅,6,✘,✘,✘,주파수에서,✘,✘,설혜원,✔,UHN4Z2A,✘,✘,␣,2002,✘,✔,✘,✘,✔,✘,2021,✔,바위의,2,✔,✔,✔,✔
