image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,026,027,006,023,038,039,018,042,009,021,024,045,044,101,037,035,049,034,053,054,030,020,029,028,046,011,005,003,007,001,025,031,047,048,004,100,010
C0010,✔,r-hvspy-a81r6,gmx.com,7,✘,JANG UI-YEOB,기관 구내식당업,✔,␣,✘,✘,✘,✘,␣,AULN15,✔,✘,✘,␣,✘,␣,.9.13,live.com,053-4783-2429,␣,l6z3isl,020-92512830-15,서울특별시 용산구 서울용산우체국사서함 1~305 (전체),✘,✘,✔,✔,✔,✘,9208325032,SOXDNID,✘,✘,✘,✘,✘,010-7155-6136,␣,2025. . 16,␣,이효섭,전북은행,✘,✘,✘,남자,✘,경기도 안산시 상록구 일동 118 (경동빌딩)
C0011,✔,kxyiifd,freechal.com,19,✔,MOG AEHUI,산업용 기계 및 장비 도매업,✘,549-85-03493,✘,✔,✔,✘,␣,AULN15,✘,✘,✘,␣,✘,␣,16,␣,␣,전북특별자치도 정읍시 덕천면 답내로 76 (도계리),gx.7vyc149nju,도이체방크,충청남도 서산시 지곡면 무장산업로 263-38 (무장리),✘,✘,✘,✔,✘,✘,1241163174,SL5Q9ID,✘,✘,✘,✘,✘,␣,␣,2011 12 18,␣,␣,619039-18-487126,✘,✘,✘,여자,✘,전북특별자치도 남원시 아영면 의지리 369
C0012,✔,␣,okc.edu,␣,✘,SEON UDO-AE,␣,✘,␣,✔,✘,✔,✘,␣,AULN15,✘,✘,✘,␣,✘,석촌호수공원,11,␣,042-3691-5816,경기도 고양시 덕양구 대장동 210-1,␣,272-469504-83716,␣,✔,✘,✘,✘,✘,✘,1633095358,S4SCTWI,✘,✔,✘,✘,✘,␣,␣,7 14,␣,␣,한국은행,✘,✘,✔,남자,✘,␣
C0013,✘,␣,␣,29,✘,TAE EUNHYE,겉옷 제조업,✘,619-46-30604,✔,✔,✘,✔,␣,AULN15,✘,✘,✔,␣,✔,문정동 로데오거리,.9.7,juno.com,041-8867-7909,부산광역시 부산진구 성지로22번길 37 (연지동),␣,␣,경상남도 양산시 상북면 외석길 19 (외석리),✘,✘,✔,✘,✔,✔,1558655685,SR922KE,✔,✘,✘,✘,✘,␣,␣,2029. . 30,␣,정수린,중국교통은행,✘,✘,✔,여자,✘,충청북도 영동군 양강면 산막리 484-1
C0014,✘,␣,jredmail.com,␣,✘,␣,그 외 기타 상품 전문 소매업,✘,810-42-58941,✘,✘,✘,✘,␣,AULN15,✘,✘,✔,␣,✘,봉화묵집,2013 11,discroot.org,062-9594-9096,충청남도 아산시 탕정면 명암리 98,uefhqzr00a,149-474482-494,␣,✘,✘,✘,✘,✘,✔,9227113548,SIHR760,✘,✔,✘,✘,✘,010-8785-0106,␣,2017 16,␣,␣,␣,✘,✘,✔,남자,✘,경상남도 산청군 신등면 양전리 100
D0000,✘,jl_22szki2mk,dupont.com,19,✔,SEON JAEBONG,항공 여객 운송업,✔,601-60-41190,✔,✔,✘,✔,␣,AULN15,✔,✘,✘,␣,✔,하누소(인사점),1938-08-24,gmail.com,062-4290-7956,␣,␣,␣,␣,✘,✘,✘,✔,✘,✘,9416730936,␣,✘,✘,✘,✘,✘,010-5520-0538,␣,1922.11.16,␣,감앵화,␣,✔,✘,✘,남자,✘,전북특별자치도 진안군 백운면 평노길 107-21 (노촌리)
D0001,✘,cbvpcnv0zv.3,␣,␣,✘,␣,"금속류 해체, 선별 및 원료 재생업",✔,␣,✘,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✔,잘루스,1946.06.08,␣,␣,␣,␣,␣,␣,✘,✘,✔,✘,✔,✘,9913239652,USBRNN8,✘,✘,✘,✘,✔,010-5976-2914,␣,␣,␣,석영호,수협은행,✔,✘,✘,남자,✘,␣
D0002,✘,xo1-5.j9x490,buffalo.edu,␣,✔,PAENG JAEHAN,외국인학교,✘,762-60-59997,✘,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✔,피아자도르,␣,outlook.com,␣,"경기도 부천시 원미구 석천로30번길 40 (상동, 어울림)",tqf1w4f,703-819995-780,␣,✘,✘,✘,✔,✔,✘,1242741301,␣,✘,✔,✘,✘,✘,010-1385-0388,␣,1958년 9월 20일,␣,이나용,␣,✘,✔,✘,남자,✘,경상남도 진주시 미천면 안간리 489-9
D0003,✘,ezuwm_4png,␣,1,✘,U SANG-UN,외국식 음식점업,✘,551-54-24714,✘,✘,✔,✘,␣,AULN15,✘,✘,✘,␣,✘,␣,␣,london.com,055-2293-8176,부산광역시 해운대구 송정동 99-1,␣,␣,␣,✔,✘,✘,✘,✘,✘,1181015654,␣,✔,✔,✘,✔,✔,␣,␣,1984.3.1,␣,␣,광주은행,✘,✔,✘,여자,✘,충청북도 충주시 만리산1길 6 (교현동)
D0004,✘,igf-o36d.6,aol.com,␣,✘,␣,악기 제조업,✔,894-52-12552,✔,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✘,␣,1966.9.3,␣,032-4287-6827,"광주광역시 서구 월드컵4강로197번길 17-1 (쌍촌동, 라온하우스)",jct_d6.uow86,396-690917-30,␣,✔,✘,✘,✘,✘,✘,9940750344,U8R1QMM,✘,✘,✘,✘,✘,010-8276-2083,␣,␣,␣,인난주,␣,✘,✘,✘,남자,✘,경상북도 청도군 매전면 청려로 3117 (상평리)
D0005,✘,yr18cnw,hushmail.com,␣,✘,␣,유아 교육기관,✘,␣,✘,✘,✘,✔,␣,AULN15,✔,✘,✘,␣,✘,␣,1928.7.13,␣,033-6738-6213,경기도 파주시 신촌동 57,␣,822086-71-895330,"충청남도 아산시 둔포면 둔포중앙로133번길 23-9 (둔포리, 가우디텔)",✘,✘,✘,✔,✔,✘,1477804216,U6Z1UTW,✘,✘,✔,✔,✔,010-6935-4345,␣,2029년 3월 28일,␣,형사향,␣,✘,✔,✘,남자,✘,경상남도 합천군 합천읍 서산3길 3 (서산리)
D0006,✘,hob52smrf,adobe.com,30,✘,CHEON ONA,자동차 중고 부품 및 내장품 판매업,✘,317-44-28156,✘,✔,✔,✔,␣,AULN15,✘,✘,✘,␣,✘,␣,␣,ktu.edu,␣,대구광역시 서구 국채보상로5길 17-1 (이현동),u48g671,108-037056-67140,␣,✔,✘,✔,✘,✘,✔,1816996898,UBXQ9R4,✘,✘,✘,✔,✔,010-0190-4913,␣,1904-11-29,␣,위호람,HSBC,✘,✔,✔,␣,✘,경기도 김포시 월곶면 고정로 79-33 (개곡리)
D0007,✘,ne_oq56,japanmail.com,21,✘,YU YEOLYEONG,유아 교육기관,✘,065-04-22743,✘,✘,✔,✘,␣,AULN15,✔,✘,✔,␣,✔,␣,1937.1.2,muni.cz,041-6493-9027,␣,␣,␣,␣,✘,✘,✔,✔,✔,✘,9433166054,␣,✘,✘,✘,✘,✔,␣,␣,2043-03-19,␣,남은환,SC제일은행,✘,✘,✘,남자,✘,경상남도 양산시 원동면 서룡리 161
D0008,✘,␣,ieee.org,23,✘,DAN GANGSEON,전분제품 및 당류 제조업,✘,936-60-20061,✘,✘,✔,✘,␣,AULN15,✘,✘,✘,␣,✘,␣,2030/6/20,lsu.edu,053-1151-5657,경상북도 구미시 사곡동 437-4,x3ap983pwvmoj,746785-91-920802,␣,✘,✘,✘,✘,✔,✔,␣,␣,✘,✘,✔,✘,✘,010-3174-0183,␣,1985.05.18,␣,백소얀,␣,✘,✘,✘,␣,✘,␣
E0000,✔,␣,␣,29,✔,GAN SEONHAN,한복 제조업,✔,␣,✘,✔,✘,✘,␣,AULN15,✘,✘,✔,␣,✘,해주냉면,1916-10-27,␣,044-3027-4291,경기도 양주시 삼숭동 96-10,k2avga4g,␣,충청북도 단양군 단양읍 상진9길 7 (상진리),✘,✘,✘,✘,✘,✘,␣,EBOD3CO,✘,✘,✘,✔,✘,010-9951-7830,␣,1915/7/19,␣,위기예,DBS은행,✘,✔,✘,남자,✘,경상북도 경산시 남산면 우검리 271-4
E0001,✘,p2h6cgakj6,monash.edu,15,✘,GI YA-EL,여신 금융업,✘,823-16-81225,✘,✘,✘,✔,␣,AULN15,✘,✘,✔,␣,✘,하동관,1953년 4월 4일,netsgo.com,041-1516-1728,경상북도 의성군 안평면 가도길 64-4 (기도리),gwmr.m6,023-201930-22075,서울특별시 영등포구 대림동 1066-25,✘,✘,✘,✔,✔,✘,1003809234,ER4Y343,✘,✘,✘,✔,✘,␣,␣,2015년 8월 19일,␣,태고,␣,✘,✘,✘,남자,✘,경상남도 고성군 고성읍 대안길 4-24 (대독리)
F0000,✘,␣,␣,␣,✘,BAEG LYUCHAN,␣,✘,␣,✘,✘,✘,✘,␣,AULN15,✘,✘,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,✘,✘,✘,✘,✘,✘,␣,EVTMWLZ,✘,✘,✘,✘,✘,␣,␣,1995/9/16,␣,␣,␣,✘,✘,✘,남자,✘,␣
