image,021,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
A0010,10,✘,✔,✔,7,소라초,✘,2025,✔,✘,✔,✘,901120-3437537,공장개발종합건설,✔,SORACHO,␣,010-3456-3333,445-56-67788,재무전략팀,SP10FAA004,소라초,✘,대한민국,✔,␣,✔,✘
A0011,12,✘,✔,✔,31,설재수,✘,2025,✔,✘,✔,✘,911225-3437675,(주)한일통운,✔,SEORJAESU,␣,010-7890-4444,5566778899,투자전략팀,SP10FAA004,설재수,✘,대한민국,✔,␣,✔,✘
A0012,1,✘,✔,✔,9,반현재,✘,2025,✔,✘,✔,✘,800201 3438086,주식회사 남경전기,✔,BANHYEONJAE,␣,010 1234 5555,6677889900,포트폴리오 전략팀,SP10FAA004,반현재,✘,한국,✔,␣,✔,✘
A0013,03,✘,✔,✔,16,윤초도,✘,2025,✔,✘,✔,✘,810305-3436998,석재용달화물,✔,YUNCHODO,␣,010-5678-6666,7788990011,자산배분팀,SP10FAA004,윤초도,✘,대한민국,✔,␣,✔,✘
A0014,05,✘,✔,✔,23,안초초,✘,2025,✔,✘,✔,✘,820410-3431679,대한예수교장로회예심교회,✔,ANCHOCHO,␣,010-9012-7777,8899001122,리스크전략팀,SP10FAA004,안초초,✘,대한민국,✔,␣,✔,✘
A0015,07,✘,✔,✔,05,신서우,✘,2025,✔,✘,✔,✘,850717-3441154,어상식품영농조합법인,✔,SINSEOU,␣,010-3456-7456,1212121212,품질,SP10FAA004,신서우,✘,대한민국,✔,␣,✔,✘
A0016,09,✘,✔,✔,19,강우도,✘,2025,✔,✘,✔,✘,850803-3441251,화원산업개발(주),✔,GANGUDO,␣,010.7890.7567,232.32.32323,보안,SP10FAA004,강우도,✘,대한민국,✔,␣,✔,✘
A0017,11,✘,✔,✔,14,홍수슬,✘,2025,✔,✘,✔,✘,850819-3447320,사단법인사회적기업청람,✔,HONGSUSEUR,␣,010.1234.7678,343-43-43434,교육,SP10FAA004,홍수슬,✘,대한민국,✔,␣,✔,✘
A0018,2,✘,✔,✔,28,한영진,✘,2025,✔,✘,✔,✘,850905-3440239,대륙엔지니어링,✔,HANYEONGJIN,␣,010-5678-7789,4545454545,채용,SP10FAA004,한영진,✘,대한민국,✔,␣,✔,✘
A0019,04,✘,✔,✔,01,성연빛,✘,2025,✔,✘,✔,✘,850921-3446626,부전수산,✔,SEONGYEONBICH,␣,010-9012-7890,565-65-65656,시설,SP10FAA004,성연빛,✘,대한민국,✔,␣,✔,✘
A0020,06,✘,✔,✔,17,남궁영,✘,2025,✔,✘,✔,✘,851007-3448790,연천상운,✔,NAMGUNGYEONGNARAE,␣,010.3456.7901,6767676767,구매,SP10FAA004,남궁영,✘,대한민국,✔,␣,✔,✘
A0021,08,✘,✔,✔,24,박채지,✘,2025,✔,✘,✔,✘,851023-3442175,대구컴퓨터학원,✔,BAGCHAEJI,␣,010-7890-8012,7878787878,물류,SP10FAA004,박채지,✘,대한민국,✔,␣,✔,✘
A0022,10,✘,✔,✔,10,탁태솔,✘,2025,✔,✘,✔,✘,851111-3449645,(주)수호전자,✔,TAGTAESOR,␣,010-1234-8123,8989898989,생산,SP10FAA004,탁태솔,✘,대한민국,✔,␣,✔,✘
A0023,12,✘,✔,✔,08,신빛지,✘,2025,✔,✘,✔,✘,851127-3448740,(주)아주산업,✔,SINBICHJI,␣,010-5678-8234,909-09-09090,기획,SP10FAA004,신빛지,✘,대한민국,✔,␣,✔,✘
A0024,01,✘,✔,✔,21,마성서,✘,2025,✔,✘,✔,✘,851209-3449628,(주)세미레외장,✔,MASEONGSEO,␣,010.9012.8345,101010101,전략,SP10FAA004,마성서,✘,대한민국,✔,␣,✔,✘
A0025,03,✘,✔,✔,30,장곡유은,✘,2025,✔,✘,✔,✘,851225-3442502,태백약초영농조합,✔,JANGGOGYUEUN,␣,010-3456-8456,1234500000,투자,SP10FAA004,장곡유은,✘,대한민국,✔,␣,✔,✘
A0026,05,✘,✔,✔,13,백연진,✘,2025,✔,✘,✔,✘,860116-3442169,(주)미래ENG,✔,BAEGYEONJIN,␣,010-7890-8567,234-56-11111,펀드,SP10FAA004,백연진,✘,대한민국,✔,␣,✔,✘
A0027,07,✘,✔,✔,27,위영솔,✘,2025,✔,✘,✔,✘,860201-3430311,(주)대상,✔,WIYEONGSOR,␣,010-1234-8678,345-67-22222,리스크,SP10FAA004,위영솔,✘,대한민국,✔,␣,✔,✘
A0028,9,✘,✔,✔,6,길서나래,✘,2025,✔,✘,✔,✘,860217-3445107,(주)뉴컴퍼니,✔,GIRSEONARAE,␣,010-5678-8789,4567833333,감사인,SP10FAA004,길서나래,✘,대한민국,✔,␣,✔,✘
A0029,11,✘,✔,✔,20,심빛도,✘,2025,✔,✘,✔,✘,860306-3436950,(주)광명도장산업,✔,SIMBICHDO,␣,010-9012-8890,567-89-44444,법무,SP10FAA004,심빛도,✘,대한민국,✔,␣,✔,✘
C0000,␣,✔,✘,✘,5,민이권,✔,2016,✔,✔,✘,✔,␣,␣,✘,SEUNG DA-YENA,1621489814,010-7306-5807,033-87-67229,사람이,SP10FAA004,␣,✘,슬로베니아,✘,PBLZYUV,✔,✘
C0001,4,✘,✔,✔,17,좌유찬,✘,2017,✔,✘,✘,✔,125-69-79597,코스모스백화점,✘,GEUM PILMO,9586043879,␣,986-48-22162,않고,SP10FAA004,␣,✘,보스니아헤르체고비나,✔,P1CWD4K,✘,✘
C0002,4,✘,✔,✔,13,남일성,✘,2017,✔,✘,✘,✔,074-72-65028,하나은행,✘,I GWANMIN,9249613298,␣,528-44-34534,수학과,SP10FAA004,␣,✘,콜롬비아,✔,PDFQVFQ,✘,✘
D0000,8,✘,✘,✘,␣,팽구연,✘,2013,✘,✔,✔,✔,814-57-00021,도레이케미칼,✔,JI YEDALM,1627049268,␣,340-19-56640,논은,SP10FAA004,간혜실,✘,필리핀,✘,TBGUUAO,✘,✘
D0001,8,✘,✔,✘,12,태찬율,✘,2035,✘,✘,✘,✘,␣,유니온,✘,YEO ONSEONG,1499949190,010-8335-2226,␣,이겨,SP10FAA004,박현별,✔,크로아티아,✔,␣,✔,✔
D0002,10,✘,✘,✔,31,␣,✘,2025,✘,✘,✘,✔,507-27-48430,TAK정보시스템,✘,BAG JINHAENG,9958069346,␣,956-58-86674,깨달음에,SP10FAA004,정새솜,✘,␣,✘,TCWSAMB,✘,✘
D0003,6,✔,✘,✘,15,편라리,✘,␣,✘,✔,✔,✘,␣,␣,✘,␣,9983450615,010-5950-3767,650-02-59868,␣,SP10FAA004,엄행지,✘,칠레,✘,TOHV8LW,✔,✘
D0004,␣,✔,✘,✘,␣,목테오,✔,␣,✘,✔,✔,✘,386-75-65372,드돔,✘,KIM HYESOM,1286898195,010-8302-4975,129-86-07283,␣,SP10FAA004,␣,✘,불가리아,✘,T7WLI3C,✔,✘
D0005,12,✔,✔,✘,5,민정협,✘,2008,✘,✘,✘,✘,␣,사조동아원,✘,␣,9650228770,010-9561-7656,␣,자꾸,SP10FAA004,염창유,✔,␣,✘,␣,✔,✔
D0006,3,✘,✔,✘,␣,서문온봄,✘,2008,✘,✘,✘,✔,234-41-07436,교육부,✘,BEOM HYOSEONG,9186888385,010-3112-7527,844-04-52318,방위는,SP10FAA004,염승창,✘,우루과이,✘,TDOKFK5,✔,✘
D0007,11,✘,✔,✘,␣,예신양,✘,␣,✘,✔,✘,✘,771-96-48503,ING생명,✘,␣,9787723941,010-8092-3554,917-91-20688,␣,SP10FAA004,복니코,✘,레바논,✘,T9QKVY5,✘,✔
D0008,10,✔,✘,✘,23,␣,✘,2022,✔,✘,✘,✘,413-23-13866,라이나생명,✔,YANG HYANG-A,1957113661,010-8426-3910,␣,또는,SP10FAA004,간라이,✘,온두라스,✔,␣,✘,✔
D0009,10,✘,✔,✘,2,갈움찬,✘,2038,✘,✔,✘,✘,108-93-15496,더반찬,✔,HA BISONG,1928154036,010-5479-5239,901-03-40536,서양,SP10FAA004,황성찬,✘,우루과이,✘,TB06YDP,✔,✘
D0010,2,✘,✘,✔,16,원건혜,✘,2011,✔,✘,✘,✘,␣,␣,✘,␣,9773689908,010-9212-2982,753-54-70370,아이에게,SP10FAA004,민건우,✔,방글라데시,✘,␣,✔,✔
D0011,4,✘,✘,✘,30,두희양,✘,2003,✘,✘,✔,✔,139-38-96252,␣,✔,␣,9749883158,␣,␣,유다서의,SP10FAA004,␣,✔,러시아,✘,␣,✘,✘
D0012,6,✘,✘,✘,␣,제갈연채,✘,2031,✘,✘,✘,✘,␣,네패스,✘,OG SAEHUI,␣,␣,421-25-30474,␣,SP10FAA004,좌관주,✘,␣,✔,TWJN0P8,✘,✘
D0013,␣,✘,✔,✘,␣,감이얀,✘,2010,✔,✘,✘,✔,140-85-00794,에이치엘비,✘,␣,9271682056,010-3503-4235,274-32-09495,사람을,SP10FAA004,허치성,✔,러시아,✘,TZG4Z7I,✘,✘
D0014,␣,✘,✘,✘,2,␣,✘,2039,✘,✘,✔,✔,658-96-29833,␣,✘,EUM SEONHONG,9022540639,010-9106-5563,443-04-35916,기소를,SP10FAA004,␣,✔,␣,✘,TZM9KQO,✘,✔
D0015,1,✘,✘,✘,2,부원솔,✘,2023,✘,✘,✔,✔,940-96-05275,␣,✘,GWAG SO-EUN,␣,010-8688-2476,848-95-28174,잎은,SP10FAA004,전주신,✘,␣,✔,THUT2D9,✔,✘
D0016,␣,✘,✔,✘,␣,␣,✔,2031,✔,✔,✘,✘,189-73-37477,␣,✘,␣,␣,␣,335-08-25817,조선,SP10FAA004,음비야,✘,␣,✘,T04XJHE,✘,✔
D0017,6,✔,✘,✘,␣,형이오,✔,␣,✘,✘,✘,✔,␣,삼성디스플레이,✔,␣,␣,010-3784-7392,805-53-19182,들으면서도,SP10FAA004,봉창석,✔,카타르,✘,T0XVVX7,✔,✔
D0018,10,✔,✘,✘,6,허수왕,✘,2017,✘,✘,✔,✘,610-39-62028,오리온,✔,␣,9651350085,010-6110-2823,974-73-29331,실내에,SP10FAA004,황휘열,✘,볼리비아,✔,TFZTWBA,✔,✘
D0019,11,✔,✘,✔,15,␣,✘,␣,✘,✘,✘,✘,235-09-41888,한국농어촌공사,✔,␣,␣,010-0022-7448,529-14-17852,양쪽에,SP10FAA004,구이원,✔,알바니아,✘,␣,✔,✘
E0000,11,✘,✘,✘,␣,␣,✘,2016,✘,✘,✘,✘,514-05-59674,␣,✘,SIM JE-YU,1377577226,010-4524-9968,␣,탁,SP10FAA004,소효음,✘,오만,✘,H00YV9X,✘,✘
E0001,␣,✔,✔,✘,␣,공강열,✘,2031,✘,✔,✘,✔,140-31-39985,삼성전자서비스,✔,YEO GEONHYO,9922214025,␣,␣,␣,SP10FAA004,␣,✘,␣,✔,H227R9U,✔,✘
E0002,␣,✘,✘,✔,5,홍한진,✔,␣,✘,✘,✔,✘,␣,웅진식품,✔,GONG SU-WAN,9536336217,␣,553-24-88224,(비유적으로,SP10FAA004,소꽃비,✘,␣,✘,HMTWY3G,✘,✔
E0003,9,✘,✘,✘,2,황은욱,✘,2006,✘,✔,✘,✘,261-56-60115,␣,✘,MIN HYEONGEUN,␣,010-3894-1352,016-13-20717,금을,SP10FAA004,복주화,✔,브루나이,✔,H4B0WLB,✔,✘
E0004,3,✔,✘,✘,14,␣,✘,2040,✘,✘,✔,✘,503-83-29420,덕양산업,✘,␣,1827555520,010-2059-5862,038-36-81331,싼,SP10FAA004,␣,✔,오만,✔,HGJPYJB,✘,✔
F0000,12,✘,✔,✔,␣,반설애,✘,2037,✘,✘,✘,✘,323-00-62635,제스프리 키위,✘,BONG SUNLYEON,␣,010-8189-5593,␣,따위에서,SP10FAA004,부율,✘,룩셈부르크,✔,␣,✘,✘
