image,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,037,035,034,030,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0018,✘,✘,✘,대표,✔,APRT19,␣,✔,␣,␣,␣,국민은행,✔,✘,✔,이민준,✘,✘,␣,이민준,✘,␣,4455-6677-8901,✘,✘,␣,✔,이민준,LEE MINJUN,이민준,✔,␣,␣,✘,✘,✘,✔,✘,1988.11.05,␣,✘,✘,␣
A0019,✘,✔,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,하나은행,✘,✘,✔,김지우,✘,✘,␣,␣,✘,␣,2345-6789-0123,✘,✘,␣,✘,␣,␣,␣,✔,␣,daum.net,✔,✔,✘,✘,✘,␣,jiwoo234,✘,✘,␣
A0020,✘,✘,✘,사장,✘,APRT19,␣,✔,␣,␣,말일,우리은행,✘,✘,✔,박지훈,✔,✘,␣,박지훈,✔,␣,1234-5678-9012,✘,✘,␣,✔,박지훈,PARK SEOJUN,박지훈,✔,␣,␣,✘,✘,✘,✔,✘,1987 0120,␣,✘,✘,␣
A0021,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,신한은행,✘,✔,✔,최수현,✘,✘,␣,␣,✘,␣,9876-5432-1098,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✔,✘,✘,␣,␣,✘,✘,␣
A0022,✘,✘,✘,사장,✔,APRT19,␣,✔,␣,␣,␣,국민은행,✘,✘,✔,정민지,✘,✘,␣,정민지,✘,␣,5432-1098-7654,✘,✘,␣,✔,정민지,JungMinji,정민지,✔,␣,␣,✘,✘,✘,✔,✘,1986-05-07,␣,✘,✔,␣
A0023,✔,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,하나은행,✘,✘,✔,강예진,✘,✘,␣,␣,✘,␣,3692-5814-1234,✘,✘,␣,✘,␣,␣,␣,✔,␣,naver.com,✔,✔,✘,✘,✘,␣,yejin987,✘,✘,␣
A0024,✘,✘,✘,사장,✘,APRT19,␣,✔,␣,␣,␣,우리은행,✔,✘,✔,윤지훈,✔,✘,␣,윤지훈,✘,␣,1122-3344-5678,✘,✘,␣,✔,윤지훈,YoonJihoon,윤지훈,✔,␣,␣,✘,✘,✘,✔,✘,1984-02-03,␣,✘,✘,␣
A0025,✘,✔,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,신한은행,✘,✘,✔,장하늘,✘,✘,␣,␣,✘,␣,4455-6677-8901,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✔,✘,✘,␣,␣,✘,✘,␣
A0026,✘,✘,✘,사장,✔,APRT19,␣,✔,␣,␣,말일,국민은행,✘,✘,✔,송지훈,✘,✘,␣,송지훈,✔,␣,2345-6789-0123,✘,✘,␣,✔,송지훈,Song Jihoon,송지훈,✔,␣,␣,✘,✘,✘,✔,✘,1984-01-08,␣,✘,✘,␣
A0027,✘,✔,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,하나은행,✘,✘,✔,배수진,✘,✘,␣,␣,✘,␣,1234-5678-9012,✘,✘,␣,✘,␣,␣,␣,✔,␣,daum.net,✔,✔,✘,✘,✘,␣,sujin678,✘,✘,␣
A0028,✘,✘,✘,사장,✘,APRT19,␣,✔,␣,␣,말일,우리은행,✘,✘,✔,김도현,✔,✘,␣,김도헌,✔,␣,9876-5432-1098,✘,✘,␣,✔,김도헌,Kim Do hyeon,김도헌,✔,␣,␣,✘,✘,✘,✔,✘,1982-03-10,␣,✘,✘,␣
A0029,✘,✘,✘,␣,✘,APRT19,␣,✘,␣,␣,␣,국민은행,✘,✘,✔,박지훈,✘,✘,␣,␣,✘,␣,9876-5432-1098,✘,✘,␣,✘,␣,␣,␣,✔,␣,␣,✔,✘,✔,✘,✘,␣,␣,✘,✘,␣
C0000,✘,✘,✘,␣,✘,APRT19,팔레스타인,✘,2012,AJ0T867,␣,중국공상은행,✘,✔,✘,선우래은,✘,✘,12,구민혜,✔,1202945176,450-29106163-14,✘,✔,6,✔,표세율,GEUM ILGU,␣,✔,손자,ou.edu,✘,✔,✘,✘,✘,1958.6.21,g6tbwke-7mws,✘,✔,␣
C0001,✘,✘,✘,이사,✘,APRT19,루마니아,✔,␣,A12ZX4P,23,우리은행,✘,✘,✘,␣,✘,✘,␣,백훈비,✘,9607073321,␣,✘,✘,7,✘,허자형,GO SAE-ON,시현수,✘,␣,␣,✘,✔,✘,✘,✔,␣,i9edaxsdx.c,✘,✔,남병우
C0002,✘,✔,✔,␣,✘,APRT19,아이슬란드,✘,2015,AP5HXS8,28,␣,✔,✔,✘,동홍율,✔,✘,1,현나딘,✔,1647588938,687-324984-792,✘,✘,␣,✘,노연태,MAENG LIJUN,␣,✘,조부모,jh.edu,✘,✘,✘,✘,✔,1948/10/6,ynl52rpl24g,✘,✘,전교서
C0003,✔,✔,✘,센터장,✔,APRT19,우크라이나,✔,2025,AIHTI96,␣,␣,✘,✘,✔,강윤지,✘,✘,22,용하랑,✘,9756370835,846-911027-55234,✘,✘,4,✔,호아이린,␣,염선오,✘,␣,laposte.net,✘,✘,✘,✔,✘,1982.03.08,␣,✔,✔,백스티븐
C0004,✔,✘,✘,실장,✘,APRT19,␣,✔,␣,AKZG9EC,14,SC제일은행,✔,✔,✘,최태욱,✘,✘,24,선우근탁,✘,1061215070,0201-99-032070,✘,✘,2,✘,␣,␣,마리현,✔,␣,ethz.ch,✘,✘,✔,✘,✘,␣,␣,✔,✔,민홍명
C0005,✘,✘,✘,␣,✘,APRT19,␣,✘,2019,ATZ7WVX,20,뱅크오브아메리카,✘,✘,✔,윤화우,✘,✘,31,␣,✘,9913623570,519-907470-83,✘,✘,8,✔,␣,HYEON HONG-I,목병일,✘,부모,japan.com,✘,✘,✔,✘,✘,2025-06-11,jv5b5c913ac_3,✘,✘,␣
C0006,✘,✘,✔,␣,✔,APRT19,튀르키예,✔,2024,AG4UA4J,26,␣,✘,✔,✘,석가슬,✔,✘,4,왕효기,✘,1058889698,231-07390316-50,✘,✘,7,✘,권미근,SI YEGWON,예서전,✔,조부모,␣,✔,✘,✘,✘,✔,2049.07.02,r_y6ivsa,✘,✔,현훈식
C0007,✘,✘,✘,␣,✔,APRT19,␣,✘,2029,AIL6IUP,␣,신한은행,✔,✘,✘,␣,✘,✘,17,국중기,✘,1354289100,318-534938-79246,✘,✔,10,✘,심인상,SON CHEONG-YEON,기선동,✔,손자,latinmail.com,✔,✔,✘,✘,✔,1969.7.1,␣,✔,✘,␣
C0008,✘,✘,✘,␣,✔,APRT19,팔레스타인,✘,2024,ACLC5A9,10,우리은행,✘,✘,✘,형종훈,✘,✔,␣,견다휼,✘,1460572988,228-845164-954,✘,✘,␣,✘,공승근,WANG SEONG-EUN,봉운정,✔,␣,␣,✘,✘,✘,✘,✘,2045.2.11,igkimyadeo,✘,✘,형가겸
D0000,✘,✘,✔,부사장,✔,APRT19,␣,✔,␣,PXNYY96,30,HSBC,✔,✔,✔,마건탁,✘,✘,22,나진형,✘,1310649131,2165-34-324311,✘,✘,8,✘,␣,MA YEOL-EUM,길채연,✔,부모,gawab.com,✔,✘,✔,✘,✘,1944.12.17,h0jcc-g59in4,✔,✘,␣
D0001,✘,✘,✔,대리,✘,APRT19,미얀마,✘,2015,␣,25,하나은행,✔,✔,✘,␣,✘,✘,11,␣,✘,␣,␣,✘,✘,3,✔,형진보,BAG JIHAN,백리구,✔,친척,␣,✘,✘,✘,✔,✘,1985/11/24,xh8.ciqi0o,✘,✔,␣
D0002,✘,✘,✔,CMO,✔,APRT19,키르기스스탄,✘,2029,PAE4RKE,7,한국씨티은행,✘,✘,✔,갈청화,✘,✘,␣,␣,✘,9718383472,540460-60-658290,✘,✘,␣,✘,최동성,HWANG BO-AMO,고래윤,✘,조부모,javeriana.edu.co,✘,✘,✔,✔,✘,␣,p1rb67j2-ve,✘,✔,간소려
D0003,✘,✔,✘,␣,✘,APRT19,아랍에미리트,✔,2016,␣,1,미쓰비시UFJ은행,✘,✘,✘,방세호,✘,✘,4,사혜임,✘,9826782973,722-661830-57,✔,✔,␣,✔,한준명,␣,김희옥,✘,조부모,␣,✔,✘,✘,✘,✘,␣,zglquqvf00,✔,✘,이하론
D0004,✘,✘,✘,␣,✘,APRT19,우크라이나,✘,2008,PQW8Z5F,10,국민은행,✘,✘,✘,위에디,✘,✘,12,␣,✔,1843784482,186-678762-28261,✔,✘,6,✔,␣,MIN DOHYEOB,표리루,✔,자녀,eml.cc,✘,✘,✔,✘,✔,1986/3/6,mjyqpf987toe2,✘,✔,범진용
D0005,✘,✘,✘,과장,✘,APRT19,␣,✘,2003,PML9R9P,2,토스뱅크,✘,✘,✘,␣,✘,✔,31,옥진이,✔,9900784872,9470-96-353690,✘,✔,␣,✔,엄규화,␣,정준리,✘,자녀,␣,✘,✘,✘,✘,✔,1963.12.1,␣,✘,✘,␣
D0006,✘,✘,✘,␣,✘,APRT19,␣,✔,␣,␣,6,␣,✘,✘,✘,갈관유,✔,✘,18,배보혜,✘,9584830757,744-760853-47673,✘,✘,␣,✘,염형표,HYEON LIMHA,진테오,✔,친척,chol.com,✔,✘,✘,✔,✘,2004.12.26,wcen1wkz,✘,✘,금새로운
D0007,✘,✔,✘,사원,✔,APRT19,오스트리아,✘,2019,PD06SSL,27,카카오뱅크,✘,✘,✘,두상음,✘,✘,␣,서운해,✔,␣,985690-51-003150,✔,✔,4,✔,␣,␣,두부근,✔,부,mail.kr,✘,✘,✘,✘,✘,2014년 1월 22일,xv_w135ml,✘,✘,임제라
D0008,✘,✘,✔,CFO,✘,APRT19,␣,✘,␣,P5L8UT4,␣,중국교통은행,✔,✔,✘,황보도명,✘,✔,18,␣,✘,␣,438-058206-39409,✘,✘,␣,✔,강우결,BOG GEUMBI,␣,✔,조부모,nctu.edu.tw,✘,✘,✘,✔,✔,1937.01.11,v9.mrwfxsh,✘,✘,␣
D0009,✘,✘,✘,␣,✘,APRT19,체코,✘,2022,PFYKIB4,6,하나은행,✘,✔,✔,윤석휘,✘,✘,␣,권애영,✔,1705448922,779-109415-32868,✘,✘,7,✔,가예다움,GAL SEOBAEG,홍륜하,✘,조모,hinet.net,✘,✘,✔,✘,✘,2021.01.09,qjo8-9nka72,✔,✘,␣
D0010,✔,✘,✘,파트장,✘,APRT19,사우디아라비아,✔,2030,PGXYKLT,␣,우리은행,✘,✘,✘,우예든,✘,✔,8,피클레어,✘,1184105916,726-445-500075,✘,✘,6,✘,방바로,YEOM OLOLA,호권진,✘,손녀,ktu.edu,✔,✘,✔,✔,✘,␣,nrh.zq39wvcic,✔,✔,␣
D0011,✘,✘,✔,␣,✘,APRT19,␣,✔,2032,PZLMOCS,8,ANZ은행,✘,✘,✘,주은찬,✘,✔,␣,현종우,✘,1954593225,␣,✔,✘,11,✔,빈민상,␣,부계림,✘,부,paran.com,✔,✘,✔,✘,✘,␣,f6k.34_t,✘,✘,␣
D0012,✘,✘,✔,전무,✘,APRT19,␣,✘,␣,␣,19,미즈호은행,✔,✘,✘,인희실,✘,✔,23,␣,✘,1490424396,␣,✘,✘,1,✔,␣,␣,두설희,✘,자매,␣,✘,✘,✔,✘,✘,2026년 9월 1일,toxrz2_1l9,✘,✘,홍아메리
D0013,✘,✘,✔,␣,✘,APRT19,␣,✔,2032,PXSLIXD,19,ANZ은행,✘,✘,✘,주은찬,✘,✔,␣,현종우,✘,␣,␣,✔,✘,11,✔,빈민상,CHOE JEONG-EUM,부계림,✘,부,paran.com,✔,✘,✔,✘,✘,␣,f6k.34_t,✘,✘,␣
D0014,✔,✘,✘,파트장,✔,APRT19,몬테네그로,✘,␣,␣,␣,␣,✘,✘,✘,윤아름별,✘,✘,␣,반주령,✔,1839525673,239-714574-38,✔,✘,11,✔,편반디,JO SEJIN,␣,✘,손자,chosun.ac.kr,✘,✘,✘,✘,✘,1941.12.15,␣,✔,✘,편광일
D0015,✘,✘,✔,␣,✔,APRT19,미국,✔,2003,␣,28,␣,✔,✘,✘,함해리엇,✘,✘,18,갈선도,✔,␣,061-082180-62,✘,✘,␣,✘,␣,PYEON SANG-O,인네하,✔,친척,aol.com,✘,✘,✘,✘,✘,2019.7.12,qk6l4pb,✔,✔,함주진
D0016,✔,✘,✘,␣,✘,APRT19,싱가포르,✔,2017,␣,␣,␣,✘,✘,✘,목리즈,✔,✔,␣,␣,✘,9124435830,449846-53-968742,✘,✘,10,✔,␣,HYEONG KEULLO-I-YUNA,␣,✘,기타,nju.edu.cn,✘,✘,✘,✘,✘,1961-07-06,␣,✘,✘,복미하
D0017,✘,✔,✘,␣,✘,APRT19,␣,✔,␣,P4U7C0N,22,JP모건체이스,✔,✔,✘,우도향,✘,✘,12,갈승리,✘,␣,263-200-647398,✘,✘,8,✔,길시한,SEON HWANHYEOG,한대산,✔,조부,iowa.gov,✘,✘,✘,✘,✘,2040.08.30,e_6522pyg,✘,✔,␣
D0018,✘,✘,✔,센터장,✘,APRT19,벨기에,✔,2039,␣,8,도이체방크,✔,✔,✘,선재룡,✘,✘,27,␣,✘,1629015024,844-22279229-74,✘,✘,10,✔,␣,␣,채수현,✘,␣,biz.net,✘,✘,✔,✔,✔,␣,qmlf.ewm42r,✔,✘,한순혜
D0019,✔,✘,✘,CIO,✘,APRT19,␣,✔,␣,PN285IB,␣,␣,✘,✔,✘,␣,✘,✘,17,부명혜,✘,9429021255,␣,✔,✔,␣,✔,피은이,␣,예보근,✘,자매,dartmouth.edu,✘,✘,✘,✘,✔,1923.3.10,lvezkq3,✘,✔,우은임
D0020,✘,✔,✘,␣,✔,APRT19,␣,✔,␣,␣,22,광주은행,✘,✘,✘,안해정,✘,✘,27,백준결,✘,9793075746,201-279-628351,✘,✘,␣,✘,␣,BONG HONGBI,현라원,✘,모,␣,✔,✘,✔,✘,✘,2012-06-10,sqrhguad6kb8,✔,✘,방건모
D0021,✔,✔,✘,실장,✔,APRT19,␣,✘,␣,PI21S58,␣,␣,✘,✘,✘,␣,✘,✘,19,␣,✘,␣,␣,✘,✘,12,✔,허규리아,EUN CHANSOL,남혁훈,✔,조모,opera.com,✔,✘,✔,✘,✘,1990.02.25,␣,✘,✔,␣
D0022,✘,✘,✘,팀장,✘,APRT19,대만,✔,2008,PWV919J,2,신한은행,✘,✘,✘,␣,✔,✔,␣,␣,✘,9664639117,436677-50-652215,✘,✔,9,✔,␣,␣,한현소,✘,조모,lsu.edu,✘,✔,✘,✔,✘,2040.2.4,cp7i88wxr6398,✔,✘,␣
D0023,✘,✘,✔,회장,✘,APRT19,대한민국,✔,␣,␣,4,ANZ은행,✔,✔,✘,␣,✔,✘,␣,␣,✘,1365698684,023026-65-400841,✔,✘,␣,✘,반병현,MA JUNHUI,연범한,✔,손자,␣,✔,✘,✔,✔,✘,␣,␣,✔,✘,팽지얀
E0000,✘,✘,✘,부회장,✘,APRT19,파나마,✘,2037,EUWHKE9,18,한국수출입은행,✘,✘,✘,진김,✔,✘,21,도루시아,✘,9943606553,922202-71-503745,✘,✔,␣,✘,원민재,HAN HWISAN,␣,✘,␣,inbox.ru,✘,✘,✔,✘,✘,1967.7.13,␣,✘,✔,어신자
E0001,✘,✘,✘,사원,✔,APRT19,아일랜드,✘,␣,EKVCC40,␣,하나은행,✔,✘,✘,장도관,✘,✘,17,여례미,✘,1679321655,041-826782-69,✘,✔,9,✔,한경애,DONG HAEJONG,백용태,✘,배우자,␣,✔,✘,✔,✘,✘,2005년 12월 28일,ns-q_zk.z,✔,✘,은제건
E0002,✘,✘,✘,전임,✘,APRT19,예멘,✘,2036,EU9LY7B,2,␣,✔,✔,✘,␣,✘,✘,␣,여현무,✘,1185659493,967-405536-575,✘,✘,7,✔,홍근모,␣,기지식,✘,␣,␣,✘,✔,✘,✘,✘,␣,␣,✔,✔,␣
E0003,✘,✘,✘,CMO,✔,APRT19,요르단,✔,␣,EMM4BLI,␣,NH농협은행,✘,✔,✘,고인정,✘,✔,14,␣,✔,9766325036,␣,✔,✔,9,✔,탁창일,CHOE HAEHWAN,고말자,✔,모,inbox.ru,✔,✘,✘,✔,✔,␣,␣,✘,✘,원묘선
E0004,✘,✔,✘,␣,✘,APRT19,사우디아라비아,✔,2002,EIEVM27,␣,수협은행,✘,✘,✘,␣,✔,✘,6,␣,✘,9426057715,3938-17-417459,✔,✘,5,✘,␣,GIL SA-YANG,길맹자,✘,␣,␣,✔,✘,✘,✘,✔,2018.1.10,␣,✘,✔,도택범
E0005,✘,✔,✘,감사,✔,APRT19,스위스,✘,2010,EK9LIBJ,␣,미쓰비시UFJ은행,✔,✘,✘,␣,✘,✘,␣,모알렉스,✔,␣,0920-31-614153,✘,✔,␣,✔,␣,␣,육보듬,✔,자녀,hqmail.com,✔,✔,✔,✘,✘,1981.12.2,␣,✘,✘,␣
E0006,✘,✘,✘,주임,✔,APRT19,파키스탄,✘,␣,E8HBJYM,26,한국수출입은행,✔,✘,✔,황보윤정,✔,✔,24,탁민석,✘,1366870701,7371-56-901337,✘,✘,8,✘,육윤오,HYEON SAEBYEOG,형유재,✔,␣,mail.com,✘,✘,✘,✘,✘,1962/9/26,␣,✔,✔,은령경
