image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,034,053,054,030,046,005,000,031,048,066,004,012,027
C0006,1956.02.07,BYEON YANGHO,SK커뮤니케이션즈,멕시코,02-853-8800,부산광역시 동구 망양로 626 (초량동),✘,형제,종이나라,␣,경상북도 구미시 지산3길 8-9 (지산동),␣,␣,"눈,",차장,✘,3,✘,경상북도 포항시 남구 동해면 약전리 323-1,2009/5/12,강재창,3,9502916499,␣,␣,062-9473-6384,2031년 7월 3일,28,✘,1,안준온,␣,␣,✔,␣,✘,자매,2029,010-1446-2605,✔,상아프론테크,3,␣,∅,브라질,␣,갈신윤,␣,사장,24,010-7163-2672,042-7559-8053,✔,생긴,␣,2024,Z486CPX,␣,8,16,부탄,✘,␣,곽연이,␣,✘,✔,␣,경기도 양평군 단월면 마산머리길 28-36 (향소리),054-2634-4016
C0007,1902-02-17,␣,␣,쿠웨이트,02-988-9467,부산광역시 해운대구 반송동 40-1013 (오뎅집),✔,딸,바른손,2015,강원특별자치도 동해시 천곡동 1035-16,␣,44640000,증상.,프로젝트 매니저,✔,12,✘,대전광역시 대덕구 중리동 239-1 (신도빌라),1914-06-02,진우혜,␣,1605341079,␣,MO INHYANG,␣,␣,1,✘,7,␣,과장,지정숙,✔,신문주,✘,본인,␣,010-8088-6528,✘,제주 삼다수,21,15,∅,스리랑카,042-518-7281,박대한,장자는,과장,28,␣,051-9914-4472,✘,방안을,033-9797-5089,␣,ZV5DE02,전라남도 광양시 광양읍 용두길 63 (용강리),8,␣,폴란드,✘,자녀,견원화,␣,✘,✔,010-2227-5818,"서울특별시 관악구 관천로22길 5 (신림동, 보라매아파트)",␣
C0008,2016년 4월 23일,GWAG JONGGWON,진주시청,네팔,␣,전라남도 여수시 공화동 1483-29,✔,형제자매,코리아익스프레스에어 (헤체),2013,경기도 오산시 오산로358번길 25-3 (궐동),␣,␣,치수와,차장,✘,5,✘,강원특별자치도 영월군 북면 문곡리 292-16,1937년 11월 2일,함금정,3,1384311554,␣,GYEON YUHUN,␣,␣,25,✘,9,승세환,감사,유주협,✔,예청채,✔,부,␣,␣,✘,HD현대쉘베이스오일,4,14,∅,␣,044-6920-8182,␣,사용하는,CEO,␣,010-5373-8084,02-220-2575,✘,␣,063-338-8327,2030,ZKCWPFN,␣,␣,␣,미국,✔,␣,␣,␣,✘,✘,010-6798-2442,"경상남도 사천시 사천읍 역사동길 51 (수석리, 아이비스캐슬아파트)",033-8266-1869
C0009,2012-12-09,GEUM JINHONG,␣,헝가리,␣,경상북도 경주시 외동읍 활성길 99-2 (활성리),✔,␣,청호나이스 이과수 얼음정수기,2020,울산광역시 남구 삼산동 1544-6,강원특별자치도 동해시 추암동 474-15,"26,690,000",␣,CTO,✘,␣,✘,"충청남도 천안시 동남구 성남면 약수로 316 (석곡리, 석곡가든)",␣,소병환,14,9663215640,14,CHAE GYUNSEO,064-9345-6555,1975.05.11,␣,✘,4,견제훈,␣,진도혁,✔,노라예,✘,아들,␣,␣,✔,델몬트음료,␣,␣,∅,프랑스,␣,␣,줄임.,연구원,5,010-8073-3945,␣,✘,"서까래,",␣,␣,ZAP5V9J,경기도 남양주시 진접읍 금곡리 823-8 (엄산주택),␣,22,␣,✘,조모,송근경,BIN INBIN,✘,✔,010-6946-9298,전라남도 고흥군 남양면 월정리 440,043-2360-5579
C0010,1917-11-19,DU JI-IL,롯데관광개발,쿠웨이트,062-8811-7678,␣,✔,형제,뮤코펙트,2028,대구광역시 군위군 군위읍 대북리 375,␣,36260000,␣,파트장,✘,10,✔,␣,2040.7.6,설예량,28,9339190871,␣,GA GYEONGLAE,063-5316-2945,2031.10.10,␣,✘,7,최다견,선임,맹종한,✘,연회림,✘,조부모,2011,010-7204-4598,✔,웨이크원,30,␣,∅,멕시코,␣,␣,간고하다03,CMO,20,010-7596-9528,␣,✘,사상충과의,02-912-4588,2024,Z0Z2Z3H,경상북도 예천군 효자면 용두리 286,9,30,투르크메니스탄,✘,조모,␣,I HWANJIN,✘,✘,010-2899-6300,제주특별자치도 제주시 조천읍 남조로3길 127 (조천리),␣
C0011,2016-02-06,SI SEOGHA,국순당,니카라과,␣,서울특별시 구로구 개봉로18길 32 (개봉동),✘,␣,태경산업,2011,부산광역시 금정구 장전동 157-10,전라남도 완도군 완도읍 군내리 822-11,␣,그린,␣,✘,3,✔,경기도 하남시 광암로176번길 50 (광암동),1922/10/31,␣,␣,9525020673,19,␣,042-4564-2218,1949-11-07,␣,✘,12,갈제무,선임,마채우,✔,␣,✘,형제자매,2028,␣,✔,대웅릴리,␣,24,∅,불가리아,␣,사공장태,없으며,사장,6,010-0760-7530,␣,✘,␣,055-7573-3429,2026,ZSUHJAA,부산광역시 연제구 연산동 723-9,2,23,벨기에,✔,자녀,␣,JO A-ISYA,✘,✔,010-6681-6929,␣,033-5311-8842
C0012,1933년 6월 25일,NAM GUNGGADEUN,알바천국,몽골,␣,전라남도 영암군 신북면 수양길 19-1 (월평리),✘,조부,얼라이브,␣,경상북도 안동시 옥동 617-5,광주광역시 서구 화정로 84 (화정동),"48,130,000",따위의,과장,✘,␣,✔,전라남도 순천시 별량면 마산길 160 (마산리),␣,하진인,21,9323312559,␣,OG SINJA,044-1206-5660,2005/4/27,3,✘,1,위영지,전임,␣,✘,이지예,✘,친척,2015,010-1360-0401,✘,모드 크리에이션 뮌헨,2,␣,∅,룩셈부르크,044-5267-1677,상레인,방향을,실무자,␣,␣,055-4143-2648,✔,나무쪽.,052-9268-0888,␣,ZB9WOAX,울산광역시 남구 달동 868-11,4,␣,␣,✘,아들,한나담,PYEON YENA,✘,✘,␣,␣,041-8043-6899
C0013,␣,␣,유니온,이란,␣,경기도 고양시 덕양구 도내동 1121-2,✘,␣,동진쎄미켐,2011,경기도 부천시 원미구 평천로 794 (도당동),␣,"51,140,000",말.,␣,✔,␣,✘,경상남도 진주시 망진산길4번길 8-2 (망경동),1985.05.24,정홀리,20,9427510407,5,SEO LAJU,␣,1936.02.13,8,✔,␣,␣,센터장,연절자,✔,안은평,✘,조모,2016,␣,✔,␣,18,␣,∅,오스트리아,␣,최성곤,␣,선임,22,010-8138-5858,055-4159-1456,✘,67월에,042-502-7908,2014,ZITFAF6,전라남도 해남군 옥천면 신계리 380-4,6,8,콜롬비아,✔,␣,␣,SEO LIHAE,✔,✘,␣,␣,␣
C0014,2015.03.24,YUN SEOLHWI,아진산업,시리아,␣,경기도 포천시 군내면 용정리 104-1,✘,자매,␣,␣,광주광역시 동구 필문대로159번길 3-2 (산수동),경상북도 김천시 조마면 신안리 687-2,25390000,␣,CMO,✘,9,✘,␣,2001.2.10,␣,␣,9711564352,9,ON LA-EL,␣,1968년 10월 1일,␣,✘,12,백상정,팀장,␣,✘,단에일리,✔,본인,␣,010-6915-6509,✘,␣,3,22,∅,루마니아,032-9305-0079,금마키,␣,␣,␣,␣,031-8562-7915,✔,살림,064-7013-6806,2020,ZLJ0MF6,"충청북도 청주시 상당구 문의면 문의시내2길 16-22 (미천리, 대호빌라)",11,␣,브루나이,✘,␣,최종효,BU YUHI,✘,✔,␣,경기도 군포시 부곡동 779,041-9625-5901
C0015,1958년 4월 15일,JE HANJUN,동국제약 훼라민Q,몽골,052-2203-2268,전북특별자치도 남원시 금지면 서매리 1022-87,✘,손자녀,일진공업사,␣,␣,경상북도 영주시 안정면 장안로757번길 48 (내줄리),3110000,석이,차장,✔,12,✘,␣,1910.12.31,␣,␣,1497069574,12,PYO GWIHUI,␣,1962년 1월 24일,24,✘,7,␣,주임,마예율,✔,염본겸,✘,딸,␣,010-1510-2312,✔,KT&G,2,9,∅,몬테네그로,054-6932-5636,경련미,일,과장,␣,010-9226-7094,␣,✘,참억새꽃이,043-5736-6682,2020,ZBIJPZ2,경상북도 고령군 운수면 월산리 174-4,10,18,␣,✔,손녀,상치환,HYEON USONG,✘,✘,010-7811-6988,서울특별시 관악구 행운7길 16-6 (봉천동),064-5464-6895
C0016,2025-06-23,DAN YUMA,명화공업,␣,␣,␣,✘,␣,TJ미디어,2014,␣,충청남도 천안시 동남구 목천읍 서리1길 79 (서리),␣,␣,전임,✘,10,✘,␣,␣,␣,26,1809003525,16,GAL SINGI,055-453-4733,1991.11.21,25,✘,9,염아이리,차장,범루크,✘,변서렴,✘,손녀,2020,010-0372-2165,✔,와이씨,27,21,∅,온두라스,032-0757-1382,␣,원본을,본부장,15,010-1070-5466,051-5295-2846,✘,굽지,032-5936-3123,␣,Z6GGX2E,강원특별자치도 홍천군 두촌면 철정리 718-1,␣,20,␣,✘,자매,천의찬,␣,✘,✔,010-5781-7163,␣,053-278-8788
