image,021,010,015,017,022,014,020,019,008,011,016,005,000,013,025,026,007,001,006,023,018,004,009,027,024,012
A0029,␣,2025,␣,␣,␣,✔,␣,✘,✘,5,␣,✔,✘,제일통신,∅,␣,✔,✔,✘,␣,␣,✘,✔,␣,✘,15
D0000,4,␣,␣,5,␣,✔,2028,✔,✘,11,␣,✔,✘,␣,∅,1688752010,✘,✘,✘,육남지,␣,✔,✔,␣,✔,16
D0001,11,2004,2021,␣,28,✔,␣,✘,✘,2,12,✘,✘,␣,∅,9967182652,✘,✘,✔,류위준,남승순,✘,✘,PU04VYA,✘,␣
D0002,4,␣,2020,11,␣,✔,2030,✘,✘,9,5,✔,✘,천지,∅,9801160888,✔,✘,✘,홍명운,␣,✔,✘,PQMEOHN,✔,␣
D0003,3,2007,2012,14,␣,✘,␣,✘,✘,␣,␣,✔,✘,목부연,∅,9382385855,✘,✘,✘,선우세채,␣,✔,✘,␣,✔,23
D0004,␣,2013,2006,␣,6,✘,2017,✘,✘,␣,1,✘,✘,홍맹자,∅,␣,✘,✘,✘,어정도,한명애,✘,✔,PZ24KZ3,✘,3
D0005,8,2009,2026,␣,␣,✘,2027,✔,✘,10,10,✘,✔,␣,∅,9612167212,✘,✔,✘,선레이카,우새임,✘,✘,P50SA51,✔,29
D0006,5,2025,2000,6,26,✔,2007,✘,✘,␣,␣,✘,✔,염여을,∅,9108081417,✘,✘,✘,옥우영,감현제,✘,✔,␣,✔,26
D0007,11,2035,2037,10,␣,✘,2000,✔,✔,10,␣,✘,✔,␣,∅,1762065504,✔,✘,✘,호모니카,␣,✘,✘,␣,✔,5
D0008,1,2005,2011,24,␣,✔,␣,✔,✘,␣,␣,✘,✘,표혜욱,∅,9297260834,✘,✘,✔,예상음,엄종율,✔,✘,PN9ZMYE,✔,14
D0009,8,␣,2014,14,9,✘,2002,✘,✔,␣,1,✔,✔,차쏘피,∅,9638806018,✘,✘,✔,단해준,감세익,✘,✔,␣,✘,␣
D0010,␣,␣,2025,31,4,✘,2023,✔,✘,␣,␣,✔,✘,␣,∅,1081847840,✘,✘,✘,함서여,차윤영,✔,✘,PP1P9OW,✘,␣
E0000,␣,2037,␣,␣,␣,✔,2038,✔,✘,␣,7,✘,✔,나연율,∅,1093498664,✘,✘,✘,배희솔,조시빈,✘,✔,LBJBY6M,✔,␣
