image,017,033,002,032,008,016,013,006,023,500,400,401,402,403,404,405,406,407,408,409,501,410,302,018,009,021,300,035,301,034,200,030,029,011,005,000,003,007,001,031,201,004,012,202,010
C0011,␣,17,␣,␣,안문현,캠리 X5,가벼운,✔,"48,250,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"1,830,000",7,✔,1530000,␣,✔,"5,740,000",채준규,∅,✘,✘,10,✔,사람,정부기관 일반 보조 행정,중소기업은행,1940.11.3,27,1455743452,경기도 포천시 이동면 장암리 180-22,␣,ZQ1Z5N4,␣
C0012,"97,430,000",9,063-5599-5942,1,천준양,도요타 쌍용,미달로,✔,"81,670,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"3,390,000",␣,✘,"91,390,000",␣,✘,"2,720,000",엄기은,∅,✘,✘,␣,✘,손원찬,시장 조사 및 여론 조사업,수협은행,1964.12.25,␣,1932951429,경기도 성남시 분당구 이매동 45-1,␣,ZO4L5SZ,185-356742-88427
C0013,␣,29,␣,9,허정길,␣,␣,✘,"62,470,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"91,910,000",22,✔,"89,450,000",69.3,✔,␣,음비야,∅,✘,✘,12,✘,␣,␣,␣,␣,␣,9083039353,대전광역시 중구 문화로218번길 50 (문화동),30,ZA0J2KJ,␣
C0014,␣,␣,055-3236-8731,␣,왕기,␣,␣,✘,"7,750,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,31,✘,␣,22.1,✘,␣,추택규,∅,✘,✘,1,✔,␣,산업용 유리 제조업,제주은행,1969/9/29,30,1745658986,광주광역시 북구 중흥동 655-22,12,ZL5NZQR,892636-04-552565
C0015,␣,18,␣,12,길민택,G90 트레일블레이저,실속이,✔,"4,460,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"82,280,000",␣,✘,"9,270,000",16.7,✔,"4,490,000",노교헌,∅,✘,✘,4,✘,␣,␣,한국은행,␣,10,1200586352,␣,25,ZUWITR5,␣
C0016,␣,␣,␣,␣,손량현,␣,식견.,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,5,✘,"19,560,000",44.2,✘,␣,␣,∅,✘,✘,␣,✘,␣,␣,한국씨티은행,1987.11.29,␣,1472927054,서울특별시 서대문구 북아현로4자길 8 (북아현동),22,Z267Z8N,299-582-160638
C0017,"3,980,000",20,␣,␣,␣,GLS G80,영국과,✘,␣,✔,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✔,"49,590,000",98.8,✘,␣,qotofk,∅,✘,✔,8,✘,금동한,"철물, 공구, 창호 및 건설자재 소매업",한국씨티은행,1941.03.24,2012,9592802534,␣,␣,ZTLSE5T,493-09649546-94
C0018,"1,790,000",␣,␣,␣,석평안,A8 911,도구.,✔,"5,220,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"4,110,000",4,✔,␣,90.8,✘,␣,␣,∅,✘,✘,8,✘,민하루,의료용품 및 기타 의약 관련제품 제조업,대구은행,1916년 5월 15일,2015,9115280569,␣,␣,Z8KV5Q9,␣
C0019,"8,370,000",␣,044-6940-3609,8,마슬호,GV80 X5,␣,✘,"8,580,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,87990000,24,✔,6480000,70.0,✘,2410000,부재시,∅,✘,✘,8,✘,원아신,␣,␣,1931년 8월 6일,21,9661006203,서울특별시 서대문구 충정로2가 76,11,Z6YYTEJ,8749-26-816495
C0020,84370000,␣,␣,1,␣,스타리아쉐보레 타이칸,웃다.,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✘,␣,45.2,✔,29220000,전재승,∅,✘,✘,6,✘,␣,통신 판매업,토스뱅크,␣,2030,9929892524,세종특별자치시 나성동 723 (금강프라자),6,ZW3YP65,534-81381582-97
C0021,"16,220,000",14,␣,8,서유설,토레스 시빅,␣,✘,26750000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"47,430,000",12,✔,␣,␣,✘,␣,␣,∅,✘,✘,4,✔,배화람,기억 장치 및 주변 기기 제조업,제주은행,1954.10.10,17,9180404612,세종특별자치시 연서면 신대리 17-1,15,Z0WQUEG,566-540-245137
C0022,␣,␣,031-1622-4736,␣,도송빈,타호 GLA,수은04,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,16,✔,"9,360,000",56.6,✔,"9,610,000",소그랑,∅,✘,✘,8,✘,동석화,지정 폐기물 처리업,␣,␣,␣,9842151999,␣,23,ZTISL09,303-448916-34615
C0023,97180000,␣,␣,␣,명류림,도요타 투싼,␣,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,35,✘,"15,370,000",␣,✘,"89,540,000",␣,∅,✘,✘,␣,✘,주우서,음반 및 비디오물 임대업,신한은행,2047.04.10,2015,9849585336,"전북특별자치도 정읍시 동부4길 1 (상동, 석산)",␣,ZXL19UE,618-691440-009
C0024,47790000,␣,052-3017-9535,8,권용순,␣,목숨을,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,28,✔,3920000,␣,✔,"99,430,000",양호천,∅,✘,✘,␣,✔,두해완,"의약품, 의료용 기구, 화장품 및 방향제 소매업",토스뱅크,1907년 4월 23일,24,9996615412,␣,31,ZRCRDBF,␣
C0025,"39,390,000",27,054-5510-9359,4,경온결,하이랜더 e-트론,␣,✘,25510000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,68520000,␣,✘,␣,␣,✔,"1,550,000",홍쏘피,∅,✘,✘,␣,✘,구나권,"지정 외 폐기물 수집, 운반업",␣,1929년 12월 13일,␣,1638704638,␣,␣,ZUSE7EM,736720-97-821261
C0026,"71,750,000",␣,041-4000-8159,5,갈검지,␣,취지에,✘,"4,720,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,38340000,1,✘,"3,830,000",81.5,✘,"71,310,000",여로미,∅,✘,✘,10,✘,추새임,기계장비 조립용 플라스틱제품 제조업,␣,1940년 9월 13일,␣,1967661063,␣,10,ZF40X7Q,260-935574-06655
C0027,␣,31,062-6793-9989,12,두루환,마칸 X1,떨어진,✘,"6,750,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,23,✘,"5,940,000",37.4,✘,"8,440,000",이승찬,∅,✘,✘,1,✔,␣,기타 보건업,부산은행,␣,18,1139617754,경기도 김포시 유현로 234 (풍무동),␣,ZQSPA2U,␣
C0028,"4,220,000",7,053-3118-8585,7,도나임,토레스 넥쏘,하다,✔,67620000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"6,740,000",28,✔,␣,62.6,✘,"91,730,000",␣,∅,✘,✘,7,✘,설에리,␣,수협은행,2048-09-25,19,1260866804,␣,30,ZRPZ1ZG,␣
C0029,␣,5,␣,3,권들희,GLS 타이칸,수,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"1,740,000",␣,✔,"16,930,000",␣,✔,98770000,지사기,∅,✘,✘,1,✘,방아일,␣,␣,␣,19,1085013187,경기도 고양시 덕양구 벽제동 524-2,27,ZWRAHRH,␣
C0030,"4,560,000",1,032-0941-7686,5,␣,GLE C 클래스,몽고문하다,✘,86260000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"74,160,000",15,✔,"33,860,000",76.8,✔,28270000,␣,∅,✘,✘,␣,✘,␣,부정기 육상 여객 운송업,우리은행,2016/12/27,␣,9003165369,충청북도 청주시 상당구 남일면 효촌리 189-12,27,ZEUG0CT,989-400890-255
C0031,␣,18,043-3417-0907,␣,남루세,스타리아쉐보레 트레일블레이저,␣,✘,"29,880,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"62,990,000",9,✘,␣,54.9,✘,"23,390,000",권건엽,∅,✘,✘,␣,✔,방어령,수산동물 가공 및 저장 처리업,BNP파리바,1915.01.24,␣,1371499854,전북특별자치도 김제시 금구면 서도5길 73 (서도리),␣,Z3IAH8M,␣
C0032,␣,21,033-7776-3507,9,␣,␣,않고,✘,87770000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,1,✔,␣,27.8,✘,"3,470,000",우경환,∅,✘,✘,7,✘,유안진,␣,하나은행,2045년 5월 6일,␣,9639965344,충청북도 청주시 상당구 사직대로361번길 14-8 (북문로2가),␣,ZZZB395,␣
C0033,"82,320,000",21,␣,4,인제나,타이칸 E 클래스,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"67,750,000",␣,✔,"4,380,000",␣,✔,"21,510,000",␣,∅,✘,✘,␣,✘,채해희,구조용 금속제품 제조업,DBS은행,␣,2017,1161318358,"경기도 남양주시 화도읍 경춘로 2102-26 (마석우리, 마석그랜드힐아파트)",␣,ZL47FDE,160-425839-63603
C0034,␣,7,044-2986-7896,10,온수란,i4 스파크,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"29,430,000",␣,✔,"14,410,000",␣,✔,␣,장용귀,∅,✘,✘,7,✔,양혜원,␣,토스뱅크,␣,15,9079593935,␣,␣,ZAC3ZGU,5551-28-657212
C0035,"26,660,000",21,␣,2,기사윤,␣,␣,✘,"2,810,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✘,"7,380,000",57.0,✔,␣,부언설,∅,✘,✘,5,✔,␣,해수면 어업,␣,␣,␣,9890139671,경기도 안성시 미양면 신두만곡로 531-15 (마산리),31,Z4II0ZI,997-559149-54968
C0036,"77,310,000",5,032-1877-4396,3,원중기,␣,만유가,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"1,240,000",␣,✘,"7,680,000",25.1,✔,"32,710,000",라향화,∅,✘,✘,11,✔,편레아엘리자베스,␣,JP모건체이스,1963.6.24,23,9416059848,강원특별자치도 춘천시 동내면 고은길 84-30 (고은리),20,ZO0NGXQ,664110-90-524727
C0037,"74,940,000",31,053-9932-7615,␣,정재련,␣,␣,✘,16490000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"79,550,000",19,✔,"1,150,000",55.8,✘,45110000,탁승경,∅,✘,✘,1,✘,두은영,양돈업,JP모건체이스,1967-11-25,18,9983852671,"부산광역시 금정구 동현로 134 (서동, 동우건축설비공사)",7,ZLMEHP0,␣
C0038,␣,17,043-6625-9042,3,조기영,아반떼 A 클래스,␣,✘,66110000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,7,✔,␣,␣,✔,"6,850,000",␣,∅,✘,✘,␣,✘,␣,인쇄업,케이뱅크,1929-12-14,28,9882309056,강원특별자치도 고성군 간성읍 동호리 428,1,Z83I78V,842-581-878720
C0039,␣,27,␣,␣,홍다경,911 렉스턴,무겁게,✘,"65,710,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,16,✘,"3,620,000",19.4,✘,2270000,서양채,∅,✘,✘,9,✔,태감비,␣,␣,␣,21,9158652996,경상북도 경주시 외동읍 방어리 620-25,24,ZZ7OZFI,670-900754-11117
C0040,␣,␣,␣,7,변리앤,7 시리즈 현대,어지럽게.,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"7,420,000",28,✔,16550000,89.0,✔,"17,870,000",명범선,∅,✘,✘,10,✘,부인이,사회서비스 관리 행정,JP모건체이스,␣,27,1226675217,␣,24,ZYIQIRQ,␣
C0041,␣,6,053-8431-9925,7,최달림,X1 911,회전시켜,✘,28160000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,6890000,3,✘,"88,630,000",77.8,✘,"6,910,000",소가슬,∅,✘,✘,␣,✘,␣,인문 및 사회과학 연구개발업,한국수출입은행,2024-08-04,30,9496639986,충청남도 서산시 부석면 칠전2길 157-22 (칠전리),3,Z5LLHJY,044-405-177964
C0042,␣,␣,043-8822-1381,1,방용자,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,4790000,␣,✔,"91,780,000",␣,✘,"52,410,000",옥홍구,∅,✘,✘,12,✔,␣,␣,중국교통은행,␣,22,1018639326,경기도 부천시 오정구 오정동 137-10,18,ZYMPB9B,922-392850-201
C0043,"59,210,000",␣,055-3888-3902,␣,␣,X7 렉스턴,장면만은,✘,"1,730,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"62,280,000",␣,✔,"25,830,000",84.2,✔,"3,170,000",갈결아,∅,✘,✘,10,✘,형윤용,건물설비 설치 공사업,␣,␣,2025,1248436235,전라남도 해남군 해남읍 해리 687-16 (속풀이하는마을),28,Z4PPIJD,␣
D0000,67210000,21,052-3276-8236,␣,석류정,프리우스 X7,흡착된,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,21270000,␣,✘,"24,510,000",62.9,✔,"2,440,000",사용담,∅,✘,✘,6,✘,허충효,␣,하나은행,1933-05-10,37,1242762915,경상북도 의성군 금성면 청로1길 21 (청로리),16,AOWG75O,␣
D0001,␣,3,␣,11,백원희,크루즈 시빅,␣,✘,"79,840,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,27,✘,␣,29.2,✔,"42,340,000",허재마,∅,✘,✘,␣,✘,양송,␣,␣,2028.1.27,37,1450216566,서울특별시 은평구 구산동 355-35 (초원그린빌),␣,␣,533-872604-992
D0002,␣,30,␣,3,위인걸,X1 SM6,파도,✘,"2,510,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,33260000,32,✔,␣,␣,✔,"89,730,000",황은린,∅,✔,✘,␣,✘,␣,"날붙이, 수공구 및 일반 철물 제조업",중소기업은행,␣,13,9394986252,부산광역시 연제구 연산동 182,15,AE1RP05,567-48977344-10
D0003,"63,340,000",4,055-9787-8957,10,사공관유,␣,의하여,✘,"8,860,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,11,✔,"1,180,000",8.4,✘,68230000,추보,∅,✘,✘,7,✘,여종대,␣,제주은행,␣,24,1927191028,충청북도 청주시 흥덕구 운천동 1474,␣,A23H8IH,␣
D0004,"62,960,000",30,␣,4,형성임,아반떼 RAV4,있다.,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"5,940,000",5,✔,"3,680,000",30.2,✘,"53,950,000",␣,∅,✘,✔,␣,✔,심가담,보안 시스템 서비스업,제주은행,2004년 7월 4일,38,9327055935,서울특별시 관악구 신림동 1570-9,␣,AZQKX5G,8884-04-817895
D0005,␣,30,054-7991-9399,10,␣,␣,휘석,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"94,520,000",␣,✘,␣,␣,✘,"37,150,000",차새누,∅,✔,✘,␣,✘,신조애나,␣,중국은행,1936년 12월 11일,␣,1396590083,␣,4,ACDYKKN,6409-10-825247
D0006,7820000,10,␣,4,정철환,␣,남의,✘,"14,570,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"28,850,000",␣,✘,"3,120,000",67.0,✔,"35,620,000",␣,∅,✘,✘,1,✘,태찬우,가공 공작기계 제조업,중국공상은행,1917.4.3,03,1715455117,충청남도 부여군 석성면 왕릉로797번길 55 (증산리),5,␣,␣
D0007,␣,␣,␣,␣,신채란,GV60 GV80,시의,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✘,"4,610,000",6.7,✔,"92,970,000",나윤오,∅,✘,✘,9,✘,육유이토,"컴퓨터 및 주변장치, 소프트웨어 도매업",␣,2050/9/22,22,9690474988,충청남도 아산시 선장면 대흥리 194-5,10,AJWUGVO,553-953-001757
D0008,␣,18,␣,7,남궁의담,캠리 캠리,"혁명,",✘,"63,760,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✘,"91,730,000",75.9,✔,"8,160,000",권필우,∅,✘,✘,11,✘,염형률,"방사성 폐기물 수집, 운반 및 처리업",␣,2034/11/1,19,9584928689,경상북도 김천시 성내동 88-4,17,AHU80VU,831-766487-869
D0009,"98,260,000",␣,␣,11,경율찬,SM5 GLS,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,74940000,30,✔,"8,780,000",␣,✘,"4,240,000",선우홍율,∅,✘,✘,10,✘,간윤,␣,소시에테제네랄,␣,25,9816243527,경상북도 상주시 외남면 구서1길 33-2 (구서리),9,␣,256-893-658757
D0010,"4,770,000",24,031-3261-7670,2,용산이,베뉴 스타리아쉐보레,위촉되었다.,✘,"2,350,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,10,✔,"33,350,000",51.2,✔,"9,710,000",차지회,∅,✘,✘,␣,✔,권단,␣,␣,1936년 4월 18일,12,␣,␣,4,␣,8269-87-229797
D0011,␣,17,␣,5,견서휴,아이오닉5 르노,감빨아,✔,"88,970,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"8,630,000",␣,✘,"58,220,000",56.1,✘,␣,␣,∅,✔,✘,␣,✘,우다운,␣,중국공상은행,2007.2.25,27,1694492116,␣,␣,AAOPDUS,987101-29-401170
D0012,"48,920,000",28,␣,8,고찬묵,마칸 G80,있다는,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"84,460,000",␣,✘,␣,␣,✔,"78,560,000",표송리,∅,✘,✘,6,✔,␣,자동차용 기타 신품 부품 제조업,중국은행,1932년 3월 31일,24,1324362476,␣,␣,␣,␣
D0013,"87,490,000",30,055-1106-1651,␣,기사야카,X5 Q3,␣,✘,"97,930,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,␣,✔,"83,410,000",54.8,✘,"79,540,000",사과름,∅,✘,✔,␣,✔,우승섭,철강관 제조업,뱅크오브아메리카,1974-10-23,31,9294617860,전라남도 장흥군 관산읍 죽청2길 6 (죽청리),28,␣,830-020420-845
D0014,␣,27,032-4244-6639,3,소샤엘,␣,장루조성술,✘,49880000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"1,640,000",19,✘,␣,␣,✔,"7,550,000",두규빈,∅,✔,✘,3,✘,유은협,␣,␣,1943.05.24,03,9114437277,전라남도 순천시 해룡면 평화길 125 (신대리),17,␣,␣
D0015,"79,470,000",6,041-1307-2707,␣,라찬용,␣,먹기,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"74,720,000",␣,✔,"13,850,000",␣,✘,72530000,신유관,∅,✔,✘,7,✘,␣,␣,␣,2015.8.7,12,␣,␣,6,A43QTFY,192308-76-402960
D0016,"72,940,000",6,051-0491-3401,12,천경구,GV60 쏘나타,맹꽁이맹,✘,"61,880,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"19,890,000",30,✘,␣,16.7,✔,␣,어영아,∅,✘,✘,9,✘,손이녹,자동차 수리 및 세차업,토스뱅크,2043년 5월 22일,37,1904022216,␣,3,AIUSGTD,␣
D0017,"5,510,000",17,055-5446-8476,␣,금수이,␣,시작하는,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"8,480,000",19,✔,␣,␣,✘,"83,180,000",␣,∅,✘,✘,1,✔,은은하늘,␣,중국은행,␣,␣,1357263870,서울특별시 성북구 동소문동5가 81,11,AL3BL0N,315-948-697998
D0018,95120000,31,054-7426-6921,␣,␣,쏘나타 GV60,잠을,✔,"1,190,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,2610000,12,✔,39560000,␣,✘,41360000,␣,∅,✘,✘,8,✘,옥현신,원유 및 천연가스 채굴업,중소기업은행,2017.10.30,␣,9728434423,제주특별자치도 서귀포시 신북로23번길 28 (서호동),␣,A6AU3W8,939-567661-682
D0019,␣,␣,␣,␣,␣,␣,␣,✘,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"3,120,000",␣,✘,"21,850,000",␣,✔,"7,750,000",조로렌,∅,✘,✘,10,✔,음성주,음료 및 담배 소매업,BNP파리바,1958.02.13,29,␣,"제주특별자치도 제주시 인다15길 5-6 (아라일동, 염광아파트)",24,␣,755-854-143341
D0020,"24,870,000",1,041-5387-0254,5,함양재,G90 GLC,의로움의,✘,␣,✔,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"68,810,000",10,✘,␣,␣,✔,84260000,방주복,∅,✘,✘,3,✘,␣,예술학원,중국공상은행,␣,12,9142521523,␣,9,A6TSWIE,888-56037195-56
D0021,␣,8,064-5458-2865,7,␣,아이오닉6 GLE,␣,✘,"9,870,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"5,110,000",19,✔,"86,630,000",8.4,✔,"94,690,000",심광열,∅,✔,✘,10,✔,갈담빈,기타 1차 비철금속 제조업,전북은행,1913.8.28,38,1780170764,␣,␣,AOYSQ4R,775-500-699036
E0000,"8,150,000",27,042-2813-9297,7,서문실가,␣,␣,✔,␣,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"6,940,000",33,✘,"64,150,000",86.6,✔,"6,880,000",␣,∅,✘,✔,␣,✘,␣,"부동산 중개, 자문 및 감정 평가업",대구은행,␣,39,9070392943,부산광역시 서구 암남로14번길 5 (암남동),␣,U1QHQ4M,696-416372-859
E0001,"69,230,000",␣,051-9579-8000,3,␣,RAV4 GV90,인재.,✔,77340000,✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"63,340,000",22,✘,2540000,48.7,✔,"31,580,000",승재협,∅,✘,✔,␣,✘,권소혁,␣,JP모건체이스,␣,16,1395176836,전라남도 목포시 하당남부로61번길 25 (상동),2,UMG1DEM,571-968110-977
E0002,␣,␣,␣,9,천명일,␣,일이,✘,"5,390,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,"62,140,000",␣,✘,"99,510,000",94.1,✔,"67,960,000",␣,∅,✘,✘,1,✘,승서환,석제품 제조업,HSBC,2016-05-21,␣,1584911045,␣,␣,␣,␣
E0003,1730000,␣,044-9239-7352,5,김라미,쏘나타 iX,"행서체,",✘,"69,980,000",✘,␣,␣,␣,␣,␣,␣,␣,␣,␣,␣,✘,␣,␣,15,✔,"47,470,000",61.3,✘,"5,390,000",태치원,∅,✘,✘,␣,✔,␣,␣,미즈호은행,␣,28,1313862772,부산광역시 동구 수정동 1011-654,20,UY8T6SB,896-296-222726
