image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,011,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,016,013,055,023,038,039,018,021,044,037,035,057,034,053,054,030,046,005,000,031,048,066,004,012,027
C0010,✘,✘,은노이,✔,✘,✘,✘,✘,✘,✘,051-5159-0399,✘,✔,✘,육연향,따라다니던 사령.,✘,✘,✘,✘,␣,∅,✔,✘,✔,8244Y7,왕율환,✘,고민이 심하여,✔,✘,✘,✔,1827929284,✘,✔,✘,✔,␣,␣,✘,✔,✘,✔,면적은,9776233452,✘,✘,✔,✘,✔,␣,␣,042-9028-1046,자꾸,✘,✘,"2,150,000",✘,✔,편숙연,27180000,✔,ETCBS6L,✔,✘,22개월
D0000,✘,✘,␣,✘,✔,✘,✘,✘,✘,✔,␣,✘,✘,✘,␣,이입술소리,✘,✘,✘,✘,␣,∅,✔,✘,✘,08R6Y3,␣,✔,깡그리.,✘,✘,✘,✔,1361698964,✔,✘,✘,✔,하는,␣,✔,✘,✘,✔,있는,␣,✔,✘,✘,✔,✘,52.8,␣,032-1739-4847,널리,✘,✘,68810000,✔,✔,추근탁,3180000,✘,ZW2PMR4,✔,✘,␣
D0001,✘,✘,␣,✘,✘,✘,✔,✔,✘,✘,␣,✘,✘,✘,노솔빛,등온,✘,✘,✘,✔,"745,143",∅,✘,✔,✔,␣,용서준,✘,하다,✘,✘,✘,✘,␣,✘,✘,✘,✘,일을,2.6,✘,✘,✔,✔,준다.,␣,✘,✘,✔,✘,✘,␣,␣,033-2582-8983,어근.,✘,✔,"16,170,000",✘,✔,노형일,"7,130,000",✔,␣,✘,✔,1개월
D0002,✔,✘,최해성,✔,✘,✘,✘,✔,✘,✘,은아애,✔,✘,✘,소연향,␣,✔,✘,✘,✘,"818,000",∅,✘,✘,✘,RHMGVA,␣,✘,경우와 제,✘,✔,✘,✔,9659595432,✘,✘,✔,✘,␣,51.6,✔,✘,✔,✘,때,␣,✘,✘,✔,✘,✘,36.0,␣,053-3681-3280,따위의 임무를,✘,✘,"82,330,000",✘,✔,태문겸,␣,✘,ZM5MW4C,✘,✔,1개월
D0003,✘,✔,안이윤,✔,✘,✔,✔,✔,✔,✘,␣,✘,✔,✘,봉용준,␣,✘,✘,✔,✔,"263,000",∅,✘,✘,✔,␣,인승길,✘,"교향곡 제35번,",✘,✘,✘,✘,1658686893,✘,✘,✘,✘,있다.,73.9,✘,✘,✘,✘,구성하는,9350063704,✔,✘,✘,✘,✔,42.4,"89,740,000",042-8454-4017,처리가,✔,✘,␣,✘,✔,육예손,␣,✘,Z6V568C,✘,✘,29개월
D0004,✔,✔,상이한,✔,✔,✘,✘,✘,✘,✔,␣,✘,✔,✘,␣,␣,✘,✘,✘,✔,"920,200",∅,✔,✔,✘,CXPIBF,단총명,✘,"따위에서,",✔,✘,✘,✔,9914017952,✘,✔,✘,✔,징수이강의,14.5,✘,✔,✘,✘,␣,9462661110,✘,✘,✘,✘,✘,67.5,"6,980,000",043-7384-1977,파열되지 아니하고,✘,✘,"8,480,000",✔,✔,안두은,"52,720,000",✔,ZXWSSUQ,✔,✔,14개월
D0005,✔,✔,곽율환,✘,✔,✘,✔,✔,✘,✘,␣,✘,✘,✘,엄종택,잡혀 끌려가다.,✘,✔,✔,✘,"698,585",∅,✘,✘,✔,␣,옥주열,✘,용어.,✘,✘,✔,✘,9715475587,✘,✘,✘,✘,속기를,52.0,✘,✔,✘,✔,잘가당거리다,9705176002,✔,✔,✘,✘,✘,␣,44250000,064-7007-6024,␣,✘,✔,62930000,✘,✘,가윤오,␣,✘,Z08SISU,✔,✔,13개월
D0006,✔,✘,사공수,✘,✘,✘,✘,✔,✔,✘,길문철,✘,✘,✘,소영란,␣,✘,✘,✘,✘,␣,∅,✔,✔,✘,ZG506E,천민강,✘,␣,✘,✘,✘,✘,9008479870,✘,✘,✘,✘,␣,␣,✘,✘,✘,✔,␣,9876305385,✔,✘,✘,✔,✘,3.4,19380000,062-9134-9281,음식을,✘,✘,"47,270,000",✔,✘,␣,9150000,✘,ZXV8MPE,✘,✘,10개월
D0007,✘,✘,봉세영,✘,✘,✘,✘,✘,✘,✘,배선우,✘,✘,✘,현양리,상태.,✘,✔,✘,✘,"456,200",∅,✔,✘,✔,GHIQ3R,단슬은,✘,예로부터 내려오는,✘,✔,✘,✘,␣,✘,✘,✔,✘,␣,28.4,✔,✔,✔,✘,수상쩍게,␣,✘,✘,✔,✔,✘,39.5,␣,063-5354-5254,못하는,✘,✘,72810000,✘,✘,음유성,"4,230,000",✔,␣,✘,✘,19개월
D0008,✘,✔,정의람,✘,✘,✘,✘,✔,✘,✘,소하니야,✘,✘,✘,김류진,"정사각형 구멍,",✘,✘,✔,✘,"847,000",∅,✘,✘,✘,␣,추인석,✘,␣,✘,✔,✘,✘,␣,✘,✘,✘,✔,␣,␣,✘,✔,✔,✘,집을,9965309365,✘,✔,✘,✘,✘,47.7,"4,770,000",052-9836-2111,␣,✘,✔,␣,✔,✔,정준행,"4,570,000",✘,ZLHDQJI,✘,✘,33개월
D0009,✘,✘,␣,✘,✔,✘,✘,✔,✘,✔,신순율,✘,✘,✘,소솔린,정도가 지나치게,✘,✔,✘,✔,␣,∅,✘,✔,✔,88D76L,␣,✔,하다,✘,✘,✔,✘,1499672128,✔,✔,✔,✘,␣,85.1,✘,✔,✘,✘,임진왜란,1030352908,✔,✘,✘,✘,✘,57.1,␣,055-2405-6684,불교의,✘,✔,41720000,✘,✘,온채야,␣,✘,␣,✘,✘,13개월
D0010,✘,✘,추호산,✘,✘,✘,✘,✘,✘,✘,석금리,✔,✘,✘,제갈서하,놓치다.,✘,✘,✔,✘,"496,480",∅,✘,✔,✘,␣,␣,✘,␣,✘,✔,✘,✘,␣,✘,✔,✘,✘,␣,␣,✘,✘,✔,✔,조금,␣,✘,✘,✘,✘,✔,94.5,␣,054-7216-4888,␣,✘,✘,"57,970,000",✔,✘,예찬열,"87,520,000",✘,␣,✘,✘,␣
D0011,✘,✘,␣,✔,✘,✘,✔,✔,✘,✘,모충만,✘,✔,✔,연내희,␣,✔,✔,✘,✘,150600,∅,✘,✘,✔,O52H1W,구준정,✔,돌아보지,✔,✘,✘,✘,1198733188,✘,✔,✔,✔,실시하여,63.5,✘,✘,✘,✘,때문에,␣,✔,✘,✔,✔,✘,34.9,"3,910,000",053-4955-2356,␣,✘,✘,␣,✔,✘,␣,␣,✔,Z8Y7ITO,✘,✘,5개월
D0012,✘,✘,차형섭,✔,✔,✔,✘,✘,✘,✘,␣,✔,✘,✔,임솔은,사사로운 원고.,✘,✔,✔,✘,"366,000",∅,✔,✘,✘,6SO279,도상건,✘,개의,✔,✘,✔,✘,9533193125,✔,✔,✔,✔,␣,82.8,✘,✘,✘,✘,민요를,␣,✘,✘,✘,✔,✘,48.2,"2,610,000",␣,아울러 이르는,✔,✘,"7,470,000",✔,✔,육도엽,␣,✔,Z80IW6C,✘,✘,5개월
D0013,✘,✘,천아리아,✘,✘,✘,✘,✘,✘,✘,김나기사,✘,✘,✘,␣,번,✘,✔,✘,✘,417310,∅,✘,✔,✘,KJMUKJ,시윤신,✘,"조계사, 경기도",✘,✘,✘,✘,1278127655,✘,✘,✔,✘,이르는,55.8,✘,✘,✘,✘,일을,9773445174,✘,✘,✘,✘,✘,37.5,"97,280,000",033-7993-8438,일. 또는,✔,✘,"52,680,000",✘,✔,간은평,␣,✘,␣,✘,✘,19개월
D0014,✔,✘,맹보나,✘,✘,✘,✘,✘,✔,✔,␣,✔,✘,✘,손쥬리,그물눈은 모두,✔,✘,✘,✔,␣,∅,✘,✘,✘,␣,예리주,✘,융희 4년(1910,✘,✘,✘,✔,␣,✘,✔,✘,✘,예나,34.2,✔,✔,✘,✔,얽매어,1017032191,✔,✔,✘,✔,✘,␣,"2,490,000",␣,굴레치기,✘,✘,␣,✘,✔,예릉향,"2,890,000",✔,ZYYMEWD,✘,✔,28개월
D0015,✘,✔,모천하,✘,✘,✘,✔,✔,✔,✘,송아나벨,✘,✘,✘,사승겸,반이라 떠들썩한,✘,✘,✔,✘,"800,797",∅,✘,✔,✘,PPCYAD,␣,✘,주요,✘,✘,✘,✘,␣,✘,✔,✔,✔,말라비틀어진,3.8,✘,✘,✘,✘,␣,␣,✘,✘,✔,✘,✘,31.5,"48,470,000",063-6092-7512,하다,✘,✘,"42,840,000",✔,✘,␣,␣,✔,ZCPECJN,✘,✘,16개월
D0016,✘,✘,임조묘,✘,✘,✔,✘,✘,✘,✘,한자원,✘,✘,✔,␣,␣,✔,✔,✔,✘,"177,100",∅,✘,✔,✘,YNIXMN,␣,✔,␣,✘,✘,✔,✘,1593792142,✘,✘,✘,✘,병폐를,30.1,✘,✔,✘,✔,아래위,1446028406,✘,✔,✔,✘,✔,␣,"87,660,000",␣,␣,✘,✘,93510000,✘,✘,␣,"2,890,000",✘,ZYI2KJG,✘,✘,4개월
D0017,✘,✘,동범섭,✔,✘,✘,✘,✘,✘,✘,␣,✘,✔,✔,갈여일,␣,✘,✔,✘,✔,"884,000",∅,✔,✘,✔,8OESCU,남은체,✘,␣,✔,✘,✘,✘,9326019853,✘,✘,✘,✘,꾸중,33.7,✘,✔,✘,✘,␣,9577118920,✘,✔,✘,✔,✘,␣,"73,410,000",062-6850-5203,점모하다01 가려,✘,✔,␣,✘,✔,유무근,44840000,✘,ZRH150W,✘,✘,␣
D0018,✘,✘,사영빈,✘,✔,✘,✔,✔,✘,✘,남궁원오,✔,✘,✘,␣,다시없는 것,✘,✘,✘,✔,"248,500",∅,✘,✘,✘,N8L5HJ,␣,✘,␣,✘,✘,✘,✘,9571147562,✘,✘,✘,✔,␣,1.9,✔,✘,✘,✔,␣,1274302617,✔,✘,✘,✘,✘,71.5,"22,320,000",052-3279-0975,␣,✔,✔,"54,130,000",✘,✘,␣,"73,290,000",✘,ZP56IIL,✘,✘,10개월
D0019,✘,✘,방이얀,✘,✔,✘,✔,✘,✔,✘,␣,✘,✘,✘,마채설,␣,✘,✘,✔,✘,"300,900",∅,✘,✘,✘,9OOU7G,동시겸,✘,보내 땅을,✘,✘,✘,✘,1960733022,✘,✘,✘,✘,␣,39.7,✘,✔,✘,✘,␣,1412398788,✘,✘,✘,✘,✘,14.0,"79,370,000",061-7418-4067,알고,✔,✘,"5,350,000",✘,✔,손심온,"74,540,000",✘,ZASXW9D,✘,✘,7개월
D0020,✘,✘,나주비,✘,✘,✔,✔,✔,✘,✔,선우유록,✘,✘,✘,연세왕,눈으로 읽고,✔,✘,✔,✘,␣,∅,✘,✘,✔,␣,문한호,✔,␣,✘,✔,✘,✘,9672198001,✔,✔,✔,✔,종대는,␣,✔,✘,✘,✘,␣,␣,✘,✔,✘,✘,✔,57.1,"58,220,000",061-9943-7908,맏오빠,✘,✔,"44,570,000",✔,✘,인혁제,␣,✘,Z6RFD6N,✘,✘,␣
D0021,✘,✘,모윤상,✘,✔,✘,✘,✘,✘,✘,염유금,✘,✘,✘,␣,몸을,✘,✘,✘,✔,"662,580",∅,✘,✔,✘,DDF9M3,정가율,✔,나타난다.,✘,✘,✔,✘,1781024997,✔,✔,✘,✔,␣,44.5,✔,✔,✘,✘,다리가,9389130333,✘,✘,✘,✔,✘,0.0,␣,032-5861-1840,아리아(aria)풍,✘,✘,"7,140,000",✘,✔,␣,"97,790,000",✘,ZAUVK8R,✘,✘,31개월
D0022,✔,✘,양연지,✔,✘,✔,✘,✘,✘,✘,윤혁제,✔,✘,✘,주도안,␣,✘,✘,✘,✘,52000,∅,✘,✘,✘,C680JN,당찬혜,✘,그레이트브리튼,✔,✘,✘,✘,9314130695,✘,✔,✘,✘,하다,␣,✘,✘,✘,✘,되묻다.,9606732279,✘,✘,✘,✘,✘,46.6,␣,053-7285-9803,␣,✔,✘,"92,290,000",✘,✘,␣,␣,✘,Z3YHS4U,✘,✘,␣
D0023,✘,✘,은용탁,✘,✘,✔,✔,✘,✔,✘,우선환,✘,✘,✘,␣,␣,✔,✘,✘,✘,"245,000",∅,✘,✘,✔,YCBHTO,␣,✘,옮기는 일.,✘,✘,✘,✘,1752665310,✔,✘,✘,✔,일주일,62.7,✔,✔,✘,✔,앞에,␣,✘,✘,✔,✘,✘,19.9,␣,␣,␣,✘,✘,"49,980,000",✘,✘,␣,"62,580,000",✘,ZE62MQP,✘,✘,31개월
D0024,✘,✘,구남효,✔,✘,✘,✘,✔,✔,✘,사락희,✘,✔,✘,␣,␣,✘,✘,✘,✘,␣,∅,✔,✘,✘,KUAQTT,어부경,✘,␣,✘,✔,✔,✘,␣,✘,✘,✘,✘,쓰게,31.6,✔,✔,✘,✘,나타난다.,9870262717,✘,✘,✘,✘,✔,32.9,"4,690,000",055-2942-6000,문법에 해당한다.,✔,✘,␣,✔,✘,동진슬,84970000,✔,ZJKT7GO,✘,✘,16개월
D0025,✔,✘,정형욱,✘,✘,✘,✔,✘,✘,✔,성클로이,✘,✘,✘,석홍일,없다는,✘,✔,✘,✔,"10,310",∅,✔,✘,✘,S17YDH,예하설,✘,떨어지다. 작고,✔,✘,✘,✘,␣,✘,✘,✘,✘,부드러운,67.1,✔,✘,✘,✘,강론하던,9540535571,✘,✘,✔,✘,✔,44.1,"93,250,000",051-7776-4660,그저 비단일,✘,✘,␣,✔,✘,␣,␣,✔,Z0J1ZHR,✘,✘,25개월
D0026,✘,✔,갈창신,✘,✘,✔,✔,✔,✘,✘,연선용,✘,✘,✘,윤유빛,부문별로,✔,✘,✘,✔,440600,∅,✘,✘,✘,QR5Z8J,예정웅,✔,␣,✘,✔,✔,✘,␣,✘,✘,✘,✘,퇴마냥,19.9,✘,✘,✘,✘,날의,␣,✘,✘,✔,✔,✘,11.4,"31,210,000",043-7151-3711,등지에,✘,✔,␣,✘,✘,␣,␣,✘,Z00KR6P,✔,✘,␣
D0027,✘,✘,␣,✘,✔,✔,✘,✔,✘,✘,하석우,✘,✔,✔,성준모,물살이하다 물에서,✘,✔,✔,✘,"54,700",∅,✘,✔,✘,␣,조가형,✔,따위에,✔,✘,✔,✘,9100359337,✔,✘,✔,✘,동아시아를,30.0,✔,✘,✔,✘,␣,9829576991,✔,✘,✘,✘,✘,19.1,␣,032-9718-6152,어근.,✔,✘,␣,✔,✘,제효래,"32,540,000",✘,␣,✔,✘,29개월
D0028,✔,✔,␣,✔,✘,✘,✘,✘,✘,✘,␣,✔,✔,✘,␣,␣,✘,✘,✘,✘,"319,413",∅,✘,✔,✔,PSML7L,나원선,✔,자꾸,✘,✔,✘,✘,1130285400,✘,✘,✔,✔,␣,␣,✘,✔,✘,✘,계산.,9548456538,✔,✔,✘,✘,✘,72.3,␣,␣,␣,✘,✘,76710000,✘,✘,선우여혜,"27,630,000",✔,␣,✘,✔,␣
E0000,✘,✘,육래오,✘,✔,✔,✘,✘,✘,✘,우혜훈,✔,✔,✔,␣,␣,✘,✘,✔,✘,"591,000",∅,✘,✘,✘,6PGYR1,␣,✔,의논하는,✘,✘,✘,✘,9473466530,✘,✘,✔,✔,기이한,6.0,✘,✔,✘,✔,물러남.,␣,✘,✔,✔,✔,✔,8.8,␣,044-6525-6091,␣,✘,✔,␣,✔,✔,시다본,"66,430,000",✘,A1X8Z9Y,✔,✘,15개월
E0001,✘,✘,편리하,✘,✔,✘,✘,✘,✘,✔,함진금,✘,✘,✔,제서혜,␣,✘,✘,✔,✔,"652,130",∅,✘,✔,✔,␣,맹록희,✘,␣,✘,✘,✘,✘,9166997644,✘,✘,✔,✘,뽑아,74.4,✘,✘,✘,✘,비행기가,9382608481,✔,✔,✘,✔,✘,17.4,␣,031-5267-3654,␣,✘,✘,"4,560,000",✘,✘,승몽,"32,380,000",✔,ANRFK8B,✘,✘,␣
E0002,✘,✔,␣,✘,✔,✘,✘,✘,✔,✘,진상필,✘,✘,✘,␣,␣,✘,✔,✘,✘,"909,000",∅,✘,✘,✔,1KW86D,피근형,✘,광물,✔,✘,✘,✘,9248362733,✔,✘,✔,✘,개의,56.7,✘,✘,✘,✔,같은,1363726458,✔,✘,✘,✘,✘,20.6,98320000,041-1122-0527,크게,✔,✘,74310000,✘,✘,고가희,"7,570,000",✔,A05PULX,✘,✘,␣
E0003,✔,✘,손규완,✘,✘,✘,✘,✔,✔,✘,용상명,✘,✘,✔,인리엄,대표들이 국가의,✘,✔,✘,✘,␣,∅,✘,✔,✔,41XRWY,␣,✘,"목화,",✘,✔,✘,✘,1372685142,✔,✔,✘,✘,있다.,94.9,✘,✔,✘,✔,␣,1782709721,✘,✘,✘,✔,✘,␣,54730000,␣,␣,✔,✘,␣,✘,✔,맹송나,␣,✘,AB6GKII,✔,✘,14개월
E0004,✘,✘,차이로운,✔,✔,✘,✘,✘,✘,✔,문도결,✘,✔,✘,제갈영국,무너져 떨어짐.,✘,✘,✘,✘,"707,282",∅,✔,✘,✘,GO1L8K,연향자,✘,␣,✔,✘,✔,✘,␣,✘,✔,✘,✘,반복적으로,62.2,✘,✘,✘,✔,␣,9596839045,✘,✔,✘,✘,✘,9.0,"1,430,000",␣,타망 좽이를,✘,✘,␣,✘,✘,엄해들,"34,860,000",✔,␣,✘,✘,7개월
E0005,✘,✘,노중원,✔,✘,✔,✘,✔,✘,✘,␣,✘,✘,✘,천클로이지우,있었다. 어줍거나,✘,✘,✔,✘,␣,∅,✘,✘,✘,Z1UOFJ,차승유,✘,␣,✘,✘,✘,✔,␣,✘,✔,✘,✔,누릿하다01,20.4,✔,✔,✔,✔,노획했다.,␣,✘,✘,✘,✔,✘,7.5,"57,340,000",043-7379-6721,␣,✘,✘,␣,✘,✘,도욱진,"47,130,000",✘,A0V843D,✘,✔,30개월
E0006,✘,✔,경태림,✘,✘,✔,✘,✘,✘,✔,모찬연,✘,✘,✘,위희교,터트리기,✔,✘,✘,✘,"58,020",∅,✘,✔,✔,WU120M,가리앤,✘,달린,✘,✔,✘,✘,1252825694,✘,✔,✔,✘,␣,␣,✔,✘,✔,✘,␣,1266164007,✔,✘,✔,✘,✘,␣,"68,330,000",054-7683-8289,자동,✔,✔,"2,850,000",✔,✔,␣,"7,820,000",✘,AR0HEHK,✘,✘,30개월
E0007,✔,✘,위솔,✘,✘,✘,✘,✘,✔,✘,석가해,✘,✘,✘,채상모,"우라고 이르며,",✔,✘,✔,✔,"142,960",∅,✘,✘,✔,␣,예도람,✔,␣,✘,✔,✔,✘,9347891451,✘,✔,✘,✘,준다.,11.4,✘,✘,✘,✔,␣,9208017240,✘,✘,✔,✔,✘,83.5,"35,330,000",␣,␣,✘,✘,␣,✔,✘,엄영자,"38,960,000",✘,␣,✘,✘,1개월
E0008,✘,✘,나수연,✔,✔,✘,✘,✘,✘,✘,윤명국,✘,✘,✘,하환준,짧은 거리에서,✘,✘,✘,✘,441100,∅,✔,✘,✘,BGG1DR,␣,✔,"염소,",✘,✔,✘,✘,1564141724,✘,✘,✔,✘,␣,67.3,✘,✘,✘,✘,"동물,",9303496523,✘,✘,✘,✔,✘,␣,"7,690,000",02-400-8983,␣,✔,✔,"83,930,000",✘,✘,고규동,␣,✘,␣,✘,✘,18개월
F0000,✔,✘,방예론,✘,✘,✘,✘,✘,✔,✔,␣,✔,✔,✔,표이샘,몹시,✔,✘,✘,✘,␣,∅,✘,✘,✘,2RL0ZJ,금진채,✔,광보03 널리,✘,✘,✘,✔,␣,✘,✘,✔,✔,개인이,35.1,✔,✘,✘,✘,잎이,␣,✘,✘,✔,✘,✘,␣,␣,052-3280-8966,␣,✔,✔,"69,370,000",✘,✔,␣,␣,✘,A1EKTKH,✘,✘,␣
