image,015,002,014,008,011,005,000,003,007,001,013,006,004,009,012,010
A0012,␣,␣,␣,2025,주식회사 남경전기,6677889900,␣,␣,888888-88-9999999,␣,∅,우리저축은행,주식회사 남경전기,1,✔,9
A0013,␣,␣,␣,2025,석재용달화물,7788990011,␣,␣,999999-99-0000000,␣,∅,KB저축은행,석재용달화물,03,✔,16
A0014,␣,␣,␣,2025,대한예수교장로회예심교회,8899001122,␣,␣,1000-10-1111111,␣,∅,NH저축은행,대한예수교장로회예심교회,05,✔,23
A0015,␣,␣,␣,2025,어상식품영농조합법인,1212121212,␣,␣,1234-78-9012345,␣,∅,제주은행,어상식품영농조합법인,07,✔,05
A0016,␣,␣,␣,2025,화원산업개발(주),2323232323,␣,␣,5678-90-1234567,␣,∅,카카오뱅크,화원산업개발(주),09,✔,19
A0017,␣,␣,␣,2025,사단법인사회적기업청람,3434343434,␣,␣,9012-12-3456789,␣,∅,제주은행,사단법인사회적기업청람,11,✔,14
A0018,␣,␣,␣,2025,대륙엔지니어링,4545454545,␣,␣,3456-34-5678901,␣,∅,SC제일은행,대륙엔지니어링,2,✔,28
A0019,␣,␣,␣,2025,부전수산,5656565656,␣,␣,7890-56-9012345,␣,∅,씨티은행,부전수산,04,✔,01
A0020,␣,␣,␣,2025,연천상운,6767676767,␣,␣,123456-78-2345678,␣,∅,우체국은행,연천상운,06,✔,17
A0021,␣,␣,␣,2025,대구컴퓨터학원,7878787878,␣,␣,567890-90-3456789,␣,∅,수협은행,대구컴퓨터학원,8,✔,24
A0022,␣,␣,␣,2025,(주)수호전자,8989898989,␣,␣,901234-12-4567890,␣,∅,신협,(주)수호전자,10,✔,10
A0023,␣,␣,␣,2025,(주)아주산업,9090909090,␣,␣,234567-34-6789012,␣,∅,새마을금고,(주)아주산업,12,✔,08
A0024,␣,␣,␣,2025,(주)세미레외장,101010101,␣,␣,678901-56-8901234,␣,∅,DGB대구은행,(주)세미레외장,01,✔,21
A0025,␣,␣,␣,2025,태백약초영농조합,1234500000,␣,␣,012345-78-9012345,␣,∅,BNK부산은행,태백약초영농조합,03,✔,30
A0026,␣,␣,␣,2025,(주)미래ENG,2345611111,␣,␣,456789-90-1234567,␣,∅,제주은행,(주)미래ENG,5,✔,13
A0027,␣,␣,␣,2025,(주)대상,3456722222,␣,␣,789012-12-2345678,␣,∅,광주은행,(주)대상,07,✔,27
A0028,␣,␣,␣,2025,(주)뉴컴퍼니,4567833333,␣,␣,1234567-34-3456789,␣,∅,전북은행,(주)뉴컴퍼니,9,✔,6
A0029,␣,␣,␣,2025,(주)광명도장산업,5678944444,␣,␣,5678901-56-4567890,␣,∅,토스뱅크,(주)광명도장산업,11,✔,20
C0000,LD7Z09R,수협은행,1258011896,2016,팽이림,089-98-62832,함학주,2405-87-583198,␣,␣,∅,␣,오뚜기 참깨라면,␣,✔,␣
D0000,HMLD099,미즈호은행,␣,␣,문들희,␣,구정기,333-176329-98398,␣,1955년 9월 5일,∅,모건스탠리,␣,11,✔,8
D0001,H9MBE9Z,NH농협은행,1946012125,2039,성조희,263-31-09494,천리아나,198-78763689-44,857-731738-05422,␣,∅,␣,SWC,11,✘,␣
D0002,␣,␣,1817919504,2000,노보광,␣,␣,222732-44-042810,2458-58-650145,␣,∅,␣,␣,8,✘,2
D0003,HXARK9F,카카오뱅크,9038545972,2026,김관성,␣,임상제,072-503705-464,382-538524-14143,1953-12-08,∅,중국은행,모드 크리에이션 뮌헨,2,✘,␣
D0004,HBFY0UI,␣,9269030860,2002,탁아비하,573-86-79398,진수오,275-084907-26347,2453-83-181228,␣,∅,␣,한온시스템,4,✘,29
D0005,HBWILN1,모건스탠리,9539001177,2002,최규서,414-93-84003,␣,␣,␣,1947.1.23,∅,국민은행,한국페인트잉크공업협동조합,1,✘,2
D0006,HWMN9HD,␣,1985903956,2003,␣,379-99-83191,민심이,459-094-974821,605-955380-691,2018.4.24,∅,␣,광주제2순환도로주식회사,6,✘,␣
D0007,␣,중국공상은행,␣,2038,손종인,042-85-59083,사공길훈,237179-59-147821,␣,␣,∅,소시에테제네랄,에어로케이항공,␣,✔,11
D0008,␣,한국은행,9276108115,␣,가보건,739-24-64345,␣,␣,389-648790-25,␣,∅,한국산업은행,현대엘리베이터,5,✔,␣
D0009,HANL6AD,미즈호은행,1806899375,␣,문들희,␣,구정기,333-176329-98398,␣,1955년 9월 5일,∅,모건스탠리,␣,11,✔,8
D0010,H4I5H43,␣,␣,2029,송진웅,292-23-44388,서문우혁,␣,528557-82-564051,␣,∅,중국은행,음악권력,2,✔,25
D0011,␣,중국은행,9135286101,2018,␣,475-53-70644,황지,636-64388832-44,␣,1927.6.27,∅,모건스탠리,메디톡스,4,✘,30
D0012,HKSJW23,도이체방크,1666670839,␣,갈덕원,619-19-89590,위안이,513-86595890-89,370-660-705770,␣,∅,␣,한솔아이원스,4,✘,6
D0013,H09JMYX,␣,1833914074,␣,백홍은,303-21-74697,한직미,585-044836-15,451-79381871-86,2001년 6월 29일,∅,␣,␣,␣,✘,1
D0014,␣,␣,␣,2000,␣,248-89-63729,남궁소빈,129-971161-78081,␣,1952.4.22,∅,한국씨티은행,일신방직,5,✘,␣
D0015,␣,한국수출입은행,␣,2031,하강일,␣,천강연,3543-31-373680,278-60248461-54,1955.01.21,∅,우리은행,오르빕스 옵티무스,8,✔,␣
D0016,HBSC0S7,HSBC,9068295433,2034,공유관,719-18-61122,␣,501-70995911-83,844-751542-74840,1936.11.05,∅,미쓰비시UFJ은행,S2 엔터테인먼트,4,✔,17
D0017,HC30R7D,␣,␣,2005,편례진,␣,␣,␣,666-737443-68,1978.02.25,∅,BNP파리바,심텍,␣,✘,7
E0000,TCP6L05,DBS은행,9869689577,2026,견성문,845-56-54730,피설은,4794-00-202574,268-694062-21,␣,∅,␣,한국전력공사,1,✔,␣
E0001,␣,␣,9647056754,2017,␣,135-54-34868,제갈요셉,␣,␣,1935년 7월 9일,∅,DBS은행,한국마사회,12,✘,27
E0002,␣,광주은행,9669680973,2010,어륜희,784-14-30619,␣,8338-27-291787,591-63849618-84,␣,∅,토스뱅크,동진쎄미켐,10,✔,3
E0003,T0YR10E,␣,1965988399,2025,␣,413-72-69645,제갈정빈,␣,␣,1961-05-26,∅,중국은행,␣,11,✘,␣
