image,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
A0026,✔,송지훈정비소,␣,✘,␣,SongJihoon,␣,␣,✘,012-34-56789,␣,✘,✘,␣,␣,␣,✔,✘,✔,✘,✔,✘,✘,서비스업/정비,✘,✘,✘,✘,␣,✘,1984-01-08,"전주시 덕진구 인후동 2424, 2727호",송지훈,✘,✘,✘,✘,✔,010-8765-4321,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2012-11-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1968357240,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0027,✔,␣,␣,✘,␣,BaeSujin,␣,␣,✘,␣,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,✘,1996-06-22,"대구광역시 중구 동인동 2525, 2828호",배수진,✘,✘,✘,✘,✘,010-2345-6789,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,␣,␣,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,␣,␣,1654729831,✘,✔,✘,✔,✘,␣,␣,✘,✘
A0028,✔,도현이네공방,␣,✘,␣,KimDohyeon,␣,␣,✘,456-80-90123,␣,✘,✘,␣,␣,␣,✘,✘,✘,✘,✔,✘,✘,서비스업/공방,✘,✘,✘,✘,␣,✘,1982-03-10,"경기도 파주시 문산읍 2626, 2929호",김도현,✔,✘,✘,✔,✔,010-1234-5678,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,␣,✘,✘,✘,✘,✘,✘,␣,␣,␣,2016-03-01,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1279468530,✘,✔,✘,✘,✘,␣,␣,✔,✘
A0029,✔,␣,␣,✘,␣,ParkJihun,부산시 해운대구,051-123-4567,✘,␣,␣,✘,✔,␣,051-123-4567,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✘,✘,✘,␣,✘,1991-07-22,부산시해운대구,박지훈,✘,✘,✘,✘,✘,010-9876-5432,✘,✘,␣,✘,✘,✘,✘,␣,✘,✘,✔,✘,␣,␣,✘,␣,✘,✘,✘,✘,✔,✘,␣,XYZ회사,영업직,␣,␣,␣,␣,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,␣,␣,1562893471,✔,✔,✘,✘,✘,␣,␣,✘,✘
C0000,✘,막내회센타,44G4U5QS0K,✘,물체를,␣,경기도 고양시 덕양구 주교동 529-4,실장,✘,␣,제주특별자치도 제주시 삼도일동 511-11,✘,✘,␣,␣,052-3587-6798,✔,✘,✔,✔,✘,✘,✘,␣,✔,✘,✘,✘,␣,✔,␣,강원특별자치도 평창군 대화면 동천길 85 (하안미리),음새롬,✔,✘,✔,✔,✔,010-0292-5997,✘,✔,가다듬어,✘,✘,✔,✔,2019,✘,✘,✘,✔,20,얇은,✔,␣,✘,✔,✘,✔,✘,✔,충청북도 충주시 신니면 대화리 398 (동화마을회관),␣,채무자가,1984.10.17,␣,1422482741,4630,✘,✘,✔,✘,✔,✘,✔,✔,✘,✔,✘,✔,✔,✔,APRT19,PADS8QA,538-17-39281,1728203364,✘,✘,✘,✘,✘,불가리아,mail.ru,✘,✘
C0001,✘,손칼국수감자수제비,GF5E7DJ3W9,✔,물체를,␣,␣,선임,✘,␣,서울특별시 영등포구 도신로8가길 7 (대림동),✘,✘,차경임,051-2678-8120,␣,✔,✘,✘,✔,✘,✘,✘,␣,✘,✔,✘,✔,␣,✘,2042.2.22,␣,국지인,✘,✔,✔,✘,✘,␣,✘,✘,저서에,✘,✘,✘,✘,2013,✘,✘,✘,✔,16,점점,✔,␣,✘,✘,✘,✔,✘,✔,제주특별자치도 서귀포시 성산읍 신난로74번길 56 (신산리),티웨이항공,칠푼짜리,693-55-83515,063-1880-5049,1032165839,1224,✔,✘,✘,✘,✘,✘,✘,✔,✘,✔,✘,✘,✔,✘,APRT19,PDT3BLK,426-71-42262,9151265908,✔,✘,✔,✔,✔,파나마,fastmail.com,✘,✔
C0002,✔,한일관,3CKWRBI4WM,✘,환약을,IN MICHAE,경기도 안성시 삼죽면 달골길 23-13 (용월리),CEO,✘,␣,"경상북도 울릉군 북면 울릉순환로 2624-11 (현포리, 현포1리휴게쉼터)",✘,✘,피동이,031-6109-6424,061-1995-6035,✘,✘,✘,✘,✘,✘,✘,원유 정제처리업,✘,✔,✔,✘,sbthrmc86t666,✘,␣,경상북도 영덕군 남정면 우곡리 345,손채후,✔,✘,✘,✘,✘,010-0995-0326,✘,✘,무렵.,✔,✘,✘,✘,␣,✔,✘,✘,✔,36,␣,✘,19,✘,✘,✘,✔,✘,✔,␣,␣,␣,1912.08.02,032-2552-7692,1714833795,␣,✘,✘,✘,✘,✘,✘,✘,✔,✘,✔,✘,✘,✔,✘,APRT19,P5NQ6RN,260-18-82731,1803015807,✘,✔,✘,✔,✘,크로아티아,␣,✘,✘
C0003,✘,숲속한방랜드,U7J1HRYAXI,✘,먹는다.,DO HAN-YE,전라남도 영광군 군남면 양덕리 1428,사원,✘,577-23-63468,␣,✔,✘,␣,052-9434-1027,␣,✔,✘,✘,✘,✘,✔,✘,사회교육시설,✔,✘,✘,✘,ki9talf3jknh,✘,2048-03-02,광주광역시 광산구 옥동 163-7,승이다,✔,✔,✘,✔,✔,␣,✔,✘,없이,✔,✔,✔,✘,␣,✘,✘,✘,✘,19,␣,✘,␣,✘,✔,✘,✘,✔,✘,"전라남도 목포시 원산로 39 (산정동, 목포죽교동우체국)",락앤락,␣,␣,032-5074-8071,9240880497,␣,✔,✘,✘,✔,✔,✘,✘,✘,✘,✘,✔,✔,✔,✘,APRT19,P32X6AS,873-59-63292,1469604945,✔,✔,✘,✘,✔,␣,␣,✘,✘
C0004,✔,효자베이커리,826ZTO84W2,✘,말.,␣,인천광역시 서구 오류로14번길 22 (오류동),부장,✘,␣,전북특별자치도 군산시 산단동서로 38 (오식도동),✘,✘,왕들레,064-1034-4982,054-3286-6450,✘,✘,✘,✔,✘,✔,✘,화물 취급업,✘,✔,✔,✘,␣,✘,1971.9.16,경상북도 영주시 문수면 조제리 1087-1,선우앤디,✔,✔,✘,✘,✘,010-7620-9542,✘,✔,센,✔,✘,✘,✔,␣,✘,✘,✘,✘,␣,석회판의,✘,20,✔,✘,✘,✘,✔,✘,강원특별자치도 원주시 신림면 석동구미길 137-11 (구학리),␣,명리를,␣,042-7042-0231,9159087522,␣,✘,✔,✘,✔,✔,✘,✔,✘,✘,✘,✘,✔,✔,✔,APRT19,PANUD9S,758-38-47022,1945888123,✔,✘,✘,✘,✘,대한민국,japanmail.com,✘,✔
C0005,✔,␣,␣,✔,␣,␣,서울특별시 성동구 연무장길 39-29 (성수동2가),본부장,✔,148-47-98397,␣,✘,✔,김상율,␣,055-5410-7898,✘,✔,✔,✔,✘,✔,✔,␣,✔,✔,✘,✘,␣,✘,2015.06.17,␣,엄송나,✔,✘,✘,✔,✔,010-1339-5572,✔,✘,목록이나,✘,✔,✘,✔,␣,✔,✘,✘,✔,␣,얼음을,✘,17,✘,✘,✘,✘,✘,✔,전라남도 담양군 고서면 장산길 36 (주산리),␣,업무나,1955년 1월 25일,044-2942-2927,9143017477,␣,✘,✘,✘,✘,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,PZPZWVA,848-53-23065,9773051516,✘,✔,✘,✘,✘,인도,␣,✔,✘
C0006,✘,젬브로스,␣,✘,제판용,TAE MATIN,충청남도 부여군 내산면 금지로 191 (금지리),인턴,✘,␣,␣,✘,✔,감라영,044-9071-5832,032-4403-4846,✘,✘,✘,✘,✘,✘,✘,동물용 의약품 제조업,✘,✘,✘,✘,jsdl30zxlgup,✘,1989년 12월 24일,경상북도 의성군 다인면 덕미2길 63-11 (덕미리),구유형,✘,✘,✔,✔,✘,010-8261-1643,✘,✘,깎다.,✘,✘,✔,✘,2025,✘,✔,✔,✔,10,당사자의,✘,3,✘,✘,✘,✔,✘,✘,␣,␣,돈을,␣,02-580-3125,1342547589,4979,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,APRT19,PWZ0WLJ,␣,1501529162,✘,✔,✘,✘,✘,코스타리카,␣,✔,✘
