image,015,017,022,033,002,041,032,040,036,019,008,016,013,027,006,023,038,039,018,042,009,021,037,035,034,030,020,029,028,011,005,000,003,007,001,031,004,012,014,010
A0022,✘,✔,✔,✘,11,␣,✘,∅,10,✘,✘,✘,✘,✔,✘,✘,신나나,✔,✘,␣,✔,✘,1,2025,✔,✘,✘,✘,✘,✘,✔,1987,✔,␣,04,✘,✘,✔,✔,✘
A0023,✔,✔,✘,✘,27,␣,✘,∅,12,✘,✘,✘,✔,✘,✘,✔,서재래,✔,✘,␣,✘,✘,11,2025,✔,✘,✘,✔,✘,✘,✔,1987,✘,␣,04,✘,✔,✘,✘,✔
A0024,✘,✔,✘,✘,17,␣,✘,∅,01,✘,✔,✘,✘,✔,✘,✘,윤영하,✔,✔,␣,✘,✘,23,2025,✔,✘,✘,✘,✘,✔,✔,1987,✔,␣,05,✘,✘,✘,✔,✘
A0025,✔,✔,✘,✘,3,␣,✘,∅,03,✔,✘,✘,✘,✔,✘,✘,엄빛예,✔,✘,␣,✔,✘,31,2025,✔,✘,✘,✘,✘,✘,✔,1987,✘,␣,6,✘,✔,✔,✘,✘
A0026,✘,✔,✘,✘,19,␣,✘,∅,5,✘,✘,✘,✔,✘,✘,✘,반민하,✔,✘,␣,✘,✘,10,2025,✔,✘,✔,✘,✔,✘,✔,1987,✔,␣,6,✘,✘,✘,✔,✔
A0027,✔,✔,✘,✘,5,␣,✘,∅,07,✘,✔,✘,✘,✔,✘,✘,류우윤,✔,✘,␣,✘,✔,25,2025,✔,✘,✘,✘,✘,✔,✔,1987,✘,␣,7,✘,✔,✘,✘,✘
A0028,✘,✔,✔,✘,21,␣,✘,∅,9,✘,✘,✘,✘,✔,✘,✘,황정나,✔,✘,␣,✔,✘,7,2025,✔,✘,✘,✘,✘,✘,✔,1987,✔,␣,7,✘,✘,✔,✔,✘
A0029,✔,✔,✘,✘,7,␣,✘,∅,11,✘,✘,✘,✔,✘,✘,✔,백지예,✔,✘,␣,✘,✘,18,2025,✔,✘,✘,✔,✘,✘,✔,1987,✘,␣,8,✘,✔,✘,✘,✔
D0000,✘,✘,✘,✔,16,9560844044,✘,∅,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,✘,ZEKSZVP,✘,✔,19,2012,✘,✘,✘,✔,✘,✘,✘,2025,✘,데에,4,✔,✘,✘,✘,✘
D0001,✘,✘,✔,✘,15,9563935177,✔,∅,␣,✔,✘,✘,✘,✘,✘,✘,가강해,✔,✘,ZS9D78W,✔,✔,␣,2007,✘,✘,✔,✘,✘,✘,✔,2015,✘,423787,5,✘,✘,✘,✔,✘
D0002,✘,✔,✘,✘,␣,1560670874,✔,∅,9,✘,✘,✘,✘,✘,✔,✘,국묘경,✘,✔,␣,✔,✔,28,␣,✘,✘,✘,✘,✘,✔,✘,2038,✘,목소리로,9,✘,✘,✘,✘,✘
D0003,✘,✔,✘,✘,17,1286498347,✔,∅,␣,✘,✘,✘,✔,✔,✘,✘,␣,✔,✘,ZDNL2QP,✘,✔,24,2039,✘,✘,✔,✘,✘,✘,✔,␣,✘,␣,2,✘,✘,✘,✘,✘
D0004,✔,✘,✔,✔,31,9470951440,✔,∅,␣,✘,✔,✘,✘,✔,✘,✘,두민솔,✘,✔,␣,✘,✘,30,␣,✘,✔,✘,✘,✔,✘,✘,␣,✘,␣,␣,✘,✔,✔,✔,✘
D0005,✔,✔,✘,✔,␣,1718154511,✘,∅,2,✘,✔,✘,✘,✘,✔,✘,견나혁,✔,✘,␣,✘,✘,10,2018,✘,✔,✔,✘,✘,✔,✘,2033,✘,␣,12,✘,✔,✘,✘,✘
D0006,✘,✘,✘,✘,1,␣,✘,∅,␣,✔,✔,✘,✘,✔,✘,✘,빈예철,✔,✔,ZN8S85T,✘,✘,14,2000,✘,✘,✘,✔,✘,✔,✘,2009,✘,기업은,8,✘,✘,✘,✘,✘
D0007,✔,✔,✘,✘,15,9252909136,✔,∅,3,✔,✘,✘,✘,✘,✔,✔,배체림,✘,✔,␣,✘,✘,␣,2007,✘,✘,✔,✘,✘,✘,✔,␣,✘,3녀,5,✘,✘,✘,✘,✔
E0000,✘,✔,✔,✘,16,1161732967,✘,∅,6,✘,✔,✔,✘,✘,✔,✔,제채임,✘,✘,␣,✘,✘,␣,2034,✘,✘,✔,✘,✔,✔,✘,2033,✘,␣,12,✘,✘,✔,✘,✘
E0001,✔,✔,✔,✘,20,1877563516,✘,∅,3,✘,✘,✔,✔,✘,✘,✘,전은하수,✔,✘,␣,✘,✔,18,␣,✔,✘,✘,✘,✔,✔,✘,2024,✘,␣,2,✘,✔,✘,✔,✘
E0002,✘,✘,✔,✔,␣,9273294126,✘,∅,6,✘,✘,✘,✘,✔,✘,✘,국하옐,✔,✘,UENPE4Y,✘,✘,␣,2010,✘,✔,✘,✘,✘,✔,✘,␣,✔,감람나무를,5,✘,✔,✘,✘,✔
