image,015,017,033,002,041,032,040,036,008,016,013,026,027,006,038,039,042,009,024,037,035,034,030,029,028,011,005,000,025,007,001,031,012,014,010
A0012,✘,✘,✔,3,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,이민준,✔,␣,✘,✔,15,2025,✘,✘,✘,✘,✘,✔,1980,✘,␣,7,✘,✔,✔,✘
A0013,✔,✔,✘,19,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,김지우,✔,␣,✔,✔,25,2025,✔,✘,✘,✔,✘,✔,1980,✘,␣,7,✘,✔,✘,✘
A0014,✘,✔,✘,7,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,박서준,✔,␣,✘,✔,12,2025,✘,✘,✔,✘,✘,✔,1980,✘,␣,8,✔,✘,✔,✔
A0015,✘,✘,✘,3,␣,✔,∅,3,✔,✔,✘,␣,✔,✘,최수현,✔,␣,✘,✔,22,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,3,✘,✘,✔,✘
A0016,✔,✔,✔,21,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,정민지,✔,␣,✔,✔,12,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,3,✘,✔,✘,✘
A0017,✘,✔,✘,7,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,윤지훈,✔,␣,✘,✔,18,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,4,✘,✘,✔,✔
A0018,✘,✘,✘,23,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,송민서,✔,␣,✘,✔,3,2025,✔,✘,✘,✘,✔,✔,1984,✘,␣,4,✘,✘,✔,✘
A0019,✔,✔,✘,13,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,배예나,✔,␣,✔,✔,20,2025,✔,✘,✘,✔,✘,✔,1984,✘,␣,05,✘,✔,✘,✘
A0020,✘,✔,✘,29,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,권준서,✔,␣,✘,✔,12,2025,✘,✘,✔,✘,✘,✔,1984,✘,␣,05,✔,✘,✔,✔
A0021,✘,✘,✘,10,␣,✔,∅,3,✔,✔,✘,␣,✔,✘,조서준,✔,␣,✘,✔,10,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,6,✘,✘,✔,✘
A0022,✔,✔,✔,26,␣,✘,∅,02,✘,✘,✘,␣,✘,✘,김도현,✔,␣,✔,✔,22,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,6,✘,✔,✘,✘
A0023,✘,✔,✘,16,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,최지혜,✔,␣,✘,✔,15,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,07,✘,✘,✔,✔
A0024,✘,✘,✘,01,␣,✘,∅,03,✔,✔,✘,␣,✔,✘,정지훈,✔,␣,✘,✔,05,2025,✘,✘,✘,✘,✔,✔,1984,✘,␣,08,✔,✘,✔,✘
A0025,✔,✔,✘,17,␣,✔,∅,02,✘,✘,✘,␣,✘,✘,윤서현,✔,␣,✔,✔,18,2025,✘,✘,✘,✔,✘,✔,1984,✘,␣,08,✘,✔,✘,✘
A0026,✘,✔,✔,02,␣,✘,∅,01,✘,✘,✔,␣,✘,✘,장예진,✔,␣,✘,✔,28,2025,✘,✘,✔,✘,✘,✔,1984,✘,␣,09,✘,✘,✔,✔
A0027,✘,✘,✘,18,␣,✘,∅,3,✔,✔,✘,␣,✔,✘,송민지,✔,␣,✘,✔,12,2025,✔,✘,✘,✘,✔,✔,1984,✘,␣,9,✘,✘,✔,✘
A0028,✔,✔,✘,4,␣,✘,∅,2,✘,✘,✘,␣,✘,✘,배수아,✔,␣,✔,✔,8,2025,✔,✘,✘,✔,✘,✔,1984,✘,␣,10,✘,✔,✘,✘
A0029,✘,✔,✘,20,␣,✘,∅,1,✘,✘,✔,␣,✘,✘,권지우,✔,␣,✘,✔,20,2025,✔,✘,✔,✘,✘,✔,1984,✘,␣,10,✘,✘,✔,✔
D0000,✘,✘,✘,8,1189201208,✘,∅,␣,✘,✘,✘,␣,✘,✘,␣,✘,ZHQ3IE3,✘,✘,13,␣,✘,✘,✘,✘,✔,✘,2028,✘,안,8,✘,✘,✘,✘
D0001,✘,✘,✘,6,␣,✘,∅,␣,✘,✘,✘,␣,✘,✘,␣,✘,ZAJL5UN,✘,✘,13,␣,✘,✘,✘,✘,✔,✘,2025,✘,밤송이로,4,✘,✘,✘,✘
D0002,✔,✔,✘,␣,1797840328,✘,∅,1,✘,✔,✘,세미05,✘,✘,␣,✘,ZNTSY4G,✔,✘,␣,␣,✘,✘,✘,✘,✘,✔,2039,✘,현세02,7,✘,✘,✔,✔
D0003,✔,✘,✘,16,9982732092,✘,∅,8,✔,✘,✔,태장과,✘,✘,장유승,✘,ZGEHG27,✘,✘,␣,␣,✘,✔,✔,✘,✘,✘,2035,✘,도리.,11,✘,✔,✘,✘
D0004,✘,✘,✘,18,␣,✔,∅,11,✔,✔,✘,아무리,✔,✘,임명운,✘,Z2O8B5D,✘,✔,␣,2005,✘,✔,✘,✘,✘,✔,2005,✘,kiwi,␣,✔,✘,✘,✘
D0005,✘,✘,✘,3,1073185263,✘,∅,7,✘,✘,✔,하는,✔,✘,표레이첼사랑,✔,␣,✘,✘,5,␣,✘,✔,✘,✘,✔,✔,2030,✘,못할,␣,✘,✔,✔,✘
D0006,✘,✘,✔,26,9292308738,✔,∅,9,✔,✘,✔,때까지,✔,✘,목예재,✘,␣,✔,✘,31,2010,✔,✔,✘,✘,✘,✔,2040,✘,드리다.,5,✘,✔,✘,✔
D0007,✘,✔,✘,29,1558891078,✔,∅,6,✘,✘,✔,날카롭게,✘,✔,맹솔준,✔,ZX8G1TV,✘,✔,␣,2007,✔,✘,✔,✔,✔,✘,2007,✘,␣,␣,✘,✘,✘,✘
E0000,✔,✘,✘,␣,1507408603,✔,∅,␣,✘,✘,✘,말.,✘,✔,현솔진,✘,ULLVNQ3,✘,✘,␣,2006,✘,✘,✘,✔,✔,✘,2003,✘,␣,11,✔,✘,✘,✔
E0001,✔,✔,✔,␣,9972111800,✘,∅,10,✘,✔,✘,별을,✘,✘,오균민,✘,U8CAXYK,✘,✘,18,2007,✘,✔,✘,✘,✘,✘,2010,✔,␣,2,✔,✘,✘,✔
E0002,✘,✔,✔,␣,1182326097,✘,∅,2,✘,✘,✘,␣,✔,✔,구혜광,✔,UAPDPYJ,✔,✘,␣,␣,✘,✘,✘,✘,✘,✔,2003,✘,공적.,8,✘,✔,✔,✔
