image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,100,042,009,021,024,045,102,044,101,037,035,049,034,053,054,030,020,029,028,046,011,005,000,025,007,001,031,047,048,004,012,014,010
C0010,✔,y1ev83.x-a,␣,␣,✘,␣,"섬유제품 염색, 정리 및 마무리 가공업",✘,056-11-78734,✔,✔,✘,✔,␣,AULM37,✘,m0ksq.do0,✘,✘,␣,✔,설화수 플래그십 스토어,2017 11,polymail.io,2015,032-4188-9455,경기도 고양시 덕양구 삼송로193번길 1-8 (삼송동),␣,␣,경상북도 포항시 남구 대송면 제내리 270 ((주)풍림자동화),18,✘,␣,✘,✔,✔,✘,1074149560,SR1ZM5H,✘,✔,✘,✔,✘,010-6673-4413,␣,9076718139,␣,␣,변표성,✘,✘,✔,␣,042-1756-1899,␣,서울특별시 노원구 상계동 1377-7
C0011,✘,vg_9_d9q-r,mail.jason.pe.kr,5,✘,NO HOGYEOM,신용조합 및 저축기관,✘,371-96-32480,✘,✘,✘,✔,␣,AULM37,✘,␣,✘,✔,␣,✘,남산설렁탕,2015825,alumni.harvard.edu,␣,062-5987-1953,경상북도 문경시 모전동 81-39,␣,660-89612196-11,경기도 화성시 우정읍 이화리 33,19,✔,3,✔,✘,✘,✔,9162279506,S6IHF2E,✘,✘,✘,✘,✔,010-5510-6415,␣,9137323979,중국은행,␣,␣,✘,✔,✘,남자,054-8272-4616,berkeley.edu,␣
C0012,✘,kohbbuf1,london.com,␣,✘,␣,"인형, 장난감 및 오락용품 제조업",✔,331-98-36824,✘,✘,✘,✘,␣,AULM37,✘,cnvxry_3x1g7,✘,✘,␣,✘,␣,20200817,fantasymail.com,␣,062-5156-5127,제주특별자치도 서귀포시 상예동 1215,eu7ad-u,622176-54-525073,충청북도 충주시 신니면 문락리 180-4,29,✘,3,✘,✔,✘,✔,1192953267,SK8PR5X,✘,✔,✘,✘,✘,␣,␣,1717939479,국민은행,␣,정다일,✘,✘,✔,␣,062-6031-4395,bellsouth.net,경기도 평택시 세교동 262 (시민경찰협의회)
C0013,✘,␣,␣,␣,✘,YEO NA-YONG,화물 취급업,✘,999-64-19812,✘,✘,✘,✘,␣,AULM37,✘,e8-.j5jn,✘,✔,␣,✘,공간갑,2015 2,monash.edu,2024,033-4093-8991,강원특별자치도 원주시 부론면 골말길 58 (법천리),␣,370-495055-52,경기도 의정부시 가능동 15-363,␣,✘,12,✘,✔,✘,✔,1725262332,SQYTLNL,✔,✘,✔,✘,✔,010-8552-5506,␣,1450645428,한국수출입은행,␣,주소휼,✘,✘,✔,여자,055-2272-5508,ieee.org,␣
C0014,✘,e6fia.2_yh7,dmu.ac.uk,3,✘,SEO I-YU,비철금속 주조업,✘,570-22-56346,✘,✘,✘,✔,␣,AULM37,✘,␣,✘,✘,␣,✘,쇼린,5,␣,2028,␣,"서울특별시 광진구 용마산로21길 26 (중곡동, YN빌라)",xcaxvdya,␣,␣,13,✔,␣,✘,✘,✘,✔,9293744890,S8Y3AJK,✘,✔,✘,✘,✘,010-8386-3445,␣,9203205622,␣,␣,안인상,✘,✔,✘,␣,␣,company.co.kr,강원특별자치도 원주시 무실로55번길 3 (원동)
D0000,✘,qsnrwgtjzam,opera.com,24,✘,JANG ELBIN,가공 공작기계 제조업,✔,␣,✔,✘,✘,✘,␣,AULM37,✘,e4u56_5,✘,✘,␣,✘,파크 하얏트 서울 더라운지,1981-09-26,␣,1998,␣,충청북도 청주시 서원구 수곡동 222-8,ctky301,␣,경기도 평택시 이화로 159 (죽백동),04,✔,05,✘,✔,✘,✘,1665911913,U2TEWVE,✔,✘,✔,✔,✘,␣,␣,9414701062,␣,␣,민이현,✘,✘,✔,␣,044-1399-5334,ameritech.net,␣
D0001,✔,xczlxqxyab4f,college.harvard.edu,22,✔,␣,␣,✘,322-77-58829,✔,✘,✘,✘,␣,AULM37,✔,␣,✘,✘,␣,✘,FNC 사옥,2048.2.14,berkeley.edu,1918,063-756-3999,경상남도 밀양시 상남면 마산2길 69-125 (마산리),qfvdnb_x,074-866783-579,␣,20,✔,1,✔,✘,✔,✘,9730544283,␣,✘,✘,✔,✘,✘,010-2789-1686,␣,␣,␣,␣,␣,✘,✔,✘,␣,044-531-5288,discroot.org,경기도 평택시 포승읍 도곡리 888-2
D0002,✘,nun13v2z,hawaii.edu,23,✔,GWAG NAMGYUN,"항공기, 우주선 및 보조장치 제조업",✘,070-62-06941,✘,✘,✘,✘,␣,AULM37,✘,␣,✘,✔,␣,✘,␣,1925.05.14,lycos.co.kr,␣,063-3863-1292,경기도 성남시 수정구 신촌동 111-2,␣,␣,전라남도 순천시 남산로 51 (풍덕동),␣,✘,␣,✘,✘,✘,✘,␣,␣,✔,✔,✘,✘,✘,010-3077-9628,␣,9886843763,BNP파리바,␣,지광명,✘,✘,✔,여자,055-2715-9234,nu.edu,강원특별자치도 홍천군 남면 양덕원3길 22-4 (양덕원리)
D0003,✘,lx8qtmu,msn.com,19,✘,IN GAHAN,천일염 생산 및 암염 채취업,✘,066-10-98206,✘,✘,✘,✘,␣,AULM37,✔,qviamzhyxy_,✘,✘,␣,✔,할머니칼국수,2006.05.10,bluemail.ch,␣,051-8168-4844,␣,jsgo-li,␣,␣,␣,✘,␣,✘,✘,✘,✘,1915315566,UJ111LJ,✔,✔,✘,✘,✘,010-3346-3489,␣,9498859059,전북은행,␣,동새영,✘,✘,✘,여자,053-9248-2770,bigpond.com,␣
D0004,✘,xo2bmv4,kabelmail.de,␣,✘,GO SANG-WON,전자집적회로 제조업,✔,280-59-22397,✔,✘,✔,✘,␣,AULM37,✘,jpovq.cxchj1g,✘,✔,␣,✘,비스타 워커힐 서울,1905/5/20,kakao.com,␣,␣,경상북도 김천시 지좌동 380,udzrux-5mnr,895894-28-282891,전라남도 영암군 시종면 신흥리 802-5,␣,✘,␣,✘,✘,✘,✔,9068015722,UCTCLMB,✔,✘,✘,✘,✘,␣,␣,␣,한국산업은행,␣,남지관,✘,✔,✔,남자,055-2249-2492,chol.com,대구광역시 동구 송라로11길 16-1 (신천동)
D0005,✘,osngjhba1mon,javeriana.edu.co,3,✘,SEONG SINHEUN,소화물 전문 운송업,✘,313-84-44518,✔,✘,✘,✘,␣,AULM37,✔,kuk81pse,✘,✘,␣,✔,보드코리아 뚝섬점,2022.4.5,foxmail.com,2010,051-5249-7860,"인천광역시 미추홀구 염창로 39-18 (주안동, 에이스빌)",tvd48g-z,␣,충청남도 아산시 송악면 거산리 279-8,07,✘,04,✘,✘,✘,✘,1242874306,UUB2YO5,✘,✘,✔,✔,✘,010-8908-8373,␣,␣,␣,␣,␣,✘,✘,✘,여자,033-9542-6389,buffalo.edu,경상북도 문경시 점촌로 53-4 (점촌동)
D0006,✔,v6i2w18zr17_,␣,14,✘,MUN ITAE,여신 금융업,✘,937-82-89980,✘,✘,✘,✘,␣,AULM37,✘,df3j1df2ylzg,✘,✘,␣,✘,␣,1908/10/17,gatorzone.com,␣,␣,경상북도 칠곡군 왜관읍 금산리 990,zees8tmpa29bd,576-34929020-64,␣,␣,✘,␣,✘,✔,✘,✘,9302793250,UXZ36Z4,✔,✘,✘,✘,✔,010-1224-9895,␣,9406753903,대구은행,␣,␣,✔,✔,✘,여자,041-8158-2048,␣,서울특별시 동대문구 청량리동 222-11
D0007,✘,l4pqwq9k1mseu,luther.edu,16,✘,LA CHEONGHYEON,␣,✘,␣,✘,✘,✘,✘,␣,AULM37,✘,yzrhh269q7x5,✘,✔,␣,✘,␣,1908년 1월 24일,ohio-state.edu,1989,063-9680-7473,경상남도 거제시 사등면 사곡리 123,vmq75tt,2440-30-275832,경상남도 고성군 회화면 배둔로28번길 15 (배둔리),2,✘,5,✘,✘,✘,✘,1998041856,␣,✘,✘,✘,✘,✔,010-1025-2960,␣,␣,ANZ은행,␣,남궁요안,✘,✔,✘,남자,063-9433-5993,epost.de,␣
D0008,✘,qtpt6lh0.wcwh,luther.edu,␣,✘,YU SELANG,노인 거주 복지시설 운영업,✘,548-47-18529,✘,✘,✘,✔,␣,AULM37,✘,zs1zm1f4f-_1,✘,✘,␣,✘,명륜손칼국수,␣,␣,␣,␣,충청남도 태안군 안면읍 황도리 15-4,␣,␣,서울특별시 구로구 구로동 97-4 (하나세인스톤2차),␣,✘,␣,✘,✔,✘,✘,␣,USPV1IC,✘,✘,✘,✘,✘,010-1556-8695,␣,␣,␣,␣,예소오,✔,✔,✘,␣,064-5241-9261,mailinator.com,부산광역시 영도구 동삼동 326-1
E0000,✘,␣,dreamwiz.com,4,✘,␣,광업 지원 서비스업,✘,707-31-35272,✔,✘,✔,✔,␣,AULM37,✘,efjsubk,✘,✔,␣,✔,창고43,1907-02-25,kth.se,␣,␣,충청북도 보은군 회인면 죽암1길 12-23 (죽암리),xnozvoi8y,␣,서울특별시 노원구 상계동 101-28,␣,✘,␣,✔,✘,✘,✘,9427004918,E4PI79G,✘,✘,✘,✘,✘,␣,␣,␣,BNP파리바,␣,성소기,✘,✘,✘,남자,033-4643-2226,␣,"서울특별시 서초구 동광로8길 42 (방배동, 궁전빌라)"
E0001,✘,b2-jvnys,␣,␣,✘,␣,"생활용 가구, 조명기구 및 비전기식 생활용기기 도매업",✔,932-34-83885,✘,✘,✘,✔,␣,AULM37,✘,wg3c3yfc6r-5j,✘,✔,␣,✔,더래빗,1936-03-15,adobe.com,␣,032-7749-0611,충청남도 서천군 서천읍 둔덕리 488,␣,966-64818489-74,경상남도 함안군 칠서면 대치리 292-3,␣,✘,␣,✘,✘,✘,✘,␣,E5WFA93,✔,✔,✘,✘,✘,010-1344-0661,␣,9058991960,NH농협은행,␣,빈우제,✘,✘,✘,남자,␣,␣,부산광역시 사하구 괴정동 304-1 (화신거화젠틀빌라)
E0002,✘,sgm7dj3_xkva,nju.edu.cn,5,✔,TAG GWANGGUG,포털 및 기타 인터넷 정보 매개 서비스업,✘,␣,✘,✘,✔,✘,␣,AULM37,✘,q38bbb1m6g,✘,✘,␣,✘,␣,␣,pmail.com,␣,054-8458-2026,"서울특별시 강동구 진황도로27길 9 (천호동, 아기천국어린이집)",␣,308-499748-50,␣,␣,✘,␣,✔,✘,✔,✔,9032442077,␣,✘,✘,✘,✔,✘,010-2959-1789,␣,1006158760,␣,␣,김성겸,✘,✔,✘,␣,␣,daum.net,경상남도 밀양시 하남읍 수산리 751
