image,015,017,022,033,002,032,040,036,019,008,016,013,026,027,006,023,038,039,018,009,021,024,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0010,␣,전라북도 전주시 완산구 효자동 1617,2025.5.10 AM 10:30,✔,수배진,✘,␣,손예진,␣,유색,␣,␣,✘,✔,2017,미미카,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,더 뉴그랜져 IG,␣,김미래,100카 1236,임준서,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1IG19T,␣,010 8899 0011,␣
A0011,␣,충청남도 천안시 서북구 성정동 1819,2025.6.1 PM 1:00,✔,우이현,✘,␣,장동건,␣,검정,␣,␣,✘,✔,2017,사과나무자동차,∅,␣,␣,␣,매매상사,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,디 올뉴그랜져,␣,김희정,110타 5680,서예진,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1HPUN0,␣,010 2233 4455,␣
A0012,␣,경상북도 포항시 남구 대송면 2021,2025.7.17 PM 3:45,✔,민한지,✘,␣,김태희,1101111301722,흰색,␣,␣,✘,✔,2016,주식회사예일자동차,∅,␣,␣,␣,매매상사,영업용,✔,✔,✔,✘,␣,✘,✔,␣,K8,␣,임태범,109파 9014,신동욱,"고객대면확인, 상사운영확인 / 실사사진첨부",✔,U1LO5WS,␣,010-6677-8899,␣
A0013,␣,제주특별자치도 제주시 노형동 2223,2025.8.5 AM 9:00,✔,영박준,✘,␣,이민호,1101111301722,흰색,␣,␣,✘,✔,2020,(주)CTRM,∅,␣,␣,␣,사무실,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,K8,␣,박성환,200 하 3458,권보람,"고객대면확인, 상사운영확인 / 실사사진첨부",✔,U1FOCCH,␣,010.1357.9246,␣
A0014,␣,세종특별자치시 조치원읍 2425,2025.9.23 PM 2:15,✔,민김지,✘,␣,수지,1101111301722,검정,␣,␣,✘,✔,2018,대한렌트카후평영업소,∅,␣,␣,␣,사무실,영업용,✔,✔,✔,✘,␣,✘,✔,␣,디 올뉴그랜져,␣,박성환,123거 7892,조현우,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1HESO5,␣,010.3692.5814,␣
A0015,␣,충청북도 청주시 흥덕구 오송읍 2627,2025.10.11 AM 11:45,✔,진서예,✘,␣,송중기,1101111301722,검정,␣,␣,✘,✔,2021,(주)형통모터스,∅,␣,␣,␣,사무실,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,디 올뉴그랜져,␣,장호용,101너1237,민김준,"고객대면확인, 상사운영확인 / 실사사진첨부",✔,U1IYS61,␣,010.7418.5296,␣
A0016,␣,전라남도 순천시 해룡면 2829,2025.11.30 PM 4:15,✔,석유재,✘,␣,유아인,1101111301722,검정,␣,␣,✘,✔,2018,성원모터스,∅,␣,␣,␣,사무실,영업용,✔,✔,✔,✘,␣,✘,✔,␣,VOLVO B6 AWD,␣,이철희,111더 5681,이서연,"고객대면확인, 상사운영확인 / 실사사진첨부",✔,U1KP1W7,␣,010.5826.3974,␣
A0017,␣,경상남도 창원시 성산구 성남동 3031,2025.12.18 AM 8:30,✔,정고현,✘,␣,김혜수,1101111301722,검정,␣,␣,✘,✔,2014,␣,∅,␣,␣,␣,사무실,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,LANDROVER 2,␣,윤재석,100러9015,박도현,"고객대면확인, 상사운영확인, 실사사진첨부",✔,L1L0IDH,␣,010.9632.1587,␣
A0018,␣,강원도 강릉시 경포동 3233,2025.1.7 PM 1:30,✔,성정우,✘,␣,차승원,1101111301722,검정,␣,␣,✘,✔,2015,자동차 친구,∅,␣,␣,␣,사무실,영업용,✔,✔,✔,✘,␣,✘,✔,␣,PORSHE3,␣,강석환,100머 3459,최지우,고객대면확인 | |상사운영확인 / 실사사진첨부,✔,U1KA2W0,␣,010-2587-4139,␣
A0019,␣,경기도 용인시 수지구 3435,2025.2.25 AM 10:15,✔,진손예,✘,␣,공효진,1101111301722,유색,␣,␣,✘,✔,2020,오토마켓 주식회사,∅,␣,␣,␣,사무실,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,G80 2,␣,김인수,102버 7893,정현우,고객대면확인 | |상사운영확인 / 실사사진첨부,✔,U1L81XK,␣,010.4135.7926,␣
A0020,␣,경상북도 김천시 지좌동 3637,2025.3.12 PM 3:00,✔,동장건,✘,␣,조인성,1101111301722,유색,␣,␣,✘,✔,2020,한국타이어　태백점,∅,␣,␣,␣,사무실,영업용,✔,✔,✔,✘,␣,✘,✔,␣,AUDI 35 TDI,␣,김동일,111서 1238,윤수아,고객대면확인 상사운영확인 / 실사사진첨부,✔,U1H76WV,␣,010.6925.8314,␣
A0021,␣,전라북도 익산시 모현동 3839,2025.4.29 AM 9:45,✔,희김태,✘,␣,전지현,1701110915366,유색,␣,␣,✘,✔,2014,계룡상사,∅,␣,␣,␣,사무실,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,기아 더 뉴모닝 가솔린,␣,장민제,200어 5682,장우진,고객대면확인⇒상사운영확인 / 실사사진첨부,✔,U1ILFLK,␣,010.8314.2695,␣
A0022,␣,충청남도 아산시 배방읍 4041,2025.5.16 PM 2:00,✔,호이민,✘,␣,원빈,1701110915366,흰색,␣,␣,✘,✔,2021,차왕모터스,∅,␣,␣,␣,사무실,영업용,✔,✔,✔,✘,␣,✘,✔,␣,BMW X3 20d xDrive,␣,김경태,123저 9016,송하윤,고객대면확인⇒상사운영확인 / 실사사진첨부,✔,U1JDRRI,␣,010.1597.3264,␣
A0023,␣,경기도 평택시 용이동 4243,2025.6.3 AM 11:30,✔,기송중,✘,␣,이병헌,1115110036462,검정,␣,␣,✘,✔,2019,주식회사 세움스토리,∅,␣,␣,␣,자택,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,K9,␣,김희석,101 고 3460,강지훈,고객대면확인⇒상사운영확인 / 실사사진첨부,✔,U1LOMA5,␣,010.3264.7159,␣
A0024,␣,경상남도 진주시 판문동 4445,2025.7.20 PM 4:45,✔,인유아,✘,␣,송강호,1101111339393,유색,␣,␣,✘,✔,2017,주식회사 천일모터스,∅,␣,␣,␣,자택,영업용,✔,✔,✔,✘,␣,✘,✔,␣,더 뉴카니발,␣,진준호,100노 7894,한서연,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1LEIWP,␣,010-5715-9326,␣
A0025,␣,전라남도 여수시 소호동 4647,2025.8.8 AM 8:15,✔,수김혜,✘,␣,최민식,1314110496870,검정,␣,␣,✘,✔,2019,진솔모터스,∅,␣,␣,␣,자택,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,아이오닉 6,␣,박상준,100도 1239,임준서,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1I4BDU,␣,010-7926-4583,␣
A0026,␣,충청북도 제천시 봉양읍 4849,2025.9.26 PM 1:45,✔,원차승,✘,␣,한석규,1314110496870,검정,␣,␣,✘,✔,2020,칠성모터스,∅,␣,␣,␣,자택,영업용,✔,✔,✔,✘,␣,✘,✔,␣,K7,␣,김학재,112로 5683,서예진,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1J3LX2,␣,010-9326-8145,␣
A0027,␣,경상북도 안동시 풍천면 5051,2025.10.13 AM 10:00,✔,진공효,✘,␣,심은하,1341110656625,흰색,␣,␣,✘,✔,2016,리더스모터스,∅,␣,␣,␣,자택,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,신형 쏘나타 하이브리드,␣,권혁정,100모 9017,신동욱,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1M9V97,␣,010-2645-1793,␣
A0028,␣,강원도 원주시 단구동 5253,␣,✔,성안기,✘,␣,안성기,1341110089719,유색,␣,␣,✘,✔,2021,라인모터스,∅,␣,␣,␣,자택,영업용,✔,✔,✔,✘,␣,✘,✔,␣,봉고Ⅲ,␣,함천식,111보 3461,권보람,고객대면확인 / 상사운영확인 / 실사사진첨부,✔,U1I9D21,␣,010-4517-9628,␣
A0029,␣,경기도 이천시 증포동 5455,␣,✔,진동효,✘,␣,문소리,1101110337976,유색,␣,␣,✘,✔,2020,창원중고차 카옥션마트,∅,␣,␣,␣,자택,비영업용,✔,✔,✔,✘,␣,✘,✔,␣,FORD 2,␣,장태혁,102소 7895,김동욱,"고객대면확인, 상사운영확인, 실사사진첨부",✔,U1GJGXW,␣,010-6283-5174,␣
C0000,␣,제주특별자치도 제주시 조천읍 함덕리 3208-2,␣,✘,감이튼,✘,ZPN9HIB,␣,256-45-04622,취득에,하다 폐호하여,␣,✘,✘,␣,돌을,∅,9049920218,서울 이외의,뛰어나,게,␣,✘,✘,✔,✘,␣,✔,✔,하서비,A6 RAV4,역학과,석웅태,␣,주건행,좋았지마는 지금에는,✘,NLUZEP,␣,054-5119-1425,␣
C0001,기레베카,충청남도 금산군 남이면 원석동길 34-1 (석동리),1937/4/9 PM 22:01,✘,␣,✘,ZTFDC9X,␣,␣,차도와,일으킴. 천태종에서,먹는다.,✔,✔,2042-03-02,␣,∅,9139587403,키를,수준은,␣,하는,✘,✔,✘,✔,␣,✔,✘,두진승,X7 GLS,여래,견윤지,521주 5503,예린채,하다,✘,␣,운동,061-3369-8095,␣
C0002,␣,경기도 광주시 도척면 마도로 244-3 (유정리),2027-03-01 7시 50분,✘,견한서,✘,ZAF7X8S,동나주,493-04-90316,지배하는,투기 억제에,없는,✘,✔,␣,층계,∅,1007569130,␣,두려워서,옛날을,초우02,✔,✔,✘,✘,816-36-78402,✘,✔,사윤일,캠리 G80,고적운과,␣,539서 5557,방애심,안료로 쓴다.,✘,LT5NX8,␣,064-191-6090,␣
C0003,시인,강원특별자치도 태백시 장성동 17,1905-04-24 AM 06:52,✘,␣,✔,ZP42HWF,도소중,805-88-32856,␣,250890인임의,␣,✔,✘,1914.05.30,손톱,∅,9556811087,␣,백미돔과의,정반대물,유래한다.,✔,✘,✔,✘,␣,✘,✘,사권률,캐스퍼 토레스,␣,금지야,335다 4918,연선령,분란통 어수선하고,✔,DNR0EP,풍년이,␣,␣
C0004,␣,대전광역시 대덕구 비래동 142-3,␣,✘,구상엽,✘,ZWWA6ZP,노이립,994-52-81499,␣,말라보,가로쓰기에는,✘,✘,␣,",",∅,9700631123,모아,␣,어긋나게,항목.,✔,✔,✘,✘,356-71-63880,✘,✘,오카이토,이쿼녹스 임팔라,자꾸,서원도,␣,여소피아,깊이,✘,␣,␣,␣,␣
C0005,갈준희,인천광역시 서구 가정동 562-3 (삼합빌라),1915.4.19 오전 10:05,✔,␣,✘,Z91QE2S,음덕수,020-87-81130,␣,늦게,놓다.,✘,✘,␣,환,∅,1156849152,감정. 관료주의에,그린,␣,노천갑판,✔,✘,✘,✔,␣,✔,✘,황진소,벨로스터 스파크,먹이는,음자희,60마 3201,최이세,있지 못하는,✔,␣,"안전핀,",043-6498-3217,␣
C0006,도도란,경상북도 안동시 풍천면 병산길 389-12 (병산리),␣,✘,소채현,✘,Z844M91,반규정,␣,양적인,후필,당상관에게,✔,✘,2004/4/27,기하학,∅,1679482165,실 또는,매우,토막을,있는,✔,✔,✔,✘,576-05-44023,✘,✘,하원태,트랙스 트랙스,엿보인다는,어리비,60로 1385,서문송요,말을 얻어,✘,36ROCM,␣,␣,3602만원
C0007,피성지,충청남도 태안군 안면읍 황도리 34-2,␣,✔,서다형,✔,Z7ZLSDG,황보우협,␣,␣,이르는,명령.,✘,✘,␣,결성되어,∅,9668506831,싸우고 있는,␣,␣,␣,✘,✘,✘,✘,870-90-64905,✘,✘,주채은,RAV4 아우디,분비,예쥬빌리,92루 9570,방광국,국가나 특정,✘,XLRUGK,된다.,␣,␣
C0008,반재휴,경기도 광주시 곤지암읍 신만로 235 (봉현리),␣,✘,␣,✔,ZU5AUDN,␣,675-41-73091,삼키아학파의,소프라노 가수(18,␣,✘,✘,␣,이름.,∅,9124082076,␣,물렁물렁한,이,와삭거리다1의 본말,✘,✘,✘,✘,048-25-33128,✘,✘,태은기,현대 A6,␣,␣,88나 6575,탁여훈,맛이,✘,␣,␣,051-6977-7657,␣
C0009,모상묵,␣,␣,✘,선미니,✔,ZJT3WL4,도가임,266-81-25589,같은,사람이 순찰한,␣,✘,✘,1936.08.15,흘러내리고,∅,9260851352,사랑의 세,사락사락01,␣,가장01.,✘,✔,✘,✔,682-52-63922,✘,✘,백담서,i4 SM3,다,구제균,713마 5408,감진소,여자. 긴급,✘,1VZ1NL,가볍고,␣,1878만원
C0010,오다니,충청북도 청주시 상당구 다리실로69번길 103-15 (월오동),2013/2/2 PM 20:13,✘,강서훤,✘,Z2O2QL7,현제하,035-49-82321,승려가,␣,␣,✔,✘,␣,유한하다04,∅,9639227264,효능이 있어,"일본,",␣,␣,✔,✔,✔,✘,286-50-95115,✔,✔,박소화,␣,이집트의,주지승,99버 1497,모새봄,␣,✘,D5E4V0,중종,02-936-8900,4238만원
C0011,맹지곤,경상북도 영천시 고경면 학리 196-2,1959-02-16 10:28 AM,✘,곽순원,✘,Z5JNSPG,라윤택,439-37-72554,물 를,곤각,마름꽃,✘,✘,1917/11/26,말단,∅,1663297701,␣,있는,␣,관장해,✘,✔,✘,✘,542-24-62122,✔,✘,␣,무쏘 캐스퍼,피어,조주복,␣,견서헌,처음으로 이,✘,65RAY2,␣,041-2615-6086,4285만원
C0012,나여훈,서울특별시 성북구 하월곡동 81-55,1968/10/23 23:33 PM,✘,남예곤,✔,ZL3UIGK,␣,851-99-74895,나타내는,어리고 의관이,달,✘,✔,1916-02-10,␣,∅,9565577229,"단체, 정당,",2mm,길로,␣,✘,✘,✘,✘,␣,✘,✘,␣,랜드크루저 파나메라,변한말.,␣,29부 2898,␣,대한 일로매진으로,✘,R0HC6M,러시아는,␣,4579만원
D0000,하인강,경기도 파주시 광탄면 마장리 362-6,1933-11-03 02:07,✔,온영애,✘,PBW1JW1,경엄지,272-99-44155,학문.,␣,가르쳐야,✔,✘,␣,집안의,∅,9254254171,␣,비운,␣,공유 결합을,✔,✘,✔,✘,319-26-12536,✘,✘,장미회,␣,␣,␣,␣,동효철,사람이,✘,WGVLYN,␣,␣,1952만원
D0001,변승결,경기도 안산시 단원구 당곡2로 23 (고잔동),1927.10.13 오후 14:16,✘,간명도,✘,PTO4XDF,상심미,612-95-67261,묻는,6명으로,␣,✘,✘,2010,구분한,∅,1633083427,␣,␣,따위가,␣,✔,✘,✔,✔,703-45-04422,✘,✔,␣,혼다 S 클래스,앞에서,음기련,60러 3027,␣,␣,✘,␣,"속곳으로,",052-6162-3580,␣
D0002,␣,강원특별자치도 인제군 북면 원통로117번길 52 (원통리),1918.07.24 AM 01:43,✘,␣,✘,P2Q900C,추에녹,413-47-46081,␣,외엔 우봉뿐이올시다,␣,✘,✔,␣,또는,∅,␣,종양에,곧,"만든,","이후 원자력,",✘,✔,✔,✘,␣,✘,✘,제갈샬롬,␣,␣,최정옥,332머 3255,국여희,몹시 찌거나,✔,VMR8MW,임시로,␣,2162만원
D0003,탁영수,␣,1935년 2월 21일 21:18,✘,␣,✔,PNQPVMG,함찬숙,049-93-46581,단일한,지지가,␣,✘,✘,2039,융해한,∅,␣,␣,␣,만든,하다 심정하여,✔,✔,✘,✘,100-68-29928,✔,✘,␣,3 시리즈 SM6,피고,연서온,87누 9345,팽준식,이르는 말.,✘,␣,좁은,␣,3986만원
D0004,␣,␣,2025-06-11 15:30 PM,✔,편아미라,✔,␣,하민구,625-80-10019,␣,따라,흐름.,✘,✔,␣,압력,∅,9709689786,혼탕하다,␣,구역.,␣,✘,✘,✔,✔,951-55-70545,✔,✘,␣,A6 포르쉐,하는,양보해,699나 2003,선우주빈,비료의 성분.,✘,WUX138,고대,␣,1580만원
D0005,명완재,경기도 성남시 중원구 중앙동 411,1902.09.02 10시 57분,✘,어창동,✔,PLF54WN,␣,223-41-26524,␣,␣,내는,✔,✘,2006,검게,∅,9389090835,공급하는,각호02,"넣거나,","농악대에서,",✔,✔,✔,✘,171-34-61018,✔,✘,␣,XM3 코란도,␣,안창일,188버 9687,권훈정,␣,✘,PXT9VM,재빠르다.,␣,4863만원
D0006,감예닮,대구광역시 달서구 용산동 553,1945.01.09 PM 21:11,✘,민송준,✘,␣,명운정,268-97-41146,훌훌02,␣,␣,✘,✘,2004,체코슬로바키,∅,9204654792,발생하는,sonata,전달에,"후기에, 마군,",✔,✘,✘,✘,076-09-84244,✘,✔,조성해,␣,␣,예재준,688저 7297,␣,피고 열매는,✘,IQPDIC,일정한,063-2985-3807,3204만원
D0007,옥새진,␣,2006/4/29 AM 11:33,✘,단라파,✘,PP0WFJG,예아효,␣,␣,␣,솥,✘,✘,2040,힘줄집의,∅,1561106723,정신이,이르던,위로,"척추동물에서,",✔,✔,✔,✔,␣,✘,✘,전향령,타이칸 i4,␣,변동주,22고 3627,배미음,따위가 있다.,✘,␣,안감을,055-9554-0403,␣
D0008,민설유,서울특별시 노원구 상계동 1049-115 (풀내음파크빌),1954/9/29 18시 26분,✘,선하록,✔,␣,감인탁,669-96-63822,␣,품팔이하는,가장자리에,✘,✘,2036,␣,∅,1337296084,널리 쓰이고,␣,과세를,믿음과 성실로써,✔,✘,✘,✔,681-44-03563,✘,✘,␣,코란도 QM6,어떤,기인영,217머 9486,목세헌,무슨 일을,✘,␣,␣,033-9873-9336,1826만원
D0009,손미설,충청남도 논산시 연무읍 죽본리 55,␣,✔,␣,✔,PNM2NQR,염의형,968-44-42740,␣,많은 해안에,말.,✘,✘,2029,␣,∅,9335938959,별러서,대고,잘려,통틀어,✔,✘,✔,✘,671-83-88272,✘,✔,␣,GLS i4,적응증,노금진,75라 3797,육창림,실실이 풀어,✘,E1VC44,칼륨의,033-3031-6480,2817만원
D0010,양태휴,␣,␣,✘,황성요,✘,␣,사희람,930-29-83735,␣,␣,어근.,✘,✘,␣,조선,∅,9075025407,성균관 유생들이,콩.,움직이다.,위나,✔,✘,✔,✘,759-64-12618,✘,✔,␣,아우디 무쏘,죄수의,␣,883너 1042,강향나,␣,✘,TTT58L,216158,063-5250-6387,␣
D0011,␣,경상북도 김천시 아포읍 한골1길 60-9 (대신리),2033년 7월 22일 17:34 PM,✘,␣,✘,␣,봉담률,578-88-14290,␣,나가는,␣,✘,✘,2035,활발하게,∅,9181467376,어리석게,␣,물감.,밥.,✔,✔,✔,✔,␣,✘,✘,부애나벨,GLA 마칸,␣,국영진,120어 8632,맹태임,물을 걸어서,✘,VBJU26,돈이나,061-5714-8227,␣
D0012,원상근,전라남도 영광군 영광읍 중앙로2길 9-7 (도동리),1985.9.30 01:43,✘,␣,✘,P18J6HD,사소찬,␣,길.,끝나게 하다.,␣,✘,✔,2039,처음.,∅,9622898953,␣,␣,␣,␣,✔,✘,✔,✔,241-67-62601,✘,✘,맹영권,␣,되다,␣,51소 7477,이지일,␣,✔,␣,평안하고,055-8877-1596,␣
D0013,권래교,강원특별자치도 영월군 영월읍 중앙로 166 (덕포리),1981.07.10 AM 02:02,✔,신용규,✘,P2CZ6PQ,왕지애,␣,␣,고전,작은,✔,✘,2010,"분야로,",∅,1262229625,등지에,것이었다.,마시다.,의논하다.,✘,✘,✔,✔,␣,✘,✘,안지수,BMW SM6,␣,␣,60우 1768,마채나,달래서 꾀는,✘,V9KYID,난명이라..,053-2867-3971,␣
D0014,구미인,서울특별시 용산구 이태원동 224-5,␣,✘,태인휘,✔,P1B773B,␣,742-58-77335,␣,아긋,말함.,✘,✘,2032,450302,∅,9075383785,구절을 섞어서,"한국,",장산면에,␣,✔,✔,✔,✘,338-97-78239,✔,✘,손진율,A3 QM3,␣,나엘리자,213소 2323,␣,"조선 후기에,",✘,LX0TLB,각각,042-0977-8487,␣
D0015,노예반,전라남도 담양군 대전면 월본리 799-1,␣,✔,␣,✔,␣,선루니,974-32-13272,늙으신,␣,녹여서,✘,✘,␣,␣,∅,9013273887,␣,유백색.,␣,␣,✔,✔,✔,✔,337-11-64454,✔,✔,␣,␣,하는,엄미채,␣,손상목,차례가,✘,␣,␣,055-827-8150,␣
D0016,갈리야,강원특별자치도 영월군 한반도면 쌍용리 333-1,2008.5.25 10:25 AM,✘,␣,✘,PKCF0LQ,금정옥,025-20-16172,하다,눈. 또는,␣,✔,✔,2004,있었다.,∅,␣,질 좋은,얻는,긴,␣,✔,✘,✘,✘,701-36-18761,✔,✘,␣,␣,␣,남윤선,136로 9082,백준표,␣,✘,␣,아울러,031-0840-0061,1897만원
D0017,은율온,경상북도 문경시 농암면 청화로 1071 (종곡리),␣,✔,호륜재,✘,␣,␣,␣,준다.,않았다.,␣,✘,✘,2023,␣,∅,1179338297,␣,만나서,표징이,␣,✔,✘,✔,✘,148-31-24866,✔,✘,␣,르노 트랙스,일에,모한서,53서 9598,␣,␣,✔,␣,␣,␣,␣
D0018,길현휘,전북특별자치도 전주시 덕진구 진북동 1157-21,␣,✔,␣,✘,␣,연승진,388-39-76194,이르는,␣,들러붙어,✘,✘,2023,␣,∅,9502662535,얼음,용사02,를,빙성층 바위,✘,✘,✔,✘,167-70-68981,✘,✔,␣,iX 베뉴,장엄하고,형감나,26모 7970,남궁금강,␣,✘,LKEB36,쪽이,␣,␣
D0019,국리빈,␣,2050-05-15 8:57 AM,✔,␣,✘,␣,함규돈,764-56-53338,온몸에,␣,␣,✔,✘,2035,널빤지로,∅,␣,헌데. 나력이,␣,금란을,합류하는 강.,✔,✘,✘,✘,233-77-63379,✔,✘,남궁원모,트레일블레이저 CR-V,␣,사공양,␣,상성렬,말.,✘,␣,교착되어,␣,2968만원
D0020,␣,충청북도 제천시 송학면 관란정길 21-31 (장곡리),2019.8.1 오후 17:23,✘,승채담,✔,PYDXMNZ,우언수,␣,"인산,",␣,␣,✘,✘,␣,나는,∅,9050703535,발생하는,되다,기생하는,"말에,",✔,✔,✔,✘,␣,✘,✘,사애나벨,iX 콜로라도,이물과,␣,␣,국원혁,흑자 유지가,✔,␣,염색02,043-9347-4838,2468만원
D0021,성세운,경상북도 영주시 두서길19번길 38-12 (영주동),1991/2/2 12:40,✔,␣,✘,␣,함덕준,␣,␣,"때에,",과정.,✔,✘,␣,데,∅,␣,␣,형사는,␣,토템이 돼지였던,✘,✘,✘,✔,␣,✔,✘,주관호,르노 X5,$$CrO_,류고율,309오 7314,␣,써서 표시한다.,✔,␣,재주,␣,1868만원
E0000,맹범지,␣,2043.07.17 23:15 PM,✘,␣,✘,␣,␣,␣,뒷걸음쳐,␣,임무를,✘,✘,2018,스스럽다.,∅,␣,긴,않은,␣,로키산맥 위에,✘,✘,✔,✘,236-94-55627,✘,✔,태결우,␣,습자하는,피은다,699누 3881,범진휘,때의,✘,80R1W2,두고,053-1896-4258,1623만원
E0001,␣,␣,1974.12.8 4:19 AM,✔,␣,✔,HIEO9WB,복규한,␣,줄여,␣,뚱뚱한,✘,✔,2031,␣,∅,␣,␣,싸움.,사이에,␣,✔,✘,✘,✘,␣,✔,✔,좌기명,QM3 마칸,대는,원군호,78무 9048,␣,동신03 지독한,✘,␣,데에,␣,4815만원
E0002,성효이,␣,␣,✔,좌승무,✔,␣,오용덕,415-52-97059,몸을,␣,직방체,✘,✔,2001,관계되는.,∅,9255908099,사인을,␣,혼왕,일.,✔,✘,✔,✘,785-72-68695,✘,✘,␣,␣,후기의,마문자,107모 5003,␣,가지고,✘,N93I20,␣,␣,␣
