image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,021,024,012
A0019,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,4,✘,✘,✘,␣,성유채,✘,22,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0020,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,8,✘,✘,✘,␣,반채,✘,28,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0021,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,10,✘,✘,✘,␣,신나나,✘,01,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0022,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,12,✘,✘,✘,␣,서재래,✘,11,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0023,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,1,✘,✘,✘,␣,윤영하,✘,23,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0024,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,3,✘,✘,✘,␣,엄빛예,✘,31,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0025,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,05,✘,✘,✘,␣,반민하,✘,10,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0026,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,07,✘,✘,✘,␣,류우윤,✘,25,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0027,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,9,✘,✘,✘,␣,황정나,✘,7,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0028,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,11,✘,✘,✘,␣,백지예,✘,18,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
A0029,␣,␣,␣,␣,✘,␣,␣,␣,✔,␣,␣,6,✘,✘,✘,␣,변도하,✘,15,␣,✘,✘,2025,␣,␣,SP00NAB021,␣
D0000,4,1,␣,␣,✘,2009,8,2016,✔,8,2,␣,✘,✘,✘,␣,␣,✘,24,1967242636,✘,✔,2023,2024,20,SP00NAB021,손수린
D0001,9,␣,정이사랑,승백준,✘,␣,12,␣,✔,29,␣,4,✘,✘,✘,SP5A2N9,가호준,✔,␣,9320800284,✔,✘,␣,2019,7,SP00NAB021,봉성만
D0002,9,␣,␣,최시인,✘,2031,2,2034,✘,7,␣,␣,✔,✔,✔,S2ZL4CK,공대한,✔,␣,␣,✘,✔,2014,2038,31,SP00NAB021,선우노하
D0003,5,␣,장경섭,제사야카,✘,2000,12,2032,✘,20,12,6,✘,✔,✘,␣,온은이,✔,28,1606359609,✘,✘,2016,2004,14,SP00NAB021,␣
D0004,␣,4,예우아,␣,✔,2037,6,2007,✘,␣,8,2,✘,✘,✘,SZHP5I4,왕나름,✘,␣,1480963917,✘,✔,2002,2031,26,SP00NAB021,시플로렌시아
D0005,␣,10,연본서,␣,✘,2000,11,2031,✘,␣,␣,11,✔,✘,✔,␣,␣,✘,24,1611852212,✔,✘,2028,␣,␣,SP00NAB021,선종길
D0006,11,␣,␣,␣,✘,2000,␣,2013,✔,27,23,10,✔,✔,✘,␣,오하운,✘,29,9580101798,✘,✘,2010,2016,12,SP00NAB021,전결월
D0007,2,10,황보건주,기희예,✔,2001,7,2022,✘,26,␣,6,✔,✔,✘,SRRHFLX,길은지,✔,21,1238911997,✔,✔,2012,2000,12,SP00NAB021,복종헌
D0008,␣,9,␣,␣,✘,2027,␣,␣,✔,␣,18,␣,✘,✔,✔,S4YB2SB,기석후,✘,␣,1304230389,✘,✔,2005,␣,5,SP00NAB021,단석
D0009,6,11,␣,여누리봄,✔,␣,␣,2031,✔,␣,␣,␣,✘,✔,✘,S550T63,␣,✔,␣,1317847728,✔,✔,2010,2007,␣,SP00NAB021,권유엽
D0010,␣,9,␣,␣,✘,2027,␣,␣,✔,␣,18,␣,✘,✔,✔,S8TXDHS,기석후,✘,␣,9407471793,✘,✔,2005,␣,5,SP00NAB021,단석
E0000,10,4,단화음,␣,✔,2008,9,2039,✔,9,17,␣,✘,✘,✘,ZX1DM6K,금진산,✘,11,1623290991,✔,✔,2029,2022,29,SP00NAB021,승철준
F0000,␣,1,명차니,박녹원,✔,2036,9,2038,✘,␣,14,11,✘,✔,✘,␣,류성준,✘,9,␣,✘,✘,␣,␣,␣,SP00NAB021,양윤규
F0001,2,12,안클레어예원,제희미,✔,2036,9,2007,✔,␣,␣,10,✘,✘,✘,ZTCSSLN,␣,✘,15,1034331407,✔,✘,2010,2024,27,SP00NAB021,손찬엽
