image,002,041,040,050,096,098,008,052,006,042,009,045,102,058,101,076,049,011,072,003,001,047,063,014,010,060,095,061,065,051,099,033,097,062,032,056,091,074,036,043,059,067,013,055,038,039,093,044,037,035,057,034,053,054,046,094,000,075,066,048,073,004,012,100,092
C0010,SEOG SEUNGHWON,✘,✘,✔,단하노,9983687779,대구광역시 동구 도평로43길 14 (도동),✔,␣,✘,061-6673-9844,✘,03,✘,07,✔,✘,041-9245-5771,2022,951-97-56595,원라언,440-187150-58071,북마케도니아,freenetname.co.uk,부산광역시 동구 범일동 1458-10,고요하다.,1935.5.21,서남석,␣,✔,U6X5VAQ,JWA HYEONGMIN,ABOR02,␣,양하루토,✘,수협은행,␣,␣,en_mh3e.14g,✘,파트장,␣,19,cx0snvxka7j,blueyonder.co.uk,백환혁,dreamwiz.com,✘,여자,✘,2045년 9월 21일,✘,✘,✘,조부모,1202916736,␣,국회를,중소기업은행,6,␣,055-0356-5825,1920,534-645209-479
C0011,␣,✘,✘,✘,홍울림,1394113782,경기도 남양주시 화도읍 폭포로358번길 17-20 (창현리),✘,인천광역시 부평구 십정동 400-15 (대풍아트맨션),✘,054-3244-2244,✔,20,✔,05,✔,✘,02-963-8028,␣,␣,좌로경,773-159427-37,칠레,chungnam.ac.kr,충청남도 서천군 화양면 망월리 265,␣,␣,구도향,010-4096-6954,✘,U206WZ5,CHAE YEONGMUG,ABOR02,␣,␣,✘,HSBC,10,노르웨이,k7wqs6te0c1q,✘,␣,nlbh7lhr,10,gc1lrizoxan,␣,␣,␣,✔,여자,✘,2039년 5월 15일,✘,✘,✔,␣,1957835407,선우성익,␣,␣,␣,␣,␣,1935,␣
C0012,␣,✘,✔,✘,명요빈,1518852971,경상남도 양산시 어곡동 239 (성정가든),✘,전라남도 고흥군 영남면 양사리 467-1 (정비공장),✘,032-2037-7504,✘,18,✘,03,✘,✘,␣,2011,646-83-24619,방채건,495-216-409487,␣,␣,전라남도 영광군 영광읍 백학리 340 (성산아파트),앙금이,2019년 10월 12일,오인산,␣,✘,UYC0EAA,YU SOLHYEON,ABOR02,␣,함범민,✘,전북은행,␣,␣,␣,✘,COO,ixrkk35nehyf,␣,ok-7zvd03x58,chol.com,␣,nate.com,✘,여자,✘,2049-01-08,✔,✔,✘,조모,9086128604,빈화진,않고,광주은행,2,␣,␣,2004,␣
C0013,SEOG DAESEOG,✔,✘,✔,승관중,9069273854,경상북도 김천시 중앙공원5길 15 (남산동),✔,경기도 포천시 가산면 정교리 335-7,✘,041-7095-5765,✘,␣,✘,␣,✔,✘,02-180-2096,␣,642-26-56292,␣,␣,덴마크,␣,서울특별시 광진구 아차산로42길 21 (자양동),␣,1913.12.03,상청운,010-6596-4154,✘,UTU6OZK,BEOM LU-EUN,ABOR02,HONG JOHWAN,지신율,✔,한국산업은행,20,폴란드,␣,✔,팀장,␣,␣,o0jgdbk_qixy,chungbuk.ac.kr,␣,mail.ru,✘,남자,✘,␣,✘,✘,✘,형제자매,9118249380,남이리스,살펴봄.,한국씨티은행,10,519-92-51958,␣,␣,310-60962735-19
C0014,␣,✘,✘,✘,␣,1122901022,경상남도 거제시 해명로6길 10 (수월동),✘,경상남도 창원시 의창구 대산면 대방리 480,✔,032-4532-2801,✘,␣,✘,␣,✘,✘,032-3287-1779,␣,223-95-21048,류배진,905-886-285403,벨라루스,epub.com,␣,␣,2045/6/14,인현림,␣,✔,UL444KP,SIM U-YEOL,ABOR02,BANG MINGI,사후안,✘,␣,22,볼리비아,h4syyiujxp20s,✘,대리,␣,␣,␣,ktu.edu,송히마리,␣,✔,␣,✘,1930-11-30,✘,✘,✘,␣,1442374385,복모네,상대편의,중국은행,11,327-77-12710,031-7531-0219,␣,␣
C0015,␣,✘,✘,✔,␣,1088753503,␣,✔,경상북도 포항시 북구 신광면 비학로 740 (우각리),✘,␣,✔,␣,✘,␣,✔,✘,␣,2029,775-71-94136,␣,300694-16-487704,볼리비아,␣,␣,␣,1909.10.11,␣,␣,✘,UQOLBHE,HAM GAMSA,ABOR02,␣,␣,✘,수협은행,10,␣,␣,✔,이사,l9a60v03d-6z,22,gx1hdf.wgiqgo,pacbell.net,전욱현,chol.com,✘,여자,✘,␣,✘,✘,✘,딸,9178928548,␣,␣,SC제일은행,2,137-92-37786,051-9719-7606,␣,␣
D0000,␣,✔,✔,✘,␣,␣,␣,✘,␣,✔,031-9973-5082,✔,7,✘,7,✔,✔,061-9100-3571,␣,251-27-78855,␣,␣,␣,netian.com,강원특별자치도 춘천시 춘천로270번길 7-10 (후평동),␣,2045.02.19,임혜명,010-7998-5691,✘,UQCAY9X,␣,ABOR02,CHEON DANNA,한예니,✘,부산은행,␣,␣,yswzqsr9,✘,사원,mwmkj4h7,␣,cgly.ky,␣,하지화,␣,✘,여자,✘,1976-02-10,✔,✘,✘,배우자,␣,부건효,차가,한국산업은행,12,314-85-61005,031-5756-5147,1950,␣
D0001,PAENG GANGHU,✘,✔,✘,황사헌,9291338386,␣,✘,경상남도 거창군 거창읍 상림리 700,✘,051-6096-1777,✘,27,✘,01,✘,✘,055-2893-3214,␣,996-25-20638,황명곤,␣,쿠바,␣,␣,␣,1903년 8월 31일,채태린,010-5378-7691,✘,␣,HA HWALANG,ABOR02,␣,마라일,✔,␣,24,투르크메니스탄,s89sczl,✘,부장,sgi-h5prc,␣,x1m1o8kh,o2.pl,장이루미,love.com,✔,␣,✔,␣,✘,✘,✘,딸,␣,␣,차리고는,SC제일은행,7,190-90-80125,044-1330-3917,1950,2115-95-697571
D0002,␣,✔,✔,✘,두아솔,1666047707,␣,✘,"충청북도 청주시 흥덕구 월명로 76 (봉명동, 청주SKVIEW자이)",✔,055-3497-6090,✘,17,✘,11,✘,✔,051-6420-1508,2004,183-87-46632,␣,882-966-353203,이스라엘,orange.fr,제주특별자치도 서귀포시 남원읍 중산간동로 7413 (하례리),생물의,1950-02-05,손성후,010-3815-2558,✔,US7FHIY,HO SE-UNG,ABOR02,BAG KO-UKI,방강원,✘,␣,13,우크라이나,c6e0kiape0s_,✘,본부장,fre7r57.0y3jr,2,imy1_e1e7,␣,␣,howard.edu,✘,남자,✘,1932/3/22,✔,✘,✘,␣,9963730823,빈상비,많이,␣,␣,110-52-72879,031-2825-9514,2043,␣
D0003,␣,✔,✘,✘,␣,1028116416,대전광역시 유성구 반석동로34번길 43 (반석동),✘,경기도 안성시 서당길 39 (금산동),✘,053-5184-3678,✘,26,✘,11,✘,✔,054-0348-7128,2034,␣,␣,␣,예멘,msn.com,경기도 양주시 은현면 강변서로 317-54 (하패리),그런,2010.03.23,공성철,010-7230-4233,✘,U4WENNX,EUM SIGYU,ABOR02,BANG JIN-O,␣,✘,토스뱅크,29,␣,ny4cysrbth,✘,␣,bjs4e6c5sa3df,9,fcjmrz3,␣,␣,imperial.ac.uk,✘,␣,✘,␣,✔,✘,✘,형제자매,9804364718,양휘인,핀인,소시에테제네랄,3,911-03-60405,␣,2025,4339-80-390322
D0004,␣,✘,✘,✘,호철주,␣,"충청북도 청주시 청원구 율봉로152번길 37-2 (율량동, 쌍둥이빌)",✘,전라남도 나주시 구진포로 503-1 (송월동),✔,052-7782-3475,✘,28,✘,02,✘,✔,033-8049-3525,2007,610-68-58007,송환욱,␣,스웨덴,airmail.net,충청남도 아산시 방축로54번길 23-2 (방축동),따위를,2010.5.2,오유원,␣,✔,U86I4M7,␣,ABOR02,␣,은성학,✘,␣,27,␣,␣,✘,␣,␣,24,u22bc6ur76-,purdue.edu,팽남규,hinet.net,✘,남자,✘,1908-01-23,✘,✔,✔,␣,1777609735,␣,지배를,우리은행,2,␣,␣,1979,538189-74-957896
D0005,GEUM JO-YUL,✘,✔,✘,사바인,␣,␣,✔,␣,✘,051-9467-7072,✘,14,✔,3,✔,✘,063-0248-0683,2036,142-60-28185,하혜자,␣,␣,␣,␣,␣,␣,허평강,010-6729-7467,✘,␣,GU NAMMI,ABOR02,GANG PIL,␣,✘,제주은행,21,␣,␣,✘,␣,␣,12,vc.nypbq,myway.com,␣,␣,✔,␣,✘,2044년 12월 25일,✘,✘,✘,␣,␣,홍주은,활발하고,미즈호은행,␣,␣,044-3611-1271,2025,808012-24-051996
D0006,␣,✘,✘,✘,구노민,␣,경기도 연천군 전곡읍 전곡로75번길 38-6 (전곡리),✘,서울특별시 서초구 강남대로6길 59-10 (양재동),✘,064-6842-6989,✘,24,✔,11,✘,✘,052-4475-2061,␣,007-87-05798,␣,881175-65-477500,세르비아,jejunu.ac.kr,␣,정도로,2035/1/20,여다겸,␣,✘,␣,␣,ABOR02,YONG YONGJA,경규아,✘,␣,␣,몰디브,l42wds32,✘,␣,gskoxh5vobp3v,19,ta_l3s.rfup5,hanyang.ac.kr,␣,phmail.com,✔,남자,✔,1939년 7월 21일,✘,✘,✘,조부,9210029835,구결애,␣,모건스탠리,6,␣,051-1359-0902,1999,448-106-460509
D0007,␣,✘,✘,✘,␣,␣,␣,✘,␣,✘,044-1215-5585,✘,15,✘,11,✔,✘,054-8084-4924,2008,649-89-89817,시송준,␣,세르비아,nju.edu.cn,경상북도 포항시 남구 희망대로 1115 (송도동),의하여,1993년 7월 13일,동대석,␣,✔,UX5NUWL,CHAE HYEONG-UN,ABOR02,␣,염임영,✔,␣,26,니카라과,pd0nsdlfa0,✘,주임,an0yebf8x,29,␣,inbox.com,␣,␣,✘,남자,✔,␣,✔,✘,✘,부모,9294978887,변서지,자외선적외선,HSBC,12,573-74-42467,032-8982-2230,1931,␣
D0008,␣,✘,✘,✔,왕율건,1737272372,경상남도 의령군 칠곡면 외조리 48,✘,␣,✘,␣,✘,␣,✔,␣,✔,✘,051-4437-5180,2012,391-00-45316,␣,␣,파나마,cantab.net,␣,방법.,2039/1/10,␣,010-8026-3350,✘,UP64W0F,␣,ABOR02,DU GAJEONG,여형률,✘,NH농협은행,8,␣,rlfr6.14p9,✘,과장,m202m-ljy,14,wx98dpe8z,devnullmail.com,황보규창,␣,✔,남자,✔,2002-05-26,✘,✘,✘,조부모,1123982793,␣,난할이,ANZ은행,␣,␣,␣,␣,600-744376-328
E0000,AN CHEONSONG,✘,✘,✘,␣,1190421927,강원특별자치도 홍천군 영귀미면 삼현리 517-1,✘,서울특별시 마포구 월드컵로13길 17 (망원동),✔,063-2680-4843,✘,20,✘,08,✘,✘,02-112-9984,2030,907-92-44197,배유이,␣,브라질,dmu.ac.uk,"경상남도 진주시 서장대로 247 (이현동, 주공아파트)",␣,2035.4.24,공보서,010-1449-4727,✘,LZZ7QQF,MUN GEUM-A,ABOR02,GANG LIGYEOM,안영비,✘,␣,␣,␣,␣,✘,실무자,b9k9.je,␣,␣,kyonggi.ac.kr,␣,␣,✘,␣,✘,2025.9.30,✘,✘,✘,␣,9157247869,␣,사람.,NH농협은행,9,921-99-50968,␣,1929,507-815468-73
E0001,EOM SEUNGHWI,✘,✘,✘,음드레,␣,␣,✘,경상북도 경주시 강동면 강동로 250-30 (유금리),✔,053-3414-1966,✘,␣,✘,␣,✔,✔,031-2556-5183,2034,␣,␣,␣,몽골,␣,서울특별시 은평구 갈현동 327-33 (장원마을3),생기다.,1983.06.19,인준혁,010-5084-8452,✘,LZJCIYO,EUN YUNGYEONG,ABOR02,␣,진영,✘,토스뱅크,21,␣,ttyjq-5,✘,센터장,ca28xt589722,24,b6zkwqz.tj,␣,␣,outlook.com,✘,␣,✔,1993.6.11,✘,✘,✔,손자,1267969702,␣,␣,␣,8,167-01-17609,042-9590-1937,␣,436-314173-794
E0002,␣,✘,✔,✘,␣,1125377694,전라남도 무안군 현경면 외반리 308,✘,경기도 김포시 돌문로 82 (사우동),✔,064-3368-7556,✔,␣,✘,␣,✘,✘,␣,2035,357-87-75565,편광현,2339-53-023893,팔레스타인,berkeley.edu,"서울특별시 은평구 증산로5길 5 (증산동, 자선메르시안아파트)",␣,2008.2.20,이슬현,␣,✔,␣,SEOL GANG-YU,ABOR02,␣,변해철,✔,␣,␣,␣,p86wu1s1r5l,✔,CMO,␣,8,sm8-p61ox-,␣,도규호,hanafos.com,✔,남자,✘,1968/11/3,✔,✔,✘,자녀,␣,␣,정치가(18,␣,10,211-11-18975,064-8042-4060,␣,104-298938-01512
