image,015,017,022,033,002,041,032,040,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
C0010,1985.4.4,O YUNI-A,␣,✘,␣,19,✘,12,✔,␣,␣,일본,051-9155-0121,강원특별자치도 강릉시 단오장길22번길 10-3 (노암동),␣,충청북도 충주시 신니면 덕고개로 416 (화석리),␣,✘,2022,010-5297-4780,␣,아니함.,055-6549-1545,CTO,✔,␣,✔,✔,✘,✔,대구광역시 달성군 옥포읍 교항리 1437,30,"39,340,000",∅,26,␣,␣,BOG HAEJUN,033-8818-8719,2008년 1월 22일,␣,✘,1685363548,UDUD6TP,␣,␣,제갈감나,프로젝트 매니저
C0011,2034년 6월 22일,YUG HAENGSU,웅진식품,✔,일본,␣,✘,7,✔,␣,␣,과테말라,031-1205-6808,경기도 가평군 가평읍 하색리 762-1 (모닝벨리),064-4541-3147,␣,␣,✔,2030,010-8473-9241,왕다림,␣,032-2960-6316,␣,✔,␣,✘,✔,✔,✘,전라남도 장성군 삼계면 수산리 92,30,␣,∅,5,배우자,정순빈,DU KEULLO-I,061-2073-7152,2024.03.14,19,✘,1225381807,UC41KBC,␣,경기도 화성시 정남면 안념길150번길 46-14 (수면리),␣,CEO
C0012,1925/11/19,␣,␣,✘,␣,␣,✘,11,✔,손녀,␣,␣,␣,전라남도 보성군 노동면 용호리 159,032-8592-1033,경상북도 안동시 평화동 372-50,␣,✔,2018,010-6032-1154,견정대,걸었다가,␣,부회장,✔,␣,✘,✘,✘,✘,경상북도 청도군 각남면 녹명리 108-1,13,"27,960,000",∅,␣,␣,␣,␣,053-4478-0992,2002년 3월 12일,7,✘,1133249976,UFXVHZY,010-4906-9413,␣,하원열,팀장
C0013,1985.09.01,WI HYEONG-IN,신세계백화점,✘,␣,15,✘,4,✘,아들,한미글로벌,싱가포르,051-1221-6558,전라남도 영암군 금정면 용흥리 432-1,032-2654-8453,대구광역시 동구 신평로24길 35 (용계동),되다.,✘,2026,010-2933-7238,감서령,법칙.,062-2460-2876,␣,✔,송해봄,✔,✘,✘,✔,␣,␣,␣,∅,30,친척,가아벨,WON UNGI,␣,1955.04.03,11,✘,1048051588,U4DW04N,010-8146-9148,전라남도 여수시 서교동 369,온형묵,차장
C0014,1935.10.04,NAM SEON-YU,␣,✔,온두라스,8,✘,9,✔,␣,␣,헝가리,031-3340-7073,경기도 양평군 강상면 백양길75번길 32 (화양리),041-8136-7217,대구광역시 군위군 효령면 중구리 330-3,␣,✔,␣,010-1444-0816,␣,산소가,062-3696-5015,회장,✔,예늘빛나,✘,✘,✔,✘,경상북도 구미시 고아읍 문성리 800-35,32,␣,∅,22,조부모,␣,␣,064-3424-7435,2037/9/26,␣,✔,1339354319,UHXB9WK,␣,대전광역시 동구 태전로 66-19 (삼성동),␣,␣
C0015,2009.11.8,EUM SEOHUN,스튜디오애니멀,✔,온두라스,8,✘,␣,✘,␣,␣,세르비아,033-6442-1592,전라남도 순천시 서면 구상리 143,055-7170-0698,"경기도 광주시 능평로30번길 6-14 (능평동, 삼성하이츠)",남의,✔,2010,010-3724-1855,라대희,광석을,063-8322-6361,실무자,✘,제갈대섭,✘,✔,✘,✘,경기도 남양주시 고산로 371-21 (삼패동),20,"6,310,000",∅,␣,친척,석채훤,␣,␣,␣,4,✘,1719835269,U2POWYF,010-3500-6067,대전광역시 유성구 송강동 172-6,␣,팀장
C0016,2010/11/30,SEO MUNSIJIN,롯데바이오로직스,✘,투르크메니스탄,31,✘,␣,✘,자매,대전방송,우루과이,␣,␣,␣,␣,␣,✘,2028,010-9085-1179,␣,상복을,031-4534-9642,␣,✔,류류한,✘,✔,✔,✘,경기도 용인시 처인구 이동읍 천리 1103-2,␣,"86,430,000",∅,25,부,␣,LA CHEONGHYANG,063-7358-2148,1931/9/30,13,✘,1479836913,UL47V04,␣,충청북도 음성군 음성읍 중앙로 106-1 (읍내리),선우원택,CMO
D0000,2043.06.30,␣,␣,✘,␣,24,✘,␣,✔,␣,␣,␣,␣,대전광역시 동구 가양동 84-11,␣,경상북도 구미시 무을면 안곡2길 57-12 (안곡리),진에서는,✘,2006,010-2682-4425,설재용,쓰름매미가,061-3721-9562,␣,✘,금율리,✔,✘,✘,✔,"경기도 용인시 수지구 성복2로76번길 25-9 (성복동, 렉스빌)",␣,"3,940,000",∅,␣,부모,␣,␣,044-4665-1076,2027.9.18,␣,✔,1131233558,SSM2YXU,␣,␣,␣,전임
D0001,2028년 4월 2일,TAE YEONGJA,␣,✘,␣,␣,✘,␣,✘,부,␣,␣,055-6963-1680,경상남도 의령군 의령읍 정암리 350-3,062-3283-5399,␣,␣,✔,2039,␣,류오령,␣,042-4996-6977,사장,✔,피인환,✘,✘,✔,✔,울산광역시 북구 제내4길 30 (신천동),26,␣,∅,15,조모,감형렬,␣,␣,␣,30,✘,␣,SI62NYT,␣,␣,옥빛고은,인턴
D0002,2050.5.15,␣,고려제강,✘,중국,␣,✘,12,✘,␣,동국제약 치센,키르기스스탄,032-9736-6280,대구광역시 북구 산격동 1224-28,054-1206-0064,경기도 시흥시 물왕동 150-2,드러났을,✘,2007,␣,범정협,음극선관.,061-8277-7012,CFO,✘,오나원,✔,✘,✘,✘,경상북도 경주시 양남면 신대리 23-8,8,"48,450,000",∅,7,아들,제이론,TAG YU-ITO,042-5053-4542,1912.10.08,24,✔,␣,SF4L84Q,010-3545-8918,␣,␣,과장
D0003,␣,JE GAL-YEONGDEOG,신신제약 신신파스 아렉스,✘,␣,12,✘,2,✔,형제자매,쿠팡,온두라스,033-5841-8291,전북특별자치도 정읍시 신태인읍 화호리 317-1,␣,서울특별시 강북구 수유동 281-20 (신성젠트리스),은행에,✔,␣,010-1486-7916,␣,출력,052-6570-4623,␣,✘,사온건,✘,✔,✘,✔,경상남도 창녕군 영산면 영산향교길 8-4 (교리),5,␣,∅,28,␣,형명국,LA JANGMIN,␣,␣,15,✘,␣,SZX8HAZ,010-3939-8707,␣,차현훈,선임
D0004,2026년 1월 24일,HYEON DONGGYEONG,증명사진오빠,✘,␣,19,✘,1,✔,부모,␣,␣,052-7159-8513,경기도 파주시 법원읍 웅담리 226-46,␣,␣,␣,✔,2031,010-9564-2781,␣,␣,␣,회장,✘,국해임,✘,✘,✘,✘,전라남도 장흥군 관산읍 외동리 633-1,␣,␣,∅,24,␣,␣,BAEG UCHANG,061-6369-2052,1927.12.24,25,✘,1146149300,SPYYCDV,010-4233-9574,␣,범대범,본부장
D0005,␣,GAL JONG-YUN,신한냉동,✔,␣,␣,✔,9,✘,␣,DB메탈,오스트리아,043-8709-7455,␣,␣,충청남도 서천군 기산면 화산로796번길 25-5 (산정리),상태나,✘,2009,010-1217-9037,␣,건드리는,032-2901-8339,CMO,✘,전담인,✔,✘,✘,✘,경상남도 김해시 한림면 장방로335번길 48-5 (장방리),␣,"17,830,000",∅,26,␣,왕나성,BYEON DAHWON,␣,1908/9/10,11,✘,9592700530,␣,010-8459-2570,강원특별자치도 철원군 갈말읍 호국로 5167-1 (문혜리),육서렴,상무
D0006,␣,SI JU-WA,교육부,✔,코스타리카,17,✘,10,✘,손녀,SK,프랑스,043-6881-7041,␣,043-842-3501,전라남도 여수시 봉산남4길 7-6 (봉산동),도리어,✘,␣,010-2032-2861,␣,비꼬임.,␣,부문장,✘,길기단,✔,✘,✘,✘,경상남도 거창군 가북면 우혜리 1693,21,"14,870,000",∅,18,본인,␣,␣,␣,1968-02-01,29,✘,9548108203,␣,010-8149-7317,충청북도 옥천군 청성면 청성로 164 (삼남리),노세임,과장
D0007,␣,␣,21세기 미래,✔,␣,␣,✔,␣,✘,␣,쌍용C&B,␣,042-5337-4500,대구광역시 북구 오봉로2길 14 (노원동1가),033-1802-9990,"충청남도 홍성군 홍북읍 청사로 15 (신경리, 내포신도시경남아너스빌)",만큼,✘,2027,␣,허자함,␣,042-3575-4085,␣,✔,용휘인,✔,✔,✔,✔,경기도 파주시 미래로310번길 161 (야당동),17,"98,230,000",∅,10,본인,부명성,HAM BYEONG-U,␣,1913.11.1,3,✔,␣,␣,010-4241-8786,경기도 화성시 우정읍 주곡리 19-2,설비은,␣
D0008,1991년 9월 19일,BAG CHEONG-YU,나이스신용평가,✔,슬로바키아,18,✔,1,✔,␣,␣,슬로베니아,␣,␣,063-6201-7704,경상남도 창원시 마산회원구 구암동 1341-7,가득,✘,2035,010-9502-7210,류경희,특수한,031-0313-2385,이사,✔,단샘,✘,✘,✘,✘,␣,␣,"15,760,000",∅,12,본인,␣,GYEON GEONHWA,032-8015-5311,2036-05-09,18,✔,9925165351,SVE907F,010-6236-1102,경상북도 경주시 건천읍 모량리 705-8,왕세범,␣
E0000,1928.05.03,␣,␣,✘,␣,␣,✘,␣,✔,부,␣,프랑스,␣,␣,054-5251-6139,␣,␣,✔,2012,␣,␣,␣,031-849-3381,차장,✘,␣,✘,✘,✘,✘,충청북도 제천시 봉양읍 팔송로 14 (연박리),␣,␣,∅,␣,부,반나혜,MIN LYANGHWA,␣,2029/4/8,17,✘,1774093201,ZCC804S,␣,전라남도 순천시 해룡면 신대리 2106-3,태영민,감사
E0001,1949.05.21,␣,한국신발산업협회,✔,베트남,14,✘,5,✔,␣,롯데지알에스,␣,062-8633-4746,"서울특별시 강북구 덕릉로28길 9-21 (미아동, 대양가든)",02-791-0253,경상북도 경주시 안강읍 두류리 909,엮어,✘,␣,010-3554-9519,김동훈,말걸낭,031-3142-1887,본부장,✘,노신서,✘,✘,✔,✘,경상남도 하동군 횡천면 학리 619-3,␣,"4,360,000",∅,13,손녀,노슬애,JEON EUNGYU,053-6480-1344,1939.3.31,␣,✘,␣,␣,010-3950-3252,전라남도 신안군 안좌면 안좌동부길 764-11 (읍동리),␣,센터장
E0002,1929.09.21,SEO MUNDAJUN,␣,✘,␣,21,✘,9,✔,기타,DL그룹,아르헨티나,␣,␣,␣,경상북도 경주시 양남면 신대리 105,␣,✔,2022,010-7662-2931,윤젠나,발사하도록,␣,상무,✘,␣,✘,✘,✘,✔,충청북도 단양군 영춘면 하리 309-21,␣,"73,750,000",∅,5,기타,홍주철,WON BON-U,044-4346-3625,1927-06-20,1,✘,␣,ZN70ODV,010-5688-4440,광주광역시 서구 치평동 1238-1 (디오빌),표로엔,␣
