image,010,015,022,002,014,020,019,011,005,000,013,003,025,001,006,023,018,004,009,021,024,012
D0001,␣,42.1,✘,␣,␣,␣,3,"72,930,000",␣,갈병민,"8,640,000",석범건,I8RN5EP,␣,RX8YDORB,∅,␣,SP1223SA,PLEQE8MD1U,나제익,␣,CTOWKHJD16
D0002,Q7 911,␣,✔,␣,␣,25,10,"38,750,000",동보권,부여송,"44,310,000",␣,␣,010-0658-0739,QX6UOQ8G,∅,␣,0H6QKT6Y,2368EYG50W,␣,␣,␣
D0003,GLE SM6,81.6,✔,␣,30,12,6,␣,길윤나,민하원,␣,제헌규,I2LTO23,␣,␣,∅,2030,␣,Q54N9I91TQ,␣,␣,LD3RORO8X8
D0004,타이칸 911,66.6,✔,061-487-0605,16,29,11,"5,410,000",함연욱,어해량,"9,290,000",␣,␣,010-8368-2333,␣,∅,2013,␣,X7HB3Q0QTT,봉수임,1253521464,637GFLJG77
D0005,GLA 911,␣,✔,055-9709-3498,4,16,11,18410000,␣,␣,"14,830,000",감소마,␣,010-0454-4549,␣,∅,␣,K2JB263J,␣,␣,␣,␣
D0006,어코드 GV70,␣,✘,␣,35,14,2,"59,260,000",고재이,김눈솔,"4,170,000",탁광래,␣,010-3008-1983,01WMNHCC,∅,2038,59NLIHGU,QF3BRRBR6U,␣,␣,␣
D0007,␣,5.9,✘,055-9600-8765,16,␣,3,"8,940,000",선현창,␣,"23,490,000",공원건,IK6XMPW,010-9106-7553,␣,∅,2007,5E66NFUJ,␣,방리마,␣,␣
D0008,Q8 SM5,64.7,✘,␣,15,␣,␣,"71,440,000",␣,조은건,"28,310,000",백명옥,␣,010-6107-4162,␣,∅,2023,8UZYQO05,␣,천희윤,1064228244,␣
D0009,i30 현대,76.6,✘,064-7600-4538,27,25,9,"88,130,000",제갈진비,␣,␣,구영원,IXLLT8F,␣,H4SJWJ6Q,∅,2024,Q4JG1W5V,␣,주광우,1812421152,GUM1LEJBJI
E0000,타이칸 도요타,55.2,✔,␣,10,22,5,␣,␣,기수은,␣,목지륜,H2X9WDQ,010-4770-7879,8AR3WY6K,∅,2040,␣,J8N238HWS9,␣,9355238137,EMSPKKBKUN
E0001,QM5 카이엔,1.3,✘,041-7583-1774,25,1,␣,"31,940,000",태도검,태운현,"34,850,000",심남영,HZTFIGL,010-8752-1052,␣,∅,2022,T4BYGAZP,HSDPMX4KCL,제로환,1614633627,␣
E0002,트레일블레이저 혼다,7.5,✘,␣,15,9,␣,␣,␣,␣,␣,␣,H5A3QF0,010-0554-7087,XD4BKN3L,∅,␣,SSXX71U0,GX7H7T9F3K,승정준,9826600155,QKLS8B2KV4
