image,011,005,000,003,007,001,013,006,002,004,009,012,010,008
D0003,RPRT02,␣,승서월,␣,5,1960/9/12,IR5VAQT,2029,충청남도 천안시 서북구 성환읍 성환2로 97 (성환리),"9,610,000",견석진,1813890695,✔,␣
D0004,RPRT02,2005년 11월 21일,감유월,042-5511-5070,2,␣,IU6MJFE,2036,서울특별시 용산구 이태원동 562,"63,720,000",␣,1604501605,✘,␣
D0005,RPRT02,␣,␣,␣,12,1909/2/13,IKPIJUN,2000,충청남도 아산시 탕정면 탕정면로 93 (갈산리),␣,␣,␣,✔,4
D0006,RPRT02,1902년 12월 9일,␣,031-5772-9759,4,1999/8/18,IMK8PQ1,␣,충청남도 예산군 덕산면 남은들로 185-50 (광천리),␣,금남욱,␣,✔,22
D0007,RPRT02,2045년 1월 11일,복강서,044-1996-1091,11,␣,ILZUGKD,2013,␣,"16,980,000",승나비,9194728085,✘,␣
D0008,RPRT02,1908.3.12,␣,051-3346-2815,2,␣,␣,2022,"경기도 가평군 상면 청군로 2088-15 (율길리, 현리~신팔간도로건설현장사무실)","91,480,000",송산비,9305741043,✘,10
D0009,RPRT02,1979년 10월 15일,␣,063-5718-7907,2,2003.6.25,␣,2009,강원특별자치도 영월군 김삿갓면 모운동길 461-34 (주문리),"7,970,000",성권민,9041122806,✔,4
D0010,RPRT02,␣,감은린,044-3080-1276,8,2043.12.08,IJENCRG,2005,충청북도 충주시 중앙탑면 가흥리 410-2,77680000,선별빛나,1319083472,✘,␣
D0011,RPRT02,2019.4.6,␣,044-6361-0069,6,1982-11-02,I3IO7C3,2023,␣,␣,␣,1771951585,✔,12
D0012,RPRT02,␣,제언우,044-6104-8107,4,1934/6/3,␣,␣,경기도 여주시 금사면 전북2길 22 (전북리),␣,어칸,1392597989,✘,␣
D0013,RPRT02,␣,빈시겸,042-4974-5510,9,2049/10/20,␣,2019,경기도 안산시 단원구 대부황금로 850 (대부동동),␣,변천미,␣,✘,9
D0014,RPRT02,1933-02-24,용예일,02-550-9220,12,␣,IBZVDZ5,2012,서울특별시 중구 명동2가 81-1 (가로판매대47),"9,780,000",국장진,1232321400,✘,5
D0015,RPRT02,␣,␣,02-441-3969,7,2027년 6월 12일,I8Q8VFD,2009,서울특별시 은평구 연서로33길 20-7 (불광동),"9,360,000",류혜란,9473186052,✘,31
E0000,RPRT02,1980년 7월 23일,좌규안,␣,12,␣,I46AQLG,2023,경상북도 영천시 임고면 포은로 453-36 (양항리),"58,840,000",전한린,9265464825,✘,30
E0001,RPRT02,1949.05.04,왕선화,054-1719-7458,3,1981.4.14,IBRM92T,␣,␣,"3,250,000",당려음,␣,✔,30
E0002,RPRT02,␣,길종섭,053-1749-5144,␣,1966/7/25,␣,2032,서울특별시 서대문구 연희동 30-11,"14,520,000",위성은,1368173284,✘,␣
