image,015,017,022,033,002,041,032,040,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0012,권도윤,␣,✘,✘,␣,␣,✔,␣,GV80,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD567890,"78,700,000","31,480,000",␣,␣,✘,␣,␣,␣,␣,36,T1N03T7,✘,✘,␣,✔,␣,✘,✔,␣,9400098864,✘,␣,␣,␣,케이에스스마트,␣,2000-03-08,✘
A0013,조예진,␣,✘,✔,␣,␣,✘,␣,스포티지,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD987654,"37,887,759","15,155,104",␣,␣,✘,␣,␣,␣,␣,36,T1JAJFA,✘,✔,␣,✘,␣,✘,✔,␣,9700234287,✘,␣,␣,␣,(주)중소기업산업연구원,␣,1991-09-10,✘
A0014,문우현,␣,✘,✘,␣,␣,✔,␣,K8,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD654321,"45,014,797","18,005,919",␣,␣,✘,␣,␣,␣,␣,36,T1JA9CU,✘,✘,␣,✔,␣,✘,✔,␣,9391111653,✘,␣,␣,␣,한국해항수산(주),␣,1997-05-22,✘
A0015,송수빈,␣,✘,✔,␣,1800만,✘,␣,K5,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD210987,"37,640,000","15,056,000",␣,␣,✘,␣,␣,␣,␣,48,T1FTS8T,✘,✔,␣,✘,␣,✘,✔,␣,9894075938,✘,␣,␣,␣,월드스틸(주),␣,1985.11.03,✘
A0016,이지민,␣,✘,✘,␣,1900만,✔,␣,K5,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD789012,"33,941,336","13,576,534",␣,␣,✘,␣,␣,␣,␣,48,T1I4TMM,✘,✘,␣,✔,␣,✘,✔,␣,9700071907,✘,␣,␣,␣,금암교회,␣,1998.01.18,✘
A0017,김하늘,␣,✘,✔,␣,2000만,✘,␣,투싼,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD345678,"40,590,000","16,236,000",␣,␣,✘,␣,␣,␣,␣,48,T1KJVVX,✘,✔,␣,✘,␣,✘,✔,␣,9500984895,✘,␣,␣,␣,모든(장한평),␣,1993.06.29,✘
A0018,박선우,␣,✘,✘,␣,2100만,✔,␣,G70,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD876543,"51,371,068","20,548,427",␣,␣,✘,␣,␣,␣,␣,48,T1IOP8M,✘,✘,␣,✔,␣,✘,✔,␣,9292762972,✘,␣,␣,␣,만두빗는사람들,␣,1995-04-12,✘
A0019,최서아,␣,✘,✔,␣,2200만,✘,␣,더뉴카니발,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD123456,"41,630,100","16,652,040",␣,␣,✘,␣,␣,␣,␣,48,T1H9HQ0,✘,✔,␣,✘,␣,✘,✔,␣,9992780429,✘,␣,␣,␣,조은식품,␣,19890805,✘
A0020,정현우,␣,✘,✘,␣,␣,✔,␣,아이오닉9,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD012345,"83,050,000","33,220,000",␣,␣,✘,␣,␣,␣,␣,48,T1I71TS,✘,✘,␣,✔,␣,✘,✔,␣,9000163340,✘,␣,␣,␣,주)로봇택시,␣,1992-05-12,✘
A0021,강민지,␣,✘,✔,␣,␣,✘,␣,쏘나타,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD456789,"29,760,000","11,904,000",␣,␣,✘,␣,␣,␣,␣,48,T1K7PQN,✘,✔,␣,✘,␣,✘,✔,␣,9401464284,✘,␣,␣,␣,주)슈퍼카레이서,␣,19871124,✘
A0022,윤도윤,␣,✘,✘,␣,␣,✔,␣,셀토스,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD567890,"29,694,737","11,877,895",␣,␣,✘,␣,␣,␣,␣,48,T1IR31Q,✘,✘,␣,✔,␣,✘,✔,␣,9193180091,✘,␣,␣,␣,주)번개돌이,␣,2001-03-08,✘
A0023,배하늘,␣,✘,✔,␣,␣,✘,␣,G90,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD901234,"114,000,000","45,600,000",␣,␣,✘,␣,␣,␣,␣,48,T1MZ2L2,✘,✔,␣,✘,␣,✘,✔,␣,9702469077,✘,␣,␣,␣,주)무지개다리,␣,1990-09-10,✘
A0024,송지훈,␣,✘,✘,␣,␣,✔,␣,코나,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD234567,"27,790,000","11,116,000",␣,␣,✘,␣,␣,␣,␣,48,T1J8ESV,✘,✘,␣,✔,␣,✘,✔,␣,9393885633,✘,␣,␣,␣,빵빵인테리어,␣,1998-05-22,✘
A0025,김도윤,␣,✘,✔,␣,␣,✘,␣,스타리아,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD678901,"39,090,000","15,636,000",␣,␣,✘,␣,␣,␣,␣,48,T1H5ZOJ,✘,✔,␣,✘,␣,✘,✔,␣,9493111144,✘,␣,␣,␣,무지개멘션,␣,1984-11-03,✘
A0026,이수아,␣,✘,✘,␣,␣,✔,␣,쏘렌토,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD098765,"46,014,079","18,405,632",␣,␣,✘,␣,␣,␣,␣,48,T1I1X3U,✘,✘,␣,✔,␣,✘,✔,␣,9392525493,✘,␣,␣,␣,거북이 익스프레스,␣,1999-01-18,✘
A0027,박시우,␣,✘,✘,␣,␣,✔,␣,니로,SP00NAD025,✘,✘,✔,␣,✘,✔,␣,KD432109,"34,020,000","13,608,000",␣,␣,✘,␣,␣,␣,␣,48,T1IS9W7,✘,✔,␣,✘,␣,✘,✔,␣,9002848630,✘,␣,␣,␣,코끼리디자인,␣,1994-06-29,✘
A0028,최수연,␣,✘,✘,␣,␣,✔,␣,레이,SP00NAD025,✘,✘,✘,␣,✔,✘,␣,HD765432,"18,460,450","7,384,180",␣,␣,✘,␣,␣,␣,␣,48,T1I7W0L,✘,✘,␣,✔,␣,✘,✔,␣,9400284594,✘,␣,␣,␣,씽씽모터스,␣,1996-04-12,✘
A0029,정우현,␣,✘,✔,␣,␣,✘,␣,디 올 뉴 그랜저,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,HD123098,"48,110,000","19,244,000",␣,␣,✘,␣,␣,␣,␣,48,T1LWYP3,✘,✔,␣,✘,␣,✘,✔,␣,9482418714,✘,␣,␣,␣,별똥별택배,␣,1998-08-05,✘
C0000,봉성환,1908년 4월 10일,✔,✘,4,␣,✘,␣,쌍용 SM6,SP00NAD025,✘,✘,✘,해주냉면,✔,✘,␣,RU33CWLT,␣,"5,680,000",␣,62.9,✘,␣,␣,EXFVLYB,9776991755,␣,83YE0H,✘,✘,1916-08-25,✘,8DH7XZ,✘,✘,␣,1810255762,✘,␣,064-1576-9532,␣,시새로,279-72-98888,1916.03.18,✘
C0001,주오율,2003년 8월 19일,✘,✔,␣,5370000,✔,␣,␣,SP00NAD025,✔,✘,✘,런던 베이글 뮤지엄 도산점,✘,✘,052-7575-5868,7DNSUKPG,9810000,5870000,기문우,31.6,✘,추강건,␣,EP8DZTM,9228271048,␣,VFIW36,✘,✘,1953.01.03,✘,SU6SZ3,✘,✔,2021,9588423872,✘,␣,053-9516-6075,02-06-295842-47,편사혜,529-66-00081,2021년 7월 23일,✔
C0002,전담,␣,✔,✘,10,"85,580,000",✔,49.1,프리우스 쌍용,SP00NAD025,✘,✘,✔,␣,✔,✘,␣,␣,"6,510,000","35,990,000",오금석,3.6,✔,여찬하,호예본,EMBJKSF,1467419542,␣,JBU7OR,✔,✘,1927년 11월 10일,✘,3EK8RP,✘,✔,2020,9648829062,✘,2,041-1474-3630,85-32-562200-53,선우현유,␣,2048.5.5,✘
C0003,편미화,1952년 1월 9일,✘,✘,3,97.2,✘,␣,카이엔 SM3,SP00NAD025,✔,✘,✘,␣,✘,✘,062-1991-0532,UJH02KXC,␣,"5,120,000",편라파엘,␣,✘,염양수,박준순,EZQP9BV,9141300305,12개월,80AXUH,✘,✘,␣,✔,RYWE1Z,✘,✘,␣,9779936281,✘,␣,031-5244-1594,56-82-601235-19,갈초애,317-24-71411,1996/2/22,✘
C0004,␣,1996/8/28,✔,✔,28,"25,210,000",✘,␣,Q5 이쿼녹스,SP00NAD025,✔,✔,✔,␣,✔,✘,062-5237-3951,B2BJRAQH,"5,910,000",␣,안현학,57.6,✔,사다경,석세이나,ETGDHX4,1677537680,35개월,OJ2NJ8,✔,✘,␣,✘,HFFD84,✘,✘,␣,1009064250,✘,3,042-9180-3903,␣,␣,␣,1908년 1월 25일,✘
C0005,하종익,1935/2/20,✘,✔,␣,␣,✘,8.8,시빅 3 시리즈,SP00NAD025,✘,✘,✘,엘부림양복점,✘,✘,033-4665-9356,␣,"7,810,000","32,680,000",␣,␣,✘,␣,봉은표,E94ICDL,9386066964,␣,RJ6BDQ,✔,✘,1951-02-10,✘,MC9USV,✘,✔,2024,9408483464,✘,12,␣,97-25-071758-98,범회령,429-44-32838,2014-07-21,✔
C0006,나도웅,2001-02-27,✘,✔,29,"22,170,000",✘,3.0,벨로스터 SM6,SP00NAD025,✔,✘,✔,␣,✘,✘,052-310-6390,ZTD7LNNJ,96850000,5220000,조호성,25.9,✘,고모리,␣,EHQ7IWP,9733264008,5개월,V66HKR,✘,✘,␣,✔,L8HPF4,✘,✔,2030,1672605122,✘,2,␣,␣,␣,225-41-12686,1926.9.22,✘
C0007,␣,␣,✔,✘,12,"3,260,000",✘,␣,도요타 XM3,SP00NAD025,✔,✔,✔,여의도 KBS,✘,✔,053-9207-1660,HCBE1MRL,9440000,"94,880,000",␣,89.1,✘,김인섭,단회정,ENFKHA6,1719103651,31개월,␣,✘,✘,1941.01.27,✘,YHNKZ7,✘,✔,2021,9541119265,✘,␣,062-4442-9283,58-67-721670-39,문주별,240-77-24968,2044/9/13,✔
C0008,전세한,1952-08-14,✔,✔,␣,"2,180,000",✔,␣,코나 제네시스G70,SP00NAD025,✔,✔,✔,␣,✘,✘,052-4664-1427,␣,"8,250,000","81,130,000",선형두,68.1,✘,선환석,천성룡,EM0PCGB,9545404227,1개월,RCIOF8,✘,✔,1904/3/8,✘,␣,✘,✔,␣,1710300708,✘,␣,052-6119-8522,47-99-056054-19,간두율,␣,2027/1/14,✘
C0009,␣,␣,✔,✘,31,"89,980,000",✘,78.5,GLA 스파크,SP00NAD025,✘,✘,✔,상락원,✘,✘,064-1864-1719,OSSOEM8G,␣,78.5,나율림,27.3,✔,지승겸,␣,EYGHOYE,1466700837,9개월,FSUGEN,✘,✘,1987.04.06,✔,␣,✘,✔,␣,1807007947,✘,8,044-5012-2200,94-63-862239-33,␣,994-32-23526,␣,✘
C0010,석호세,1932년 2월 5일,✘,✘,21,"6,570,000",✔,␣,GLS 크루즈,SP00NAD025,✔,✘,✘,[백년가게] 초롱이고모부대찌개,✘,✘,062-0117-1002,KR020E88,6940000,␣,␣,␣,✘,견로라,승철규,E6M7RP2,9971209543,12개월,␣,✘,✘,␣,✘,R1XQHI,✘,✘,2018,9067486765,✔,12,063-2408-2329,␣,명효온,675-08-33706,1967.2.24,✘
C0011,양륜하,2049.12.1,✘,✘,19,"23,240,000",✘,␣,CR-V E 클래스,SP00NAD025,✘,✔,✔,뷰티플레이 홍대점,✔,✘,051-3981-0710,SBY3H47C,␣,"1,860,000",조체민,0.6,✘,␣,␣,EOW5CXJ,9294476544,␣,2GSFC3,✘,✘,1921.08.05,✔,GRN9M7,✔,✔,␣,9004181612,✘,4,041-6476-7074,␣,추준행,772-93-92660,1964.12.21,✔
D0000,소평,␣,✘,✘,8,"41,280,000",✔,␣,GLS 벤츠,SP00NAD025,✔,✘,✘,␣,✘,✘,␣,GRJCHND2,"8,870,000","64,950,000",간마린,12.4,✘,␣,옥태구,UJ2XLL2,9613423814,25개월,3ONKM2,✘,✘,1974년 10월 5일,✔,␣,✘,✘,␣,9253477552,✘,3,042-7203-6724,90-37-847324-59,손채성,␣,1911.1.25,✘
D0001,정규련,2042-02-12,✔,✘,27,"7,980,000",✘,␣,현대 어코드,SP00NAD025,✘,✘,✔,␣,✘,✘,055-4411-1097,EJ8SZCWY,"5,190,000","8,560,000",␣,␣,✘,변미효,맹가람,␣,9866839176,␣,EU788U,✔,✔,2008.1.9,✘,PBPWGG,✘,✔,2026,9701113490,✘,2,042-9423-6223,50-83-495635-81,␣,118-31-31683,1937.04.07,✔
D0002,성봄들,1985년 6월 5일,✘,✔,2,"3,180,000",✘,47.8,콜로라도 티볼리,SP00NAD025,✔,✔,✘,신성각,✘,✘,␣,0I49BYW1,␣,"93,350,000",민주로,82.8,✔,인찬유,유이른비,U0ACBEY,␣,12개월,NUMBV2,✘,✘,␣,✘,␣,✔,✔,2016,9654418916,✘,6,062-2972-6256,36-14-226911-22,온부희,515-78-52499,1999.10.23,✘
D0003,심예준,2000-01-07,✘,✘,␣,"85,160,000",✘,20.4,␣,SP00NAD025,✔,✘,✘,"더봄 : 퍼스널컬러,메이크업 명동",✘,✔,␣,␣,"8,610,000","92,490,000",국동빈,66.0,✔,갈예규,␣,UCT6R9A,␣,18개월,RCG4SB,✘,✘,␣,✔,ZBGZQJ,✘,✘,2014,␣,✘,10,061-6474-1056,␣,상은평,833-19-80102,1941.2.23,✘
D0004,김려나,1973/3/6,✘,✘,␣,"8,540,000",✘,20.8,GLA iX,SP00NAD025,✔,✘,✔,␣,✘,✘,032-2171-3164,HC0TXRVU,"69,150,000","42,920,000",서문금재,20.8,✘,␣,␣,U2M6VY8,␣,␣,EEALO0,✘,✘,1913.2.19,✘,SI1ZEV,✘,✔,2011,9869850951,✘,9,052-3588-8500,␣,석지음,457-02-83219,1972년 9월 3일,✔
D0005,␣,2040-10-26,✔,✘,␣,5630000,✔,73.1,911 렉스턴,SP00NAD025,✔,✔,✔,서울레코드,✔,✔,041-2119-7906,NFGE6B46,"25,890,000","75,360,000",양올립,␣,✔,인건우,주초롱,UEBN7VD,␣,3개월,␣,✘,✘,␣,✘,T62MXN,✘,✔,␣,1081236034,✘,␣,053-5236-0447,81-96-534833-29,차주란,142-51-17717,2041/8/1,✔
D0006,김학준,1920/12/26,✘,✘,13,"5,840,000",✘,89.3,싼타페 크루즈,SP00NAD025,✔,✔,✘,␣,✘,✘,␣,L304M0UI,␣,"98,220,000",␣,␣,✘,␣,정윤찬,␣,1145202101,8개월,7A6Z6U,✘,✔,1902.12.11,✘,KCLEAN,✘,✔,␣,9534059822,✘,12,052-9004-4303,83-59-410903-32,모경무,␣,2037/7/20,✘
D0007,복애마,1912년 4월 8일,✘,✘,3,␣,✔,96.1,SM6 임팔라,SP00NAD025,✔,✔,✘,포인트 오브 뷰 서울,✘,✔,031-6010-0440,␣,␣,"58,110,000",여유환,␣,✔,국종환,경지보,UIXUYXE,1498525184,32개월,␣,✔,✔,2014.02.21,✘,␣,✘,✔,2031,9847990031,✘,11,043-2300-9158,64-38-613866-95,호미섬,287-47-75138,␣,✔
D0008,유인엽,2046-04-09,✔,✔,␣,"8,510,000",✘,41.6,X1 e-트론,SP00NAD025,✘,✘,✔,주신당,✘,✘,044-6450-5157,␣,"41,930,000","11,960,000",배세흔,19.0,✘,곽다윗,시봄빛,␣,1499260732,4개월,␣,✔,✔,1968-02-13,✘,QOZ3BK,✘,✘,2031,1137279191,✔,␣,␣,70-79-456818-94,표리희,␣,␣,✔
D0009,서담유,␣,✘,✘,30,␣,✘,58.6,␣,SP00NAD025,✘,✘,✔,␣,✘,✘,052-8580-3838,M2481GYK,"8,110,000","42,960,000",␣,28.8,✔,␣,간미려,UFSX6GC,1543768020,6개월,4NWXJT,✘,✘,1907/6/7,✔,8NODTJ,✘,✔,␣,1805690281,✘,9,055-6235-9519,␣,성새늘,␣,␣,✘
D0010,␣,␣,✔,✔,2,"53,510,000",✔,␣,X3 트래버스,SP00NAD025,✘,✘,✘,다원,✘,✘,054-1809-4957,␣,"1,630,000",␣,추실비아,8.5,✘,␣,문명석,UIMIJ1L,9255852854,15개월,7HPFVR,✘,✔,1959년 1월 6일,✘,E36UUE,✔,✘,2039,␣,✘,2,041-1640-1207,␣,␣,␣,1969/3/29,✔
D0011,승령지,␣,✘,✔,20,"18,540,000",✘,␣,아이오닉5 GLE,SP00NAD025,✘,✘,✔,␣,✘,✘,032-9713-3946,␣,␣,"8,430,000",호가량,34.9,✘,승순욱,사문강,URT8RFW,␣,␣,HIMV3T,✘,✘,1996년 5월 8일,✘,LQ31OV,✔,✘,␣,9920435015,✔,␣,052-7476-3222,73-99-972413-99,팽하롬,␣,1913.04.01,✔
D0012,남궁혜경,1931년 5월 14일,✔,✘,␣,7.6,✘,63.6,GLS 캐스퍼,SP00NAD025,✔,✘,✘,␣,✘,✘,063-5147-1121,84C074UJ,␣,"7,160,000",␣,␣,✔,␣,␣,UQJK5RX,1454305670,19개월,␣,✔,✔,2001.7.17,✔,H1H9WF,✘,✔,␣,9732959687,✘,␣,␣,␣,␣,␣,2000.09.13,✘
D0013,홍유근,2029.7.16,✘,✔,␣,56850000,✘,48.3,␣,SP00NAD025,✔,✘,✘,초록바구니,✔,✔,␣,5RSE0EEI,"13,760,000","5,320,000",목고건,␣,✘,박찬들,류안영,␣,9380565648,3개월,GK7LZO,✘,✘,␣,✘,␣,✘,✔,␣,␣,✘,5,␣,␣,황보광제,168-43-26187,2041.11.21,✔
D0014,온희권,2017.4.11,✔,✘,3,␣,✘,40.7,코란도 911,SP00NAD025,✔,✘,✘,로씨니,✘,✔,␣,5M1AUX68,"76,850,000",5140000,태희설,␣,✘,라지흠,␣,UUB0X7U,9230089891,␣,␣,✘,✘,2003-12-03,✘,A2S0LU,✘,✘,␣,9574273517,✔,␣,033-9303-9523,␣,정규태,301-24-27155,1905-07-18,✔
D0015,␣,1949.06.19,✔,✘,18,␣,✘,28.1,아이오닉6 벨로스터,SP00NAD025,✔,✘,✘,␣,✔,✔,␣,M6Z98XC7,␣,"5,230,000",나제진,94.6,✘,␣,김미리별,␣,␣,␣,␣,✔,✘,1971.11.22,✘,␣,✘,✔,2009,9697323571,✘,␣,033-7557-7244,01-12-304141-93,␣,029-98-16434,2044.2.9,✔
D0016,견리후,␣,✔,✘,20,␣,✘,␣,␣,SP00NAD025,✘,✘,✔,보는 즐거움과 먹고 마시는 즐거움을 동시에 만족시킬 서울 속 독특한 패션 카페,✘,✔,042-2181-5009,10I4E1F3,␣,␣,기동위,2.7,✘,금진금,석우대,UFD7651,1287219229,␣,␣,✘,✔,1902/10/17,✘,␣,✘,✘,2017,1910200763,✘,␣,␣,␣,␣,830-12-23950,1950/2/2,✘
D0017,␣,2011.4.29,✔,✘,8,83690000,✘,␣,Q7 SM7,SP00NAD025,✘,✔,✔,␣,✘,✔,063-8743-2550,VUKDPRC6,"92,910,000",␣,경애솔,69.9,✘,␣,옥서휘,UFSAOR5,1574267745,20개월,␣,✘,✘,1918.11.19,✘,KGNDJF,✘,✘,␣,␣,✘,␣,064-8775-1805,46-06-528500-51,␣,965-56-01020,2041-12-03,✘
D0018,␣,␣,✘,✘,19,"12,740,000",✘,89.6,␣,SP00NAD025,✘,✔,✔,␣,✔,✘,033-2454-0621,␣,"44,710,000","6,430,000",선우서웅,67.3,✘,사리나리,피훈지,U7WWQSC,␣,24개월,4DAHRY,✘,✘,1948-04-16,✘,83AANW,✘,✔,␣,9579003057,✘,2,051-9246-4023,69-42-285363-32,엄태문,354-62-14835,2020년 12월 12일,✘
D0019,␣,1909-01-10,✔,✔,15,␣,✔,␣,iX 도요타,SP00NAD025,✔,✔,✔,␣,✘,✘,053-7540-5299,␣,␣,"62,390,000",석서휴,69.5,✘,기래이나,␣,␣,1534054044,␣,␣,✘,✘,1921년 4월 7일,✘,U2EBIV,✘,✔,2012,1587024047,✘,␣,051-3862-7926,00-44-768730-92,어유엔,386-68-40320,␣,✔
D0020,연사애,1950.01.30,✔,✘,31,"1,660,000",✔,17.1,X5 CR-V,SP00NAD025,✔,✘,✔,뚝섬한강공원 눈썰매장,✔,✘,054-0704-7269,DHYOKDHN,"66,770,000",2330000,오정용,7.6,✔,␣,도이운,␣,␣,23개월,␣,✔,✘,2015/7/19,✘,␣,✘,✘,2031,␣,✘,3,02-522-3866,␣,구보원,995-67-06713,1946.09.22,✔
D0021,박진규,2005.08.10,✘,✘,22,8540000,✘,42.1,BMW C 클래스,SP00NAD025,✘,✘,✘,청진옥,✘,✔,02-772-5725,C1TUH8OU,"47,490,000",␣,편다혜,3.4,✘,공회원,␣,UPJB6C5,1776276872,33개월,INKBZF,✔,✘,␣,✔,HE4M7O,✔,✔,2020,␣,✘,␣,054-1001-0045,00-03-336022-98,형온후,593-11-01571,1904.07.04,✔
D0022,␣,1911-08-24,✘,✘,5,␣,✘,␣,이쿼녹스 도요타,SP00NAD025,✘,✔,✘,목동 아이스링크,✘,✘,043-3926-4050,OTPUW7D8,"8,710,000",2470000,송글하,82.6,✔,␣,범찬기,␣,9428817386,16개월,␣,✘,✘,1984-07-03,✘,␣,✘,✔,2040,1012373090,✘,4,064-4562-3333,01-25-688471-49,문승흔,␣,1902.3.28,✔
D0023,␣,1986.6.16,✘,✔,17,9660000,✔,16.9,␣,SP00NAD025,✘,✘,✔,고요서사,✘,✘,033-0954-7423,␣,"1,790,000",␣,간혜정,74.3,✘,시창수,␣,UKT5B78,1404563553,␣,␣,✘,✘,1947-03-07,✘,P9D14A,✘,✘,2031,␣,✘,8,␣,83-81-819370-87,여윤재,727-21-33849,␣,✔
E0000,␣,1914/7/21,✘,✘,␣,49490000,✘,37.7,␣,SP00NAD025,✔,✘,✔,도넛정수,✘,✘,041-6985-6717,LF63TCGV,␣,"72,940,000",황경엽,89.4,✘,빈온채,␣,LTXCEEE,␣,23개월,T09TQ6,✘,✔,1951년 10월 4일,✔,AQJM4E,✘,✔,2009,␣,✘,9,␣,␣,임동기,240-95-49967,␣,✘
E0001,한정근,1922.05.15,✔,✘,25,␣,✘,54.0,SM5 X7,SP00NAD025,✔,✘,✘,서울새활용플라자,✘,✘,␣,C44B85JL,"89,960,000",18440000,손수피아,␣,✘,위이헌,어태루,LXJSYNB,1927302786,␣,30YTW7,✔,✘,␣,✘,UCJWQH,✘,✔,2035,1204452777,✘,2,033-9675-3594,77-93-570363-30,노라우,567-70-72785,1987/12/2,✘
E0002,예마리얌,1925.2.1,✘,✔,17,␣,✘,1.8,␣,SP00NAD025,✔,✘,✘,낙성대 공원,✘,✘,052-4223-7621,JT5082DX,␣,"12,930,000",␣,␣,✘,채민제,␣,␣,9761604639,32개월,␣,✔,✔,2024.9.10,✔,DKEVWQ,✘,✔,␣,1207805498,✘,␣,054-1371-5690,␣,␣,␣,␣,✘
E0003,견지융,1967.11.25,✔,✘,28,"7,990,000",✔,65.1,넥쏘 코란도,SP00NAD025,✔,✘,✘,␣,✘,✘,032-2838-6642,␣,␣,␣,␣,4.8,✘,␣,␣,␣,9873713309,17개월,␣,✘,✘,␣,✔,␣,✔,✔,2009,1758228008,✘,2,054-5987-8298,25-03-446708-74,␣,831-48-83614,2023.11.04,✘
