image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
A0010,✘,✔,우체국은행,✘,␣,MAENGCHORA,✘,✔,␣,ANEW63,␣,␣,example.com,여성,␣,✘,maengchora1988,✘,✔,2024-05-01,3456-78-9012345,␣,␣,maengchora1988,✘,대전광역시 해운대구 한밭대로 697 113동 211호,✘,✘,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✘,대전광역시해운대구장,191259290648,1980-06-01,대한민국,맹초라,✘,␣,✘,✘,10-10-1234-11,✔,example.com,010-9012-3456
A0011,✘,✔,수협은행,✘,␣,HANAMUNA,✘,✔,␣,ANEW63,␣,␣,example.com,남성,␣,✘,hanamuna92,✘,✘,2011.10.29,7890.12.3456789,␣,␣,hanamuna92,✘,울산광역시 수성구 용두동 17 114동 112호,✘,✘,✘,✘,␣,✘,✔,✔,✘,✘,✘,✔,✘,✘,울산광역시수성구장,195316761170,1980.06.16,대한민국,하남우나,✘,␣,✘,✘,11-11-5678-12,✔,example.com,010.0123.4567
A0012,✘,✔,신협,✘,␣,BANJUNHA,✘,✔,␣,ANEW63,␣,␣,example.com,남성,␣,✘,banjunha2001,✘,✘,2016-1-17,123456-90-7890123,␣,␣,banjunha2001,✘,인천광역시 서초구 중앙로 565 114동 323호,✘,✘,✘,✘,␣,✘,✔,✔,✘,✘,✔,✘,✘,✘,인천광역시서초구장,196878421084,1980.7.3,대한민국,반준하,✘,␣,✘,✘,12-12-9012-13,✔,example.com,010-1122-3344
A0013,✘,✔,새마을금고,✘,␣,HONGHOSEO,✘,✔,␣,ANEW63,␣,␣,example.com,남성,␣,✘,honghoseo77,✘,✘,2020.8.8,567890-23-4567890,␣,␣,honghoseo77,✘,광주광역시 유성구 문화로 678 115동 103호,✘,✘,✘,✘,␣,✘,✔,✔,✔,✘,✘,✘,✘,✘,광주광역시유성구장,193493210015,1980-7-19,대한민국,홍호서,✘,말일,✘,✘,13-13-3456-14,✔,example.com,010-2233-4455
A0014,✘,✔,DGB대구은행,✘,␣,JEONSIBYEOR,✘,✔,␣,ANEW63,␣,␣,example.com,여성,␣,✘,jeonsibyeor45,✘,✘,2003-4-24,901234-67-8901234,␣,␣,jeonsibyeor45,✘,대전광역시 완산구 광안로 990 115동 272호,✘,✔,✘,✘,␣,✘,✔,✔,✘,✘,✘,✘,✘,✘,대전광역시완산구장,193701952842,1980.8.7,대한민국,전시별,✘,␣,✘,✘,14-14-7890-15,✔,example.com,010-3344-5566
A0015,✘,✔,BNK부산은행,✔,␣,CHOEYUSI,✘,✘,␣,ANEW63,동경구락부,경기도 중구 송도과학로 994 103동 331호,example.com,여성,␣,✘,choeyusi123,✘,✘,2013.11.11,234567-12-5678901,5678444444,␣,choeyusi123,✔,경기도 중구 송도과학로 994 103동 331호,✘,✘,✘,✘,2015.11.20,✘,✔,✔,✘,✘,✘,✘,✘,✘,경기도중구장,192540469678,1984.3.3,대한민국,최유시,✔,␣,✘,✘,10-25-1234-26,✔,example.com,010-3456-7456
A0016,✘,✔,경남은행,✔,␣,BAGJINU,✘,✘,␣,ANEW63,은영이네,대구광역시 유성구 상계동 59 103동 291호,example.com,남성,␣,✘,bagjinu66,✔,✘,2017.6.19,678901-45-9012345,6789555555,␣,bagjinu66,✔,대구광역시 유성구 상계동 59 103동 291호,✘,✘,✘,✘,2016.7.4,✘,✔,✔,✘,✘,✘,✘,✘,✘,대구광역시유성구장,195464512227,1984-03-21,대한민국,박진우,✘,␣,✘,✘,11-26-5678-27,✔,example.com,010-7890-7567
A0017,✘,✔,광주은행,✔,␣,NOYUJIN,✔,✘,␣,ANEW63,국제종합중기,세종특별자치시 서초구 중동 59 103동 353호,example.com,여성,␣,✘,noyujin89,✘,✔,2022.3.6,0123-45-6789012,7890666666,␣,noyujin89,✘,세종특별자치시 서초구 중동 59 103동 353호,✘,✘,✘,✘,2000.02.08,✘,✔,✔,✘,✘,✘,✘,✘,✘,세종특별자치시서초구장,195660730651,1984-04-07,대한민국,노유진,✘,␣,✘,✘,12-27-9012-28,✔,example.com,010-1234-7678
A0018,✘,✔,전북은행,✔,␣,YEOYEONMIN,✔,✘,␣,ANEW63,또래오래치킨하복대점,강원특별자치도 해운대구 반포동 54 105동 154호,example.com,여성,␣,✘,yeoyeonmin54,✘,✘,2001-09-30,4567-89-0123456,8901777777,␣,yeoyeonmin54,✘,강원특별자치도 해운대구 반포동 54 105동 154호,✘,✘,✘,✘,2017.02.27,✘,✔,✔,✘,✘,✘,✔,✘,✘,강원특별자치도해운대구장,194411790161,1984-04-23,대한민국,여연민,✘,␣,✘,✘,13-28-3456-29,✔,example.com,010-5678-7789
A0019,✘,✔,제주은행,✔,␣,RYUDOYU,✔,✘,␣,ANEW63,정우종합중기,경기도 수성구 봉명로 281 105동 034호,example.com,남성,␣,✘,ryudoyu32,✘,✘,2014.02.14,7890-23-3456789,9012888888,␣,ryudoyu32,✘,경기도 수성구 봉명로 281 105동 034호,✘,✘,✘,✘,1997.05.29,✘,✔,✔,✘,✘,✔,✘,✘,✘,경기도수성구장,194128649103,1984-05-13,대한민국,류도유,✘,␣,✘,✘,14-29-7890-30,✔,example.com,010-9012-7890
A0020,✔,✘,K뱅크,✔,␣,YANGYEONJIN,✘,✘,␣,ANEW63,유한회사 은민산업개발,부산광역시 부평구 영동대로 187 106동 144호,␣,여성,␣,✘,␣,✘,✘,2025-01-28,111111-11-2222222,123999999,␣,␣,✔,부산광역시 부평구 영동대로 187 106동 144호,✘,✘,✘,✘,2009.04.24,✘,✔,✔,✔,✔,✘,✘,✘,✘,부산광역시부평구장,197505132667,19840529,대한민국,양연진,✘,말일,✘,✘,00-30-1234-31,✘,␣,010-3456-7901
A0021,✔,✘,OK저축은행,✔,␣,YUGYEONGYUN,✘,✘,␣,ANEW63,두리기계,서울특별시 중구 테헤란로 21 106동 302호,␣,여성,␣,✘,␣,✘,✘,2008.07.04,222222-22-3333333,1111000000,␣,␣,✔,서울특별시 중구 테헤란로 21 106동 302호,✘,✔,✘,✘,1998.07.20,✘,✔,✔,✘,✔,✘,✘,✘,✘,서울특별시중구장,195594137450,1984.06.10,대한민국,육영윤,✘,␣,✘,✘,01-31-5678-32,✘,␣,010-7890-8012
A0022,✔,✘,웰컴저축은행,✔,␣,SAGONGYEON,✔,✘,␣,ANEW63,수색기원,대전광역시 부평구 중앙로 580 107동 163호,␣,여성,␣,✘,␣,✘,✘,2010-12-21,333333-33-4444444,2222111111,␣,␣,✘,대전광역시 부평구 중앙로 580 107동 163호,✘,✘,✘,✘,2013.09.06,✘,✔,✔,✘,✔,✘,✘,✘,✘,대전광역시부평구장,196367778081,1984-06-26,대한민국,사공연,✔,␣,✘,✘,02-32-9012-33,✘,␣,010-1234-8123
A0023,✔,✘,미래저축은행,✔,␣,BAGHYEONU,✔,✘,␣,ANEW63,제이에스티1호점,서울특별시 중구 노형동 82 108동 242호,␣,남성,␣,✘,␣,✔,✘,2016-05-15,444444-44-5555555,3333222222,␣,␣,✘,서울특별시 중구 노형동 82 108동 242호,✘,✘,✘,✘,2019.09.10,✘,✔,✔,✘,✔,✘,✘,✘,✘,서울특별시중구장,199838165992,1984-07-16,대한민국,박현우,✘,␣,✘,✘,03-33-3456-34,✘,␣,010-5678-8234
A0024,✔,✘,OK저축은행,✔,␣,HONGNAHYEON,✔,✘,␣,ANEW63,(주)성창상사,세종특별자치시 동구 봉명로 192 108동 173호,␣,여성,␣,✘,␣,✘,✔,2023-10-09,555555-55-6666666,4444333333,␣,␣,✘,세종특별자치시 동구 봉명로 192 108동 173호,✘,✘,✘,✘,1993.07.08,✘,✔,✔,✘,✔,✘,✘,✘,✘,세종특별자치시동구장,197380026126,1984-08-01,대한민국,홍나현,✘,␣,✘,✘,04-34-7890-35,✘,␣,010-9012-8345
A0025,✘,✘,신한저축은행,✔,␣,MAENGMINSEO,✘,✘,␣,ANEW63,한국선박공업사,서울특별시 강남구 노형동 63 109동 031호,␣,남성,␣,✔,␣,✘,✘,2004-03-01,666666-66-7777777,5555444444,␣,␣,✔,서울특별시 강남구 노형동 63 109동 031호,✘,✘,✘,✘,1997.04.28,✘,✔,✔,✘,✔,✘,✔,✘,✘,서울특별시강남구장,195238667047,1984-08-17,대한민국,맹민서,✘,␣,✘,✘,05-35-1234-36,✘,␣,010-3456-8456
A0026,✘,✘,하나저축은행,✔,␣,CHAJAEU,✘,✘,␣,ANEW63,기현중기,강원특별자치도 완산구 용두동 66 110동 042호,␣,남성,␣,✔,␣,✘,✘,2019-08-27,777777-77-8888888,6666555555,␣,␣,✔,강원특별자치도 완산구 용두동 66 110동 042호,✘,✘,✘,✘,2010.06.15,✘,✔,✔,✘,✔,✔,✘,✘,✘,강원특별자치도완산구장,191118759158,1984-09-02,대한민국,차재우,✘,␣,✘,✘,06-36-5678-37,✘,␣,010-7890-8567
A0027,✘,✘,우리저축은행,✔,␣,NAYEONSU,✔,✘,␣,ANEW63,건강한치킨 ( 중계점 ),울산광역시 완산구 봉명로 316 110동 083호,␣,여성,␣,✔,␣,✘,✘,2012-06-11,888888-88-9999999,7777666666,␣,␣,✘,울산광역시 완산구 봉명로 316 110동 083호,✘,✘,✘,✘,1993.10.25,✘,✔,✔,✔,✔,✘,✘,✘,✘,울산광역시완산구장,197506256554,1984-09-18,대한민국,나연수,✘,말일,✘,✘,07-37-9012-38,✘,␣,010-1234-8678
A0028,✘,✘,KB저축은행,✔,␣,GONGSIBICH,✔,✘,␣,ANEW63,중앙분식,대전광역시 남구 문화로 245 111동 233호,␣,여성,␣,✔,␣,✘,✘,2021.02.16,999999-99-0000000,8888777777,␣,␣,✘,대전광역시 남구 문화로 245 111동 233호,✘,✔,✘,✘,2015.10.27,✘,✔,✔,✘,✔,✘,✘,✘,✘,대전광역시남구장,194046429595,1984.10.04,대한민국,공시빛,✘,␣,✘,✘,08-38-3456-39,✘,␣,010-5678-8789
A0029,✘,✘,NH저축은행,✔,␣,SEOMUNU,✔,✘,␣,ANEW63,제일 샵,경기도 완산구 송도과학로 491 114동 282호,␣,남성,␣,✔,␣,✘,✘,2006-11-23,1000-10-1111111,9999888888,␣,␣,✘,경기도 완산구 송도과학로 491 114동 282호,✘,✘,✘,✘,1990.6.26,✘,✔,✔,✘,✔,✘,✘,✘,✘,경기도완산구장,194268659075,1984-10-20,대한민국,서문우,✔,␣,✘,✘,09-39-7890-40,✘,␣,010-9012-8890
D0000,✔,✘,토스뱅크,✘,␣,IN HAN-YEONG,✘,✘,043-6894-5753,ANEW63,관청이,대구광역시 북구 침산동 882-2,nyu.edu,남자,SI9J522,✔,pm516k9l50ih-,✘,✔,1943.3.4,␣,290-55-22551,기타 건축자재 도매업,␣,✘,경기도 포천시 신북면 삼성당2길 38 (삼성당리),✘,✘,✔,✘,␣,✔,✔,✘,✔,✔,✔,✘,✘,✘,일.,1614474791,2022년 5월 9일,스웨덴,␣,✘,17,✘,✘,14-44-655504-71,✔,␣,010-7975-5224
D0001,✘,✔,도이체방크,✘,1518657335,␣,✔,✔,␣,ANEW63,␣,␣,e1wm03mi1gk8d,여자,SUEV85V,✘,␣,✘,✔,2023.07.27,073-208887-12,␣,산업용 로봇 제조업,␣,✘,전라남도 고흥군 대서면 송강리 765-1,✘,✘,✘,✔,1907-01-19,✔,✘,✘,✘,✘,✘,✘,✘,✘,가신,␣,2045.07.12,몽골,당아로아,✘,16,✔,✘,74-41-681897-64,✘,ktu.edu,010-9460-9842
D0002,✘,✘,한국산업은행,✘,␣,YUG HYANGHWA,✘,✘,064-1281-2726,ANEW63,␣,광주광역시 광산구 임곡로 95-8 (두정동),london.com,␣,SCQQS0L,✘,␣,✘,✔,␣,944-575443-106,648-74-48762,통신 공사업,uueadp9igo,✘,경상북도 봉화군 명호면 기르마재길 142-54 (도천리),✘,✘,✘,✘,1964/10/25,✘,✘,✘,✔,✔,✘,✔,✘,✘,␣,1799582191,␣,팔레스타인,추유단,✘,23,✘,✘,76-59-813919-79,✘,mac.com,010-3309-7086
D0003,✘,✔,대구은행,✘,9315295345,␣,✔,✘,␣,ANEW63,달구질.,경기도 광주시 곤지암읍 만선리 61-6,ncsu.edu,␣,S45FJRE,✔,␣,✘,✘,1904.10.05,␣,577-79-05804,␣,x5san6jxn7z1,✔,␣,✘,✔,✔,✘,1935-12-20,✔,✔,✘,✘,✔,✘,✔,✔,✘,␣,1738522335,1939-09-06,␣,문진완,✘,␣,✘,✘,␣,✔,eml.cc,010-1617-8264
D0004,✔,✘,HSBC,✘,1228012956,␣,✘,✘,042-165-2270,ANEW63,␣,␣,howard.edu,남자,SD657B2,✘,mov91.b1k,✘,✘,1900.2.18,412-314-505164,␣,지정 폐기물 처리업,js7ohg449y,✔,␣,✘,✘,✘,✘,2038/9/26,✔,✔,✘,✔,✘,✔,✘,✘,✘,하다,1150692873,2046.12.16,러시아,승희옥,✔,␣,✔,✘,98-58-939978-57,✘,adobe.com,␣
D0005,✘,✔,NH농협은행,✔,9661678245,␣,✘,✔,041-9859-5841,ANEW63,수도.,␣,iowa.gov,␣,SNZ0GX6,✔,␣,✘,✔,1909.11.13,8138-42-540722,721-45-32455,기초 의약 물질 및 생물학적 제제 제조업,zekuqixkm3,✘,경기도 남양주시 화도읍 차산리 530-1,✘,✘,✘,✘,1939.04.01,✘,✔,✔,✔,✔,✘,✘,✔,✔,방에는,9743932400,1927/5/13,␣,마원서,✔,27,✘,✘,93-01-920470-83,✘,␣,␣
D0006,✘,✘,대구은행,✔,1883238222,␣,✔,✘,␣,ANEW63,␣,␣,me.com,남자,␣,✔,xk0eau7hfomzo,✘,✔,1905년 1월 19일,␣,514-84-29914,주점업,t8flze7z,✔,광주광역시 광산구 신창로48번길 13-13 (신창동),✔,✘,✘,✔,␣,✘,✘,✘,✔,✘,✔,✘,✘,✘,␣,9435339400,2004/7/1,사우디아라비아,양관중,✔,1,✘,✔,45-52-222406-47,✔,inbox.com,010-6426-1231
D0007,✘,✘,소시에테제네랄,✔,␣,NA SELINA,✘,✘,042-3107-1771,ANEW63,␣,␣,␣,남자,␣,✘,␣,✘,✔,1949년 6월 29일,800024-44-446328,848-93-55820,␣,s8al5b1wz0g,✘,제주특별자치도 제주시 구좌읍 덕평로 22 (덕천리),✘,✘,✔,✘,2021년 1월 30일,✘,✘,✘,✘,✘,✘,✘,✘,✔,␣,1679280213,␣,독일,기소니,✘,␣,✔,✘,02-51-763961-94,✘,chungbuk.ac.kr,␣
D0008,✔,✘,BNP파리바,✘,9136799700,SIN SONHA,✘,✘,␣,ANEW63,밭에서,␣,howard.edu,남자,SWCGSDQ,✔,␣,✘,✘,␣,␣,␣,기타 1차 철강 제조업,vtdwzts56hy0,✘,충청남도 태안군 남면 드르니길 157-10 (신온리),✔,✘,✘,✘,2002.7.11,✘,✘,✘,✘,✘,✘,✘,✔,✘,␣,1279855188,␣,코스타리카,연노바,✘,␣,✘,✘,18-88-276512-84,✘,bolt.com,010-5094-8804
D0009,✘,✘,도이체방크,✘,9081212415,␣,✔,✘,␣,ANEW63,이르던,경상북도 청도군 청도읍 가마실길 40 (부야리),␣,여자,SQ78XD0,✔,gpx3ev98o,✘,✘,1959/9/13,885-557187-32,799-38-53048,"기술 시험, 검사 및 분석업",␣,✘,전북특별자치도 전주시 덕진구 초포다리로 129 (호성동1가),✘,✘,✘,✔,1964/6/30,✘,✘,✘,✘,✘,✘,✘,✘,✔,␣,␣,1958/12/23,쿠웨이트,␣,✘,3,✘,✘,56-91-374254-97,✘,mail.com,010-3651-1504
D0010,✘,✘,케이뱅크,✘,␣,HWANG YU-IM,✘,✘,053-3978-0974,ANEW63,␣,경기도 양주시 은현면 도하리 445-8,␣,남자,SE0IJLS,✘,lenpyn_cw9,✘,✘,1925-02-22,␣,␣,기반조성 관련 전문공사업,␣,✘,경기도 연천군 신서면 내산리 77,✔,✘,✘,✘,␣,✔,✔,✘,✘,✘,✘,✘,✘,✘,"나타나는,",9192984180,␣,몰디브,임리강,✘,10,✔,✘,␣,✘,␣,010-6047-6598
D0011,✔,✘,JP모건체이스,✘,9258371905,SEON UJUN-YU,✘,✘,064-0646-5076,ANEW63,␣,경상남도 창원시 마산합포구 성호서6길 40-2 (성호동),␣,여자,␣,✘,cmacbgl,✔,✘,1918.05.12,321-731-830738,418-89-75050,기초 유기화학 물질 제조업,w42kp8f3xqby,✘,전라남도 함평군 대동면 학동로 1118-2 (운교리),✘,✘,✘,✘,2039.11.18,✘,✘,✘,✘,✔,✘,✘,✔,✘,␣,␣,2036/7/9,일본,복동권,✘,␣,✘,✔,␣,✘,pacbell.net,010-8710-1972
D0012,✘,✔,한국수출입은행,✔,␣,CHAE LAEHYEON,✔,✔,␣,ANEW63,음조의,␣,keio.jp,여자,␣,✘,␣,✔,✘,2044.04.27,␣,202-51-00770,"욕탕, 마사지 및 기타 신체 관리 서비스업",␣,✘,충청남도 서천군 화양면 기복리 109-1,✘,✘,✘,✘,2039/10/26,✘,✘,✘,✔,✘,✘,✘,✔,✘,␣,9734076225,␣,벨기에,남채움,✘,23,✔,✘,64-00-481277-53,✘,eircom.net,010-5453-3517
D0013,✘,✘,광주은행,✔,9634477897,␣,✘,✔,031-8808-0211,ANEW63,북부에,경기도 수원시 권선구 평동 2-53,laposte.net,여자,␣,✔,b_ttrrv6_obj,✘,✘,2036.2.12,␣,␣,기타 작물 재배업,hgrxz2lz-j,✔,부산광역시 해운대구 재송동 527-3 (지정파크빌라),✔,✔,✔,✔,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,닿다,9070490004,1940-04-17,영국,두귀희,✔,30,✘,✘,␣,✔,chungnam.ac.kr,␣
E0000,✘,✘,케이뱅크,✘,␣,PYEON MYEONGSO,✔,✘,061-9520-4321,ANEW63,말이라는,경상남도 합천군 대양면 아천길 145-1 (아천리),fau.edu,남자,E37AXYL,✔,ifd-jq.q_,✘,✔,1923년 3월 2일,431-876011-88,820-72-79260,그 외 기타 상품 전문 소매업,␣,✔,전라남도 나주시 남평읍 동사리 151-56,✔,✘,✘,✘,2003년 12월 10일,✘,✘,✘,✘,✔,✘,✘,✔,✔,희극적인,␣,␣,대만,설린애,✔,8,✘,✘,01-92-259435-98,✘,biz.net,010-7229-4843
E0001,✘,✔,미쓰비시UFJ은행,✘,␣,YONG YE,✘,✘,063-3544-5303,ANEW63,␣,대구광역시 수성구 중동 112 (그랜뷰),bigpond.com,여자,EDDNA0Z,✘,v6c213sg-,✔,✘,1958년 5월 12일,439372-94-100448,725-19-94558,␣,␣,✘,전북특별자치도 익산시 석상길 21-15 (신용동),✘,✔,✔,✔,␣,✔,✘,✘,✘,✔,✔,✘,✘,✔,␣,9623525476,␣,␣,탁두람,✔,␣,✘,✔,19-86-467670-20,✘,cityu.edu.hk,010-8249-2089
E0002,✘,✔,중국은행,✘,␣,␣,✘,✘,063-5511-2417,ANEW63,소작농은,경상북도 영주시 단산면 옥대로 66-18 (옥대리),hinet.net,남자,␣,✘,␣,✔,✘,1965/10/12,␣,978-69-46507,일반 및 생활 숙박시설 운영업,umc.tgm1q,✔,경상북도 경주시 안강읍 양월리 1144-1,✘,✘,✘,✔,2031/8/16,✘,✘,✘,✘,✔,✔,✘,✘,✘,␣,1875584970,1940-10-31,베트남,곽강자,✘,1,✘,✔,83-40-170820-45,✔,␣,010-5332-4536
E0003,✔,✘,수협은행,✔,1175553595,␣,✔,✘,␣,ANEW63,␣,"울산광역시 울주군 온양읍 태화7길 50-16 (운화리, 엘리시아빌)",laposte.net,␣,ETEI8IV,✘,␣,✘,✔,2035/1/12,547-173-390803,437-81-61627,음반 및 비디오물 임대업,c06cb613,✘,강원특별자치도 홍천군 홍천읍 홍천로 903 (결운리),✘,✔,✘,✔,1994.7.18,✔,✘,✔,✘,✘,✔,✘,✘,✘,자리를,1494823756,1977.08.02,몰디브,석준섭,✘,16,✘,✔,31-27-871654-00,✘,apple.com,010-4628-0212
