image,015,017,022,033,051,002,041,032,056,040,050,036,043,019,008,059,052,016,013,026,027,055,006,023,038,039,018,042,009,021,024,045,058,044,037,035,057,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010,060
A0016,7.8,␣,␣,사백만,␣,VOLVO B6 AWD,✘,✘,도경수,✔,✘,✘,2025,␣,사천사백만,␣,␣,12,␣,␣,10.8,␣,사천만,␣,✘,✔,␣,␣,44000000,␣,␣,05,∅,11,✘,✘,✔,✔,4000000,␣,␣,␣,␣,✘,✘,(주)한빛개발,40000000,456 마 7890,VOLVO,2023,40000000,␣,␣,✔,✔,✘,WXY901MNO9012345,␣,␣,사천만,␣
A0017,4.2,␣,␣,천오백사십만,␣,LANDROVER 2.0 TD4,✘,✘,한소희,✔,✘,✘,2025,␣,삼천팔백만,␣,␣,36,␣,␣,7.2,␣,삼천팔백만,␣,✘,✔,␣,␣,"30,800,000",␣,␣,20,∅,06,✘,✘,✔,✘,"15,400,000",␣,␣,␣,␣,✘,✘,(주)새롬테크,"30,800,000",789거 1234,LANDROVER,2018,"30,800,000",␣,␣,✔,✔,✔,ZAB234PQR1234567,␣,␣,삼천팔백만,␣
A0018,17.9,␣,␣,이백만,␣,PORSCHE 3.0 S 하이브리드,✘,✘,송강,✔,✘,✘,2025,␣,삼천오백만,␣,␣,24,␣,␣,20.9,␣,이천만,␣,✘,✔,␣,␣,"35,000,000",␣,␣,20,∅,10,✘,✔,✔,✘,"2,000,000",␣,␣,␣,␣,✘,✘,(주)영진물산,"20,000,000",012너 5678,포르세,2015,"20,000,000",␣,␣,✔,✔,✔,BCD567STU3456789,␣,␣,이천만,␣
A0019,6.1,␣,␣,삼백오십만,␣,3.5%(2020) G80 2.5T AWD 19인치A기본,✘,✘,김혜수,✔,✘,✘,2025,␣,사천일백구십만,␣,␣,12,␣,␣,9.1,␣,삼천오백만,␣,✘,✔,␣,␣,"41,900,000",␣,␣,03,∅,12,✘,✘,✔,✘,"3,500,000",␣,␣,␣,␣,✘,✘,㈜ 금강산업,"35,000,000",345 다 9012,제네시스,2021,"35,000,000",␣,␣,✔,✔,✔,EFG890VWX5678901,␣,␣,삼천오백만,␣
A0020,11.8,␣,␣,팔백칠십오만,␣,AUDI 35 TDI,✘,✘,이병헌,✔,✘,✘,2025,␣,천칠백오십만,␣,␣,36,␣,␣,14.8,␣,천칠백오십만,␣,✘,✔,␣,␣,"17,500,000",␣,␣,8,∅,7,✘,✔,✔,✘,"8,750,000",␣,␣,␣,␣,✘,✘,(주)대우무역,"17,500,000",678 라 3456,AUDI,2016,"17,500,000",␣,␣,✔,✔,✔,HIJ123YZAB7890123,␣,␣,천칠백오십만,␣
A0021,3.5,␣,␣,이백일십육만,␣,기아 더 뉴모닝 가솔린,✘,✘,전지현,✔,✘,✘,2025,␣,칠백이십만,␣,␣,24,␣,␣,6.5,␣,칠백이십만,␣,✘,✔,␣,␣,"7,200,000",␣,␣,12,∅,01,✘,✔,✔,✘,"2,016,000",␣,␣,␣,␣,✘,✘,에너지포스,"7,200,000",901마 7890,기아,2016,"7,200,000",␣,␣,✔,✔,✔,KLM456BCD9012345,␣,␣,칠백이십만,␣
A0022,15.2,␣,␣,육백칠십만,␣,BMW X3 20d,✘,✘,␣,✔,✘,✘,2025,␣,천삼백사십만,␣,␣,12,␣,␣,18.2,␣,천삼백사십만,␣,✘,✔,␣,␣,"13,400,000",␣,␣,25,∅,02,✘,✘,✘,✘,"6,700,000",␣,␣,␣,␣,✘,✘,에어로스페이스,"13,400,000",234거 1234,BMW,2012,"13,400,000",␣,␣,✔,✔,✔,NOP789EFG1234567,␣,␣,천삼백사십만,␣
A0023,9.3,␣,␣,백구십오만육천오백이십이,␣,K9,✘,✘,김다미,✔,✘,✘,2025,␣,오천구백만,␣,␣,36,␣,␣,12.3,␣,삼천육백만,␣,✘,✔,␣,␣,59000000,␣,␣,18,∅,8,✘,✔,✔,✘,1956522,␣,␣,␣,␣,✘,✘,매직제일물산,36000000,567 너 5678,기아,2021,36000000,␣,␣,✔,✔,✔,QRS012HIJ3456789,␣,␣,삼천육백만,␣
A0024,5.5,␣,␣,백이십일만칠천삼백구십일,␣,더 뉴카니발,✘,✘,려원,✔,✘,✘,2025,␣,이천백만,␣,␣,24,␣,␣,8.5,␣,천육백팔십만,␣,✘,✔,␣,␣,21000000,␣,␣,03,∅,12,✘,✔,✔,✘,1217391,␣,␣,␣,␣,✔,✔,전자디스플레이,16800000,890 다 9012,기아,2019,16800000,␣,␣,✔,✔,✔,TUV345KLM5678901,␣,␣,천육백팔십만,␣
A0025,16.7,␣,␣,오십팔만 팔천육백육십삼,␣,아이오닉6,✘,✘,유연석,✔,✘,✘,2025,␣,사천만 오십만,␣,␣,12,␣,␣,19.7,␣,삼천이백사십만,␣,✘,✔,␣,␣,"40,500,000",␣,␣,15,∅,6,✘,✔,✔,✘,"588,663",␣,␣,␣,␣,✘,✘,삼성수산,"32,400,000",123라 3456,현대,2023,"32,400,000",␣,␣,✔,✔,✔,WXY678NOP7890123,␣,␣,삼천이백사십만,␣
A0026,8.1,␣,␣,오십만,␣,K7,✘,✘,박서준,✔,✘,✘,2025,␣,삼천만 오십만,␣,␣,36,␣,␣,11.1,␣,천팔백오십만,␣,✘,✔,␣,␣,30500000,␣,␣,20,∅,10,✘,✔,✔,✘,500000,␣,␣,␣,␣,✘,✘,현대모직,18500000,456마 7890,기아,2020,18500000,␣,␣,✔,✔,✔,ZAB901QRS9012345,␣,␣,천팔백오십만,␣
A0027,12.5,␣,␣,사십만사천오백사십일,␣,신형 쏘나타 하이브리드,✘,✘,정해인,✔,✘,✘,2025,␣,삼천일백이십만,␣,␣,24,␣,␣,15.5,␣,천육백삼십만,␣,✘,✔,␣,␣,"31,200,000",␣,␣,5,∅,4,✘,✔,✔,✘,"440,541",␣,␣,␣,␣,✘,✘,제일수산,"16,300,000",789 거 1234,현대,2021,"16,300,000",␣,␣,✔,✔,✘,BCD234TUV1234567,␣,␣,천육백삼십만,␣
A0028,4.9,␣,␣,천구백구십,␣,봉고Ⅲ,✘,✘,이성경,✔,✘,✘,2025,␣,천칠백구십만,␣,␣,12,␣,␣,7.9,␣,천이백이십만,␣,✘,✔,␣,␣,"17,900,000",␣,␣,01,∅,03,✘,✘,✔,✘,"19,900,000",␣,␣,␣,␣,✘,✘,제일주류,"12,200,000",012 너 5678,기아,2020,"12,200,000",␣,␣,✔,✔,✔,EFG567WXY3456789,␣,␣,천이백이십만,␣
A0029,14.4,␣,␣,삼백사십만,␣,FORD 2.3 AWD,✘,✘,안효섭,✔,✘,✘,2025,␣,삼천사백만,␣,␣,36,␣,␣,17.4,␣,삼천사백만,␣,✘,✔,␣,␣,34000000,␣,␣,15,∅,5,✘,✔,✔,✘,3400000,␣,␣,␣,␣,✘,✘,제일통신,34000000,345 다 9012,포드,2020,34000000,␣,␣,✔,✔,✔,HIJ890ZAB5678901,␣,␣,삼천사백만,␣
D0000,7.0,␣,41.6,사천백오십구만,BL9HUW9QTC,트레일블레이저 캐스퍼,✘,✘,표형중,✘,✘,✘,␣,33,이백팔십육만,␣,MZ92ZY3Z2F,12,"38,950,000",␣,␣,성성의,구천삼백오십육만,14,✘,✘,73.9,3,33440000,␣,64290000,␣,∅,1,✘,✘,✘,✘,␣,전사한,␣,␣,␣,✘,✔,백김사랑,7570000,691거 3495,재해.,2017,␣,모양이 종같이,␣,✘,✘,✘,Y7ABW38MDF5SWUPT3,천오백오십팔만,육천일백구십오만,칠천삼백육십삼만,HDB4GPY
D0001,19.3,1280000,82.4,␣,␣,␣,✘,✔,왕해님,✘,✘,✘,2035,6,␣,9038320667,␣,31,␣,␣,34.8,송대열,␣,6,✘,✔,11.6,␣,"6,580,000","5,560,000","2,530, 000",12,∅,7,✔,✔,✔,✘,"59,780,000",␣,철도를,␣,␣,✘,✔,␣,"1,810,000",␣,제곱근의,2001,"3,580,000",추워짐. 또는,13.6,✘,✔,✘,RLCDJKK5S6I5VWADP,칠백사십육만,이천일백삼십이만,삼백이십육만,HLKNYT6
D0002,91.0,63840000,58.3,육백육십오만,␣,X7 도요타,✘,✘,성인서,✘,✘,✔,2007,23,이천사백팔십일만,9081874519,JI68VVEZD5,5,"1,350,000",34,17.8,모금실,삼백팔십육만,␣,✘,✔,42.5,3,"12,240,000","3,710, 000",␣,␣,∅,5,✘,✔,✘,✘,"9,330,000",보상을,␣,54460000,␣,✘,✔,문화름,"6,750,000",64마 1714,세려,2018,␣,느낌. 가슴,2.6,✘,✘,✘,␣,␣,␣,␣,␣
D0003,40.6,"78,590,000",35.0,이천삼백사십칠만,␣,␣,✘,✘,변민휼,✘,✘,✔,␣,14,␣,1575510326,CMU7RMNBVT,18,"69,750,000",␣,43.5,서문미름,␣,21,✔,✔,␣,␣,␣,"75,460,000",␣,26,∅,␣,✘,✔,✔,✘,␣,␣,뜻을,␣,␣,✔,✔,도찬엽,24640000,376도 4187,엿봄.,2022,␣,말이나 소리가,␣,✔,✔,✘,MVJ6FH2XEJFHG0ZCC,칠천사백삼십이만,␣,␣,HDL6E5M
D0004,10.3,"26,160,000",38.1,팔백육십삼만,UFPGDT9RO1,아우디 말리부,✘,✘,복소선,✘,✘,✘,␣,34,칠백삼십오만,␣,K0MTOKBWBF,␣,␣,␣,66.5,␣,␣,7,✘,✘,␣,␣,"89,490,000",␣,␣,17,∅,9,✘,✔,✔,✘,95730000,별부02,␣,␣,␣,✔,✘,형초미,␣,␣,␣,␣,␣,품음. 남을,81.3,✔,✔,✔,␣,삼천일백팔십팔만,구백이십삼만,팔천오백사십칠만,H3QFZ76
D0005,␣,"8,140,000",␣,이천오백구십사만,55ET7KNH85,BMW GLS,✘,✘,명다겸,✘,✘,✔,2017,31,구백구십칠만,␣,␣,34,"16,970,000",22,␣,원도엽,␣,21,✘,✔,␣,7,"54,960,000","59,920,000",␣,30,∅,8,✘,✔,✘,✘,"1,980,000",그,불포화용액,"12,140,000",27,✔,✔,␣,72780000,␣,␣,␣,"45,590,000",들어온,␣,✔,✘,✔,␣,이천백구십칠만,칠백육십오만,␣,HY0LZ6D
D0006,82.1,"2,770,000",54.9,␣,KS3U2EU1CM,캠리 GLC,✘,✘,윤영록,✔,✘,✘,␣,4,오천육백육십사만,␣,HFJZIC6BJG,␣,16430000,26,79.3,부형균,팔천팔백일십칠만,␣,✘,✘,37.9,␣,"7,990,000",␣,␣,15,∅,9,✔,✘,✔,✘,␣,관련자들은,변형도가,"94,640,000",␣,✔,✔,배민휘,19270000,␣,모양으로,␣,␣,그렇게 만들다.,10.5,✔,✘,✘,␣,칠천팔백이십육만,육천육백구십일만,팔천삼백팔십팔만,H5DWWVH
D0007,␣,"99,840,000",␣,삼백육십팔만,ZJDMUXGOGX,하이랜더 아우디,✔,✔,설보영,✘,✘,✘,2009,␣,␣,␣,MREDGBOGHU,32,␣,␣,60.4,라백합,␣,3,✔,✘,41.0,8,␣,"6,260,000",␣,11,∅,␣,✘,✘,✔,✔,␣,약제를,많아,␣,16,✔,✔,모윤,"7,520,000",341오 6772,과정에서,2019,␣,느낌의,␣,✘,✘,✔,0F53WJTQ5Z1J8Q939,␣,␣,오천육백일십칠만,H5LFZBK
D0008,45.9,"5,580,000",␣,천칠백칠십일만,␣,코롤라 7 시리즈,✘,✘,배섭규,✔,✘,✘,2006,5,이천구백팔십일만,9091655881,XLTJSCLQHB,␣,␣,␣,35.8,␣,칠천백오십사만,␣,✘,✘,␣,5,"8,930,000",␣,"8,340,000",␣,∅,␣,✔,✔,✔,✘,␣,뿌린,␣,"47,590,000",␣,✘,✔,␣,␣,693부 4174,␣,2039,"25,740,000",그런 사람을,␣,✘,✘,✔,␣,␣,␣,팔천백팔십오만,HFYEL9H
D0009,95.6,"91,280,000",␣,␣,ZML9TSOB5K,␣,✘,✘,␣,✘,✘,✘,2018,␣,구천이백팔십삼만,9858526407,␣,␣,"38,990,000",1,3.1,␣,␣,20,✔,✔,␣,2,"6,510,000","2,330,000","78,460,000",␣,∅,2,✘,✘,✔,✘,56210000,작용할,위하여,"85,950,000",24,✔,✔,남궁도관,"2,360,000",81주 2369,아니겠나?,␣,"26,890,000",칠팔십 세,19.1,✘,✔,✘,ZWR49RYSF4RPB7MTQ,사천일백오십구만,구백육십이만,일백칠십일만,HB6JHTJ
D0010,␣,␣,3.0,사천오백구십일만,L64XSXQ7G2,␣,✔,✘,␣,✔,✘,✘,2027,32,팔백오십육만,1074841484,JJXXL5O95R,␣,"65,370,000",␣,52.2,복아리솔,␣,21,✘,✔,60.1,␣,"5,350,000","49,210,000","85,310,000",19,∅,10,✘,✘,✘,✘,"4,340,000",제거하여도,경지를,␣,27,✔,✔,길우희,␣,␣,␣,␣,␣,␣,90.2,✔,✔,✔,YOA96Z3RYACYDGQOR,팔백삼십칠만,칠백삼십이만,백십일만,HJDNO9Y
D0011,22.9,␣,57.6,␣,CU2C3SFGUN,i30 GLC,✘,✘,피소홍,✘,✘,✘,2009,5,␣,9909765274,9CN84XIN3T,2,␣,␣,28.9,팽문형,사백육십구만,35,✔,✘,␣,5,␣,␣,␣,␣,∅,3,✔,✘,✔,✔,␣,␣,표하다.,␣,␣,✔,✔,홍켈리,␣,387나 7342,되어,␣,"19,240,000",위세를 부리다.,28.8,✘,✘,✘,R0VS08JP9AK47DA4B,칠백팔십삼만,␣,␣,HV3D1G2
D0012,54.8,"8,110,000",12.4,팔백팔십사만,␣,콜로라도 넥쏘,✘,✔,␣,✘,✔,✘,2010,34,육천이백이십삼만,9479814452,2YCHL3DJE2,␣,"3,210,000",15,49.8,명사쿠라,삼천사백구십이만,17,✔,✘,4.7,␣,␣,␣,"3,770,000",20,∅,11,✘,✘,✔,✘,64610000,␣,␣,"3,320,000",26,✔,✔,윤미금,"7,540,000",660도 0284,␣,␣,"7,740,000",␣,43.5,✘,✔,✔,PQ1W17F9K11ULJG31,육천육백삼십칠만,이백오십칠만,이백이십구만,H3Q9JUG
E0000,71.6,"31,330,000",␣,오백칠십오만,␣,␣,✘,✔,␣,✘,✘,✘,2029,␣,삼백팔십사만,␣,ZTHC2BCGOH,15,"76,850,000",27,␣,길진숙,␣,11,✔,✘,38.8,␣,␣,"4,890,000","14,630,000",␣,∅,␣,✘,✘,✘,✘,19540000,넥타,상징한다.,␣,4,✘,✘,␣,␣,97너 4403,나타나는,2032,␣,␣,␣,✘,✔,✔,0DAZ30H50O51QKG96,천팔백오십삼만,삼천오백삼십육만,␣,PKW3L2U
E0001,␣,89450000,␣,␣,O2TE12WAIS,스타리아쉐보레 SM7,✘,✘,차벨라,✘,✘,✘,2003,␣,팔천일백칠십일만,␣,Y63P223J3F,26,"21,470,000",␣,87.3,선우문숙,백십이만,␣,✘,✘,␣,4,"41,940,000","23,270,000",␣,␣,∅,7,✘,✘,✔,✘,"26,510,000",매우,만듦으로써,8870000,␣,✘,✘,하무열,"31,850,000",779두 9275,␣,2029,"3,960,000",많고 들이쉬는,11.5,✘,✘,✘,3PYPJDK0BL38FW0EV,팔백사십팔만,백십이만,팔천백육십사만,PUEBI90
E0002,␣,"2,390,000",1.0,␣,JO3AY8P2V3,코란도 콜로라도,✘,✔,␣,✘,✔,✔,2031,31,␣,9621061398,F1MYI3KUN4,24,"13,860,000",27,␣,서문동륜,이천사백사십육만,23,✘,✔,99.2,␣,"3,660,000",␣,"63,380,000",22,∅,12,✘,✔,✘,✔,"3,580,000",더럽히고,␣,"96,370,000",11,✔,✔,장린카,␣,645가 9804,올린,␣,"7,480,000",팍신팍신하게,39.6,✘,✔,✘,I1L3TTUA6X9NNNWVJ,␣,사천백육십칠만,구백삼십칠만,PKXEYBZ
E0003,␣,"32,830,000",72.1,백오십칠만,1AIE614TX4,랜드크루저 이쿼녹스,✘,✘,정남은,✘,✔,✘,2036,7,구천육백십사만,9916399683,␣,␣,"83,770,000",18,␣,배케일라,칠천사백육십사만,15,✘,✘,5.5,8,"8,530,000","98,520,000","81,170,000",21,∅,␣,✘,✔,✔,✘,␣,␣,차리겠다는,"7,640,000",21,✔,✔,␣,␣,63러 7680,원말.,2023,"4,510,000",␣,22.8,✘,✔,✘,BJUGH6AHQ42OV5VXV,팔천오백사십구만,천이백팔십오만,팔천칠백육십사만,PJ3KEMD
E0004,32.5,"3,150,000",␣,구천사백칠십구만,3CL6KZIVWB,␣,✘,✘,␣,✔,✘,✘,2000,34,오천오백삼십사만,1517153467,V447TF0RMY,␣,"52,670,000",18,␣,␣,육천이백삼십구만,3,✘,✔,53.4,9,"3,710,000","32,850,000","5,140,000",␣,∅,3,✔,✘,✘,✘,"62,560,000",␣,␣,"7,170,000",1,✔,✘,윤명소,"7,830,000",925너 5629,␣,␣,"2,940,000",충성을 다하는,53.4,✘,✘,✔,␣,육천삼백구십칠만,␣,␣,P2OI877
