image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,007,001,006,023,018,004,009,021,024,012
D0002,✘,18,2023,∅,␣,25,손은종,10,✘,␣,"96,870,000",88.4,"97,160,000",␣,91.2,50.3,"9,180,000",68.6,1095192937,12,91.0,35,✔,␣,✔
D0003,✔,10,␣,∅,"94,770,000",36,␣,18,✘,␣,␣,39.7,8660000,␣,70.3,51.1,␣,38.3,1168044280,␣,38.4,20,✔,P2T65MN,✔
D0004,✘,␣,␣,∅,"3,760,000",␣,␣,6,✘,19,"14,140,000",45.5,"53,790,000",21,92.1,␣,"91,460,000",␣,␣,␣,79.6,␣,✘,P45ZDJT,✘
D0005,✘,8,␣,∅,"77,550,000",31,오호란,19,✔,19,"5,910,000",46.0,"24,490,000",␣,␣,80.7,"1,350,000",75.6,9268137603,12,13.8,17,✔,PHSB4EX,✘
D0006,✔,␣,2016,∅,"9,920,000",␣,성온주,24,✘,8,␣,83.3,␣,8,␣,10.2,␣,92.2,9020330798,␣,74.8,11,✔,␣,✘
D0007,✔,␣,2009,∅,4660000,12,송유솜,31,✘,12,"41,360,000",81.7,"33,350,000",16,␣,16.3,␣,95.9,␣,2,40.7,␣,✘,␣,✘
D0008,✘,29,2028,∅,"6,920,000",25,음범성,4,✔,␣,"38,440,000",␣,"66,530,000",22,␣,92.2,"1,350,000",␣,␣,10,2.1,29,✔,P9Z4UIF,✘
D0009,✔,5,␣,∅,␣,␣,조건빈,8,✘,9,␣,54.1,␣,33,␣,65.4,␣,␣,9362950069,10,␣,␣,✘,␣,✔
D0010,✘,␣,2024,∅,␣,␣,원헌석,␣,✘,12,"7,840,000",61.3,64720000,17,␣,14.4,␣,27.7,9620389237,␣,81.2,27,✘,␣,✘
D0011,✘,␣,␣,∅,"4,130,000",7,석모네,␣,✘,16,"42,870,000",29.7,"5,720,000",1,34.7,␣,␣,␣,9160884058,8,␣,␣,✘,PHCED9F,✘
D0012,✘,19,␣,∅,␣,␣,황보상언,␣,✔,16,␣,␣,93820000,28,43.3,91.9,␣,␣,␣,10,83.4,26,✔,PIMOE56,✘
D0013,✔,␣,2000,∅,"84,980,000",23,채호성,16,✘,2,"4,630,000",␣,8150000,␣,␣,␣,"51,320,000",92.1,9955109089,␣,82.1,␣,✔,PWKZQXH,✘
D0014,✘,3,2034,∅,"91,170,000",2,여휘모,18,✘,␣,"12,430,000",5.7,␣,14,␣,␣,"5,380,000",96.2,9925640536,6,41.6,11,✔,PC551ZL,✘
D0015,✘,23,␣,∅,"2,240,000",␣,온예반,␣,✘,␣,␣,52.8,␣,27,68.5,␣,"4,360,000",81.9,1434275090,9,59.5,19,✘,␣,✘
D0016,✘,25,␣,∅,"65,780,000",12,염금숙,31,✘,␣,1630000,␣,␣,21,75.7,25.7,␣,5.6,1447537471,9,8.8,16,✔,P2FREDA,✘
D0017,✘,27,2011,∅,"9,810,000",␣,가수지,␣,✘,5,54290000,64.7,"52,840,000",13,19.2,33.4,"4,280,000",␣,␣,10,64.8,9,✔,P76HDV3,✔
D0018,✔,9,2006,∅,"28,330,000",22,␣,19,✔,31,"85,220,000",11.7,␣,30,17.5,25.1,"6,370,000",␣,␣,10,0.9,30,✘,PIF0V7V,✔
D0019,✔,31,2012,∅,55510000,20,선우승택,8,✔,30,"73,930,000",24.7,"5,330,000",8,␣,57.2,␣,␣,1898455840,␣,37.0,25,✔,PWDXRDO,✘
D0020,✘,36,2009,∅,"3,130,000",␣,승채론,22,✔,26,␣,25.7,"15,590,000",18,␣,35.4,21370000,␣,1445500612,3,21.2,34,✔,P9XVORI,✘
D0021,✔,2,2002,∅,"2,330,000",25,␣,␣,✘,15,"4,690,000",66.1,␣,␣,18.2,32.1,"31,750,000",21.8,␣,4,70.9,25,✔,PFIKLLI,✔
E0000,✘,10,2038,∅,␣,22,복형관,␣,✘,27,"68,710,000",89.3,"92,750,000",1,␣,48.1,"24,330,000",␣,␣,␣,␣,10,✘,T210X3L,✔
E0001,✘,32,2038,∅,␣,27,우도원,␣,✔,21,"3,460,000",␣,␣,36,␣,1.8,"6,180,000",65.7,␣,4,56.1,␣,✘,TIMU8QZ,✔
E0002,✘,␣,2005,∅,82650000,13,␣,5,✘,2,␣,0.6,␣,31,4.1,19.9,"8,310,000",␣,9353374453,␣,77.3,27,✔,T9TO22K,✔
E0003,✘,␣,2016,∅,"2,930,000",11,␣,1,✔,9,"69,230,000",␣,␣,␣,66.0,␣,"75,340,000",63.7,1582003155,8,␣,15,✔,TPYFJPY,✘
E0004,✘,18,␣,∅,␣,10,경간나,␣,✘,␣,"99,930,000",␣,"9,790,000",34,␣,50.8,"71,650,000",16.2,9447560621,7,14.6,14,✘,TDZSJW0,✘
