image,021,010,015,017,022,002,032,030,014,020,029,028,019,008,011,016,005,000,013,003,026,025,001,031,023,018,004,009,027,024,012
A0010,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,NONAME,✔,␣,␣,✔,␣,␣,여슬영,✘,✔,␣,✘,␣
A0011,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)디엠산업,✔,␣,␣,✔,␣,␣,송서윤,✘,✔,␣,✘,␣
A0012,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,케이에스스마트,✔,␣,␣,✔,␣,␣,선우태,✘,✔,␣,✘,␣
A0013,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,(주)중소기업산업연구원,✔,␣,␣,✔,␣,␣,전도은,✘,✔,␣,✘,␣
A0014,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,한국해양수산,✔,␣,␣,✔,␣,␣,하윤조,✘,✔,␣,✘,␣
A0015,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,월드스틸 ㈜,✔,␣,␣,✔,␣,␣,하호우,✘,✔,␣,✘,␣
A0016,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,금암교회,✔,␣,␣,✔,␣,␣,제갈지,✘,✔,␣,✘,␣
A0017,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,모든(장한평),✔,␣,␣,✔,␣,␣,진도슬,✘,✔,␣,✘,␣
A0018,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,만두빗는사람들,✔,␣,␣,✔,␣,␣,장준나,✘,✔,␣,✘,␣
A0019,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,조은식품,✔,␣,␣,✔,␣,␣,이준준,✘,✔,␣,✘,␣
A0020,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)로봇택시,✔,␣,␣,✔,␣,␣,김민준,✘,✔,␣,✘,␣
A0021,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)슈퍼카레이서,✔,␣,␣,✔,␣,␣,이서연,✘,✔,␣,✘,␣
A0022,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)번개돌이,✔,␣,␣,✔,␣,␣,박도현,✘,✔,␣,✘,␣
A0023,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,주)무지개다리,✔,␣,␣,✔,␣,␣,최지우,✘,✔,␣,✘,␣
A0024,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,빵빵인테리어,✔,␣,␣,✔,␣,␣,정우진,✘,✔,␣,✘,␣
A0025,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,무지개멘션,✔,␣,␣,✔,␣,␣,강수아,✘,✔,␣,✘,␣
A0026,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,거북이익스프레스,✔,␣,␣,✔,␣,␣,윤지훈,✘,✔,␣,✘,␣
A0027,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,코끼리디자인,✔,␣,␣,✔,␣,␣,장하윤,✘,✔,␣,✘,␣
A0028,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,씽씽모터스,✔,␣,␣,✔,␣,␣,임시우,✘,✔,␣,✘,␣
A0029,␣,␣,␣,␣,␣,✘,␣,∅,✔,␣,␣,␣,✔,✘,␣,␣,✔,✘,별똥별택배,✔,␣,␣,✔,␣,␣,한아린,✘,✔,␣,✘,␣
D0000,␣,2031,2034,21,␣,✘,P0K6FYX,∅,✔,␣,␣,␣,✘,✘,4,8,✔,✘,␣,✘,␣,␣,✘,1182680402,권하섭,부철완,✘,✔,␣,✔,14
D0001,␣,2036,2032,2,20,✘,PAHZF5O,∅,✔,2023,␣,␣,✔,✘,9,6,✘,✘,홍나혜,✔,␣,␣,✔,1564198508,␣,␣,✔,✘,␣,✘,24
D0002,2,2038,2026,␣,9,✘,PQVFE9P,∅,✔,2013,␣,␣,✘,✘,7,2,✘,✔,단수지,✘,␣,␣,✘,␣,␣,␣,✘,✘,␣,✔,21
D0003,12,␣,␣,␣,19,✘,PFIFL9U,∅,✘,2016,␣,␣,✘,✘,␣,2,✔,✘,홍본율,✔,␣,␣,✔,9326535023,구성회,유로앤,✔,✔,␣,✔,␣
D0004,8,2012,2000,16,31,✘,␣,∅,✘,2003,␣,␣,✘,✘,␣,9,✘,✔,␣,✘,␣,␣,✘,1788096553,반근선,은요운,✘,✘,␣,✘,30
D0005,7,␣,2033,10,␣,✘,P44MQLW,∅,✘,␣,␣,␣,✔,✘,␣,7,✔,✘,성유기,✘,␣,␣,✔,␣,이춘채,승기안,✘,✘,␣,✔,8
D0006,␣,2011,2006,␣,␣,✘,␣,∅,✔,␣,␣,소황성,✘,✘,␣,2,✘,✘,제종언,✘,␣,␣,✔,␣,␣,전의론,✔,✔,12,✘,␣
D0007,␣,2009,2023,28,11,✔,␣,∅,✔,2036,␣,␣,✘,✔,5,8,✘,✘,␣,✘,␣,␣,✘,␣,간소타,탁이원,✘,✘,␣,✘,27
D0008,11,2015,2031,16,20,✘,P7AOFXT,∅,✔,␣,␣,␣,✔,✘,4,10,✘,✔,갈의린,✘,␣,␣,✘,1635776063,␣,지래온,✔,✔,␣,✘,␣
D0009,␣,␣,2036,19,␣,✔,PQUPRX2,∅,✘,2037,␣,␣,✔,✘,10,␣,✘,✘,곽율립,✔,␣,␣,✘,9644073342,␣,최진표,✘,✘,␣,✘,27
D0010,3,␣,2037,23,24,✘,PCPYTHH,∅,✘,␣,␣,␣,✔,✘,12,␣,✔,✔,임요안나,✘,␣,␣,✘,1555539584,성수녕,음부강,✘,✔,␣,✔,26
E0000,␣,2006,2009,␣,16,✔,LO0LGWG,∅,✘,␣,␣,␣,✘,✔,␣,7,✘,✘,강윤설,✘,␣,␣,✘,1103349082,배민효,시로희,✔,✘,␣,✔,11
E0001,1,2017,␣,␣,␣,✘,␣,∅,✔,2015,␣,␣,✘,✔,␣,␣,✘,✘,␣,✘,␣,␣,✘,␣,시사민,␣,✘,✘,␣,✘,30
F0000,12,␣,␣,9,␣,✘,L2CX2MJ,∅,✔,2034,␣,␣,✘,✘,6,␣,✔,✘,␣,✘,␣,␣,✘,9896095734,엄한률,배래인,✔,✘,␣,✔,31
