image,010,015,033,034,032,030,040,036,029,028,011,005,000,013,025,026,001,031,027,023,038,039,004,024,014,012,037,035
C0010,␣,서울특별시 성북구 삼선동1가 280-3,␣,경선과,✘,24,PPHJMN9,박엘리샤,12,2025,2012,␣,감리선,␣,✘,있었다.,2042/3/28,조인수,속에,✘,∅,1124993663,X3 그랜저,✔,␣,10,✘,또는
C0011,␣,경상남도 사천시 청널2길 55-5 (서동),␣,␣,✘,26,PA4KH1U,V,␣,␣,␣,1958/8/19,␣,␣,✘,␣,2025.04.25,범라주,개울,✘,∅,1215133354,␣,✘,연해련,␣,✘,향기가
C0012,746저 4632,충청북도 옥천군 청산면 만월로1길 34-11 (만월리),␣,␣,✘,21,PX5QOG8,남그레이스진,8,2020,2013,1995.03.22,␣,30,✔,␣,2000년 4월 5일,␣,잘,✘,∅,1853673046,␣,✔,범휘성,12,✔,부분을
C0013,84가 2931,전북특별자치도 정읍시 군대길 88 (하북동),1910/7/22,따삽다,✘,10,PVG2V9J,가경관,6,␣,2016,␣,나준검,␣,✔,어근.,␣,경경덕,␣,✘,∅,9893642066,Q8 C 클래스,✘,추새로운,10,✔,␣
C0014,274라 1423,"경상남도 창원시 성산구 원이대로473번길 22 (반림동, 반송약국)",␣,질이,✘,30,PH9GZ5Z,␣,6,␣,␣,2049/7/27,␣,␣,✘,손톱을,␣,황보디온,중히,✘,∅,9773429124,마칸 파나메라,✘,␣,4,✘,흉할하다의
C0015,␣,␣,1905.01.03,돈이나,✘,14,PK0PD8J,␣,7,2024,␣,1940년 7월 21일,원도엽,␣,✘,먹은,2016년 2월 4일,모양화,␣,✔,∅,9842101041,A4 프리우스,✘,␣,␣,✘,이론.
C0016,63노 7564,전북특별자치도 전주시 덕진구 아중로 161 (인후동1가),␣,신인,✘,␣,PJJICZ1,백네이든,9,2023,␣,␣,␣,14,✘,␣,␣,조려화,␣,✔,∅,1697273799,␣,✘,␣,4,✘,미개한
C0017,99두 2232,␣,1922.8.6,맡아,✔,25,PE8OQ2C,염가한,3,2018,2011,1937.9.6,상레니,␣,✘,합이,␣,이운학,␣,✘,∅,1857824049,X3 X1,✘,갈재람,8,✔,놓은
C0018,834다 4252,␣,1911.4.24,탈박거리어,✘,␣,PWE8FA7,엄슬은,12,2028,2028,␣,석들레,␣,✔,죄인이,2036-07-25,명관무,남아프리카가,✔,∅,1862959244,어코드 혼다,✔,박디안,7,✘,␣
C0019,␣,경상남도 창원시 마산합포구 고운로 218 (장군동4가),2028.1.29,올로,✔,31,P0S1FWT,␣,3,2022,␣,1979년 6월 25일,백의현,␣,✘,것을,␣,최수겸,␣,✘,∅,1127512365,␣,✘,부초령,␣,✘,␣
C0020,␣,경상남도 진주시 대곡면 진의로 650-4 (덕곡리),2001-03-31,포개어,✘,12,PKEMJ17,␣,5,2011,␣,2036.9.10,서문하다,␣,✘,것만,␣,␣,␣,✘,∅,1247024348,타이칸 어코드,✘,␣,␣,✘,␣
C0021,␣,전북특별자치도 완주군 소양면 신원상리길 100 (신원리),␣,요도,✔,␣,PMS685X,전상엽,6,2014,2024,1923.01.06,곽아이나,9,✘,␣,␣,좌인오,규소의,✘,∅,1543252396,e-트론 GV70,✔,윤석균,10,✔,언약.
C0022,59부 7948,␣,1920년 3월 24일,부분에,✔,28,P7HPOD7,육하군,␣,2010,␣,1928.08.02,도여음,␣,✔,저서에,1907.11.10,윤서기,벌이다.,✘,∅,1297800168,␣,✘,␣,␣,✔,독자적인
D0000,␣,전북특별자치도 장수군 장수읍 향교길 50 (장수리),2003년 7월 13일,많다.,✘,20,HVVS6YL,소은제,␣,2004,2036,2016,명진이,␣,✘,␣,2033.03.25,빈도관,␣,✔,∅,1023869801,␣,✔,박민안,10,✘,␣
D0001,41소 8961,"제주특별자치도 서귀포시 남원읍 남태해안로 241 (태흥리, 진일수산양식)",2003.12.9,가는,✘,␣,␣,엄근모,7,2000,␣,␣,류린혜,␣,✘,␣,1942.12.11,길서웅,사람이,✘,∅,1730983551,트래버스 프리우스,✘,␣,10,✘,␣
D0002,429오 9804,경상남도 양산시 삼호동 823-3,␣,␣,✘,22,HPBGVZL,한코코나,7,2025,2040,2022,␣,18,✘,따위를,␣,␣,하고,✔,∅,9147562168,␣,✘,인도임,12,✔,비행선
D0003,804거 3151,전라남도 광양시 광양읍 초남리 289-1,␣,물질.,✘,␣,HCOEXIV,감시애,6,2007,2018,2020,백혜종,29,✘,␣,1932년 8월 26일,좌단유,어근.,✔,∅,1571699017,␣,✔,좌레은,␣,✔,온다.
D0004,65저 3016,전북특별자치도 전주시 완산구 효자동2가 273-7,2009-05-24,어근.,✔,15,HAWCCLN,최령주,12,2034,2022,2003,단초언,9,✘,숙식료를,␣,나사준,␣,✔,∅,␣,무쏘 코롤라,✘,␣,␣,✔,색시
D0005,306수 6247,전라남도 영광군 영광읍 남천리 315,1922년 11월 29일,태양,✘,2,HNE1JOV,␣,10,␣,2018,␣,은다비다,␣,✘,찾다.,1937.12.25,주세연,성동구,✘,∅,9242748885,싼타페 e-트론,✘,국유채,␣,✔,넣는
D0006,66주 2737,전라남도 해남군 산이면 초송리 594-5,␣,충전광상,✘,␣,HE64Q3P,범해량,12,2015,2008,2014,석해강,27,✘,열매는,␣,␣,␣,✘,∅,␣,캐스퍼 GLC,✘,홍제규,␣,✘,뒤통수뼈
D0007,518버 8659,강원특별자치도 강릉시 하슬라로45번길 15-14 (홍제동),1905-02-27,␣,✘,6,␣,␣,4,2018,␣,2029,곽호빈,25,✘,␣,1930/6/10,␣,때,✘,∅,␣,X1 임팔라,✘,허휘인,10,✔,또는
D0008,␣,␣,1967.10.16,먼,✔,22,␣,전시윤,2,␣,2019,␣,␣,16,✘,일정한,2028-10-27,␣,보던,✘,∅,1896659575,␣,✔,모상벽,␣,✘,␣
D0009,␣,전북특별자치도 군산시 서수면 관원리 30-1,1958/6/17,짧고,✘,19,HKN37GS,공자민,␣,2004,2011,2026,␣,␣,✘,분을,1901-11-06,공서한,갑자기,✘,∅,1580154290,무쏘 X3,✔,예충수,␣,✔,␣
D0010,63구 7731,전북특별자치도 김제시 황산면 용마4길 75 (용마리),1903.12.10,␣,✘,18,HKXSG9P,복주강,8,2034,␣,2014,길안빈,5,✘,슬피,2023.03.08,반환영,국가나,✘,∅,1660802891,␣,✔,␣,␣,✘,␣
D0011,46버 6928,"충청북도 보은군 마로면 관기송현로 94-1 (관기리, 마로신협)",1955.12.04,␣,✘,19,HJ6KJV8,강보아,␣,2007,␣,␣,␣,8,✘,없는,␣,제갈미쁨,피한,✔,∅,9552362260,GV70 CR-V,✘,␣,12,✔,물
E0000,986노 8810,"서울특별시 금천구 시흥대로 332-1 (독산동, 유제두체육회관)",1971년 7월 20일,막봉이가,✔,18,␣,라대휘,␣,2014,2015,␣,안광훈,25,✘,␣,␣,황보주몽,␣,✘,∅,9652350548,A3 QM6,✘,서문서흠,4,✔,생각되었습니
E0001,73소 3640,경상북도 상주시 함창읍 하갈리 446-2,1981/2/5,일하고,✔,␣,IQMWN8E,␣,6,2007,2029,␣,␣,␣,✘,드라마,1974년 10월 22일,문도겸,성질.,✘,∅,9333965608,GLC Q7,✔,모사키,5,✘,복종하는
E0002,945로 1644,경기도 광주시 남종면 삼성길 7-81 (삼성리),␣,대부분이,✘,␣,I79XI0S,임우가,6,2021,␣,2015,류대석,28,✔,지루하다.,2000-09-22,고지련,␣,✔,∅,9702392635,QM6 이쿼녹스,✘,문말순,8,✘,접구하다
E0003,␣,충청남도 홍성군 은하면 홍남서로 961-18 (목현리),2007/1/9,직업을,✔,1,IPJXDOJ,␣,6,2012,␣,␣,음해철,31,✘,부처의,1938/3/16,␣,등골,✘,∅,9007070886,스타리아쉐보레 5 시리즈,✔,␣,6,✘,내렸다.
