image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,072,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,031,048,066,004,012,027
A0018,␣,✘,␣,✘,␣,␣,✘,␣,010 1852 9637,✘,␣,␣,␣,␣,␣,␣,양서진,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19980105,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,02,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,28,✘,␣,␣,✘,∅,✘,␣,␣,␣,양서진,␣,✘,␣,1794167977,␣,␣
A0019,␣,✘,␣,✘,␣,␣,✘,␣,010-4926-3815,✘,␣,␣,␣,␣,␣,␣,이서율,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,20020912,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,04,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,01,✘,␣,␣,✘,∅,✘,␣,␣,␣,이서율,␣,✘,␣,1893096198,␣,␣
A0020,␣,✘,␣,✘,␣,␣,✘,␣,010-7635-2981,✘,␣,␣,␣,␣,␣,␣,박서연,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19910310,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,06,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,17,✘,␣,␣,✘,∅,✘,␣,␣,␣,박서연,␣,✘,␣,1693352166,␣,␣
A0021,␣,✘,␣,✘,␣,␣,✘,␣,010-2581-9476,✘,␣,␣,␣,␣,␣,␣,최서진,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,1987.08.22,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,08,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,24,✘,␣,␣,✘,∅,✘,␣,␣,␣,최서진,␣,✘,␣,1306143123,␣,␣
A0022,␣,✘,␣,✘,␣,␣,✘,␣,010-5963-1824,✘,␣,␣,␣,␣,␣,␣,정서현,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19930607,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,10,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,10,✘,␣,␣,✘,∅,✘,␣,␣,␣,정서현,␣,✘,␣,1806459638,␣,␣
A0023,␣,✘,␣,✘,␣,␣,✘,␣,010-8241-7596,✘,␣,␣,␣,␣,␣,␣,강서율,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19901215,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,12,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,08,✘,␣,␣,✘,∅,✘,␣,␣,␣,강서율,␣,✘,␣,1284619252,␣,␣
A0024,␣,✘,␣,✘,␣,␣,✘,␣,010-3195-6482,✘,␣,␣,␣,␣,␣,␣,윤서연,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19950429,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,01,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,21,✘,␣,␣,✘,∅,✘,␣,␣,␣,윤서연,␣,✘,␣,1983058279,␣,␣
A0025,␣,✘,␣,✘,␣,␣,✘,␣,010-6824-5179,✘,␣,␣,␣,␣,␣,␣,조서진,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,19881001,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,03,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,30,✘,␣,␣,✘,∅,✘,␣,␣,␣,조서진,␣,✘,␣,1181410011,␣,␣
A0026,␣,✘,␣,✘,␣,␣,✘,␣,010-9517-2648,✘,␣,␣,␣,␣,␣,␣,배서현,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,2001.07.14,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,5,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,10,✘,␣,␣,✘,∅,✘,␣,␣,␣,배서현,␣,✘,␣,1491991684,␣,␣
A0027,␣,✘,␣,✘,␣,␣,✘,␣,010-4268-0395,✘,␣,␣,␣,␣,␣,␣,송지안,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,1997.02.28,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,7,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,26,✘,␣,␣,✘,∅,✘,␣,␣,␣,송지안,␣,✘,␣,1991486079,␣,␣
A0028,␣,✘,␣,✘,␣,␣,✘,␣,010-7956-8123,✘,␣,␣,␣,␣,␣,␣,권서율,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,1992.05.03,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,09,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,06,✘,␣,␣,✘,∅,✘,␣,␣,␣,권서율,␣,✘,␣,1708483957,␣,␣
A0029,␣,✘,␣,✘,␣,␣,✘,␣,010-1632-5874,✘,␣,␣,␣,␣,␣,␣,임서진,✘,␣,␣,␣,✘,␣,␣,␣,✘,␣,1989.11.20,␣,✘,␣,␣,␣,␣,␣,␣,✘,✘,␣,✘,11,␣,␣,✔,␣,␣,␣,2025,␣,␣,␣,✘,␣,␣,␣,␣,20,✘,␣,␣,✘,∅,✘,␣,␣,␣,임서진,␣,✘,␣,1891944738,␣,␣
C0000,최권세,✔,␣,✘,프로젝트 매니저,석유를,✔,1481985625,010-0600-6794,✔,␣,␣,11,LG CNS,유진테크,␣,␣,✘,배우자,␣,"충청북도 청주시 서원구 충렬로 48 (사직동, 조은새마을금고)",✘,위사가,␣,ABX97KO,✘,␣,␣,␣,✘,선우지묵,062-0455-7648,사랑하는,2017,␣,2022,✔,✘,29,✘,6,경상북도 의성군 봉양면 도원리 959-18,경기도 용인시 처인구 포곡읍 금어로 296-13 (금어리),✔,12,1920.7.18,경상북도 상주시 화북면 용화로 834 (장암리),␣,␣,010-1419-8133,␣,✘,강원특별자치도 속초시 청호동 1295,054-2221-5430,041-8235-8956,␣,7,✘,9816937182,1397635579,✘,∅,✘,박잎새,14개월,조모,라창래,2043.10.20,✘,5,1924383324,22,26
C0001,␣,✘,␣,✘,부장,평화스럽다.,✘,9766987025,␣,✔,전무,경상북도 상주시 함창읍 오사리 168-10,13,␣,␣,␣,선우지연,✘,␣,␣,␣,✔,변상규,회장,AIY2P2T,✔,␣,2041년 2월 26일,␣,✘,␣,032-5315-0955,돌릴,2010,5,2021,✔,✘,␣,✘,␣,␣,␣,✘,29,␣,전라남도 순천시 서면 개운길 31 (구만리),2030,010-4660-0468,␣,␣,✘,경상남도 하동군 청암면 안양로 4-12 (평촌리),051-1517-8316,055-1864-1975,␣,29,✘,9776423435,9004289795,✘,∅,✘,허마리사,␣,손자녀,신승길,␣,✔,10,1697484044,22,␣
C0002,␣,✔,063-8453-6901,✘,COO,단기대학,✘,1421545525,␣,✔,차장,␣,26,순창군청,달콤나라앨리스,␣,동도도,✔,친척,044-2578-9318,␣,✘,선우한새,␣,AZEPE5V,✔,063-1515-8054,␣,연구하는,✔,모한웅,042-9176-9301,다르듯,2013,␣,2019,✘,✔,14,✘,12,␣,전라남도 무안군 운남면 하묘리 183-1,✔,␣,␣,␣,2029,␣,␣,흥구석유,✔,␣,032-5364-9557,042-6528-0783,형제자매,␣,✘,9504384643,1121616582,✔,∅,✘,옥군호,4개월,자녀,석원이,1918-08-15,✘,␣,9664270164,19,19
C0003,옥아로미,✔,063-130-7827,✘,␣,또는,✔,9348987003,010-6096-1489,✔,차장,강원특별자치도 양양군 손양면 도화길 16-11 (도화리),19,␣,한국피혁공업협동조합,7940000,육중기,✔,친척,␣,전북특별자치도 무주군 무주읍 내도리 1655,✘,이해이,부사장,A8JR19O,✔,␣,1983년 9월 1일,두꺼운,✘,␣,␣,␣,2010,1,2013,✘,✘,18,✘,␣,충청남도 청양군 목면 안심길 36 (안심리),␣,✔,2,␣,␣,␣,010-5026-8913,010-2424-0656,에쓰오일,✘,␣,043-5697-5222,␣,모,24,✘,1377138741,1927102496,✘,∅,✘,여철영,30개월,손자녀,선솔기,1993년 6월 30일,✘,8,1325372317,␣,12
C0004,허강엽,✔,␣,✘,␣,우리나라,✘,1894678428,010-1463-8774,✔,파트장,전북특별자치도 전주시 덕진구 연화길 15 (덕진동1가),6,가이오산업,존슨콘트롤즈인터내셔널코리아,␣,문이숲,✘,␣,␣,광주광역시 북구 두암동 327-1,✘,␣,이사,AFGKZN0,✘,␣,1997/5/12,␣,✘,사공두현,055-0414-7216,␣,␣,12,2022,✘,✔,24,✘,␣,경기도 평택시 안중읍 덕우리 222-2,␣,✔,␣,2041/11/18,대구광역시 군위군 삼국유사면 가암2길 248-13 (가암리),2029,␣,010-7882-4643,한탑,✘,경기도 양주시 은현면 용암리 328-1,033-3457-4862,054-6347-1947,␣,4,✘,9538147575,1308155683,✘,∅,✘,두재황,␣,딸,␣,1979-01-12,✘,8,1077785109,␣,␣
C0005,상산들,✔,033-1332-0375,✘,대리,␣,✘,1256610043,010-6194-7737,✔,COO,␣,12,SK브로드밴드,한국어린이난치병협회,"78,190,000",한화령,✘,형제자매,041-6724-4303,경기도 부천시 원미구 상이로 51 (상동),✔,탁상순,인턴,AVATSXE,✘,␣,1920년 8월 4일,낮추어지다.,✘,␣,054-1089-5042,일.,2014,␣,␣,✘,✔,30,✘,␣,경상남도 김해시 진례면 고모로341번길 48 (담안리),␣,✘,␣,1961.01.27,경기도 여주시 상거동 140,␣,010-0824-5724,010-9004-8552,부영그룹,✘,␣,044-9635-7623,02-113-4559,형제,21,✔,9773108447,9379886076,✘,∅,✘,김윤보,␣,딸,경종호,␣,✘,1,9282690275,1,18
C0006,길선주,✔,␣,✘,CTO,␣,✔,9677999699,010-4638-8582,✘,부장,␣,␣,카카오엠,␣,"4,550,000",␣,✘,아들,031-1690-0246,"경기도 이천시 마장면 오천로 148 (오천리, 하늘)",✘,␣,팀장,ACI6KTV,✔,␣,1997/3/13,회사로부터,✔,␣,␣,보이는,2020,2,2010,✘,✘,7,✘,10,␣,␣,✘,25,2003-09-19,경상북도 영천시 신녕면 신화로 3-3 (화성리),␣,010-5506-7142,010-9889-1387,현대자동차그룹 인재개발원,✘,충청남도 예산군 예산읍 신례원로 111 (신례원리),062-6469-0303,031-5448-0333,␣,␣,✔,9140834029,9846687463,✔,∅,✘,추나진,␣,␣,␣,1974.02.17,✘,3,9409829367,␣,␣
C0007,인제강,✔,044-2546-4722,✘,전무,␣,✘,9129405852,010-1370-3880,✘,부장,부산광역시 강서구 녹산동 546-60,22,메드팩토,␣,"85,320,000",␣,✘,딸,02-182-1752,전라남도 여수시 돌산읍 강남해안로 47 (우두리),✔,호하이디,␣,AGWE3UY,✔,055-9132-5440,1940-09-01,␣,✔,권병환,␣,␣,2022,5,2027,✔,✘,28,✔,1,␣,경기도 가평군 가평읍 대곡리 399-10,✔,28,2010/1/28,␣,␣,␣,␣,우리아비바생명,✘,␣,063-5004-6385,052-1016-7151,기타,1,✘,9804904786,9517178163,✔,∅,✘,사공나딸리아,12개월,아들,편시웅,1970.05.05,✔,7,1148567651,␣,␣
C0008,␣,✘,042-2140-6570,✘,실무자,␣,✘,9684518409,010-9675-7056,✔,␣,경기도 평택시 진위면 동천리 566-3,21,SNT다이내믹스,␣,"81,260,000",␣,✔,손자,064-8205-6861,␣,✔,␣,␣,ARFIUFQ,✘,043-1554-1396,1986.8.25,지키던,✔,반루나,032-2468-1713,몹시,2023,10,␣,✘,✔,5,✘,6,␣,␣,✔,22,1974년 9월 14일,전라남도 해남군 해남읍 평동리 171-16 (제일세탁소),2030,␣,010-8262-5027,중앙건설,✔,전북특별자치도 군산시 개정면 통사리 432-1,033-1999-5402,061-7175-6421,␣,11,✔,1152789622,9189171606,✔,∅,✔,허종언,31개월,형제자매,빈희광,␣,✘,␣,1403269867,␣,␣
C0009,성보견,✔,042-8848-9444,✘,␣,␣,✘,1367643171,010-0005-5270,✘,전무,␣,␣,에스원,이브이알스튜디오,"27,410,000",␣,✔,자매,064-1768-8486,경상남도 창원시 진해구 경화동 1151-30,✘,고범렬,프로젝트 매니저,AMCLI6Y,✘,044-9264-5051,1946년 1월 10일,경주의,✘,␣,055-3774-3584,␣,2012,␣,2025,✘,✘,3,✔,8,경기도 화성시 향남읍 평리 161-1,"경기도 용인시 기흥구 구성로39번길 16 (마북동, 구성에듀빌)",✘,7,1919.1.6,충청남도 홍성군 갈산면 오두리 450-5,␣,␣,010-9506-5866,성주군청,✘,전라남도 완도군 군외면 황진리 138,063-9687-3746,␣,아들,␣,✘,1830217950,1037203579,✘,∅,✘,␣,21개월,␣,노근범,␣,✘,8,9533724354,25,13
C0010,백형빈,✔,033-9654-1646,✔,프로젝트 매니저,없으니,✘,9796779801,010-3202-6365,✘,␣,부산광역시 서구 아미로128번길 14 (아미동2가),29,코업주식회사,2030부산월드엑스포 범시민유치위원회,"79,930,000",위준재,✘,본인,053-2522-9341,"전라남도 나주시 석산길 19 (용산동, 한약숯불가든)",✔,형케네스,연구원,A8JZXW3,✔,041-5504-3016,␣,머리에,✘,␣,063-6307-4889,공기를,␣,4,2012,✘,✘,15,✘,␣,전라남도 담양군 창평면 조현길 3 (광덕리),␣,✘,␣,2021-10-12,제주특별자치도 서귀포시 토평동 1248,2011,010-4613-5449,␣,␣,✘,␣,␣,␣,친척,24,✘,9249135869,1890154444,✔,∅,✘,정태란,6개월,손자녀,␣,␣,✔,3,9749057140,21,␣
C0011,오연훈,✘,061-2178-5480,✘,연구원,것은,✘,9310544635,␣,✘,CMO,충청남도 천안시 동남구 삼룡동 226-37,27,␣,티몬,␣,서민선,✘,␣,054-2558-6744,서울특별시 구로구 구로동 138-10,✔,인용헌,선임,A9FKQBY,✔,031-4590-0562,1992.9.20,␣,✘,심현도,064-6204-5498,"싶사오나,",2013,11,␣,✔,✘,4,✔,␣,␣,전북특별자치도 전주시 덕진구 인후동1가 223-19,✔,25,1952/6/3,강원특별자치도 강릉시 경강로1804번길 103 (홍제동),2010,010-6450-1229,010-1556-9228,␣,✘,␣,␣,063-4757-3781,␣,12,✘,9753751971,9690500078,✘,∅,✔,연관식,26개월,모,봉민혜,1988/8/2,✘,2,1746885058,12,␣
C0012,선인기,✔,032-6895-8608,✔,CFO,␣,✘,1355746671,010-0397-1746,✔,전무,경기도 양평군 양동면 계정리 1544-2,15,␣,네패스,"82,220,000",우해운,✔,손자녀,044-0654-1739,␣,✘,␣,회장,AVVPHJ0,✘,␣,1935.11.22,␣,✔,␣,␣,말.,␣,12,2015,✘,✘,␣,✘,␣,경기도 안성시 양성면 덕봉리 681-6,충청남도 홍성군 홍성읍 오관리 182-3,✔,1,␣,␣,2030,010-9076-8661,010-1807-3944,모드 크리에이션 뮌헨,✘,경상북도 김천시 구성면 월계리 602,043-0662-3736,055-8094-5514,␣,18,✘,9277043410,1589701968,✔,∅,✘,천문비,24개월,␣,승류리,2006/2/19,✘,9,9707118366,2,␣
C0013,␣,✘,044-3787-6202,✘,팀장,"일본,",✔,9126314877,␣,✔,이사,␣,3,그린스토어,␣,"65,620,000",␣,✔,자녀,062-7092-1412,경상북도 경산시 원효로32길 13 (사동),✘,정채리,␣,AI73I4B,✘,␣,␣,있는,✘,국윤봄,052-5428-2636,허리,2011,5,2014,✔,✘,27,✘,␣,전라남도 신안군 안좌면 신촌리길 47-3 (신촌리),충청북도 단양군 단성면 북하리 73-8,✘,␣,␣,␣,␣,010-4771-2845,010-6428-9712,세원정공,✘,부산광역시 기장군 기장읍 내리 531-3,053-4874-2707,044-9720-5161,조모,23,✔,9793902794,1742321347,✘,∅,✔,심율호,23개월,␣,권슬범,2021.05.01,✘,4,9466661410,␣,19
C0014,염수아,✘,064-7177-7486,✘,이사,목숨을,✔,1979122854,010-1808-4788,✔,␣,충청남도 보령시 대천항1길 134 (신흑동),16,␣,남해화학,"89,340,000",제갈우심,✘,친척,042-3103-5279,전라남도 나주시 문평면 죽곡1길 92-3 (안곡리),✔,남궁별이,감사,ANFVQCT,✔,␣,1913.02.22,복독하여,✔,소호담,␣,아람치.,␣,8,2021,✘,✘,␣,✘,12,경기도 김포시 중봉로33번길 13 (감정동),경상남도 창원시 마산합포구 산호북11길 8-1 (산호동),✔,5,␣,␣,␣,010-6174-2804,010-1199-4331,동아쏘시오홀딩스,✘,경상남도 거창군 웅양면 동호리 347,061-9109-7921,032-7572-3428,모,14,✘,9774384512,1300718100,✔,∅,✘,반단야,2개월,␣,서문지하,␣,✘,␣,1717445030,6,26
C0015,장원학,✘,053-9143-2222,✘,CIO,도시를,✔,9673377758,010-6049-2026,✔,실장,␣,␣,펭귄종합식품,␣,"4,840,000",마진만,✘,손자,02-713-3195,대구광역시 군위군 소보면 도산리 1064,✘,김이정,CTO,A8JQA72,✘,041-9276-3341,␣,␣,✔,복혜수,043-0768-1450,누런색.,2024,5,␣,✘,✘,␣,✘,7,경상북도 김천시 지좌동 482-14 (파크빌라아파트),경상북도 상주시 성동로 88-6 (성동동),✔,␣,2018.10.22,␣,2017,010-3320-7530,␣,␣,✘,전라남도 화순군 백아면 송단리 157,␣,041-6574-6027,손녀,␣,✘,9191034334,9446846756,✔,∅,✘,최우남,3개월,␣,승소정,␣,✘,12,9266406773,␣,21
C0016,은강,✘,02-849-9066,✔,센터장,␣,✔,1890388685,010-3799-5971,✘,␣,경기도 포천시 화현면 명덕리 108-2,23,␣,AIA건강+암보험,"8,140,000",강범선,✘,손자,044-9374-6342,서울특별시 영등포구 영중로34길 5 (영등포동8가),✔,␣,COO,ATPKT4K,✘,061-6414-4806,␣,당고하여,✔,현해언,044-407-6166,␣,2014,5,2020,✘,✘,15,✔,12,부산광역시 강서구 녹산동 115,경기도 화성시 비봉면 남이로132번길 14-14 (남전리),✘,␣,␣,␣,2013,␣,␣,신세계그룹,✘,광주광역시 남구 수박등로 3 (월산동),053-8102-1463,␣,␣,16,✘,1715886975,9523852892,✔,∅,✘,호병모,17개월,조부,선우준영,1902-05-03,✘,2,1563195171,␣,7
