image,015,017,022,033,002,032,019,008,016,013,026,027,006,023,018,009,021,024,034,030,020,029,028,011,005,000,003,007,001,025,031,004,012,014,010
A0022,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 강남영동 지점,✔,␣,␣,␣,✘,9090188888,✘,✔,✔,✔,✔,✔,✘,✔,✘
A0023,✘,✔,✘,␣,✔,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 대치갤러리 지점,✔,␣,␣,␣,✔,101299999,✘,✘,✘,✘,✔,✘,✘,✔,✘
A0024,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✔,␣,기아자동차 도곡지점,✔,␣,␣,␣,✘,1234600000,✔,✘,✔,✘,✔,✘,✘,✔,✘
A0025,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 동산로 대리점,✔,␣,␣,␣,✘,2345711111,✘,✔,✘,✔,✔,✔,✘,✔,✘
A0026,✘,✔,✘,␣,✘,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 신사 대리점,✔,␣,␣,␣,✔,3456822222,✘,✘,✔,✘,✔,✘,✘,✔,✘
A0027,✘,✔,✘,␣,✔,∅,✘,✘,✘,✘,✘,␣,✔,␣,✘,✔,✔,✘,␣,기아자동차 발산 대리점,✔,␣,␣,␣,✘,4567933333,✔,✘,✘,✘,✔,✘,✘,✔,✘
A0028,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 토리 대리점,✔,␣,␣,␣,✘,5678044444,✘,✔,✔,✔,✔,✔,✘,✔,✘
A0029,✘,✔,✘,␣,✔,∅,✘,✔,✘,✘,✔,␣,✘,␣,✘,✔,✔,✘,␣,기아자동차 연신내 대리점,✔,␣,␣,␣,✔,6789155555,✘,✘,✘,✘,✔,✘,✘,✔,✘
D0000,✘,✔,✘,9643810301,✔,∅,✔,✘,✘,✘,✔,2015,✘,자꾸,✘,✔,✘,✘,␣,노준훈,✔,␣,␣,오늘날,✘,304-32-11842,✘,✘,✘,✔,✘,✘,✘,✘,✘
D0001,✔,✘,✘,␣,✘,∅,✔,✘,✘,✔,✘,2010,✔,만든다.,✔,✔,✘,✔,ZS72S5F,예주연,✘,4,3,사상이나,✔,␣,✘,✘,✘,✘,✔,✘,✘,✔,✔
D0002,✔,✘,✘,␣,✘,∅,✔,✘,✘,✘,✘,2001,✔,오른,✘,✘,✔,✔,ZA270CU,갈성용,✘,14,6,␣,✘,005-29-24755,✘,✘,✘,✘,✔,✘,✘,✘,✘
D0003,✘,✘,✔,1967917456,✘,∅,✔,✘,✔,✘,✔,2029,✔,␣,✘,✘,✘,✘,ZVGOMJI,변다위,✘,15,7,"포세이돈,",✘,886-33-66292,✔,✘,✔,✔,✔,✔,✘,✘,✘
D0004,✘,✔,✘,1671341248,✘,∅,✔,✘,✘,✘,✘,2030,✘,␣,✘,✘,✘,✘,ZM6AO6C,신려윤,✘,25,10,자기,✘,819-02-49775,✔,✔,✘,✘,✘,✘,✘,✘,✘
D0005,✘,✘,✔,9133484257,✘,∅,✘,✘,✘,✔,✘,2028,✘,위하여,✘,✘,✘,✘,Z76SGMA,␣,✘,1,␣,␣,✘,␣,✘,✘,✔,✘,✔,✘,✘,✘,✔
D0006,✘,✔,✘,9137054223,✘,∅,✘,✘,✘,✔,✘,␣,✘,돕는,✘,✘,✘,✘,ZW7TYUU,추한들,✔,31,6,됨.,✘,897-79-05907,✔,✔,✘,✘,✔,✘,✘,✔,✔
E0000,✘,✘,✘,␣,✘,∅,✔,✘,✘,✔,✘,2012,✘,병.,✘,✘,✔,✘,HIVQTLD,유쏘피,✘,␣,7,하는,✔,␣,✔,✘,✔,✘,✔,✔,✘,✘,✘
E0001,✘,✔,✘,␣,✘,∅,✘,✘,✘,✘,✘,2018,✘,␣,✘,✘,✘,✘,HBTMR5G,형지융,✔,6,9,웅그리어,✘,951-90-02600,✘,✔,✘,✘,✔,✘,✘,✘,✘
