image,015,017,022,033,002,041,032,040,036,043,019,008,016,026,027,006,023,038,039,018,042,009,021,024,044,037,035,034,030,020,029,028,005,000,003,007,001,025,031,004,014,010
A0019,✘,✘,✔,✔,✔,✔,✘,금강철물,␣,␣,✘,✘,✘,✘,✔,✔,✘,3,10,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✘,✔,✔,✔,✘,✘,␣
A0020,✘,✘,✘,✘,✘,✔,✔,신한에너지솔루션,␣,␣,✘,✔,✘,✔,✘,✘,✔,3,24,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
A0021,✘,✘,✘,✘,✘,✔,✔,한화물류,␣,␣,✘,✘,✘,✘,✔,✘,✘,4,3,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0022,✘,✘,✔,✔,✔,✔,✘,아성전자,␣,␣,✘,✘,✘,✘,✘,✘,✘,4,17,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0023,✘,✘,✘,✘,✘,✔,✔,동양정밀,␣,␣,✘,✘,✘,✔,✘,✘,✔,5,10,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
A0024,✘,✘,✘,✘,✘,✔,✔,우진산업,␣,␣,✘,✘,✘,✘,✔,✘,✘,05,24,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0025,✘,✘,✔,✔,✔,✔,✘,성광기계,␣,␣,✘,✘,✘,✘,✔,✘,✘,06,07,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0026,✘,✘,✘,✘,✘,✔,✔,진성테크,␣,␣,✘,✔,✘,✔,✘,✘,✔,06,21,✘,∅,✘,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,␣
A0027,✘,✘,✘,✘,✘,✔,✔,대성무역,␣,␣,✘,✘,✘,✘,✔,✘,✘,7,10,✘,∅,✘,✔,✔,␣,2025,✘,✘,✔,✘,✘,✔,␣,✔,✘,✘,✘,✘,✘,✘,✘,␣
A0028,✘,✘,✔,✔,✔,✔,✘,보람산업,␣,␣,✘,✘,✘,✘,✔,✘,✘,7,24,✘,∅,✘,✘,✘,␣,2025,✘,✘,✘,✘,✔,✘,␣,✘,✘,✔,✔,✔,✔,✘,✘,␣
A0029,✘,✘,✘,✘,✘,✔,✔,해성물산,␣,␣,✘,✘,✘,✔,✘,✘,✔,8,7,✘,∅,✔,✘,✘,␣,2025,✘,✘,✔,✘,✘,✔,␣,✘,✔,✘,✔,✘,✘,✘,✘,1
D0000,✔,✘,✘,✔,✘,✘,✘,시자우,유치한,1736586217,✘,✘,✘,✘,✔,✘,✔,7,25,✘,∅,✘,✘,✔,AAD0N1S,2008,✔,✘,✘,✔,✘,✔,수고의,✘,✔,✘,✘,✘,✘,✔,✘,10
D0001,✘,✘,✘,✘,✘,✔,✔,␣,양념한,␣,✘,✘,✔,✘,✘,✘,✘,10,6,✘,∅,✘,✘,✔,␣,␣,✔,✘,✘,✘,✘,✘,␣,✘,✔,✔,✘,✔,✘,✔,✔,27
D0002,✘,✘,✘,✘,✘,✘,✘,천경자,"전화,",9551976229,✔,✔,✘,✘,✔,✔,✘,12,26,✘,∅,✘,✘,✘,AVE478Z,2035,✔,✘,✔,✘,✔,✘,일.,✔,✘,✘,✔,✘,✘,✘,✘,32
D0003,✘,✘,✔,✔,✘,✘,✘,부승유,숨음.,␣,✔,✔,✔,✔,✔,✔,✘,␣,13,✘,∅,✘,✔,✘,AICORMA,␣,✘,✔,✘,✘,✘,✘,애벌레.,✘,✔,✘,✔,✔,✘,✘,✔,30
D0004,✘,✔,✘,✘,✔,✔,✘,온관용,경연감,␣,✘,✘,✔,✔,✘,✔,✘,10,28,✘,∅,✘,✘,✘,AZDIJ3W,␣,✘,✘,✔,✘,✔,✘,봄.,✘,✘,✘,✘,✘,✘,✘,✔,1
D0005,✔,✘,✘,✘,✔,✔,✔,␣,있던,9243851279,✘,✘,✘,✘,✘,✘,✘,4,␣,✘,∅,✔,✔,✔,␣,␣,✔,✘,✘,✘,✘,✔,보인다.,✘,✘,✘,✘,✘,✔,✘,✘,2
D0006,✘,✘,✘,✔,✘,✔,✘,손조단,꼬깃꼬깃.,1469821829,✘,✘,✘,✔,✘,✘,✔,␣,␣,✔,∅,✔,✘,✘,␣,2023,✔,✘,✘,✘,✔,✘,␣,✔,✔,✔,✘,✘,✘,✘,✔,␣
D0007,✔,✔,✔,✔,✘,✔,✘,␣,거리를,␣,✔,✘,✘,✘,✘,✘,✔,␣,8,✘,∅,✘,✘,✘,AZBVU7W,2014,✘,✘,✘,✘,✘,✘,것이다.,✘,✘,✘,✔,✔,✘,✘,✘,␣
E0000,✔,✘,✘,✘,✘,✔,✘,한준모,␣,9397610467,✘,✘,✘,✔,✘,✘,✘,␣,␣,✔,∅,✘,✔,✘,HFSZMW0,2017,✘,✘,✘,✘,✘,✘,␣,✘,✔,✘,✘,✘,✘,✘,✘,18
E0001,✔,✘,✘,✘,✔,✘,✘,하리나리,␣,␣,✘,✘,✘,✘,✔,✔,✘,2,17,✔,∅,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✘,␣,✘,✘,✔,✘,✔,✘,✔,✘,10
E0002,✔,✘,✘,✘,✘,✘,✘,은의채,␣,9547693584,✘,✘,✘,✘,✔,✔,✔,10,11,✘,∅,✘,✔,✔,HNGVQG5,2017,✘,✘,✘,✔,✘,✘,상혈이,✘,✘,✔,✘,✘,✘,✘,✔,␣
