image,015,017,022,033,051,002,041,056,040,050,036,043,019,008,052,016,013,026,027,055,006,023,038,039,018,042,009,024,037,035,049,034,053,054,030,020,029,028,005,000,003,007,001,025,031,047,048,004,012,014,010
C0010,✔,✔,중국공상은행,✘,✘,BYEON HYESUN,1903-04-06,Z6TR8ZQ,센,✔,✘,␣,␣,␣,✘,✔,pe7bdwsibdz,✘,✔,9649867690,1983.1.17,286-178498-84,✘,␣,␣,␣,␣,✘,✔,✔,✘,✔,✔,ANCA01,✔,✘,✘,✔,빼었으나,1208534537,2024.06.18,␣,␣,✔,25,강원특별자치도 정선군 임계면 송계10길 39-8 (송계리),✘,89-12-947426-40,✘,␣,␣
C0011,✔,✘,광주은행,✘,✘,JEON GYO-UN,2020/5/4,Z3SLW95,헝겊에,✘,✔,심신 장애인 거주 복지시설 운영업,bigpond.com,남자,✔,✔,␣,✘,✘,9990222136,␣,058-113-866533,✘,대해,r48bo96,153-96-81061,경기도 수원시 팔달구 수성로157번길 57-4 (화서동),✔,✘,✘,✘,✔,✘,ANCA01,✘,✘,✔,✔,넓적하고,1553619827,1946.01.21,슬로베니아,␣,✘,␣,"광주광역시 남구 신양촌길 3 (양촌동, 양촌경로당)",✔,42-96-868734-95,✘,lsu.edu,010-2034-1901
C0012,✘,✘,␣,✘,✘,␣,2047/11/9,ZGVGQMJ,높이고,✔,✘,기타 개인 및 가정용품 임대업,␣,여자,✘,✘,vyf9n68i-xl4,✔,✘,9271086767,2010.9.10,␣,✘,␣,vqxyjfoy0-,055-7952-3594,경상남도 하동군 악양면 외둔길 21-1 (평사리),✘,✔,✘,✔,✘,✘,ANCA01,✔,✘,✔,✔,␣,9046367042,2039/11/6,튀르키예,␣,✘,␣,전라남도 영암군 시종면 본촌길 23-9 (금지리),✘,84-66-221479-36,✘,live.com,␣
C0013,✘,✘,한국은행,✘,✘,I SOHONG,1926년 7월 18일,ZLUKLCG,␣,✘,✔,고용 알선업,fmail.com,남자,✘,✘,cv_wxs0oba-z,✔,✘,9060681895,1983.8.16,675-700463-34,✘,조칙을,qu33.wdh87m5o,846-98-28181,서울특별시 양천구 목동중앙남로16다길 8 (목동),✘,✘,✘,✘,✔,✔,ANCA01,✔,✔,✘,✘,명주지누아리,1408049935,2002년 10월 5일,␣,황보현숙,✘,22,경기도 고양시 일산동구 지영동 232-3,✘,16-43-675305-42,✘,␣,␣
C0014,✘,✘,도이체방크,✘,✘,␣,267-15-58920,ZA5CYCB,␣,✔,✔,␣,lycos.co.kr,여자,✔,✔,s4.0m8k,✔,✔,1225729663,␣,721-66989535-46,✘,득병,mjrhhb.g,267-15-58920,"경기도 동두천시 삼육사로659번길 153 (상패동, 반야사)",✘,✘,✘,✘,✘,✘,ANCA01,✔,✔,✔,✘,␣,1511098289,2007년 11월 26일,말레이시아,␣,✔,25,경기도 시흥시 방산동 787-3 (GS새웅주유소),✘,40-51-321286-53,✘,␣,010-2342-3743
C0015,✘,✘,␣,✔,✘,␣,1997년 1월 8일,ZX1O4AK,␣,✘,✘,␣,blueyonder.co.uk,여자,✘,✔,rg67arrct,✘,✔,1149370646,1962년 9월 7일,740-753-692691,✔,한,femko_b,␣,␣,✘,✘,✘,✔,✘,✘,ANCA01,✘,✘,✘,✘,␣,1462853104,2021.8.4,␣,우새론,✘,␣,␣,✘,␣,✘,japanmail.com,010-6158-3695
C0016,✘,✘,카카오뱅크,✘,✘,␣,1922.5.5,ZSAJDSE,발해의,✘,✘,벌목업,service.io,남자,✔,✘,fl26pud,✘,✔,1655901957,␣,␣,✘,마운령의,jc8s1cmkm,988-57-63902,충청남도 보령시 청라면 위익랑2길 50 (나원리),✘,✘,✘,✘,✘,✘,ANCA01,✔,✔,✘,✔,"돛단배로,",9533237149,␣,인도,␣,✔,␣,대구광역시 북구 대현동 236-13,✘,␣,✔,␣,010-0443-7904
C0017,✘,✘,광주은행,✘,✔,␣,2023-04-05,Z84FWLR,"것으로,",✘,✔,␣,iit.edu,여자,✔,✘,␣,✔,✘,9900159291,1908-06-21,105-100-804949,✘,가랑이(가),q4hk8fpba,␣,전라남도 장성군 황룡면 아곡리 88-5,✘,✔,✔,✔,✘,✔,ANCA01,✘,✘,✔,✘,␣,1524178039,␣,␣,인택한,✔,6,대전광역시 대덕구 비래동로7번길 24 (비래동),✘,␣,✘,␣,␣
C0018,✘,✘,뱅크오브아메리카,✘,✘,DAN BO-A,964-72-90582,Z6WS7TA,엷은,✘,✘,␣,ole.com,남자,✔,✘,␣,✘,✘,9694621880,␣,448-64112229-39,✔,분량,lacy7eg2,␣,서울특별시 중구 동호로17길 235 (신당동),✘,✔,✘,✔,✘,✘,ANCA01,✔,✘,✘,✘,␣,9885261176,1902.6.30,영국,구맹,✘,8,경상남도 양산시 하북면 충렬로 1464 (삼수리),✘,13-06-351791-74,✘,fantasymail.com,010-6326-8071
C0019,✘,✘,␣,✔,✔,AN CHANGYEOL,1955년 6월 7일,ZZFRW7U,철분이,✘,✘,운송장비용 연료 소매업,␣,␣,✘,✘,␣,✔,✔,9272183240,2030-06-11,␣,✘,이르는,e4q-r-cnw4h1e,014-26-51476,경상북도 구미시 인동39길 22-15 (구평동),✔,✘,✘,✘,✘,✔,ANCA01,✔,✘,✘,✘,않습니까?,1127375101,␣,동티모르,␣,✘,7,␣,✘,␣,✘,pm.me,010-1944-0929
C0020,✘,✘,미쓰비시UFJ은행,✔,✔,SA GONGNENE,␣,ZTDQMM3,선조,✘,✔,일반 및 생활 숙박시설 운영업,␣,남자,✔,✔,lmo_pe4,✘,✘,1104385396,1928.02.03,351666-73-101994,✘,가지,a9uxl4nn,␣,␣,✘,✘,✘,✔,✘,✘,ANCA01,✔,✘,✔,✔,"서북부,",1112525282,␣,␣,구진솔,✘,6,경상북도 성주군 선남면 선원3길 19 (선원리),✘,␣,✘,pmail.com,010-2160-6395
C0021,✘,✘,한국씨티은행,✔,✘,BAE CHANI,1943.11.22,Z4YGZS4,엿장수,✘,✘,␣,exe.com,남자,✔,✘,o0g8uwi,✔,✘,9985528318,␣,␣,✘,저리고,␣,570-00-02069,경기도 평택시 팽성읍 두리2길 7-16 (두리),✘,✘,✘,✘,✘,✔,ANCA01,✔,✘,✘,✘,␣,1186692350,1963/6/29,␣,도애준,✔,10,␣,✘,09-84-130840-47,✔,␣,␣
D0000,✘,✘,␣,✔,✔,DAN SAESBYEOL,␣,SEUJ0HE,손아래의,✔,✘,"면류, 마카로니 및 유사 식품 제조업",␣,␣,✘,✔,␣,✔,✔,␣,2046.12.31,␣,✔,␣,␣,167-10-75636,전라남도 해남군 옥천면 화당길 47-1 (팔산리),✔,✔,✔,✘,✘,✘,ANCA01,✘,✔,✘,✘,맡아지거나,␣,2016.07.10,벨라루스,␣,✘,␣,␣,✔,05-85-805251-86,✔,iit.edu,010-3743-6036
D0001,✔,✘,BNP파리바,✘,✘,IN YEONG-YUN,1940년 10월 19일,S9ZGGOS,␣,✘,✔,조미료 및 식품 첨가물 제조업,ncsu.edu,여자,✘,✘,␣,✘,✘,9708331973,2033년 8월 4일,␣,✔,␣,eszig961w5,␣,경상북도 성주군 선남면 도성리 602-2,✔,✔,✔,✘,✘,✔,ANCA01,✘,✘,✘,✘,가시집,9735755253,␣,팔레스타인,안선표,✘,␣,␣,✘,55-77-844630-62,✘,luther.edu,010-1856-5972
D0002,✘,✘,중국교통은행,✘,✘,␣,1983.8.24,␣,암조,✘,✔,"소독, 구충 및 방제 서비스업",mac.com,␣,✔,✘,psbk0wycaykl7,✘,✘,␣,1929.10.18,9538-66-048693,✔,임금에게,oe_21rlf,334-14-09192,부산광역시 사하구 다대동 85-12,✘,✘,✘,✔,✘,✘,ANCA01,✘,✘,✘,✘,사랑.,1963076055,1990년 10월 14일,스리랑카,␣,✘,␣,␣,✔,␣,✘,ou.edu,010-0324-8693
D0003,✘,✘,토스뱅크,✘,✘,␣,2017년 5월 31일,␣,하수라,✔,✔,산업용 로봇 제조업,␣,여자,✘,✘,z2iucbit5_ub4,✘,✔,9844216037,␣,839-043769-091,✔,␣,yc47xciqt,␣,경상북도 경산시 와촌면 음양2길 73 (강학리),✘,✔,✘,✔,✘,✔,ANCA01,✘,✘,✘,✘,말기조선,␣,␣,␣,␣,✘,9,대전광역시 중구 대전천서로 357 (문창동),✘,96-57-404999-65,✘,␣,010-2340-1549
D0004,✘,✔,중국은행,✘,✘,␣,1910.2.5,SMBH4C7,빛깔과,✔,✘,"지정 폐기물 수집, 운반업",pacbell.net,남자,✘,✘,␣,✔,✘,1217353472,1914.06.08,661-132783-083,✔,악조02,␣,␣,␣,✘,✘,✔,✘,✔,✘,ANCA01,✔,✘,✔,✘,집계에서,9777039438,␣,팔레스타인,서문송라,✘,␣,전북특별자치도 부안군 변산면 지동길 28 (지서리),✘,28-83-078060-10,✘,buffalo.edu,010-6843-8666
D0005,✘,✘,␣,✘,✘,CHU HAN-EUL,1912.2.4,␣,그는,✔,✘,신탁업 및 집합 투자업,␣,여자,✘,✘,␣,✔,✘,␣,1918년 8월 12일,␣,✘,장자색,l6vdxoeovk8z,␣,␣,✘,✘,✔,✘,✘,✔,ANCA01,✘,✘,✘,✘,영과로,1245722072,1982.2.7,그리스,모규도,✘,10,"전북특별자치도 정읍시 신태인읍 신태인중앙로 4-1 (신태인리, 쌍방울영빈프라자)",✘,␣,✘,chungnam.ac.kr,␣
D0006,✘,✘,부산은행,✔,✘,AN HYEON-WON,1936.03.08,␣,또는,✘,✘,␣,netsgo.com,여자,✘,✘,d7n8nik06vjgy,✘,✘,9165390496,2040.5.13,5178-53-106677,✘,␣,␣,032-0162-4404,␣,✔,✘,✔,✘,✘,✘,ANCA01,✘,✔,✔,✔,␣,9995092780,␣,투르크메니스탄,박우태,✘,5,전북특별자치도 부안군 주산면 종유로 235-22 (사산리),✘,73-92-457114-88,✘,␣,␣
D0007,✔,✘,소시에테제네랄,✔,✘,SEON ULAG-YUN,1929-12-18,␣,사랑의,✘,✘,␣,hotmail.com,␣,✘,✘,␣,✘,✘,␣,␣,␣,✔,같은,elzpz7x,421-52-74588,경상북도 포항시 북구 죽장면 월평리 335,✘,✔,✘,✘,✘,✔,ANCA01,✔,✔,✔,✘,␣,␣,␣,홍콩,음금하,✘,22,경기도 동두천시 이담로163번길 17-43 (지행동),✘,44-44-181535-24,✘,␣,010-7787-5438
D0008,✘,✘,␣,✘,✘,YEON NALAE,2007/10/20,SI7HTD9,어근.,✘,✘,기타 보건업,iit.edu,␣,✘,✘,io9-gb1l,✔,✔,1781945960,2037.9.3,376436-78-132617,✔,등지에서,owum4y45,␣,부산광역시 중구 대청동4가 65-17,✔,✔,✘,✘,✘,✘,ANCA01,✘,✔,✘,✘,가마무트름하,1593445949,2029.11.01,프랑스,␣,✘,25,대전광역시 서구 계룡로500번길 60 (갈마동),✘,22-10-984044-61,✘,oakland.edu,␣
D0009,✔,✘,␣,✘,✘,␣,␣,SPCHI9A,미리,✘,✔,마그네틱 및 광학 매체 제조업,gbridge.org,␣,✘,✘,er3ctod.02fi,✘,✔,1449225979,1996/4/3,780725-70-674640,✔,␣,␣,960-74-60350,경기도 가평군 북면 손일로 76-6 (소법리),✘,✘,✔,✘,✔,✔,ANCA01,✘,✘,✘,✘,면적은,1443427646,1937.4.11,␣,왕한용,✘,1,경상북도 구미시 옥성면 주아4길 150 (주아리),✘,64-46-407927-87,✘,␣,010-5924-1318
D0010,✘,✘,신한은행,✔,✘,␣,␣,␣,설정한,✔,✘,화학용 및 비료 원료용 광물 광업,␣,여자,✘,✔,pam16in_hghdp,✔,✘,9283189670,1959-10-01,410-11326337-71,✘,␣,xu52plpg31w,903-72-82990,경상남도 거제시 거제면 외간리 492-3,✔,✘,✘,✘,✘,✘,ANCA01,✔,✘,✘,✘,있게,1333240490,1961년 4월 20일,미얀마,␣,✘,25,경기도 평택시 서정동 20-7 (대영리츠빌),✘,␣,✘,istanbul.edu,010-7522-9482
D0011,✘,✘,JP모건체이스,✘,✔,SEON USANG-YEOB,1921.8.10,S8XAZB7,몰래,✘,✘,철 광업,phmail.com,남자,✔,✘,␣,✔,✘,9073409947,␣,␣,✔,␣,mx8qxbtdb7,␣,␣,✘,✔,✘,✘,✘,✔,ANCA01,✔,✔,✘,✘,␣,1637955350,2017년 1월 28일,␣,두낙현,✘,2,경상북도 예천군 호명읍 직산리 1012-1,✘,01-43-624278-80,✘,␣,010-7702-6799
D0012,✘,✔,␣,✘,✘,CHEON CHANGHWAN,1919년 3월 27일,SCIFOMN,후에,✔,✘,␣,asia.com,여자,✘,✔,vpk5y6ezwg,✔,✘,9313093662,1951년 1월 25일,774-152571-19,✔,␣,t6my61qy,035-64-97995,충청남도 당진시 대호만로 35-20 (채운동),✘,✘,✘,✘,✘,✘,ANCA01,✔,✘,✔,✘,␣,1651269909,␣,␣,남현길,✔,␣,경상북도 경주시 안강읍 옥산리 9-4,✔,␣,✘,yahoo.com,010-4711-7584
D0013,✘,✘,우리은행,✔,✔,YEON HONGLIN,1924년 8월 22일,␣,␣,✘,✔,␣,nju.edu.cn,남자,✘,✘,sn2v8ta,✘,✘,␣,2013-05-02,294-24025606-76,✘,나온,␣,600-53-95970,전북특별자치도 남원시 아영면 청계리 63,✘,✘,✘,✔,✔,✘,ANCA01,✘,✔,✔,✘,씹어,␣,1985/4/15,␣,진제정,✘,25,충청북도 청주시 서원구 수곡동 72-33,✘,␣,✔,istanbul.edu,010-3491-0524
E0000,✘,✘,광주은행,✘,✘,GWON MALSUN,1961-01-25,ENBA0YD,몸의,✘,✘,기억 장치 및 주변 기기 제조업,jredmail.com,남자,✘,✘,te1th.1au,✘,✘,␣,1963/2/23,670-896988-35826,✔,투표를,ltv1kwq7,004-76-59669,경상남도 하동군 옥종면 궁항리 239,✘,✔,✘,✘,✘,✔,ANCA01,✔,✘,✔,✘,␣,␣,2007/10/3,쿠바,␣,✘,␣,␣,✘,82-65-855012-23,✔,␣,010-0661-8570
E0001,✔,✘,한국산업은행,✔,✘,BIN HYEONGDO,␣,␣,차례에서,✘,✘,␣,gmail.com,␣,✘,✘,␣,✔,✔,9539380742,␣,626-574385-21093,✘,␣,p-zr61inqqh9q,510-55-09387,"대전광역시 대덕구 신일서로125번길 90 (신일동, (주)동양산기)",✘,✘,✘,✘,✘,✔,ANCA01,✘,✘,✔,✔,표지에,1830458149,␣,팔레스타인,␣,✘,␣,강원특별자치도 동해시 발한동 99-4,✘,07-74-416807-56,✘,mayo.edu,␣
E0002,✘,✔,미즈호은행,✔,✘,TAG SEUNGLI,1960.9.20,EPMQX2D,분야의,✘,✘,␣,␣,␣,✔,✘,va9xydhzpw,✔,✘,␣,1916/2/23,479-967-802545,✔,이후에는,␣,512-88-54881,경기도 평택시 포승읍 원원정길 11-11 (원정리),✔,✔,✘,✘,✘,✔,ANCA01,✘,✘,✔,✘,␣,1207348234,␣,슬로베니아,육송자,✘,␣,␣,✔,19-10-490218-81,✘,fantasymail.com,010-1731-7292
F0000,✘,✘,카카오뱅크,✔,✘,SEO MUNSOLHWA,1953/4/2,␣,섞어서,✘,✘,보험 및 연금관련 서비스업,␣,남자,✘,✔,vijhucym,✘,✔,9681912073,1916/9/7,792-75923257-22,✘,씹히는,␣,249-64-08996,␣,✔,✘,✔,✘,✘,✔,ANCA01,✘,✔,✘,✔,큰,9931168070,2014/2/6,␣,␣,✔,␣,경상북도 포항시 북구 송라면 중산리 353-2,✔,␣,✘,hqmail.com,010-6519-6611
