image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,101,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
C0010,✘,✔,✘,수협은행,✘,812-99-96449,␣,hyq-rfhj,✘,27,✔,✘,051-797-0977,✔,✔,␣,✔,9899484685,mu190hyv42,✘,␣,␣,ISE8PFO,✔,✘,✔,✔,✘,␣,주르르.,말.,✔,␣,␣,1920.01.09,경기도 안성시 삼죽면 내강리 266-3,gongbeob-ui,✘,✘,경상북도 청도군 금천면 갈마리길 40-3 (갈지리),✘,␣,HONG JIGMI,심판.,␣,3,스페인,CEO,ANCA01,✘,투르크메니스탄,좌서규,음록원,␣,여자,✘,✘,손자,✔,␣,류의송,✘,✘,✘,✔,✘,✘,✘,✘,✘,✔,피영목,토스뱅크,✘,is7x4t9ndffu,✘,␣,2011,✔,␣,✔,␣,␣,✘,MAENG HANJUNG,✘,✘,1900.6.27,2024,061-9811-5633,프로듀서오빠,✔,␣,✘,2014년 7월 28일,✘,전북특별자치도 익산시 부송동 122-53,␣,이르는,✘
C0011,✔,✘,✔,JP모건체이스,✔,706-65-99949,cityu.edu.hk,wm9up4k381go3,✘,␣,✔,✘,064-3240-3338,✘,✘,␣,✘,9222105983,␣,✘,334-672551-01,␣,I021XRX,✔,✘,✘,✘,✘,탁클로이지아,용어.,개가,✘,"의약품, 의료용품 및 화장품 도매업",␣,1901년 5월 6일,충청남도 금산군 진산면 읍내리 754 (호반사슴목장),pyeonglon,✘,✘,서울특별시 성북구 성북로23마길 4-1 (성북동),✘,fun.com,SA GONGSA-YE,저작가.,671457-94-193632,7,␣,이사,ANCA01,✘,알바니아,␣,곽준건,1946.08.22,␣,✘,✘,형제,✘,␣,당현후,✘,✔,✘,✔,✘,✔,✔,✘,✘,✘,승동령,␣,✔,␣,✘,많겠다,␣,✔,␣,✘,␣,2,✘,GUG SEOBGYU,✔,✔,␣,2027,044-6187-1127,맥쿼리한국인프라투융자회사,✘,010-8466-2406,✘,␣,✘,전북특별자치도 군산시 산북동 3603-16,␣,한,✘
C0012,✘,✔,✔,␣,✘,␣,␣,␣,✔,21,✔,✘,052-8125-1109,✘,✔,전북특별자치도 김제시 금구면 하신길 40-20 (하신리),✘,1527467871,e9f4w27736b28,✘,␣,동지,I9SZB3W,✘,✔,✘,✘,✘,노해겸,␣,␣,✔,␣,서하성,1903.6.19,␣,choechin,✘,✘,부산광역시 남구 수영로39번가길 42-18 (문현동),✘,kw.ac.kr,PYEON EUNLI,광둥,670-273605-00,4,에콰도르,선임,ANCA01,✔,볼리비아,␣,우문섭,1925.03.06,여자,✔,✔,␣,✘,␣,␣,✘,✔,✘,✔,✘,✔,✔,✘,✔,✘,감하언,␣,✘,pi6d7f1o0bv0,✘,␣,␣,✔,␣,✘,10,5,✘,CHEON ELINA,✔,✔,␣,2018,␣,선문대학교,✘,010-8520-1101,✔,␣,✔,␣,␣,관장하였다.,✘
C0013,✔,✘,✘,수협은행,✘,939-79-88199,nctu.edu.tw,dfm76hy1f6v5,✘,27,✔,✘,054-5171-6243,✘,✘,강원특별자치도 강릉시 사천면 순포안길 42 (산대월리),✔,9193128248,␣,✘,446-648-912753,결정.,IWLL0ZH,✘,✘,✘,✔,✔,범주찬,␣,맡기면,✔,비철금속 주조업,노인서,1914-01-28,경상북도 문경시 문경읍 청운로 13-12 (상리),␣,✘,✔,␣,✘,ewha.ac.kr,GANG YEONGNAN,짤강하여,623-438148-800,8,␣,파트장,ANCA01,✘,␣,두지명,엄선녀,␣,여자,✘,✘,자매,✘,␣,제윤현,✘,✔,✔,✘,✘,✔,✘,✘,✘,✔,명형규,하나은행,✘,emzlxb2c,✘,벗겨진다.,2011,✘,4,✔,5,8,✘,␣,✘,✘,2023-05-03,2029,042-5331-2215,MH에탄올,✘,␣,✘,1984.12.10,✔,전라남도 나주시 노안면 금동리 541,␣,␣,✘
C0014,✘,✘,✘,수협은행,✘,746-11-02661,kent.edu,␣,✘,28,✔,✘,043-508-5448,✘,✘,␣,✘,9300419383,␣,✔,088-350028-16709,의하지,I6GA18V,✘,✘,✘,✘,✘,␣,무지하고,어근.,✘,주점업,␣,1944/11/4,대구광역시 서구 국채보상로52길 27-8 (평리동),junggug-ui,✘,✔,␣,✔,fmail.com,YEO ANBI,해양,␣,5,라오스,이사,ANCA01,✘,␣,␣,␣,1936/7/29,남자,✔,✔,␣,✘,hanmir.com,지설예,✔,✘,✘,✔,✔,✔,✘,✘,✘,✘,엄건구,케이뱅크,✘,vlum0d.1,✘,␣,2011,✘,19,✔,23,12,✘,␣,✘,✘,1919-08-26,2025,␣,KT,✘,010-7929-7390,✘,␣,✘,경기도 부천시 소사구 경인로497번길 14 (괴안동),␣,저세상에서는,✔
C0015,✔,✔,✘,␣,✘,220-03-82340,␣,gdhv9oy5.-3-y,✘,16,✘,✘,␣,✔,✘,전라남도 해남군 계곡면 여수리 436,✘,9563247234,ezcf.pcp,✘,134-476214-183,연구하는,ITBU5SZ,✘,✔,✘,✘,✘,한새람,한글,␣,✘,경비 및 경호 서비스업,시로니,2005-06-25,␣,"bo-imyeo,",✘,✔,␣,✔,␣,GIL HEONJUN,␣,525157-88-609332,9,␣,␣,ANCA01,✘,␣,안일연,␣,1966.4.5,여자,✔,✔,형제자매,✔,␣,은원탁,✔,✘,✔,✘,✘,✔,✘,✘,✘,✘,조명종,한국산업은행,✘,␣,✘,␣,2025,✔,20,✘,6,␣,✘,JE GALBI-O,✘,✘,2012년 6월 12일,2025,␣,오성첨단소재,✘,␣,✘,2031-07-23,✔,␣,␣,바라져,✘
C0016,✔,✘,✘,␣,✔,974-95-08027,estu.edu,q884tllve2zw,✔,5,✔,✔,043-1834-6515,✔,✔,전라남도 여수시 화산로 4 (화장동),✔,9332692006,lp0w9x5-nv,✘,105-54768159-31,의하여,I0UH61K,✔,✘,✘,✘,✘,문라임,용어.,오른쪽에,✔,자동차 수리 및 세차업,형영지,1922/6/5,␣,␣,✘,✘,␣,✘,gawab.com,IN SYU-A,부질없는,␣,11,␣,CEO,ANCA01,✘,크로아티아,␣,원윤권,1986.12.9,여자,✘,✘,␣,✔,␣,복현광,✔,✘,✘,✔,✔,✘,✘,✘,✔,✘,맹아솜,␣,✘,i3v2lokx7iw,✘,의식이,2012,✘,31,✔,␣,5,✘,␣,✔,✘,1984년 6월 21일,2029,033-9482-6090,삼화고속,✘,010-9823-9625,✘,2022.10.12,✘,␣,␣,␣,✘
C0017,✘,✔,✘,한국산업은행,✔,860-17-91599,␣,jmv-4nrle,✘,14,✔,✘,033-8048-6976,✘,✘,대구광역시 남구 명덕로18길 8-25 (대명동),✘,1387291404,gvizk4gqu,✘,9649-53-078949,머리,I4G8XV5,✔,✘,✔,✔,✘,부옥순,␣,␣,✔,사진 촬영 및 처리업,박한봄,2019년 11월 12일,서울특별시 강동구 천호동 74-9,banggong,✘,✘,전라남도 장흥군 안양면 수양리 358,✘,iemail.com,SON IMAN,서고,191-366725-69,9,대한민국,전임,ANCA01,✘,미얀마,조진실,␣,1963/5/12,여자,✔,✘,␣,✘,cityu.edu.hk,감명도,✔,✔,✘,✔,✘,✘,✔,✘,✔,✘,범마리,HSBC,✔,ncb7p9dj,✘,바깥으로,␣,✘,␣,✘,22,5,✔,␣,✘,✘,2044.12.23,2030,032-9330-2665,␣,✔,010-0255-4117,✘,1970년 3월 30일,✔,전북특별자치도 정읍시 덕천면 신월송산길 13-5 (신월리),␣,물,✘
C0018,✘,✘,✘,대구은행,✘,559-90-58011,biz.net,s5z38c_of,✔,11,✘,✘,␣,✘,✔,서울특별시 도봉구 도봉동 602-38,✘,9731175906,␣,✘,333-264357-503,␣,I8CKFAJ,✘,✘,✘,✘,✘,설산성,분량.,␣,✘,␣,␣,␣,대구광역시 수성구 청솔로12길 20 (황금동),␣,✘,✘,서울특별시 광진구 자양동 669-11,✘,␣,BAE SEOGCHEON,␣,649-26107160-04,␣,␣,CFO,ANCA01,✔,아프가니스탄,␣,␣,1956-12-06,␣,✔,✘,␣,✘,␣,형솔은,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,사문현,한국씨티은행,✘,u49881m,✘,236803,2030,✘,21,✘,4,␣,✘,DU A-YEONG,✘,✔,1952/3/20,2016,␣,HARIBO Asia Pacific Pte Ltd (Singapore),✔,010-4017-2066,✘,␣,✔,"전북특별자치도 장수군 장수읍 논개로 390-50 (노곡리, 미약수농원)",␣,친절한,✘
C0019,✘,✔,✘,한국수출입은행,✘,␣,mail.ru,␣,✘,1,✔,✘,061-4079-3555,✘,✔,울산광역시 울주군 청량읍 용암리 837,✔,1216367820,w0hbqy4is,✘,158-917-793309,␣,IUE5RDK,✔,✘,✘,✔,✘,명세임,널리,극미02,✔,여신 금융업,손혜향,␣,경상북도 의성군 단밀면 생송리 67-1,soli.,✘,✘,울산광역시 울주군 청량읍 동천리 432-1,✘,gbridge.org,CHA CHANSEONG,␣,495-22859849-46,4,캐나다,부사장,ANCA01,✘,인도네시아,␣,인한승,2035.08.26,␣,✘,✘,손자녀,✔,␣,천병창,✘,✘,✔,✘,✘,✘,✘,✘,✘,✘,␣,케이뱅크,✘,z8j47-snp,✘,␣,␣,✘,␣,✘,5,2,✔,YE SONGHYO,✔,✘,1979/4/27,␣,␣,␣,✔,␣,✘,1905/4/19,✘,␣,␣,조용하고,✔
C0020,✔,✘,✘,␣,✘,369-45-93359,␣,fm.k39niv,✘,10,✔,✘,␣,✘,✘,␣,✘,9784144928,mw3-3haub2qjk,✔,014-968230-851,아낙들이,ICXZOIQ,✘,✘,✔,✘,✔,엄대이,쓰는,␣,✔,"지정 외 폐기물 수집, 운반업",임윤걸,1912.03.13,충청남도 아산시 송악면 거산리 387-10,␣,✔,✔,대구광역시 동구 검사동 907-5,✘,paran.com,EUM IJE,␣,␣,␣,영국,CTO,ANCA01,✘,라오스,␣,공여휘,␣,남자,✘,✘,기타,✘,jredmail.com,␣,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,정헤더,␣,✔,waqnbco-,✘,개항장과,2015,✘,13,✘,30,11,✔,␣,✘,✘,1950/1/5,2012,␣,에이스테크,✘,010-2442-2269,✘,2006.5.16,✔,전북특별자치도 장수군 장수읍 남동샛길 14-5 (장수리),␣,맞서,✔
C0021,✘,✘,✘,DBS은행,✔,754-22-45966,london.com,roat1r8o8ly,✘,28,✘,✘,064-9308-7357,✘,✘,␣,✘,1293074911,ink8a6.qer,✘,674-806728-618,세월,ITTG2LV,✘,✘,✘,✘,✘,소우이,있음을,혼면과,✘,"비철금속 압연, 압출 및 연신제품 제조업",음비원,2027.01.05,부산광역시 남구 대연동 1480-34 (명성빌라),jaju,✘,✔,인천광역시 계양구 작전동 738-3,✘,␣,PAENG USEOB,군사,207-642609-445,1,␣,감사,ANCA01,✘,네팔,␣,동한샘,1913.08.19,여자,✘,✘,친척,✔,me.com,황안이,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,피섭규,대구은행,✘,i5kya8gp0.zcy,✘,어떠하신지요,2018,✘,16,✘,9,11,✘,YU DUHAN,✘,✘,1996년 5월 29일,2024,062-0476-5016,게임파크,✔,010-9628-1595,✘,2044/2/19,✔,␣,␣,염기로,✘
C0022,✘,✘,✘,수협은행,✘,␣,␣,c6dgr1lib,✔,␣,✔,✔,033-4908-1554,✘,✘,충청남도 예산군 오가면 원평리 298-8,✘,1498256571,y2-96of,✔,9608-38-310578,␣,IN5FOXQ,✘,✘,✔,✘,✘,사공원열,받으려고,온,✘,기타 전문 서비스업,지미가,1940.10.15,광주광역시 동구 구성로 258 (계림동),jimiljigsa,✔,✔,␣,✘,dartmouth.edu,␣,선조,785-256721-69,7,␣,␣,ANCA01,✔,온두라스,편향실,문조운,2041/10/25,남자,✘,✔,배우자,✘,freechal.com,편혜석,✔,✔,✔,✘,✘,✘,✔,✘,✘,✘,진원형,카카오뱅크,✘,sgo53c3_p4,✘,␣,2020,✘,25,✘,␣,6,✔,DU TA-ILLEO,✘,✘,1936-12-02,2015,␣,디어유,✘,␣,✔,1946/3/16,✘,경상남도 창원시 진해구 중원서로 26-8 (태평동),␣,하다,✘
C0023,✔,✔,✘,␣,✘,316-67-01567,kent.edu,q2meum302,✘,16,✘,✘,␣,✘,✔,경상남도 통영시 북신동 95-10,✘,1623573398,ef79rno1,✘,␣,집.,I4B800N,✘,✘,✘,✘,✘,␣,색전의,일어난다.,✔,편조 원단 제조업,␣,2024/4/15,␣,␣,✘,✔,␣,✔,␣,␣,목조선,115-99063693-13,␣,태국,␣,ANCA01,✔,시리아,임후찬,␣,␣,␣,✘,✘,손녀,✘,nyu.edu,제갈선윤,✘,✘,✔,✔,✘,✘,✔,✘,✘,✔,민현인,도이체방크,✘,␣,✘,␣,2016,✘,29,✘,␣,␣,✔,DANG JUN-UI,✘,✘,1995/9/5,␣,02-710-8767,␣,✘,010-2294-5782,✔,␣,✔,전라남도 순천시 송광면 삼청리 648-1,␣,␣,✘
C0024,✘,✔,✘,␣,✘,873-70-99777,lu.se,␣,✘,5,✔,✔,␣,✘,✘,␣,✘,1601335643,muubq6xwhb,✘,161-540-733389,하다,IPFG8UL,✘,✔,✘,✘,✔,손리서,"낮이,",이,✘,"펌프 및 압축기 제조업; 탭, 밸브 및 유사 장치 제조 포함",사공준렬,␣,충청남도 부여군 세도면 가회리 101-2,393475yonggamhada-ui,✘,✘,"경상북도 경산시 자인면 압독로 389 (남신리, 남신리회관)",✘,monash.edu,␣,␣,␣,4,네팔,팀장,ANCA01,✘,몽골,임기예,단설림,1915년 4월 15일,여자,✘,✘,␣,✘,kyonggi.ac.kr,어예인,✘,✔,✘,✔,✘,✘,✘,✘,✔,✘,복형태,케이뱅크,✔,n4-rvuen19ij,✘,␣,␣,✘,13,✔,9,12,✘,ON DONG-EUN,✘,✘,1977-04-14,2024,041-1498-2379,SK이노베이션,✘,010-3783-4956,✘,2003/8/22,✘,충청남도 보령시 천북면 궁포리 425-2,␣,요지막,✔
C0025,✘,✘,✘,␣,✔,530-75-34899,␣,␣,✔,4,✔,✘,032-5518-8825,✔,✔,전라남도 해남군 북일면 만월길 32-14 (흥촌리),✔,1643757059,om044836l4rq,✘,922125-38-458465,␣,IE3N2DN,✔,✘,✘,✘,✘,성상린,␣,무늬.,✘,␣,두여엘,␣,␣,dan-wilo,✘,✘,␣,✘,netsgo.com,HYEONG HA-EON,예스럽고,␣,␣,캄보디아,␣,ANCA01,✘,몽골,␣,␣,2018.04.01,여자,✔,✘,본인,✔,hawaii.edu,두샤넬,✔,✘,✘,✘,✔,✘,✔,✔,✘,✘,황제니퍼,한국씨티은행,✔,vby30fh,✘,"껍데기,",2018,✘,7,✔,9,3,✘,LA HYEOGGEON,✘,✘,1907.08.10,␣,␣,금성사,✘,010-3355-3802,✔,1994/11/1,✘,"경상북도 포항시 남구 송림로90번길 4 (송도동, 코모드맨션)",␣,␣,✘
C0026,✘,✘,✘,␣,✘,189-73-88234,keio.jp,ucnqml2s,✔,␣,✔,✘,031-1577-1636,✘,✘,경상남도 합천군 쌍백면 삼리 371,✘,9563947181,␣,✘,␣,내세워,IXKBQUT,✘,✘,✘,✘,✔,석제상,기타,감정적,✘,␣,선우선국,2007.3.10,"경상북도 예천군 예천읍 시장로 80 (남본리, 아가방)",salojabhyeo,✘,✘,서울특별시 강동구 구천면로 340 (천호동),✘,ole.com,GA USEOG,붙어,117-345076-90,12,사우디아라비아,␣,ANCA01,✘,␣,권랑아,이창아,2022년 4월 25일,남자,✘,✔,배우자,✘,gmx.us,위현소,✔,✘,✔,✘,✘,✘,✘,✔,✘,✘,도지성,␣,✘,hsyd05lain5l,✘,␣,␣,✘,␣,✘,␣,11,✘,PYEON GIHWANG,✘,✘,1978.12.10,␣,043-6213-8272,심텍,✔,␣,✔,1912.12.17,✔,␣,␣,하다,✘
C0027,✘,✘,✔,제주은행,✔,450-15-91124,␣,wsbdcrx9fr,✔,25,✘,✘,␣,✘,✘,␣,✔,9096756851,␣,✔,␣,␣,I4DH9IX,✘,✘,✘,✔,✔,추칸나,␣,␣,✘,부동산 관리업,원향직,␣,충청남도 천안시 동남구 풍세면 풍서리 474-1,gu-un,✘,✘,␣,✘,bellsouth.net,␣,돈을,566-245006-30739,10,노르웨이,주임,ANCA01,✘,␣,범유율,승리규,␣,␣,✘,✔,␣,✔,basilicmail.com,␣,✘,✘,✔,✘,✔,✘,✘,✔,✘,✘,경원균,␣,✔,m4w_ky4,✔,␣,2024,✘,1,✘,22,␣,✔,BOG BYEONGGON,✘,✘,2043년 10월 13일,␣,063-813-4033,␣,✘,010-5930-6212,✔,␣,✘,"전북특별자치도 순창군 쌍치면 운암길 6 (운암리, 쌍치119지역대)",␣,␣,✘
D0000,✘,✘,✘,␣,✔,171-88-27855,jredmail.com,t4evan5k,✘,18,✘,✔,055-2762-7311,✔,✘,␣,✘,␣,l2ueg8q,✘,165108-96-620573,"따위에서,",SEERWCN,✔,✘,✘,✘,✔,소룩한,␣,잘못을,✘,␣,␣,2050.02.27,전라남도 강진군 도암면 신기리 614,leul,✔,✔,␣,✘,␣,␣,지배적,␣,3,␣,부사장,ANCA01,✘,␣,지자스민,표보배,1996.6.13,␣,✘,✔,␣,✔,blueyonder.co.uk,␣,✔,✘,✘,✘,✔,✔,✘,✘,✘,✘,정파란,한국씨티은행,✔,fm-33-yf.ecy,✘,␣,␣,✔,1,✔,11,3,✔,JO HYELYEONG,✘,✘,1946년 11월 8일,2040,␣,진로발효,✘,010-4151-7781,✔,1919.11.5,✔,인천광역시 미추홀구 도화동 14-17,␣,␣,✘
