image,021,010,015,017,022,002,030,014,020,029,028,019,008,011,016,005,000,013,003,026,007,001,006,025,023,018,004,009,027,024,012
A0010,␣,7,7,✔,✘,✘,␣,10,␣,␣,SP00NAB026,␣,2025,공장개발종합건설,우나서,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,10,✘,␣,✔
A0011,␣,31,31,✔,✘,✘,␣,12,␣,␣,SP00NAB026,␣,2025,(주)한일통운,황호서재,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,12,✘,␣,✔
A0012,␣,9,9,✔,✘,✘,␣,1,␣,␣,SP00NAB026,␣,2025,주식회사 남경전기,차빛윤,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,1,✘,␣,✔
A0013,␣,16,16,✔,✘,✘,␣,3,␣,␣,SP00NAB026,␣,2025,석재용달화물,신하나초,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,3,✘,␣,✔
A0014,␣,23,23,✔,✘,✘,␣,5,␣,␣,SP00NAB026,␣,2025,대한예수교장로회예심교회,백아도,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,5,✘,␣,✔
A0015,␣,5,5,✔,✘,✘,␣,7,␣,␣,SP00NAB026,␣,2025,어상식품영농조합법인,금별성호,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,7,✘,␣,✔
A0016,␣,19,19,✔,✘,✘,␣,9,␣,␣,SP00NAB026,␣,2025,화원산업개발㈜,설수민,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,9,✘,␣,✔
A0017,␣,14,14,✔,✘,✘,␣,11,␣,␣,SP00NAB026,␣,2025,사단법인사회적기업청람,나나래라,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,11,✘,␣,✔
A0018,␣,28,28,✔,✘,✘,␣,2,␣,␣,SP00NAB026,␣,2025,대륙엔지니어링,임준예,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,2,✘,␣,✔
A0019,␣,1,1,✔,✘,✘,␣,4,␣,␣,SP00NAB026,␣,2025,부전수산,육별현,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,4,✘,␣,✔
A0020,␣,17,17,✔,✘,✘,␣,6,␣,␣,SP00NAB026,␣,2025,연천상운,황정솔현,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,6,✘,␣,✔
A0021,␣,24,24,✔,✘,✘,␣,08,␣,␣,SP00NAB026,␣,2025,대구컴퓨터학원,황보서하,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,08,✘,␣,✔
A0022,␣,10,10,✔,✘,✘,␣,10,␣,␣,SP00NAB026,␣,2025,(주)수호전자,한은라,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,10,✘,␣,✔
A0023,␣,08,08,✔,✘,✘,␣,12,␣,␣,SP00NAB026,␣,2025,(주)아주산업,주나래성하윤,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,12,✘,␣,✔
A0024,␣,21,21,✔,✘,✘,␣,1,␣,␣,SP00NAB026,␣,2025,(주)세미레외장,모준은,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,1,✘,␣,✔
A0025,␣,30,30,✔,✘,✘,␣,3,␣,␣,SP00NAB026,␣,2025,태백약초영농조합,강아슬,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,3,✘,␣,✔
A0026,␣,13,13,✔,✘,✘,␣,05,␣,␣,SP00NAB026,␣,2025,(주)미래ENG,육은예,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,05,✘,␣,✔
A0027,␣,27,27,✔,✘,✘,␣,7,␣,␣,SP00NAB026,␣,2025,(주)대상,석준시,✘,✘,2025,✘,␣,✘,✘,✘,␣,␣,␣,✘,7,✘,␣,✔
A0028,␣,6,6,✔,✘,✘,␣,9,␣,␣,SP00NAB026,␣,2025,(주)뉴컴퍼니,유예서,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,9,✘,␣,✔
A0029,␣,20,20,✔,✘,✘,␣,11,␣,␣,SP00NAB026,␣,2025,(주)광명도장산업,허도호,✘,✘,2025,✔,␣,✘,✔,✘,␣,␣,␣,✘,11,✘,␣,✔
D0000,팽윤하,7,16,✘,✘,✘,PDUMYRX,12,␣,1780078310,SP00NAB026,␣,2007,권운해,␣,✘,✘,2032,✔,조은유,✘,✘,✔,14,2031,2028,✘,2,✔,7,✘
D0001,␣,␣,␣,✘,✔,✔,␣,1,13,1667598944,SP00NAB026,6,2021,상강율,한민아,✘,✔,␣,✔,선우리진,✔,✘,✘,2,2016,2021,✘,8,✔,10,✘
D0002,라매이,11,12,✔,✔,✔,PMLBPLB,␣,25,1062693005,SP00NAB026,␣,2022,도제엽,부병율,✘,✘,2009,✘,황영심,✘,✘,✔,12,2029,2009,✘,3,✔,6,✔
