image,010,015,017,022,002,014,020,019,008,011,016,005,000,013,003,007,001,006,018,004,009,021,012
C0003,만두집,무형 재산권 임대업,완불.,P6VDZXE,차새린,"의약품, 의료용 기구, 화장품 및 방향제 소매업",∅,이황02의,␣,516-80-80982,사람.,1940.7.12,두알렉스,충청남도 천안시 동남구 영성로 1-50 (사직동),✔,␣,✔,"영유하였고,",9,1969.2.1,␣,9034886655,␣
C0004,온고푸드커뮤니케이션,"사무용 기기, 안경, 사진장비 및 정밀기기 소매업",트이는,P5EB8GI,␣,␣,∅,잘라,제베라,065-05-11508,밤. 어제의,2048.03.11,임서찬,경상남도 창원시 마산합포구 산호서7길 33-6 (산호동),✔,i4 프리우스,✔,번역하여,3,1952.2.26,␣,1150450867,1928.03.30
C0005,␣,사진 촬영 및 처리업,보편적인,PDUK5OR,빈서란,␣,∅,생각하여,부보아,932-39-20846,␣,2009-03-12,어태자,␣,✔,␣,✔,뇌의,1,␣,전라남도 목포시 보광동1가 2-10,9780629462,1900-07-05
D0000,가미우동,종교 단체,소리를 무괴히,␣,맹에밀리,기타 숙박업,∅,␣,양제노,␣,결세를,␣,␣,부산광역시 강서구 대저2동 4017,✘,␣,✔,␣,␣,1921-05-30,␣,9105472139,2011.4.22
D0001,칙바이칙 강남역점,항공 화물 운송업,␣,Z1FN9YW,강방자,면세점,∅,둔 정오품,남궁이튼,947-20-36150,깨끗한 눈이나,1954.11.16,전리순,경기도 평택시 고덕면 동청3길 145 (동청리),✘,스타리아쉐보레 GV90,✘,사이에,␣,␣,서울특별시 은평구 응암동 102-22,␣,1907-09-28
D0002,테지움 서울,음료 및 담배 도매업,이르는,ZMOXNPF,정인재,조명장치 제조업,∅,사회의 돌발,␣,␣,␣,1921.1.4,주원결,전라남도 구례군 구례읍 신월리 386-6,✘,마칸 쌍용,✘,등시포착이,1,2044/1/28,␣,␣,1960-04-29
D0003,파쿠모리카레,␣,"때에, 그",ZHP05XL,견조기,␣,∅,␣,명휘언,110-78-94230,빛깔의 치마.,1974.03.09,엄태빈,광주광역시 북구 설죽로471번길 3-10 (삼각동),✔,␣,✘,␣,9,␣,인천광역시 강화군 강화읍 신문리 241-56,1941732593,1915.08.05
D0004,신당동 떡볶이 골목,박물관 및 사적지 관리 운영업,그런 논술.,ZCUR8EL,제갈선애,토목 시설물 건설업,∅,마루를,어영규,413-03-49649,살리다. 특성을,1958/8/14,왕희우,부산광역시 금정구 서동로140번길 39-2 (서동),✔,베뉴 파일럿,✔,이르는,␣,2015.11.9,인천광역시 서구 로봇랜드로249번길 62-7 (청라동),1194411484,1917.03.06
D0005,망우산 사색의 길,탐정 및 조사 서비스업,사진을,␣,서문하형,산업용 기계 및 장비 도매업,∅,␣,갈아이샤,643-22-11901,␣,␣,노서음,경상북도 청송군 주왕산면 내룡리 369-1,✔,␣,✘,바리가,␣,2027년 11월 21일,경상북도 칠곡군 동명면 남원로5길 10-84 (남원리),1888509266,2023.3.23
D0006,␣,증류주 및 합성주 제조업,"담배, 커피",Z4YK3JC,␣,␣,∅,만주어를,방온솔,␣,남사당패의 줄타기에,1996-09-16,편주신,제주특별자치도 제주시 조천읍 남조로 1765 (교래리),✔,무쏘 마칸,✔,␣,1,2036/4/23,␣,1828147412,2022년 3월 24일
D0007,파일드,건축용 나무제품 제조업,␣,␣,송테오,자동차 차체 및 트레일러 제조업,∅,␣,␣,126-12-50320,␣,2046.11.21,␣,␣,✔,벤츠 투싼,✔,알려져,3,2023년 5월 29일,서울특별시 중랑구 신내동 407-18,1124315594,1943.7.4
D0008,정감어린,␣,␣,␣,두솜희,시스템ㆍ응용 소프트웨어 개발 및 공급업,∅,␣,호로니,783-97-06410,온천. 알칼리가,␣,␣,␣,✘,르노 르노,✘,홈패어,2,1977.02.20,␣,1162188578,␣
D0009,␣,␣,묶다.,␣,␣,지정 폐기물 처리업,∅,␣,신류원,291-44-14745,요역.,1931.2.7,유주영,대구광역시 수성구 동원로11길 25-1 (범어동),✘,␣,✔,발생하는,␣,2041/4/23,"광주광역시 남구 포충로 767 (원산동, 포충사)",1903827558,␣
D0010,버드나무집,␣,호.,␣,␣,일반 기계류 수리업,∅,␣,␣,␣,␣,␣,한승건,"인천광역시 부평구 대보로24번길 12-6 (삼산동, 서광아트빌)",✘,투싼 포르쉐,✘,자꾸,7,1958.12.18,"서울특별시 강서구 공항대로46길 13-7 (화곡동, 대명스카이)",␣,1918-06-29
D0011,앤트러사이트 합정점,전기 공급 및 제어장치 제조업,␣,ZVURJXX,제갈성만,␣,∅,요구하는,␣,390-94-25974,␣,1991/1/6,동충호,␣,✘,␣,✔,␣,8,2009.11.15,충청남도 홍성군 장곡면 행정리 175-4,9729613433,1987-03-11
D0012,스토리지북앤필름 storage book and film,기타 여행 보조 및 예약 서비스업,끊고,␣,피휘섭,정부기관 일반 보조 행정,∅,␣,팽아나스타샤,971-77-96603,␣,␣,어기흔,서울특별시 은평구 연서로37길 29 (불광동),✘,␣,✘,식찬을,3,2030-07-23,␣,␣,␣
D0013,머그포래빗,비료 및 질소 화합물 제조업,회초리로 연거푸,Z51WVJ5,␣,기초 무기화학 물질 제조업,∅,춘래하다,승성비,325-56-58504,문예 잡지.,1977.11.15,␣,전라남도 강진군 도암면 항촌리 498,✘,SM6 쏘나타,✘,곱고,1,␣,경기도 김포시 김포한강1로78번길 61-44 (장기동),1003248245,2016/11/24
D0014,남대문 한옥카페,생활용수 공급업,직업으로,ZYEI10D,배한경,시설작물 재배업,∅,가열하여 액체로,위윤은,826-29-93532,명예,1962년 3월 13일,␣,전라남도 나주시 봉황면 욱곡리 561-4,✔,␣,✔,원한.,5,1990년 6월 27일,경상북도 칠곡군 약목면 관호10길 167 (관호리),␣,1982.7.26
D0015,[백년가게] 블랑제리(르팡),␣,없어지거나 하다.,␣,␣,영화 및 비디오물 상영업,∅,전체의,채연교,106-44-80641,␣,1993-07-11,사종원,␣,✔,␣,✘,겨울철의,8,␣,경기도 양평군 용문면 용문로749번길 30-5 (광탄리),9135198597,␣
D0016,␣,␣,까만 띠가,ZI2WH1D,지례진,서적 출판업,∅,␣,목내인,␣,교화의,1924년 4월 19일,민상구,경상북도 포항시 남구 대송면 운제로107번길 7-4 (제내리),✘,그랜저 GV90,✔,␣,8,1985/6/2,"경기도 양주시 평화로1475번길 161-14 (덕계동, 덕계신도브래뉴)",1369126380,1905.09.29
D0017,"서울의 밤을 즐기자 : 홍대 일대, 경리단 길",␣,␣,Z9I3PUQ,여예별,모터사이클 수리업,∅,볼찬소리를,어희운,036-50-08773,놓듯이,1977.05.15,모나련,"울산광역시 동구 진성1길 4 (전하동, 리치원룸)",✔,␣,✘,␣,3,1937.11.29,충청남도 천안시 서북구 입장면 용정리2길 12-13 (용정리),␣,1998-08-29
E0000,␣,␣,사람과 서로,ZSPZ3RL,김보미나,"냉각, 공기 조화, 여과, 증류 및 가스 발생기 제조업",∅,␣,␣,823-17-49672,␣,1995/2/26,좌휘원,경상북도 김천시 평화동 300-13,✘,말리부 타호,✔,느끼는,7,1963.11.02,충청남도 당진시 정미면 도산리 477-11,␣,1971.12.29
E0001,␣,사회서비스 관리 행정,␣,␣,손언빈,␣,∅,능려하다 아주,황강빈,␣,잇따라 쏨.,1917/3/4,서문상운,경상남도 남해군 서면 스포츠로475번길 37-19 (대정리),✘,␣,✔,␣,2,␣,경기도 시흥시 매화동 231-4,1099484699,2013.02.26
E0002,압구정서서갈비,␣,␣,ZC1LCYU,␣,␣,∅,␣,␣,␣,규정(표준어,␣,안공주,경기도 수원시 팔달구 매교동 167-42,✘,싼타페 CR-V,✘,점쉼표에,4,␣,충청북도 옥천군 안내면 장계1길 44 (장계리),9784276859,2028/10/19
E0003,␣,예술학원,단체나,ZR4DXRQ,두연두,건물 및 구축물 해체 공사업,∅,그런 소리를,백우기,483-97-98030,띤,1904/7/26,양지주,전북특별자치도 고창군 고수면 황산리 251-6,✘,␣,✔,들린다.,␣,2045.05.26,␣,1567858615,1946.7.13
E0004,룩옵티컬 익선점,생명보험업,␣,ZN6JFEV,␣,통신장비 수리업,∅,속아서 따르게,␣,250-85-35470,␣,␣,␣,광주광역시 남구 백운동 624-16 (프라도원룸),✘,A 클래스 무쏘,✘,␣,␣,␣,부산광역시 남구 문현동 790-38,9511605053,1950년 6월 9일
