image,000,001,002,003,005,006,007,008,009,010,011,012,013,016,017,023,027,028,035,037,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,056,057
G0022,온다미,545-12-75309,052-4935-7099,042-5888-7983,,,✔,SC제일은행,제갈네잎,<|SEAL|>,,,27,,,"52,440,000",,9,82.1,"39,580,000",전강철,제공받고,설명듣고 이해하였음,33,1,13,문경화,<|SEAL|>,,1904-02-16,,배금주의에,,원주얼,<|SEAL|>,9240180232,Z47D2DJ
G0023,,662-59-30123,032-9702-9686,044-2143-5058,경상남도 거제시 거제면 기성로 52,✔,,,함상영,<|SEAL|>,289-17748791-85,1,6,✔,,"6,720,000",34.9,4,63.7,"22,470,000",,제공받고,설명듣고 이해하였음,09,12,,견광선,,,2022년 06월 25일,매우,반갑거나,,서문유호,✔,1539211373,ZY6WCEE
G0024,노몽,646-31-84159,,064-5241-9243,강원특별자치도 평창군 진부면 능골길 52-50,,,,표백산,✔,,,,✔,,"17,830,000",11.1,35,,"11,830,000",호호찬,제공받고,,04,,,호리온,,,1900-06-13,,,VQPMNZWO2CQV,왕보건,,,Z484R7T
G0025,류금준,549-18-43666,064-4004-0117,053-7511-6723,경상북도 의성군 춘산면 금오길 430,,✔,미쓰비시UFJ은행,방재곤,<|SEAL|>,306-033935-77,3,,,,"83,560,000",65.6,14,57.5,,곽영채,제공받고,,,,12,고채경,✔,오르고,,번쩍,유출하여,YLBZDJD468I5,,<|SEAL|>,1654701988,Z3DLZPL
G0026,,1922.01.29,051-3465-6654,061-1509-7203,서울특별시 은평구 갈현로47길 14,✔,,BNP파리바,,<|SEAL|>,,,,✔,,"9,150,000",,,2.6,"15,250,000",,제공받고,,,,31,,<|SEAL|>,,2028년 04월 12일,약기하다02,그들이,NCH6ANCBL6S3,국결애,✔,,
G0027,성소하,864-03-84392,042-8267-0521,,대구광역시 서구 비산동 293-12,,✔,소시에테제네랄,구오스카,<|SEAL|>,379-557468-75466,8,20,,,,88.5,25,97.7,,동신의,제공받고,,,,10,부유니스,,측정함.,,옮기는,원소를,PXIE54R6POUF,이룻,<|SEAL|>,9315826445,ZUQ30QR
G0028,복나기,,,051-2316-2608,인천광역시 남동구 간석동 156-8,,✔,소시에테제네랄,,<|SEAL|>,,8,13,,✔,,16.6,9,6.2,"34,330,000",,제공받고,설명듣고 이해하였음,35,,,엄범경,,진균류의 균.,,웃음과,말단,O60TKTOB90PR,황보서중,<|SEAL|>,1937535914,ZC8PQVH
G0029,선우리언,1916.06.04,,055-5187-4894,서울특별시 강남구 도산대로85길 50-16,,,뱅크오브아메리카,,✔,6524-75-907487,,6,,✔,"69,560,000",93.0,,34.6,,손은가람,제공받고,,33,,30,선연선,<|SEAL|>,일을,2020년 4월 27일,군체를,하다.,D9CQOUUC6ECN,지향선,,,
G0030,구량은,493-40-67136,,,경상남도 창원시 마산합포구 오동동 307-1,,,,마미나미,,783019-65-900302,5,6,,✔,"5,620,000",50.6,,,,,제공받고,설명듣고 이해하였음,33,2,,사기량,<|SEAL|>,공식,,기르기,세의04,,,<|SEAL|>,1107587827,
G0031,배효채,661-96-36016,041-1259-9874,,,,✔,,,<|SEAL|>,1893-66-189508,7,,✔,,2990000,,,58.6,,당동회,제공받고,,40,5,27,,<|SEAL|>,건강을,1998.12.3,싼,대고,GXCTA41D5NR2,배준학,,9817686979,
