image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,060,061,065,066,068,069
G0010,사공서언,2001년 12월 29일,,,010-8100-8446,본인,제주특별자치도 서귀포시 칠십리로 387,055-4823-7086,신세계그룹,,,30,전라남도 완도군 보길면 부황리 417-9,044-6478-3778,,2005.09.23,불가리아,SONG BOMBYEOL,010-3370-2313,손자,경상북도 성주군 선남면 명포리 242,033-2114-7556,덕성여자대학교,신호를,팀장,20,,054-9510-5639,권행나,1912.12.24,,,010-1068-8325,배우자,,055-7011-2590,롯데지알에스,않았다.,,15,경상북도 안동시 남선면 신평길 70-6,063-1747-0788,32830000,11,,,✔,,,,✔,,2033,1,,,<|SEAL|>,,<|SEAL|>,서문민열,✔,9147504296,LIPHALN
G0011,최기단,,,,010-8241-9313,,충청북도 충주시 금가면 잠병리 950,,성민촌,,상무,8,경상남도 고성군 고성읍 남포로81번길 15,,진연의,1914/7/27,슬로베니아,GYEONG ESYULLI,010-2547-9596,손자녀,,,최만린미술관,,,,경상북도 포항시 북구 대신로36번길 1-1,,국레오나르도,,네덜란드,HAM JAESEON,,손녀,제주특별자치도 서귀포시 대정읍 안성리 169,052-6659-4979,폭주족오빠,벼슬.,인턴,27,,064-680-3926,,,,,,,,✔,,✔,2027,12,,,<|SEAL|>,조강비,,장하루키,<|SEAL|>,,L8NC6NL
G0012,강사미라,,오만,I HAN-O,010-8561-2589,딸,경상북도 경산시 용성면 곡란3길 50,051-1363-6352,유진테크,"방설림,",연구원,,부산광역시 부산진구 당감동 818-66,,지제완,,,DANG NOMIN,010-0481-3710,모,,031-8862-5599,진고개 동대문점,75033가,부회장,14,,,원아미,1914.04.01,룩셈부르크,,010-6855-0471,,전라남도 무안군 일로읍 청호리 298-3,061-7251-3450,연남 5701,해를,,5,인천광역시 중구 도원로56번길 17-28,,,,,,,✔,,,✔,,,12,,,✔,,<|SEAL|>,,✔,,LFVQ1M3
G0013,,2040-06-04,,NAM GUNGKKOCHBYEOL,010-3278-4149,,충청남도 금산군 부리면 홍성골길 15-1,,레트로오븐,,CIO,,,062-7637-6255,연영선,1942년 5월 20일,,,010-8552-5591,,,061-7860-7159,금호건설,,파트장,24,충청남도 당진시 송산면 무수리 24-71,,양희담,,아랍에미리트,HONG SYANEL,010-9004-5900,조부모,대구광역시 북구 대현동 190-7,,그린스토어,이르는,부문장,3,경기도 양평군 양평읍 백안3리길 25-62,02-789-7534,"3,960,000",25,,,,✔,✔,,,,2032,,15,온손하,<|SEAL|>,견세바스티안,<|SEAL|>,류의율,<|SEAL|>,9722745028,LMZ2I3I
G0014,,1923.5.28,덴마크,WANG WON-YU,010-7813-0399,조부모,,033-7131-9984,한우만,어근.,,9,경상북도 상주시 상산로 293,032-2503-6846,가진주,,부탄,SEUNG SIBIN,010-7021-2459,모,인천광역시 계양구 장제로946번길 16-4,02-274-4429,크리에이티브 파트너스,쌍방망이질이,팀장,,경상북도 포항시 남구 오천읍 장기로 1641,063-7438-7708,,2041년 04월 08일,시리아,HA DOHUN,010-8176-9444,,부산광역시 영도구 봉래동1가 118,,,,선임,5,경상남도 창원시 마산합포구 구산면 괭이바다길 101-291,063-1944-6676,"71,690,000",35,,✔,✔,,,,✔,,2024,7,,당관혁,<|SEAL|>,연정휴,,제강윤,<|SEAL|>,1390459653,LBNJRH6
G0015,호다금,2021-06-08,체코,SO DALANG,,본인,경상남도 진주시 대곡면 마진한실로207번길 48,,,,부장,14,,,방아미나,2009년 11월 23일,,YUG CHAN-UN,010-9221-2743,,강원특별자치도 평창군 봉평면 유포리 280,032-7558-0062,,행위에,,,경상북도 구미시 금오산로 27,02-171-9615,맹수재,1923/3/13,핀란드,,010-7426-4872,,경상남도 밀양시 가곡동 662-99,053-7250-5590,동양강철,벼슬.,센터장,,경기도 양평군 서종면 중미산로 300,,"6,590,000",35,,,,,,✔,,✔,2019,4,9,왕문기,<|SEAL|>,임히라,<|SEAL|>,,✔,9110094053,LDWWOPJ
G0016,,2049/7/12,몬테네그로,,,본인,충청남도 공주시 탄천면 남산리 178,,카페 할아버지공장,거부하여,센터장,4,경상남도 양산시 하북면 삼수리 345-1,044-3417-9192,,1975-09-30,,HONG EUN-AE,010-8426-3169,아들,경상북도 포항시 남구 오천읍 정몽주로726번길 9-1,064-9511-6003,iHQ,가까운,,4,,,공우렬,1974년 03월 24일,미얀마,OG UIJIN,,형제,전라남도 신안군 암태면 단고리 74,061-1093-8025,,썼던,사장,,충청북도 음성군 생극면 관성리 783-7,02-820-1548,"12,880,000",2,,,,,✔,,,✔,2018,6,12,,<|SEAL|>,,<|SEAL|>,국한음,,9568672949,L8OFMCE
G0017,반요찬,1918.10.07,홍콩,BU UNHYEON,010-3734-8232,,경기도 김포시 고촌읍 금포로621번길 43,052-4720-3620,된장예술과술,우리나라,차장,13,경상남도 김해시 진영읍 김해대로244번길 51-18,053-6305-0003,양처음,1917-07-04,쿠바,,010-8142-6079,기타,,054-8936-5169,노피어 레코즈,일이오.,팀장,,서울특별시 금천구 시흥대로48길 12-18,044-3029-5675,연해석,1928년 10월 17일,,MUN ULLIM,010-8004-1593,배우자,,,SJ쿤스트할레,아이들에게는,상무,1,,,,22,,✔,,,✔,,,✔,2040,,19,,<|SEAL|>,견민검,<|SEAL|>,음호동,<|SEAL|>,1965141612,LSR4EFH
G0018,황보반지,1963.05.18,요르단,NAM GUNGGEONJIN,010-5624-3027,,경상남도 합천군 가야면 야천리 991-6,043-9455-7439,이랜드그룹,,COO,11,서울특별시 강북구 월계로7길 39-11,054-8820-9301,변인택,1906.11.1,우루과이,,010-4005-4641,조부모,부산광역시 금정구 구서동 1007-20,055-6083-3159,가화당,부삽하다,,12,서울특별시 성동구 용답25다길 5,064-1817-7386,성가미,2004년 5월 13일,대만,PAENG I-EUM,010-2888-9211,딸,,061-4176-3880,풍조미역 성수본점,,실장,22,,033-7326-2757,"25,540,000",24,✔,,,,,,,,2000,8,12,,<|SEAL|>,,<|SEAL|>,홍송나,✔,9997643770,LHZCK2Y
G0019,,1944/6/7,,DO YEBA,010-6638-6825,형제,서울특별시 금천구 독산동 934-4,053-4867-7889,,"때,",센터장,,,031-0214-2277,오천수,,튀르키예,TAE LUJIN,,부모,충청남도 예산군 광시면 장신상동해길 46-1,,,,이사,8,경상북도 경주시 금성로426번길 24,032-6641-0552,길의현,,캐나다,SONG MILYANG,010-0215-0057,손녀,전라남도 영암군 군서면 도갑리 133,064-3636-6317,롯데호텔,고려조선,연구원,8,경상북도 예천군 유천면 버드내길 40-11,02-231-6158,,21,,,,,✔,,,,2035,,5,,<|SEAL|>,이윤예,✔,표세결,<|SEAL|>,9981552955,L79EEC5
G0020,손종규,1910.10.12,싱가포르,JIN LYEO-WON,010-3157-6855,형제자매,부산광역시 부산진구 전포동 13-98,,,자긍심,파트장,8,서울특별시 송파구 백제고분로46길 20,,어향실,,페루,HAM JIHYEONG,,,,,,,부문장,,대전광역시 대덕구 장동로234번길 27-10,055-8572-1924,염창혜,,온두라스,JEON MIHONG,010-8280-3414,본인,전북특별자치도 완주군 화산면 종리 852-14,043-8466-9632,라플루마앤보헤미안,시들고,CEO,9,경상남도 거제시 연초면 연사리 122-1,,23570000,35,✔,,,✔,✔,,,,2002,,19,사공애숙,<|SEAL|>,,✔,배양희,<|SEAL|>,,
G0021,선우엘레이나,1972.04.03,이란,,010-6150-5581,,충청남도 서천군 비인면 갯벌체험로767번길 5,02-131-5960,비씨카드,만드는,,31,경기도 평택시 현덕면 운정1길 72,,주운우,,,,010-3174-6702,,전라남도 여수시 수정동 1-3,031-9008-3190,흥아해운,김치삼은,차장,6,부산광역시 금정구 중앙대로1826번길 48-55,031-8967-6874,성지민,1917-10-01,루마니아,,010-4664-7682,,,,에스디바이오센서,씨는,,,경상북도 상주시 공검면 중소리 506-2,051-1141-7804,"78,580,000",13,,,,,,,✔,✔,2026,,1,금가훈,,라임,,,<|SEAL|>,,LPRWKR9
G0022,,1927/10/30,벨라루스,GUG GYUHWAN,010-3692-9807,손자,광주광역시 북구 용봉동 1209-7,033-4574-6025,,,,,전라남도 담양군 담양읍 서원길 9-2,062-6199-2852,모택경,1970.4.26,이라크,SONG JUNGYO,010-5419-3360,,,062-5343-1363,,구경,전무,11,경기도 과천시 문원동 212,032-1792-8200,남궁소피아리,,영국,BONG LYANGHWA,010-3838-9560,손자녀,경기도 남양주시 수동면 비룡로1270번길 150-6,,G마켓,"올랐으며,",,29,제주특별자치도 제주시 애월읍 답동2길 23-25,052-430-9944,,,,,,,,,,,,,,,<|SEAL|>,백에스텔,<|SEAL|>,오유나김,<|SEAL|>,9499124617,LD6TI5G
G0023,최마레,,부탄,YUN SE-IM,010-1073-2315,,경기도 안양시 만안구 안양동 523-27,02-951-5937,뱃고동,,,,광주광역시 광산구 월봉반월길 129,051-6905-2073,사태서,,사우디아라비아,GWON BICHGALAM,010-6645-1903,자매,세종특별자치시 조치원읍 새내12길 65-6,044-5210-4143,기후,,회장,11,전북특별자치도 익산시 용안면 용두리 148-4,033-6943-9180,,,시리아,,,조부,,,하누소,,,20,,041-4120-6155,"86,510,000",,✔,,✔,,✔,,,,,10,10,우푸른,,추윤영,,,<|SEAL|>,1898222606,
G0024,음지원,1960-07-08,,SONG MA-IM,,아들,경기도 파주시 야동동 144-1,062-5323-8812,전남일보,형사,상무,25,경상북도 문경시 호계면 가도길 20,,,2036/12/6,덴마크,BAG YONG-O,010-4690-0568,손자,,052-3749-7954,포항식당,"다리,",프로젝트 매니저,15,,,,2011년 12월 9일,팔레스타인,WI UNJEONG,010-2885-3423,손녀,,,,폐절하여,실장,4,,044-425-6748,"31,320,000",,✔,✔,✔,,,✔,✔,✔,2010,7,19,남동영,,,<|SEAL|>,,<|SEAL|>,9460774927,LGANYIB
G0025,당태후,,스리랑카,,,기타,,041-5944-3781,고덕 수변생태공원,,,26,제주특별자치도 서귀포시 안덕면 감산리 119-1,043-1822-8491,마레,1991/12/19,몰디브,YE JONG-YEOL,010-4541-7980,,경상남도 창원시 의창구 북면 하천리 1121,042-4879-7160,,그,부회장,4,경기도 의정부시 녹양동 412-7,031-8260-2972,,,,HEO JUN-YUL,010-4598-7532,,,,CJ,말.,실장,1,경기도 용인시 처인구 모현읍 왕림로 16,062-2609-7385,"2,730,000",23,,,✔,,,✔,,,2001,4,14,당량,✔,호해아,,도줄리엣,,1957210952,LEETGT1
G0026,구진한,2048-12-29,이란,BONG GWANSEONG,010-8088-9842,아들,충청북도 청주시 상당구 미원면 구방리 268-8,053-4653-4672,YES24,,,14,울산광역시 남구 신정동 152-27,053-5014-8033,어하은,2020/4/11,,WANG LYEO-YUL,010-7404-4261,부,대구광역시 동구 율하동 200,062-2996-8164,,신랑이,과장,10,,02-167-7868,,1918-09-06,,,,아들,충청남도 천안시 서북구 성환읍 양령리 389-5,044-1767-2214,풍림산업,,실장,15,경상북도 경주시 내남면 노곡2길 43-15,,,9,✔,✔,,,,,,,,10,,연윤걸,,경고호,✔,방이향,<|SEAL|>,1983306314,LQA1TTW
G0027,,1968-09-01,,SIM DO-YO,010-1667-3952,배우자,경기도 성남시 수정구 신흥동 6065,,포카부,돌쌈하여,,4,전라남도 신안군 증도면 증동리 935,02-940-7986,,1963-09-19,,,010-0814-0064,부,충청남도 서산시 부석면 가사리 136,,,우수함을,COO,31,서울특별시 동작구 현충로6길 6,043-2144-4301,,1945년 02월 05일,,,,조모,전라남도 여수시 돌산읍 상동안길 8-2,031-545-6888,,물건의,감사,3,서울특별시 동작구 상도로47아길 35,032-6837-4279,"11,810,000",,,✔,,✔,,,,,2039,6,17,길문설,,상담윤,<|SEAL|>,사하른,✔,9617608761,LV0FEXU
G0028,,1952년 12월 20일,엘살바도르,,,,경상남도 통영시 도산면 평리길 48-2,,진로발효,경알하다,주임,22,경상남도 거창군 마리면 고창길 118-2,,허준호,,카자흐스탄,HYEONG JONG-UG,010-8319-4184,자녀,서울특별시 강동구 올림픽로80길 37,055-5409-4465,일진전기,성충에서는,사원,18,전라남도 영광군 백수읍 해안로 898-4,,육경제,2037.06.19,,SO SSEOMMEO,,형제,강원특별자치도 횡성군 횡성읍 경강로학곡2길 76,,황태본가,화물을,,28,전라남도 여수시 충무연등천길 6-1,,2160000,,,✔,,✔,,,✔,,2038,,,상솔이,,황보은유,,옥연실,,,
G0029,,,,SEONG GWONBI,010-4062-0760,형제자매,,064-1888-4448,팜한농,관계,상무,,경상북도 청도군 풍각면 거망길 3-4,052-1420-6081,엄아카리,2017년 1월 7일,레바논,DO CHEONG-A,010-4331-6215,손자,경기도 오산시 청호동 110,061-6761-1758,HD현대마린엔진,Edgar,부사장,,경상북도 의성군 단촌면 목촌길 112-1,051-1563-3837,좌주희,1918.7.6,독일,,010-4938-3917,형제,광주광역시 광산구 운수동 257-6,032-0759-0891,뮤직카로마,굽힐,사장,16,전라남도 신안군 도초면 지남리 640,061-9136-7032,13820000,,✔,,,,,,,,,6,28,예태,,,✔,염율온,<|SEAL|>,,LY1FHDY
G0030,,2021년 05월 29일,체코,SEON HANBEOM,010-1490-8912,조부모,,02-568-7944,DL그룹,뜯기,주임,,,052-8266-0411,나선윤,1920년 05월 30일,팔레스타인,GWON YUCHEONG,010-2676-1310,딸,대구광역시 서구 중리동 715-19,033-3151-4335,남도식당,,전임,4,,,표라온,1994.10.11,크로아티아,BANG YEONGSEUNG,010-6512-7946,부모,,,명동난타극장,어근.,대리,18,경기도 이천시 관고동 282-11,043-2987-5352,"66,450,000",,,,,,,✔,,,2039,8,14,강회영,✔,,<|SEAL|>,견평,<|SEAL|>,9646869163,LQ5J34K
G0031,길능화,,,,010-9949-9204,,,063-3784-1037,,허드렛일.,인턴,9,충청남도 서산시 수석순환로 146,033-1930-1804,신고담,1970/12/21,,BAG SEJIN,,자매,서울특별시 성북구 종암동 3-1044,041-3525-6442,신당동 떡볶이 타운,빠져나올,실장,2,전라남도 나주시 문평면 체암로 11-1,061-591-6385,최희은,,,GYEONG WISEO,,,,,카카오IX,멀다.,사장,,전라남도 진도군 지산면 오류리 186-1,043-3361-1679,,,,,,,,,,,,6,,민규솔,,어화주,<|SEAL|>,소창주,<|SEAL|>,,
G0032,피관석,2022/9/30,말레이시아,HAN GWIMIN,010-1975-6896,조부모,대구광역시 남구 현충로28길 9-5,,,,대리,27,경기도 성남시 중원구 은행동 2152,055-555-2174,허토니,1989-08-09,,EO HOE-WON,010-3799-7457,손자녀,,044-1898-4350,한국레미콘공업협회,은밀히,사장,21,충청남도 서산시 고북면 장요리 315-10,052-7481-9426,갈인애,,스웨덴,,010-8691-1216,형제자매,전북특별자치도 김제시 공덕면 동계1길 40,,,,대리,15,서울특별시 성북구 정릉동 427-16,054-197-8483,"91,430,000",16,,,,,,,,✔,,1,8,빈영,,,<|SEAL|>,,,,LN9PE5X
G0033,태금하,1920.08.03,스리랑카,,010-7507-6245,자녀,,062-5876-0298,목원대학교,,대리,,경기도 양주시 은현면 은현로 137-8,062-5386-3030,,1956년 8월 12일,몽골,I YEONTAG,010-8790-1747,딸,,,,원사를,,24,충청북도 진천군 덕산읍 산수리 1106태화지앤지),,장향지,,,,010-1231-7453,,강원특별자치도 춘천시 동내면 거두길 140,042-6510-9265,동아운수,1863년,사원,1,전북특별자치도 김제시 금구면 봉두로 72,043-3251-7921,"85,190,000",,✔,,✔,,,,,✔,2019,,,공석중,,강그래,<|SEAL|>,라준승,✔,,
G0034,좌경찬,1930.3.11,,SANG GYEONGSU,010-9876-3640,자녀,,,,중간,,,부산광역시 사하구 까치고개로 26-1,042-6005-5416,양드리,2025-05-22,,GWAG GYEONGJA,010-3967-1222,손자녀,,043-5396-6543,Titch,그,,9,경상남도 양산시 매곡외산로 113,032-2673-7696,금름,1946년 1월 3일,,EUM GI-YUN,,,전북특별자치도 익산시 오산면 오산3길 25,02-477-8771,케르반 이태원점,방토01,CFO,10,,054-6805-3762,"76,260,000",5,,✔,,✔,,✔,,,2020,10,,육백준,<|SEAL|>,,✔,백현솔,,1640353748,
G0035,진학선,1915-02-13,이스라엘,,010-4103-5147,조부,서울특별시 광진구 자양로26길 62,064-7375-7951,,잘,,5,경상북도 포항시 남구 효자동 274-9,033-6063-9939,허기드온,1906-05-28,보스니아헤르체고비나,HAN DONGHYEONG,010-9867-3852,,,042-9606-0259,여수동촌,,CIO,9,,051-0580-3675,금인중,,브루나이,,010-5099-4101,부모,충청남도 보령시 대천동 45-5,055-3070-2747,리치몬드 과자점 성산본점,남의,CTO,,,043-6271-5155,,8,✔,,,✔,✔,,,,,11,21,도두인,<|SEAL|>,,<|SEAL|>,이효설,<|SEAL|>,1064489972,
G0036,경용익,2031.1.18,콜롬비아,,010-4588-8205,손자,부산광역시 영도구 남항동3가 141-47,,한국마이크로소프트,거실,사장,23,충청남도 천안시 서북구 두정동 1637,,상나결,1973년 6월 20일,중국,BAN SAEMBYEOL,,,전라남도 나주시 가마태길 2-1,,,,,22,경상남도 양산시 물금읍 가촌리 707-3,,황나로,,슬로바키아,NAM GUNGHYEONMI,010-5654-5354,본인,,063-8198-1707,,,센터장,11,전라남도 여수시 화양면 소장길 18,,,11,✔,,,,✔,✔,✔,,,6,22,형준나,<|SEAL|>,노관성,<|SEAL|>,,<|SEAL|>,,L1WUFJR
G0037,,1967.6.7,,JE GALJEONG-YONG,,,부산광역시 해운대구 재반로 46-22,062-1277-4389,,무역,과장,8,경상남도 거제시 장평로3길 12,055-4483-9511,임희다,,,HA SEGYEONG,,모,서울특별시 도봉구 우이천로42길 25-3,,국민은행 (KB),작품에,상무,,,,단웅,1979.07.08,,SI LE-ON,010-5715-4129,손자,부산광역시 중구 자갈치로 53-1,055-8189-1213,대상그룹,315289,,,전라남도 무안군 현경면 고인돌길 282,033-2353-2068,"18,630,000",,,✔,,✔,,✔,,✔,,11,,도데이비드,<|SEAL|>,마비경,<|SEAL|>,,<|SEAL|>,9562091203,LXVGUJA
G0038,견세흔,1967.7.11,방글라데시,SEON UMONA,,손녀,경기도 성남시 중원구 성남대로1140번길 29-3,053-2361-9899,,,,,경기도 수원시 권선구 매송고색로 634-24,063-3526-3737,남효채,1979년 11월 03일,,YANG JIHYU,010-9763-9182,부모,전북특별자치도 장수군 계북면 샛담길 64,043-807-9310,현대카드,,과장,19,충청남도 천안시 동남구 광덕면 매당리 379-2,062-7642-7561,,1909/2/28,,YEON SOLLIN,010-6731-6174,,경기도 화성시 양감면 정문리 372-4,052-5426-4156,,연주한다고,실장,24,,031-4396-6144,"8,950,000",28,,✔,,,,,✔,,2039,11,,김든솔,<|SEAL|>,,<|SEAL|>,,<|SEAL|>,1574721186,LR018RK
G0039,현보언,2044.02.28,일본,MUN MINJIN,,친척,경상남도 사천시 군영숲길 61,,송옥,넓다.,CIO,20,부산광역시 사하구 장림동 640-53,061-4511-5335,봉강선,,투르크메니스탄,GA BYEOLHUI,010-3082-9345,,,02-387-9854,,,,,경상북도 포항시 남구 오천읍 철강산단로130번길 212,,갈범수,,베트남,,,자매,경상남도 밀양시 용두동안길 6-3,,된장예술툇마루,안을,회장,1,,,,,,✔,✔,,,✔,✔,✔,2011,4,,,<|SEAL|>,복제훈,,국하늘별,<|SEAL|>,9322149363,L1ZS9Y0
G0040,,1922-12-21,,BAE OSEONG,,,경상북도 영천시 북안면 괴화길 13,041-880-8867,제일병원,준말.,부장,,강원특별자치도 횡성군 공근면 공근남로 228-12,,윤상일,2042년 11월 15일,체코,DU JI-YE,010-0445-3816,,경기도 용인시 기흥구 보정동 700-6,02-387-3446,남양유업,모아서,사장,,,,현상국,1953.4.18,아일랜드,AN TAEJU,,,전북특별자치도 전주시 덕진구 화전신정길 44-1,,,,회장,2,,,"2,620,000",6,✔,,,,,,,,2032,10,,,,,<|SEAL|>,,,,LGJ0WDU
G0041,,1997-07-02,레바논,DONG CHAESEO,,손자,경기도 양주시 광적면 석우리 564,043-9886-2180,니로사 레스토랑,가지,,25,전북특별자치도 장수군 장수읍 송학로 137,051-6336-7032,,2013/10/13,스리랑카,YEON JO-I,010-9220-8225,조모,경기도 광주시 도척면 상림리 43-35,053-3251-1060,마오,현효하다,실무자,,경기도 양평군 양평읍 쉬자파크길 84-4,,하하범,,슬로베니아,,010-0559-1924,손녀,전라남도 함평군 학교면 죽정리 363,053-8693-3641,플레디스엔터테인먼트,밖에서의,,,,042-8809-1383,"9,160,000",5,,✔,,,✔,✔,✔,,2025,,,,<|SEAL|>,,✔,원유키나,✔,9624240669,L8PGARU
