image,000,001,002,003,004,006,008,009,010,011,012,013,014,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,065,066,067,072,073,074,075,076,091,092,093,094,095,096,098,099,100,101,102
G0010,1687387602,신이도가,,368-22-32564,135-64-83207,,,061-7122-8608,전라남도 신안군 지도읍 광정리 723-2,054-2047-0155,,jp-ygd3xqh,istanbul.edu,,YEO GOHEUN,1938-03-03,,과테말라,,z3p.5ga,opera.com,,,,b34d.g6it19k_,,✔,,381-867-283811,,✔,✔,,✔,✔,,14,,,,,,배은윤,MA UIHWAN,브루나이,010-4306-3358,비유적으로,이사,2033,2,15,,✔,,566588-83-087119,왕쥴리아,조모,,010-7691-5287,,EF9N0VT,2040,7,
G0011,1978174508,국제앰네스티 한국지부,peulangseu-ui,850-35-68825,,아르헨티나,,052-4991-6442,경상북도 영천시 완산동 1089-28,052-2782-2415,,p12ap.xqxv8z,howard.edu,함플로렌스,,2011.7.13,남자,,,ouvye1j2,london.com,,✔,✔,tr7001ebekff,japan.com,,,077165-85-545261,한국산업은행,,,,✔,,,,,✔,,,소요,사애나벨,,,,,CFO,2001,3,18,승은사랑,<|SEAL|>,하나은행,703-98249668-43,,본인,866-92-08889,010-1568-6657,9870097302,EXI49LJ,2008,,
G0012,9879684837,구스토타코,,,859-41-12787,,,053-1917-5803,경기도 양평군 강하면 전수리 65-27,062-823-6574,,wl708co3lurcf,hunter.cuny.edu,감성란,,2048/8/30,남자,아랍에미리트,✔,,,✔,✔,,d76q.vtt-a5y,love.com,,,,중소기업은행,,,✔,,,✔,22,✔,,✔,✔,또는,박우섭,KIM LOJI,스페인,010-8650-8676,,상무,2018,2,30,기채성,<|SEAL|>,SC제일은행,,전화윤,형제,796-78-37288,010-6324-8832,,ET1I140,2023,7,15
G0013,9109064841,,hyanglyo-ida.,229-16-96804,143-70-65788,타지키스탄,인천광역시 옹진군 백령면 중화길 230-7,052-3015-6755,경기도 양주시 광적면 가래비3길 9,041-9227-6104,,,cityu.edu.hk,탁은원,EUM BAEGHWA,2001.1.21,남자,,,s0e_zseakp,lsu.edu,✔,,,y6kdnf6ieq2.d,,,✔,,미쓰비시UFJ은행,,,,,✔,,10,,,✔,✔,달린,좌용안,BYEON MIN-YU,시리아,010-6585-5929,돌아간,팀장,2024,,2,원사디아,<|SEAL|>,미즈호은행,,길엘리유나,형제,,010-0467-1129,,EEU49OW,2010,6,10
G0014,,여의도따로국밥,hada,,655-30-27533,엘살바도르,전라남도 영암군 신북면 유호정길 22-94,,전라남도 무안군 운남면 신월로 249-7,02-311-0879,,ucei01134,gmail.com,팽이른비,,1973년 08월 12일,여자,대한민국,,hy4btvz6xw,,,,✔,mmwis7s,nate.com,,,057-05359757-64,대구은행,✔,,✔,,✔,,2,✔,,,,,맹대륜,PI SANGHA,말레이시아,,낸다.,센터장,2034,,12,원태원,<|SEAL|>,,,엄비야,형제자매,,010-7247-1281,1392539926,E2PZTCI,,8,22
G0015,,사마르칸트,dosi.,,,아르헨티나,전라남도 영암군 영암읍 영암로 1347-44,02-808-5640,,,02-984-5381,h96xuono,email.cz,육한용,YE JEONGGANG,2018-03-24,남자,파키스탄,,a7zj0a-v5ta,peoplepc.com,,,,,fau.edu,✔,,621-45663629-12,소시에테제네랄,✔,,,✔,✔,✔,,,,,,선박의,,JO AESWILLI,이라크,,,실무자,2017,,27,,<|SEAL|>,,363491-09-278837,강성오,부,088-71-32733,010-4740-4272,,,,1,12
G0016,,"서울의 밤을 즐기자 : 홍대 일대, 경리단 길",,,488-73-52597,팔레스타인,경기도 포천시 화현면 화동로587번길 35-34,,대전광역시 대덕구 한밭대로1024번길 36,032-9452-5434,053-4776-3656,x2nnp00o,,이주찬,SEON GOGEUN,1951.12.17,여자,노르웨이,✔,w8-637p_k,,,,✔,r-_wad5c-xjc1,myway.com,,✔,,중국교통은행,✔,,,,✔,✔,,✔,,,,창암하다의,고인빈,GIL MIN-WAN,,010-4656-6712,,,2001,12,1,제지세,<|SEAL|>,,,빈재상,,262-59-74646,010-0289-4357,,,,,
G0017,,태릉국제스케이트장,,,733-82-15307,오스트리아,경상남도 김해시 전하로198번길 25-32,031-4235-9141,대전광역시 대덕구 평촌동 225-19,051-4711-2608,044-1566-5727,dt_d1ge2-4bw,jh.edu,서문가솔,SEON YULSEO,1946년 12월 23일,,알바니아,,d3jm6tn,juno.com,,✔,✔,,,,,065-79022178-69,,✔,✔,,✔,,✔,9,✔,,,,,왕명경,MO UIJE,슬로베니아,010-4791-2088,시골이나,사장,,10,29,홍은광,<|SEAL|>,제주은행,349928-08-447227,,,2014년 6월 28일,010-3059-5947,,EURUQB1,,8,16
G0018,9555923074,,,,978-26-96685,투르크메니스탄,경기도 양주시 백석읍 가업리 555-1,,,033-8721-4925,,nmcijhadzrd0d,kth.se,,,,여자,,,y_m9hae3x,fmail.com,✔,,,ptceore,,,✔,4073-07-632023,미즈호은행,,,✔,✔,✔,,3,✔,,,✔,정제법,,MOG CHANMYEONG,슬로베니아,010-8035-7909,관할하던,실무자,2007,7,18,상성웅,<|SEAL|>,BNP파리바,5729-02-417842,,,,,9306457362,,,11,9
G0019,1573415125,삼일문화재단,,076-54-01446,705-36-41151,멕시코,,043-3627-7074,,044-1376-5905,044-4428-9728,,lavabit.com,,SIM ENA,1930-06-29,여자,인도네시아,,p2vzmjp,,,,,v9u._0-.ks7c,chungnam.ac.kr,✔,,7885-57-913290,,,,,,,,,,✔,,✔,하여,감금희,BOG ILIM,미얀마,,다니는,,2039,,30,탁본비,✔,소시에테제네랄,439-406095-87268,왕의,,,010-3010-5291,1895726629,EVSQTNB,2006,,30
G0020,1645738551,,osgeol-i-wa,,506-52-59738,,인천광역시 옹진군 영흥면 영흥남로9번길 101,,경상북도 영천시 도들앞길 49,062-7710-5144,052-5324-6449,,dmu.ac.uk,김수잔,,,여자,,,,chungnam.ac.kr,✔,,,,narasarang.or.kr,✔,✔,597-127804-44303,모건스탠리,,,✔,,,✔,9,,✔,✔,,축조된,반사빈,JIN EUNHWI,타지키스탄,010-4559-7691,,,2005,7,,황보기혜,<|SEAL|>,한국수출입은행,060-20206529-69,어운창,손녀,2038/11/30,010-5657-2788,1494055019,E6PL87R,2016,4,4
